"school_code","district_code","district","school","2011_12","2012_13","2013_14","2014_15","2015_16"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","","","12.3","10.5","7.4"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","1.4","2.5","2.9","3.2","4.7"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","","","12.1","15.5","17.1"
"0150111","0150011","Bridgeport School District","Barnum School","22.5","23.9","26.0","21.7","24.7"
"0156111","0150011","Bridgeport School District","Bassick High School","38.9","39.4","41.4","42.9","42.2"
"0150211","0150011","Bridgeport School District","Beardsley School","18.5","16.1","17.9","17.7","14.2"
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","","","12.0","4.1","11.3"
"0150311","0150011","Bridgeport School District","Black Rock School","13.1","18.8","13.3","10.9","6.4"
"0154011","0150011","Bridgeport School District","Blackham School","13.6","15.7","17.2","13.9","12.3"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","*","31.8","19.4","29.2","31.0"
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","","","0.0","19.0","22.0"
"0150411","0150011","Bridgeport School District","Bryant School","16.7","21.5","17.2","14.0","14.0"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","","","","","84.4"
"0156211","0150011","Bridgeport School District","Central High School","22.3","55.2","32.4","19.1","16.5"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","15.6","17.6","16.7","14.0","12.3"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","6.0","10.5","2.8","4.4","4.4"
"0150511","0150011","Bridgeport School District","Columbus School","21.5","33.1","28.1","24.3","24.3"
"0153911","0150011","Bridgeport School District","Cross School","27.3","27.5","25.7","28.2","30.4"
"0154211","0150011","Bridgeport School District","Curiale School","22.8","28.4","29.1","27.0","19.7"
"0154111","0150011","Bridgeport School District","Dunbar School","27.6","25.4","30.4","28.7","26.6"
"0150711","0150011","Bridgeport School District","Edison School","11.1","16.9","13.9","14.0","14.8"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","8.5","10.0","7.2","8.8","3.6"
"0151111","0150011","Bridgeport School District","Hall School","12.7","18.3","16.3","13.8","8.6"
"0151211","0150011","Bridgeport School District","Hallen School","15.3","11.2","12.7","12.3","10.0"
"0156311","0150011","Bridgeport School District","Harding High School","45.0","49.3","43.9","50.6","44.8"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","2.8","4.9","*","3.9","*"
"0151311","0150011","Bridgeport School District","Hooker School","7.0","14.1","14.8","12.9","12.3"
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","","","0.0","3.2","7.8"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","3.2","4.9","4.1","4.6","4.1"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","23.8","27.7","33.6","30.1","27.9"
"0151911","0150011","Bridgeport School District","Longfellow School","27.3","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","26.0","29.2","27.2","25.8","24.5"
"0152011","0150011","Bridgeport School District","Madison School","11.0","14.7","14.9","12.0","10.0"
"0159511","0150011","Bridgeport School District","Make The Grade","62.8","","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","2.1","2.4","1.8","*","*"
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","","","","","*"
"0159211","0150011","Bridgeport School District","Park City Academy","76.3","0.0","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","3.3","4.7","5.5","5.7","4.0"
"0151811","0150011","Bridgeport School District","Pride Academy","","","0.0","",""
"0152511","0150011","Bridgeport School District","Read School","15.0","13.0","15.0","14.7","15.1"
"0152611","0150011","Bridgeport School District","Roosevelt School","29.5","26.7","28.5","25.0","17.5"
"0154411","0150011","Bridgeport School District","Skane Center","*","","","",""
"0153011","0150011","Bridgeport School District","Waltersville School","18.1","25.3","26.4","19.7","22.1"
"0153611","0150011","Bridgeport School District","Winthrop School","9.3","9.1","6.8","4.8","4.5"
"0179011","0170011","Bristol School District","Alternative Special Education Program (ASEP)","26.7","47.6","47.8","60.0","*"
"0176111","0170011","Bristol School District","Bristol Central High School","16.4","14.0","16.0","15.5","12.0"
"0176211","0170011","Bristol School District","Bristol Eastern High School","17.1","15.3","14.8","12.7","11.6"
"0173311","0170011","Bristol School District","Bristol Preparatory Academy","","","","44.7","49.0"
"0173411","0170011","Bristol School District","CHMS GOAL","","","","*",""
"0175111","0170011","Bristol School District","Chippens Hill Middle School","10.6","7.0","10.8","9.7","9.3"
"0171011","0170011","Bristol School District","Chippens Hill Middle School Functional Program","","","","*","*"
"0173411","0170011","Bristol School District","Chms Goal","","","","","*"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","17.3","","","",""
"0179211","0170011","Bristol School District","Community/Vocational Program","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","9.6","8.4","7.8","8.1","1.8"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","8.2","8.5","5.4","5.8","5.1"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","","","","","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","","","","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","5.3","8.6","8.7","7.5","7.9"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","","","","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","6.5","6.3","7.3","4.9","4.3"
"0170611","0170011","Bristol School District","John J. Jennings School","5.8","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","7.2","","","",""
"0171711","0170011","Bristol School District","Mountain View School","6.3","6.2","4.4","2.7","3.5"
"0172511","0170011","Bristol School District","Mt. View GOAL","","","","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","","","","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","6.6","5.2","7.0","6.0","3.4"
"0173011","0170011","Bristol School District","South Side Extended Resource","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","","","","*","*"
"0171111","0170011","Bristol School District","South Side School","8.6","5.2","8.8","8.7","5.6"
"0173211","0170011","Bristol School District","Stafford Autism","","","","*","*"
"0171211","0170011","Bristol School District","Stafford School","14.2","10.3","18.2","18.8","5.9"
"0172011","0170011","Bristol School District","West Bristol School","","10.2","12.3","10.4","8.0"
"0186111","0180011","Brookfield School District","Brookfield High School","6.8","0.9","5.1","6.0","*"
"0180311","0180011","Brookfield School District","Center Elementary School","4.7","2.6","2.9","2.3","3.6"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","3.1","1.3","2.7","2.7","1.7"
"0185311","0180011","Brookfield School District","Whisconier Middle School","3.9","3.1","4.5","3.3","3.0"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","4.8","7.5","*","4.6","2.0"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","9.1","*","4.5","5.7","2.9"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","10.7","*","10.1","*","9.2"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","3.4","6.1","*","3.3","3.0"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","4.2","7.0","5.1","3.5","4.3"
"0230411","0230011","Canton School District","Canton Academy","","","","*","*"
"0236111","0230011","Canton School District","Canton High School","4.7","4.0","5.1","*","6.1"
"0230311","0230011","Canton School District","Canton Intermediate School","4.9","4.2","12.4","14.7","4.1"
"0235111","0230011","Canton School District","Canton Middle School","*","5.9","5.7","5.1","3.9"
"0230211","0230011","Canton School District","Cherry Brook Primary School","4.7","4.6","11.8","14.4","7.4"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","","","","","13.7"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","17.2","11.3","13.9","15.1","7.2"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","","","18.9","25.3","15.3"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","","","","14.9","13.8"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","","18.0","14.8","14.3","7.1"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","*","14.7","","",""
"2418114","2410014","Capitol Region Education Council","Discovery Academy","","","12.4","9.1","5.7"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","60.6","55.3","*","*","40.0"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","6.9","7.0","8.3","7.3","6.3"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","14.5","","","",""
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","53.9","52.3","47.9","44.7","29.0"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","","8.5","14.0","17.2","18.4"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","9.2","12.0","13.5","12.3","8.9"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","56.7","27.6","0.0","0.0","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","*","*","*","*","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","9.3","13.4","17.0","",""
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","7.6","8.0","8.2","8.9","7.6"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","3.8","9.8","10.0","10.6","7.8"
"2410514","2410014","Capitol Region Education Council","Museum Academy","8.4","11.5","9.7","8.8","9.6"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","23.6","21.6","18.1","28.0","23.0"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","14.7","12.8","15.2","15.1","8.9"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","*","*","*","24.1","12.7"
"2419314","2410014","Capitol Region Education Council","River Street School","14.7","17.6","17.8","17.0","15.8"
"2419714","2410014","Capitol Region Education Council","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","","","*","",""
"2419114","2410014","Capitol Region Education Council","Soundbridge","*","25.0","23.3","*","*"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","","","","*","*"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","","","","*","*"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","","","","*",""
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","","","","*","*"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","","","","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","","6.5","7.0","8.6","16.3"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","4.8","6.4","6.4","8.9","6.1"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","*","6.4","6.3","9.4","6.0"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","9.6","8.3","*","11.4","10.1"
"0250111","0250011","Cheshire School District","Chapman School","2.0","*","2.3","*","4.3"
"0256111","0250011","Cheshire School District","Cheshire High School","7.9","9.0","8.6","8.2","5.9"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","","","","*","*"
"0250211","0250011","Cheshire School District","Darcey School","9.2","0.0","*","0.0","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","5.6","5.9","4.3","0.0","5.2"
"0250611","0250011","Cheshire School District","Doolittle School","3.3","0.0","2.8","1.8","3.3"
"0250411","0250011","Cheshire School District","Highland School","2.8","0.0","3.5","1.8","4.4"
"0250911","0250011","Cheshire School District","Humiston Alternative School","","","","90.3","68.0"
"0259011","0250011","Cheshire School District","Humiston School","29.6","25.9","*","",""
"0250511","0250011","Cheshire School District","Norton School","2.3","0.0","1.9","*","3.1"
"0260111","0260011","Chester School District","Chester Elementary School","*","9.2","3.2","*","2.8"
"0270111","0270011","Clinton School District","Abraham Pierson School","*","*","5.4","1.9","*"
"0275111","0270011","Clinton School District","Jared Eliot School","7.9","5.4","5.7","4.7","4.5"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","6.4","5.0","3.8","3.1","3.5"
"0276111","0270011","Clinton School District","The Morgan School","21.4","14.8","11.7","14.7","10.1"
"0286111","0280011","Colchester School District","Bacon Academy","1.3","10.2","6.9","2.6","9.3"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","","","","*","*"
"0280411","0280011","Colchester School District","Colchester Elementary School","2.3","3.6","3.6","4.8","3.9"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","0.9","1.8","3.0","1.9","2.3"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","5.3","6.1","6.0","6.7","4.7"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","*","*","*","*","*"
"0300111","0300011","Columbia School District","Horace W. Porter School","6.9","4.1","0.0","4.8","3.4"
"2686113","2680013","Common Ground High School District","Common Ground High School","12.8","14.5","16.6","15.3","11.5"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","17.9","11.6","11.8","15.4","18.1"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","14.3","14.2","14.7","14.4","20.9"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","9.0","8.1","12.8","15.6","10.8"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","18.6","24.8","30.9","31.9","29.2"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","8.9","17.6","19.9","19.6","14.2"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","17.3","19.1","19.4","19.3","17.7"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","6.7","10.9","13.1","12.2","8.7"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","10.6","13.4","13.3","13.7","10.2"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","2.4","7.6","9.3","9.7","8.0"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","11.5","12.2","11.6","12.0","11.8"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","","","","11.4","13.9"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","5.5","7.2","4.8","4.1","4.3"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","12.9","11.4","13.7","14.9","13.7"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","7.6","10.2","9.0","11.5","9.4"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","11.6","13.6","12.0","15.9","14.1"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","4.7","6.4","7.9","7.6","7.0"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","6.0","10.8","9.1","6.5","6.7"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","13.2","22.8","17.2","18.7","20.9"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","*","*","*","*","*"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","*","*","*","*","*"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","9.2","7.0","5.0","7.2","6.8"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","39.8","42.6","39.4","41.9","36.0"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","5.7","*","*","*","*"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","4.8","2.9","5.9","6.2","6.8"
"0320111","0320011","Coventry School District","Coventry Academy","","","","*","*"
"0320211","0320011","Coventry School District","Coventry Grammar School","5.5","5.1","3.8","4.6","3.7"
"0326111","0320011","Coventry School District","Coventry High School","10.3","14.2","7.3","9.7","7.3"
"0320411","0320011","Coventry School District","George Hersey Robertson School","*","3.0","3.1","4.4","2.2"
"0336111","0330011","Cromwell School District","Cromwell High School","7.8","10.3","11.1","1.4","2.3"
"0335111","0330011","Cromwell School District","Cromwell Middle School","6.2","6.5","4.1","3.3","2.5"
"0330211","0330011","Cromwell School District","Edna C. Stevens School","5.4","0.0","2.7","3.0","*"
"0330311","0330011","Cromwell School District","Woodside Intermediate School","5.0","0.0","1.9","2.7","*"
"0346211","0340011","Danbury School District","Alternative Center For Excellence","66.2","75.6","21.4","62.4","60.2"
"0345111","0340011","Danbury School District","Broadview Middle School","10.4","9.0","6.4","5.1","3.8"
"0346111","0340011","Danbury School District","Danbury High School","25.2","18.4","5.1","11.4","11.9"
"0341411","0340011","Danbury School District","Ellsworth Avenue School","*","3.2","3.8","4.1","1.6"
"0341111","0340011","Danbury School District","Great Plain School","5.3","4.8","3.6","5.2","6.9"
"0340211","0340011","Danbury School District","Hayestown Avenue School","7.9","11.0","8.2","5.5","8.6"
"0341711","0340011","Danbury School District","King Street Intermediate School","*","4.7","6.4","7.0","7.4"
"0341311","0340011","Danbury School District","King Street Primary School","4.9","5.3","4.9","5.2","6.5"
"0340511","0340011","Danbury School District","Mill Ridge Primary School","7.0","7.4","6.3","5.1","2.0"
"0340611","0340011","Danbury School District","Morris Street School","4.4","6.3","5.6","2.7","2.2"
"0340811","0340011","Danbury School District","Park Avenue School","7.9","7.9","6.2","6.4","8.4"
"0341511","0340011","Danbury School District","Pembroke School","6.5","8.1","7.5","5.6","7.4"
"0345211","0340011","Danbury School District","Rogers Park Middle School","11.0","10.8","8.1","3.0","4.9"
"0341211","0340011","Danbury School District","Shelter Rock School","7.4","5.8","6.3","4.7","6.3"
"0341011","0340011","Danbury School District","South Street School","5.1","5.0","5.7","7.1","2.6"
"0341611","0340011","Danbury School District","Stadley Rough School","6.3","7.5","7.0","7.0","7.1"
"0341911","0340011","Danbury School District","Western CT Academy of International Studies Elementary Magnet School","3.6","6.1","2.2","4.2","3.4"
"0340311","0340011","Danbury School District","Westside Middle School Academy","","","","*","2.6"
"0356111","0350011","Darien School District","Darien High School","6.3","3.6","4.5","6.0","4.4"
"0350211","0350011","Darien School District","Hindley Elementary School","2.8","3.1","1.8","3.2","2.0"
"0350711","0350011","Darien School District","Holmes Elementary School","*","*","*","*","*"
"0355111","0350011","Darien School District","Middlesex Middle School","4.6","4.9","5.3","5.0","3.0"
"0351311","0350011","Darien School District","Ox Ridge Elementary School","3.0","2.3","3.3","2.9","2.3"
"0350511","0350011","Darien School District","Royle Elementary School","3.4","4.4","2.1","4.7","2.7"
"0350611","0350011","Darien School District","Tokeneke Elementary School","2.9","3.1","2.5","1.6","1.8"
"0360111","0360011","Deep River School District","Deep River Elementary School","*","*","2.2","*","*"
"3370415","3370015","Department of Mental Health and Addiction Services","Connecticut Mental Health Center","","","","*",""
"3370215","3370015","Department of Mental Health and Addiction Services","Connecticut Valley Hospital","*","*","*","*","*"
"3370515","3370015","Department of Mental Health and Addiction Services","Greater Bridgeport Community Mental Health Center","*","*","*","",""
"0370611","0370011","Derby School District","Bradley School","7.2","9.7","7.4","4.6","7.0"
"0370511","0370011","Derby School District","Derby Alternative Education Center","","","","","*"
"0376111","0370011","Derby School District","Derby High School","18.6","20.8","23.1","25.1","22.1"
"0375011","0370011","Derby School District","Derby Middle School","13.3","13.9","18.2","17.0","13.2"
"0370411","0370011","Derby School District","Irving School","12.4","12.6","16.1","19.9","8.5"
"0400111","0400011","East Granby School District","Allgrove School","4.8","7.0","5.7","6.3","7.1"
"0406111","0400011","East Granby School District","East Granby High School","9.4","11.1","5.0","10.2","8.7"
"0405111","0400011","East Granby School District","East Granby Middle School","*","3.7","4.3","5.7","*"
"0400211","0400011","East Granby School District","R. Dudley Seymour School","*","4.0","5.9","6.0","5.6"
"0410111","0410011","East Haddam School District","East Haddam Elementary School","6.5","5.9","3.9","4.7","4.7"
"0416111","0410011","East Haddam School District","Nathan Hale-Ray High School","11.1","10.2","10.6","10.8","8.3"
"0415111","0410011","East Haddam School District","Nathan Hale-Ray Middle School","5.8","5.7","4.3","3.9","5.1"
"0420311","0420011","East Hampton School District","Center School","*","*","7.0","4.6","3.1"
"0426111","0420011","East Hampton School District","East Hampton High School","6.9","5.0","6.9","8.8","12.2"
"0425111","0420011","East Hampton School District","East Hampton Middle School","6.2","7.4","6.6","6.3","7.4"
"0420111","0420011","East Hampton School District","Memorial School","5.2","5.0","6.4","8.0","4.3"
"0429011","0420011","East Hampton School District","The Learning Center at East Hampton","*","*","*","*","*"
"0430911","0430011","East Hartford School District","Anna E. Norris School","12.5","21.2","17.1","20.5","12.5"
"0436311","0430011","East Hartford School District","Connecticut IB Academy","*","4.3","0.0","3.5","4.2"
"0430611","0430011","East Hartford School District","Dr. Franklin H. Mayberry School","11.4","13.0","14.7","15.0","9.9"
"0432211","0430011","East Hartford School District","Dr. John A. Langford School","2.0","13.2","17.4","15.9","12.6"
"0431011","0430011","East Hartford School District","Dr. Thomas S. O'Connell School","2.9","8.1","7.0","8.9","6.1"
"0436211","0430011","East Hartford School District","East Hartford High School","20.0","16.0","4.6","15.1","13.7"
"0435111","0430011","East Hartford School District","East Hartford Middle School","6.8","32.2","15.4","11.9","9.5"
"0432011","0430011","East Hartford School District","Governor William Pitkin School","6.1","6.7","6.9","9.0","7.0"
"3480315","0430011","East Hartford School District","Hartford Detention Center","","","","","*"
"0430511","0430011","East Hartford School District","Hockanum School","16.2","16.2","13.8","5.8","6.6"
