district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code,drg,yes,no,st_ratio,drg_ratio,state_ratio
Clinton School District,0270011,2016-17,3.0,0.0,0.0,3.0,100.0,Clinton School District,0270011,D,84.0,1703.0,28.0,58.0794117647,42.8458017784
Connecticut Technical High School System,9000016,2016-17,26.0,0.0,0.0,26.0,100.0,Connecticut Technical High School System,9000016,,381.0,8892.0,14.6538461538,,42.8458017784
Cromwell School District,0330011,2016-17,1.0,0.0,0.0,1.0,100.0,Cromwell School District,0330011,D,69.0,1920.0,69.0,58.0794117647,42.8458017784
Derby School District,0370011,2016-17,2.0,0.0,0.0,2.0,100.0,Derby School District,0370011,H,52.0,1008.0,26.0,61.4247294739,42.8458017784
East Granby School District,0400011,2016-17,1.0,0.0,0.0,1.0,100.0,East Granby School District,0400011,D,0.0,467.0,0.0,58.0794117647,42.8458017784
East Haven School District,0440011,2016-17,7.0,0.0,0.0,7.0,100.0,East Haven School District,0440011,G,232.0,2739.0,33.1428571429,47.9808025308,42.8458017784
East Windsor School District,0470011,2016-17,2.0,0.0,0.0,2.0,100.0,East Windsor School District,0470011,F,28.0,705.0,14.0,41.8333333333,42.8458017784
Ellington School District,0480011,2016-17,1.0,0.0,0.0,1.0,100.0,Ellington School District,0480011,C,44.0,717.0,44.0,18.6,42.8458017784
Fairfield School District,0510011,2016-17,11.0,0.0,0.0,11.0,100.0,Fairfield School District,0510011,B,218.0,8203.0,19.8181818182,31.3010010823,42.8458017784
Farmington School District,0520011,2016-17,2.0,0.0,0.0,2.0,100.0,Farmington School District,0520011,B,123.0,3261.0,61.5,31.3010010823,42.8458017784
Glastonbury School District,0540011,2016-17,2.0,0.0,0.0,2.0,100.0,Glastonbury School District,0540011,B,93.0,4581.0,46.5,31.3010010823,42.8458017784
Groton School District,0590011,2016-17,2.0,0.0,0.0,2.0,100.0,Groton School District,0590011,G,93.0,2960.0,46.5,47.9808025308,42.8458017784
Hamden School District,0620011,2016-17,4.0,0.0,0.0,4.0,100.0,Hamden School District,0620011,G,312.0,5117.0,78.0,47.9808025308,42.8458017784
Interdistrict School for Arts and Comm District,2650013,2016-17,1.0,0.0,0.0,1.0,100.0,Interdistrict School for Arts and Comm District,2650013,,22.0,248.0,22.0,,42.8458017784
Madison School District,0760011,2016-17,1.0,0.0,0.0,1.0,100.0,Madison School District,0760011,B,0.0,46.0,0.0,31.3010010823,42.8458017784
Manchester School District,0770011,2016-17,4.0,0.0,0.0,4.0,100.0,Manchester School District,0770011,G,367.0,5729.0,91.75,47.9808025308,42.8458017784
Middletown School District,0830011,2016-17,5.0,0.0,0.0,5.0,100.0,Middletown School District,0830011,G,173.0,4158.0,34.6,47.9808025308,42.8458017784
Milford School District,0840011,2016-17,4.0,0.0,0.0,4.0,100.0,Milford School District,0840011,D,139.0,3523.0,34.75,58.0794117647,42.8458017784
Monroe School District,0850011,2016-17,2.0,0.0,0.0,2.0,100.0,Monroe School District,0850011,B,6.0,893.0,3.0,31.3010010823,42.8458017784
Montville School District,0860011,2016-17,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011,F,75.0,1285.0,37.5,41.8333333333,42.8458017784
Naugatuck School District,0880011,2016-17,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011,G,208.0,4045.0,69.3333333333,47.9808025308,42.8458017784
New Milford School District,0960011,2016-17,3.0,0.0,0.0,3.0,100.0,New Milford School District,0960011,D,131.0,4074.0,43.6666666667,58.0794117647,42.8458017784
Newington School District,0940011,2016-17,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011,D,200.0,3850.0,50.0,58.0794117647,42.8458017784
Newtown School District,0970011,2016-17,1.0,0.0,0.0,1.0,100.0,Newtown School District,0970011,B,0.0,810.0,0.0,31.3010010823,42.8458017784
North Branford School District,0990011,2016-17,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011,E,7.0,384.0,7.0,2.33333333333,42.8458017784
North Haven School District,1010011,2016-17,2.0,0.0,0.0,2.0,100.0,North Haven School District,1010011,D,97.0,3038.0,48.5,58.0794117647,42.8458017784
Norwich School District,1040011,2016-17,5.0,0.0,0.0,5.0,100.0,Norwich School District,1040011,H,557.0,2963.0,111.4,61.4247294739,42.8458017784
Orange School District,1070011,2016-17,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011,B,71.0,1094.0,35.5,31.3010010823,42.8458017784
Putnam School District,1160011,2016-17,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011,G,40.0,1127.0,40.0,47.9808025308,42.8458017784
Regional School District 10,2100012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012,C,20.0,423.0,20.0,18.6,42.8458017784
Regional School District 12,2120012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 12,2120012,C,6.0,450.0,6.0,18.6,42.8458017784
Regional School District 15,2150012,2016-17,2.0,0.0,0.0,2.0,100.0,Regional School District 15,2150012,B,28.0,1002.0,14.0,31.3010010823,42.8458017784
Regional School District 19,2190012,2016-17,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012,C,15.0,1158.0,15.0,18.6,42.8458017784
Ridgefield School District,1180011,2016-17,1.0,0.0,0.0,1.0,100.0,Ridgefield School District,1180011,A,45.0,1637.0,45.0,18.1666666667,42.8458017784
Rocky Hill School District,1190011,2016-17,1.0,0.0,0.0,1.0,100.0,Rocky Hill School District,1190011,D,189.0,2416.0,189.0,58.0794117647,42.8458017784
Shelton School District,1260011,2016-17,4.0,0.0,0.0,4.0,100.0,Shelton School District,1260011,D,226.0,4539.0,56.5,58.0794117647,42.8458017784
South Windsor School District,1320011,2016-17,3.0,0.0,0.0,3.0,100.0,South Windsor School District,1320011,B,174.0,3985.0,58.0,31.3010010823,42.8458017784
Southington School District,1310011,2016-17,2.0,0.0,0.0,2.0,100.0,Southington School District,1310011,D,101.0,5635.0,50.5,58.0794117647,42.8458017784
Stratford School District,1380011,2016-17,6.0,0.0,0.0,6.0,100.0,Stratford School District,1380011,G,362.0,6371.0,60.3333333333,47.9808025308,42.8458017784
The Gilbert School District,9020022,2016-17,4.0,0.0,0.0,4.0,100.0,The Gilbert School District,9020022,G,14.0,548.0,3.5,47.9808025308,42.8458017784
Trumbull School District,1440011,2016-17,6.0,0.0,0.0,6.0,100.0,Trumbull School District,1440011,B,127.0,5296.0,21.1666666667,31.3010010823,42.8458017784
Vernon School District,1460011,2016-17,3.0,0.0,0.0,3.0,100.0,Vernon School District,1460011,G,92.0,2267.0,30.6666666667,47.9808025308,42.8458017784
Waterford School District,1520011,2016-17,2.0,0.0,0.0,2.0,100.0,Waterford School District,1520011,D,49.0,2162.0,24.5,58.0794117647,42.8458017784
Watertown School District,1530011,2016-17,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011,D,80.0,2681.0,80.0,58.0794117647,42.8458017784
West Hartford School District,1550011,2016-17,16.0,0.0,0.0,16.0,100.0,West Hartford School District,1550011,B,513.0,9064.0,32.0625,31.3010010823,42.8458017784
Westport School District,1580011,2016-17,4.0,0.0,0.0,4.0,100.0,Westport School District,1580011,A,38.0,3765.0,9.5,18.1666666667,42.8458017784
Wethersfield School District,1590011,2016-17,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011,D,276.0,3274.0,138.0,58.0794117647,42.8458017784
Wilton School District,1610011,2016-17,2.0,0.0,0.0,2.0,100.0,Wilton School District,1610011,A,0.0,0.0,0.0,18.1666666667,42.8458017784
Winchester School District,1620011,2016-17,1.0,0.0,0.0,1.0,100.0,Winchester School District,1620011,G,44.0,492.0,44.0,47.9808025308,42.8458017784
Windsor Locks School District,1650011,2016-17,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011,F,74.0,1491.0,74.0,41.8333333333,42.8458017784
Windsor School District,1640011,2016-17,3.0,0.0,0.0,3.0,100.0,Windsor School District,1640011,D,132.0,3023.0,44.0,58.0794117647,42.8458017784
Woodstock Academy District,9030022,2016-17,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022,E,0.0,1065.0,0.0,2.33333333333,42.8458017784
