district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code,drg,yes,no,st_ratio,drg_ratio,state_ratio
Westbrook School District,1540011,2010-11,1.0,1.0,100.0,0.0,0.0,,1540011,E,19.0,317.0,19.0,10.75,39.2652236133
Windham School District,1630011,2010-11,19.0,15.0,78.9473684211,4.0,21.0526315789,Windham School District,1630011,I,829.0,2536.0,43.6315789474,33.9076822738,39.2652236133
Avon School District,0040011,2015-16,3.0,1.0,33.3333333333,2.0,66.6666666667,Avon School District,0040011,B,102.0,3127.0,34.0,21.7633673693,38.4636915997
Bridgeport School District,0150011,2015-16,61.0,25.0,40.9836065574,36.0,59.0163934426,Bridgeport School District,0150011,I,2963.0,17583.0,48.5737704918,48.8400277994,38.4636915997
Capitol Region Education Council,2410014,2015-16,6.0,3.0,50.0,3.0,50.0,Capitol Region Education Council,2410014,,393.0,7887.0,65.5,,38.4636915997
Connecticut Technical High School System,9000016,2015-16,29.0,3.0,10.3448275862,26.0,89.6551724138,Connecticut Technical High School System,9000016,,368.0,9062.0,12.6896551724,,38.4636915997
Danbury School District,0340011,2015-16,47.0,17.0,36.170212766,30.0,63.829787234,Danbury School District,0340011,H,2580.0,8557.0,54.8936170213,49.9817185376,38.4636915997
East Hartford School District,0430011,2015-16,15.0,6.0,40.0,9.0,60.0,East Hartford School District,0430011,H,624.0,6242.0,41.6,49.9817185376,38.4636915997
Greenwich School District,0570011,2015-16,23.0,1.0,4.34782608696,22.0,95.652173913,Greenwich School District,0570011,B,444.0,8327.0,19.3043478261,21.7633673693,38.4636915997
Hartford School District,0640011,2015-16,100.0,28.0,28.0,72.0,72.0,Hartford School District,0640011,I,3710.0,16858.0,37.1,48.8400277994,38.4636915997
Learn,2450014,2015-16,5.0,3.0,60.0,2.0,40.0,Learn,2450014,,165.0,1477.0,33.0,,38.4636915997
Meriden School District,0800011,2015-16,24.0,13.0,54.1666666667,11.0,45.8333333333,Meriden School District,0800011,H,1147.0,6695.0,47.7916666667,49.9817185376,38.4636915997
New Britain School District,0890011,2015-16,23.0,16.0,69.5652173913,7.0,30.4347826087,New Britain School District,0890011,I,1569.0,8294.0,68.2173913043,48.8400277994,38.4636915997
New Haven School District,0930011,2015-16,47.0,17.0,36.170212766,30.0,63.829787234,New Haven School District,0930011,I,3144.0,17904.0,66.8936170213,48.8400277994,38.4636915997
New London School District,0950011,2015-16,14.0,3.0,21.4285714286,11.0,78.5714285714,New London School District,0950011,I,795.0,2527.0,56.7857142857,48.8400277994,38.4636915997
Norwalk School District,1030011,2015-16,35.0,8.0,22.8571428571,27.0,77.1428571429,Norwalk School District,1030011,H,1579.0,9674.0,45.1142857143,49.9817185376,38.4636915997
Norwich School District,1040011,2015-16,6.0,1.0,16.6666666667,5.0,83.3333333333,Norwich School District,1040011,H,516.0,3053.0,86.0,49.9817185376,38.4636915997
Redding School District,1170011,2015-16,1.0,1.0,100.0,0.0,0.0,,1170011,A,14.0,466.0,14.0,18.3125,38.4636915997
Stamford School District,1350011,2015-16,75.0,24.0,32.0,51.0,68.0,Stamford School District,1350011,H,2000.0,13759.0,26.6666666667,49.9817185376,38.4636915997
Torrington School District,1430011,2015-16,11.0,1.0,9.09090909091,10.0,90.9090909091,Torrington School District,1430011,G,364.0,3786.0,33.0909090909,44.8491175491,38.4636915997
Wallingford School District,1480011,2015-16,15.0,4.0,26.6666666667,11.0,73.3333333333,Wallingford School District,1480011,D,329.0,5659.0,21.9333333333,54.29,38.4636915997
Waterbury School District,1510011,2015-16,67.0,31.0,46.2686567164,36.0,53.7313432836,Waterbury School District,1510011,I,2416.0,15775.0,36.0597014925,48.8400277994,38.4636915997
West Haven School District,1560011,2015-16,13.0,4.0,30.7692307692,9.0,69.2307692308,West Haven School District,1560011,H,751.0,4958.0,57.7692307692,49.9817185376,38.4636915997
Windham School District,1630011,2015-16,28.0,14.0,50.0,14.0,50.0,Windham School District,1630011,I,791.0,2469.0,28.25,48.8400277994,38.4636915997
Bridgeport School District,0150011,2016-17,70.0,35.0,50.0,35.0,50.0,Bridgeport School District,0150011,I,3104.0,17396.0,44.3428571429,47.0967830034,42.8458017784
Capitol Region Education Council,2410014,2016-17,10.0,3.0,30.0,7.0,70.0,Capitol Region Education Council,2410014,,456.0,8069.0,45.6,,42.8458017784
Danbury School District,0340011,2016-17,49.0,21.0,42.8571428571,28.0,57.1428571429,Danbury School District,0340011,H,2787.0,8478.0,56.8775510204,61.4247294739,42.8458017784
East Hartford School District,0430011,2016-17,15.0,6.0,40.0,9.0,60.0,East Hartford School District,0430011,H,660.0,5856.0,44.0,61.4247294739,42.8458017784
Greenwich School District,0570011,2016-17,24.0,1.0,4.16666666667,23.0,95.8333333333,Greenwich School District,0570011,B,448.0,8225.0,18.6666666667,31.3010010823,42.8458017784
Hartford School District,0640011,2016-17,96.0,31.0,32.2916666667,65.0,67.7083333333,Hartford School District,0640011,I,3765.0,16254.0,39.21875,47.0967830034,42.8458017784
Learn,2450014,2016-17,4.0,2.0,50.0,2.0,50.0,Learn,2450014,,199.0,1933.0,49.75,,42.8458017784
Meriden School District,0800011,2016-17,20.0,11.0,55.0,9.0,45.0,Meriden School District,0800011,H,1156.0,6600.0,57.8,61.4247294739,42.8458017784
New Britain School District,0890011,2016-17,22.0,15.0,68.1818181818,7.0,31.8181818182,New Britain School District,0890011,I,1560.0,8461.0,70.9090909091,47.0967830034,42.8458017784
New Haven School District,0930011,2016-17,44.0,15.0,34.0909090909,29.0,65.9090909091,New Haven School District,0930011,I,3310.0,18083.0,75.2272727273,47.0967830034,42.8458017784
New London School District,0950011,2016-17,23.0,8.0,34.7826086957,15.0,65.2173913043,New London School District,0950011,I,794.0,2712.0,34.5217391304,47.0967830034,42.8458017784
Norwalk School District,1030011,2016-17,18.0,3.0,16.6666666667,15.0,83.3333333333,Norwalk School District,1030011,H,1675.0,9398.0,93.0555555556,61.4247294739,42.8458017784
Stamford School District,1350011,2016-17,81.0,23.0,28.3950617284,58.0,71.6049382716,Stamford School District,1350011,H,2112.0,13784.0,26.0740740741,61.4247294739,42.8458017784
Torrington School District,1430011,2016-17,11.0,2.0,18.1818181818,9.0,81.8181818182,Torrington School District,1430011,G,375.0,3715.0,34.0909090909,47.9808025308,42.8458017784
Wallingford School District,1480011,2016-17,15.0,4.0,26.6666666667,11.0,73.3333333333,Wallingford School District,1480011,D,309.0,5564.0,20.6,58.0794117647,42.8458017784
Waterbury School District,1510011,2016-17,69.0,30.0,43.4782608696,39.0,56.5217391304,Waterbury School District,1510011,I,2537.0,15809.0,36.768115942,47.0967830034,42.8458017784
West Haven School District,1560011,2016-17,13.0,3.0,23.0769230769,10.0,76.9230769231,West Haven School District,1560011,H,749.0,4891.0,57.6153846154,61.4247294739,42.8458017784
Windham School District,1630011,2016-17,29.0,14.0,48.275862069,15.0,51.724137931,Windham School District,1630011,I,832.0,2461.0,28.6896551724,47.0967830034,42.8458017784
Ansonia School District,0020011,2010-11,3.0,0.0,0.0,3.0,100.0,Ansonia School District,0020011,H,73.0,2541.0,24.3333333333,54.9474999281,39.2652236133
Area Cooperative Educational Services,2440014,2010-11,1.0,0.0,0.0,1.0,100.0,Area Cooperative Educational Services,2440014,,44.0,1199.0,44.0,,39.2652236133
Ashford School District,0030011,2010-11,1.0,0.0,0.0,1.0,100.0,Ashford School District,0030011,E,9.0,467.0,9.0,10.75,39.2652236133
