"school_code","district_code","district","school","grade","test","2011_12","2012_13","2013_14","2014_15","2015_16"
"2880113","2880013","Achievement First Hartford Academy Inc. District","Achievement First Hartford Academy Inc.","All Grades","All Tests - School","19.8","32.3","29.5","39.6","36.9"
"2795113","2790013","Amistad Academy District","Amistad Academy","All Grades","All Tests - School","13.7","16.5","18.5","11.3","23.0"
"0010111","0010011","Andover School District","Andover Elementary School","All Grades","All Tests - School","52.8","69.2","51.6","67.1","76.7"
"0026111","0020011","Ansonia School District","Ansonia High School","All Grades","All Tests - School","63.6","43.0","60.5","44.9","69.9"
"0025111","0020011","Ansonia School District","Ansonia Middle School","All Grades","All Tests - School","35.5","45.3","41.9","26.1","36.6"
"0020311","0020011","Ansonia School District","Mead School","All Grades","All Tests - School","26.1","32.6","19.9","38.8","32.7"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","All Grades","All Tests - School","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","All Grades","All Tests - School","30.7","30.7","23.6","43.3","38.1"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","All Grades","All Tests - School","","","","32.3","8.5"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","All Grades","All Tests - School","44.8","41.1","37.9","42.5","45.4"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","All Grades","All Tests - School","","","","0.0","0.0"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","All Grades","All Tests - School","","","","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","All Grades","All Tests - School","","","","","0.0"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","All Grades","All Tests - School","35.0","31.3","32.5","16.7","22.4"
"0030111","0030011","Ashford School District","Ashford School","All Grades","All Tests - School","47.4","51.7","45.6","47.9","11.0"
"0046111","0040011","Avon School District","Avon High School","All Grades","All Tests - School","49.6","49.4","52.1","46.5","52.0"
"0045111","0040011","Avon School District","Avon Middle School","All Grades","All Tests - School","38.0","55.1","54.6","59.8","51.2"
"0040411","0040011","Avon School District","Pine Grove School","All Grades","All Tests - School","52.6","53.6","33.9","62.5","61.1"
"0040311","0040011","Avon School District","Roaring Brook School","All Grades","All Tests - School","64.7","53.7","58.4","50.0","53.8"
"0040511","0040011","Avon School District","Thompson Brook School","All Grades","All Tests - School","64.7","75.2","75.2","76.9","78.3"
"0050111","0050011","Barkhamsted School District","Barkhamsted Elementary School","All Grades","All Tests - School","50.6","50.4","44.3","45.4","49.5"
"0076111","0070011","Berlin School District","Berlin High School","All Grades","All Tests - School","46.6","64.5","56.1","63.8","49.3"
"0075111","0070011","Berlin School District","Catherine M. McGee Middle School","All Grades","All Tests - School","59.7","58.5","54.2","60.0","52.5"
"0070411","0070011","Berlin School District","Emma Hart Willard School","All Grades","All Tests - School","65.3","82.2","70.7","74.1","69.5"
"0070511","0070011","Berlin School District","Mary E. Griswold School","All Grades","All Tests - School","70.8","62.5","80.2","76.5","75.9"
"0070111","0070011","Berlin School District","Richard D. Hubbard School","All Grades","All Tests - School","75.0","57.1","77.1","69.1","71.4"
"0080111","0080011","Bethany School District","Bethany Community School","All Grades","All Tests - School","32.2","26.9","20.0","33.3","48.7"
"0096111","0090011","Bethel School District","Bethel High School","All Grades","All Tests - School","52.1","50.3","42.4","41.4","45.7"
"0095111","0090011","Bethel School District","Bethel Middle School","All Grades","All Tests - School","58.5","55.6","48.8","45.1","43.0"
"0090511","0090011","Bethel School District","Ralph M. T. Johnson School","All Grades","All Tests - School","48.3","26.5","40.7","24.9","52.8"
"0116111","0110011","Bloomfield School District","Bloomfield High School","All Grades","All Tests - School","64.0","57.5","63.2","65.8","60.3"
"0110711","0110011","Bloomfield School District","Carmen Arace Intermediate School","All Grades","All Tests - School","55.7","51.5","46.5","36.6","44.0"
"0115211","0110011","Bloomfield School District","Carmen Arace Middle School","All Grades","All Tests - School","42.9","56.6","40.2","36.9","46.3"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","All Grades","All Tests - School","","22.4","29.0","66.3","70.4"
"0110511","0110011","Bloomfield School District","Metacomet School","All Grades","All Tests - School","31.5","24.4","24.4","21.3","46.4"
"0120111","0120011","Bolton School District","Bolton Center School","All Grades","All Tests - School","61.5","57.8","53.6","58.6","51.2"
"0126111","0120011","Bolton School District","Bolton High School","All Grades","All Tests - School","80.2","75.3","70.0","70.7","60.9"
"0130111","0130011","Bozrah School District","Fields Memorial School","All Grades","All Tests - School","70.1","68.7","62.7","77.6","72.1"
"0146111","0140011","Branford School District","Branford High School","All Grades","All Tests - School","41.6","64.7","50.9","41.3","55.9"
"0140211","0140011","Branford School District","Branford High School Horizons Program","All Grades","All Tests - School","","","","","0.0"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","All Grades","All Tests - School","47.2","45.4","49.9","44.5","43.5"
"0141611","0140011","Branford School District","John B. Sliney School","All Grades","All Tests - School","25.7","59.2","60.9","48.5","60.6"
"0141511","0140011","Branford School District","Mary R. Tisko School","All Grades","All Tests - School","57.0","59.7","59.7","69.3","45.5"
"0141411","0140011","Branford School District","Mary T. Murphy School","All Grades","All Tests - School","43.0","56.0","57.9","55.1","54.8"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","All Grades","All Tests - School","19.3","13.0","15.9","32.9","43.3"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","All Grades","All Tests - School","","","","*",""
"0150111","0150011","Bridgeport School District","Barnum School","All Grades","All Tests - School","55.9","67.3","59.5","55.9","28.3"
