district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Litchfield School District,Litchfield High School,ELL,,*,,*,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Non-ELL,98.0,*,95.5,*,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,ELL,*,,*,,,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Non-ELL,*,*,*,99.0,98.0,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,ELL,*,73.9,*,*,82.6,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Non-ELL,*,78.9,87.8,86.6,90.9,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,ELL,52.0,51.3,46.3,68.3,62.2,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Non-ELL,73.6,76.9,77.6,76.7,77.2,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,ELL,47.8,43.5,*,75.8,60.9,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Non-ELL,71.4,71.5,81.3,76.8,73.9,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,ELL,*,*,*,*,*,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Non-ELL,*,83.8,*,95.1,*,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,ELL,*,*,,*,*,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Non-ELL,81.2,80.6,89.3,91.0,96.3,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,ELL,*,*,*,*,*,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Non-ELL,90.9,90.5,*,96.5,99.1,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,ELL,,,,,*,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Non-ELL,*,97.7,98.0,100.0,*,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,ELL,*,*,*,*,*,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Non-ELL,88.5,88.7,*,*,95.6,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,ELL,*,*,*,*,*,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Non-ELL,*,79.6,82.3,85.2,*,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,ELL,47.0,56.3,50.0,60.9,61.1,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Non-ELL,67.0,65.4,68.2,72.2,78.9,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,ELL,*,*,,*,*,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Non-ELL,*,*,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,ELL,*,*,*,,,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Non-ELL,*,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,ELL,*,*,*,*,*,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Non-ELL,90.9,89.4,94.4,95.0,94.9,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,ELL,,,,,*,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Non-ELL,,,,94.8,92.5,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,ELL,*,*,*,*,*,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Non-ELL,53.6,59.1,47.2,45.6,50.0,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,ELL,*,*,*,*,*,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Non-ELL,90.5,92.1,88.8,92.2,85.4,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",ELL,*,*,*,*,*,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Non-ELL,77.3,77.1,91.7,91.7,100.0,,,
New Haven School District,James Hillhouse High School,ELL,46.2,37.0,59.3,71.0,67.4,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Non-ELL,55.9,60.1,70.5,70.5,82.8,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,ELL,*,*,*,*,*,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Non-ELL,82.1,85.1,93.1,91.7,91.7,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,ELL,*,*,,*,*,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Non-ELL,66.7,71.4,84.6,74.6,71.7,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,ELL,*,*,*,*,,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Non-ELL,92.6,92.1,92.9,90.1,97.3,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,ELL,65.8,58.1,63.5,54.9,70.8,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Non-ELL,69.8,65.8,65.4,69.8,78.4,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,ELL,61.5,65.5,63.2,59.1,70.0,0956111,New London High School,New London School District
New London School District,New London High School,Non-ELL,65.9,64.6,74.6,81.9,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Non-ELL,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,ELL,*,*,*,*,*,0966111,New Milford High School,New Milford School District
New Milford School District,New Milford High School,Non-ELL,*,*,*,*,*,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,ELL,*,*,*,*,*,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Non-ELL,*,*,*,*,*,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,ELL,*,,*,*,,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Non-ELL,*,94.4,*,*,96.2,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,ELL,*,*,*,*,,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Non-ELL,*,*,*,*,92.3,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,ELL,*,*,*,*,*,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Non-ELL,*,*,*,*,*,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,ELL,,,,,*,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Non-ELL,87.0,*,*,92.2,*,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,ELL,*,75.0,67.6,77.3,88.2,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Non-ELL,90.7,90.6,*,97.0,96.9,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,ELL,*,*,76.9,*,*,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Non-ELL,87.6,92.1,92.8,91.9,92.6,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,ELL,*,*,*,*,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Non-ELL,30.0,18.2,*,44.7,60.0,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,ELL,63.3,*,87.1,81.1,79.3,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Non-ELL,87.2,*,87.7,89.3,85.9,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,Non-ELL,17.1,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,ELL,*,*,*,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Non-ELL,*,*,*,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,ELL,,*,*,*,*,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Non-ELL,91.8,*,*,*,*,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,ELL,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Non-ELL,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,ELL,*,*,*,*,*,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Non-ELL,*,*,*,*,*,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,ELL,*,*,*,,*,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Non-ELL,*,*,*,89.8,*,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,ELL,,*,*,*,*,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Non-ELL,84.2,*,*,*,*,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,ELL,*,*,*,*,,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Non-ELL,*,*,*,*,*,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,ELL,*,,*,,*,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Non-ELL,*,80.4,*,*,*,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,ELL,,*,,*,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Non-ELL,95.6,*,89.2,*,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,ELL,*,,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Non-ELL,*,95.7,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,ELL,*,*,*,*,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Non-ELL,*,*,*,*,95.9,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,ELL,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Non-ELL,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,ELL,*,,,,,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Non-ELL,*,97.1,*,*,98.8,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,ELL,*,,*,,,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Non-ELL,*,*,*,92.9,93.7,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,Non-ELL,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,ELL,*,*,*,,,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Non-ELL,*,*,*,98.0,97.6,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,ELL,,*,,,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Non-ELL,96.5,*,94.8,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,ELL,,,,,,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Non-ELL,95.1,*,92.3,100.0,83.9,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,ELL,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Non-ELL,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,ELL,,,,,,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Non-ELL,,,*,97.1,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,ELL,,*,,,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Non-ELL,*,*,96.2,100.0,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,ELL,*,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Non-ELL,*,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,ELL,*,*,*,*,,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Non-ELL,*,*,*,*,97.1,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,ELL,*,*,,,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Non-ELL,*,*,94.9,96.3,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,ELL,,*,*,,,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Non-ELL,93.7,*,*,97.0,95.2,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,ELL,,*,,,,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Non-ELL,*,*,97.2,95.5,96.1,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,ELL,*,*,*,*,*,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Non-ELL,*,*,*,*,*,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,ELL,,*,*,*,*,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Non-ELL,98.4,*,*,*,*,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,ELL,*,*,*,*,*,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Non-ELL,*,*,92.0,*,*,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,ELL,*,*,*,*,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Non-ELL,*,*,*,*,*,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,ELL,*,*,*,*,*,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Non-ELL,*,*,*,*,94.6,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,ELL,*,,*,*,*,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Non-ELL,*,98.0,*,*,*,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,ELL,*,*,,,,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Non-ELL,*,*,*,95.3,94.2,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,ELL,*,*,*,*,*,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Non-ELL,*,*,*,*,*,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,ELL,*,*,*,*,*,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Non-ELL,*,91.1,*,*,*,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,ELL,,*,*,,,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Non-ELL,87.9,*,*,94.4,92.7,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,ELL,*,*,,*,*,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Non-ELL,*,*,24.6,38.1,*,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,ELL,*,*,78.9,*,*,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Non-ELL,86.6,90.8,92.2,90.4,93.5,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,ELL,*,*,,*,*,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Non-ELL,98.2,99.4,98.8,98.7,98.2,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,ELL,58.1,70.4,73.8,*,75.8,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Non-ELL,87.4,88.6,90.1,91.3,91.8,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,ELL,,*,,,*,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Non-ELL,94.4,*,94.8,92.3,*,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,ELL,*,*,,*,*,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Non-ELL,87.4,94.0,97.9,96.0,96.0,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,ELL,*,*,*,*,*,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Non-ELL,90.5,91.0,*,92.0,92.4,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,ELL,,,*,,,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Non-ELL,92.1,93.6,*,96.2,94.3,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,ELL,,,,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Non-ELL,76.2,88.6,88.2,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,ELL,*,*,*,*,*,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Non-ELL,*,*,*,*,*,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,ELL,*,*,,,,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Non-ELL,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,ELL,,,,,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Non-ELL,85.9,90.6,91.7,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,ELL,,,,,,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Non-ELL,97.4,94.2,92.0,97.5,98.0,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,ELL,*,*,*,78.3,*,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Non-ELL,80.7,86.8,87.3,88.5,86.3,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,ELL,*,*,*,*,*,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Non-ELL,*,*,*,98.7,*,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,ELL,*,*,*,*,*,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Non-ELL,*,83.3,*,*,*,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,ELL,*,*,*,*,*,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Non-ELL,93.7,92.3,91.1,93.5,95.0,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,ELL,*,,,*,*,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Non-ELL,95.0,93.6,*,95.8,94.3,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,ELL,50.0,65.3,*,55.7,65.0,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Non-ELL,61.6,65.2,73.7,72.4,75.8,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,ELL,59.6,60.0,*,57.1,*,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Non-ELL,65.9,70.9,74.0,73.5,77.6,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),ELL,,*,*,*,*,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Non-ELL,95.3,86.4,96.6,93.1,94.7,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,ELL,51.9,*,39.3,*,*,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Non-ELL,65.0,74.0,70.6,74.4,78.0,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,ELL,*,*,*,*,*,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Non-ELL,*,*,*,*,*,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,ELL,*,*,*,*,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Non-ELL,*,*,*,*,*,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,ELL,*,79.2,*,83.9,*,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Non-ELL,93.8,95.7,96.7,96.1,96.6,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,ELL,85.0,*,*,*,*,1556211,Hall High School,West Hartford School District
West Hartford School District,Hall High School,Non-ELL,95.7,96.5,97.8,97.4,99.7,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,ELL,,,,,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Non-ELL,,,,*,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,ELL,75.0,55.6,*,80.5,82.4,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Non-ELL,73.5,71.8,*,79.1,82.5,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,ELL,,,,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Non-ELL,91.5,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,ELL,,,*,,,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Non-ELL,100.0,*,*,96.4,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,ELL,*,*,*,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Non-ELL,*,*,*,*,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,ELL,*,*,*,*,*,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Non-ELL,*,92.5,*,92.6,*,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,ELL,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Non-ELL,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,ELL,60.5,59.0,66.7,83.3,77.8,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Non-ELL,77.1,80.5,76.1,80.6,90.7,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,ELL,*,*,*,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Non-ELL,*,*,*,*,*,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,ELL,*,*,*,*,*,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Non-ELL,*,*,*,*,*,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,ELL,,,*,,*,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Non-ELL,93.6,94.1,*,97.7,*,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,ELL,*,*,,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Non-ELL,*,*,96.7,*,*,9036122,Woodstock Academy,Woodstock Academy District
