district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code
Middletown School District,0830011,2010-11,3.0,0.0,0.0,3.0,100.0,Middletown School District,0830011
Milford School District,0840011,2010-11,3.0,0.0,0.0,3.0,100.0,Milford School District,0840011
Montville School District,0860011,2010-11,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011
Naugatuck School District,0880011,2010-11,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011
New Canaan School District,0900011,2010-11,1.0,0.0,0.0,1.0,100.0,New Canaan School District,0900011
New Milford School District,0960011,2010-11,2.0,0.0,0.0,2.0,100.0,New Milford School District,0960011
Newington School District,0940011,2010-11,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011
North Branford School District,0990011,2010-11,1.0,0.0,0.0,1.0,100.0,North Branford School District,0990011
North Haven School District,1010011,2010-11,2.0,0.0,0.0,2.0,100.0,North Haven School District,1010011
Orange School District,1070011,2010-11,2.0,0.0,0.0,2.0,100.0,Orange School District,1070011
Plymouth School District,1110011,2010-11,1.0,0.0,0.0,1.0,100.0,Plymouth School District,1110011
Putnam School District,1160011,2010-11,1.0,0.0,0.0,1.0,100.0,Putnam School District,1160011
Regional School District 05,2050012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 05,2050012
Regional School District 10,2100012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 10,2100012
Regional School District 15,2150012,2010-11,3.0,0.0,0.0,3.0,100.0,Regional School District 15,2150012
Regional School District 19,2190012,2010-11,1.0,0.0,0.0,1.0,100.0,Regional School District 19,2190012
Rensselaer at Hartford,,2010-11,1.0,0.0,0.0,1.0,100.0,,
Southington School District,1310011,2010-11,1.0,0.0,0.0,1.0,100.0,Southington School District,1310011
Stafford School District,1340011,2010-11,1.0,0.0,0.0,1.0,100.0,Stafford School District,1340011
Stratford School District,1380011,2010-11,5.0,0.0,0.0,5.0,100.0,Stratford School District,1380011
The Gilbert School District,9020022,2010-11,1.0,0.0,0.0,1.0,100.0,The Gilbert School District,9020022
Trumbull School District,1440011,2010-11,5.0,0.0,0.0,5.0,100.0,Trumbull School District,1440011
Unified School District #1,,2010-11,9.0,0.0,0.0,9.0,100.0,,
Vernon School District,1460011,2010-11,4.0,0.0,0.0,4.0,100.0,Vernon School District,1460011
Waterford School District,1520011,2010-11,1.0,0.0,0.0,1.0,100.0,Waterford School District,1520011
Watertown School District,1530011,2010-11,1.0,0.0,0.0,1.0,100.0,Watertown School District,1530011
