district,language,students,els,district_code,check_dist_col
Granby School District,Mandarin,6,<=5,0560011,Granby School District
Greenwich School District,Spanish,915,291,0570011,Greenwich School District
Greenwich School District,Portuguese,129,30,0570011,Greenwich School District
Greenwich School District,Italian,19,7,0570011,Greenwich School District
Greenwich School District,Polish,24,7,0570011,Greenwich School District
Greenwich School District,Greek,6,<=5,0570011,Greenwich School District
Greenwich School District,Albanian,12,<=5,0570011,Greenwich School District
Greenwich School District,Arabic,7,<=5,0570011,Greenwich School District
Greenwich School District,Armenian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Bulgarian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Danish,11,<=5,0570011,Greenwich School District
Greenwich School District,Dutch,27,8,0570011,Greenwich School District
Greenwich School District,Farsi,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Finnish,<=5,<=5,0570011,Greenwich School District
Greenwich School District,French,33,6,0570011,Greenwich School District
Greenwich School District,German,18,<=5,0570011,Greenwich School District
Greenwich School District,Gujarati,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Creole-Haitian,11,7,0570011,Greenwich School District
Greenwich School District,Hindi,9,<=5,0570011,Greenwich School District
Greenwich School District,Hungarian,8,<=5,0570011,Greenwich School District
Greenwich School District,Icelandic,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Konkani,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Japanese,225,140,0570011,Greenwich School District
Greenwich School District,Korean,12,<=5,0570011,Greenwich School District
Greenwich School District,Hebrew,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Malayalam,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Marathi,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Norwegian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Rumanian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Russian,37,14,0570011,Greenwich School District
Greenwich School District,Serbo-Croatian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Slovak,6,<=5,0570011,Greenwich School District
Greenwich School District,Swedish,26,<=5,0570011,Greenwich School District
Greenwich School District,Pilipino (Filipino),10,6,0570011,Greenwich School District
Greenwich School District,Tamil,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Telugu,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Turkish,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Ukrainian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Urdu,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Cantonese,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Catalan,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Kinyarwanda,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Luganda,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Mandarin,71,15,0570011,Greenwich School District
Greenwich School District,Tibetan,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Visayan,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Persian,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Fujianese,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Mandingo,<=5,<=5,0570011,Greenwich School District
Greenwich School District,Tagalog,23,7,0570011,Greenwich School District
Greenwich School District,Georgian,<=5,<=5,0570011,Greenwich School District
Griswold School District,Spanish,16,6,0580011,Griswold School District
Griswold School District,Albanian,<=5,<=5,0580011,Griswold School District
Griswold School District,French,<=5,<=5,0580011,Griswold School District
Griswold School District,Gujarati,11,7,0580011,Griswold School District
Griswold School District,Creole-Haitian,<=5,<=5,0580011,Griswold School District
Griswold School District,Hindi,<=5,<=5,0580011,Griswold School District
Griswold School District,Japanese,<=5,<=5,0580011,Griswold School District
Griswold School District,Bangla,<=5,<=5,0580011,Griswold School District
Griswold School District,Cantonese,<=5,<=5,0580011,Griswold School District
Griswold School District,Mandarin,<=5,<=5,0580011,Griswold School District
Groton School District,Spanish,201,63,0590011,Groton School District
Groton School District,Portuguese,<=5,<=5,0590011,Groton School District
Groton School District,Hmong,<=5,<=5,0590011,Groton School District
Groton School District,Italian,<=5,<=5,0590011,Groton School District
Groton School District,Albanian,<=5,<=5,0590011,Groton School District
Groton School District,Arabic,12,6,0590011,Groton School District
Groton School District,Bengali,<=5,<=5,0590011,Groton School District
Groton School District,French,<=5,<=5,0590011,Groton School District
Groton School District,German,<=5,<=5,0590011,Groton School District
Groton School District,Gujarati,17,<=5,0590011,Groton School District
Groton School District,Creole-Haitian,<=5,<=5,0590011,Groton School District
Groton School District,Hausa,<=5,<=5,0590011,Groton School District
Groton School District,Hindi,8,<=5,0590011,Groton School District
Groton School District,Japanese,<=5,<=5,0590011,Groton School District
Groton School District,Kannada,<=5,<=5,0590011,Groton School District
Groton School District,Korean,<=5,<=5,0590011,Groton School District
Groton School District,Malayalam,<=5,<=5,0590011,Groton School District
Groton School District,Pashto,<=5,<=5,0590011,Groton School District
Groton School District,Russian,<=5,<=5,0590011,Groton School District
Groton School District,Pilipino (Filipino),16,<=5,0590011,Groton School District
Groton School District,Tamil,<=5,<=5,0590011,Groton School District
Groton School District,Telugu,11,<=5,0590011,Groton School District
Groton School District,Thai,<=5,<=5,0590011,Groton School District
Groton School District,Turkish,6,<=5,0590011,Groton School District
Groton School District,Urdu,16,<=5,0590011,Groton School District
Groton School District,Vietnamese,<=5,<=5,0590011,Groton School District
Groton School District,Burmese,<=5,<=5,0590011,Groton School District
Groton School District,Cantonese,10,<=5,0590011,Groton School District
Groton School District,Cebuano,<=5,<=5,0590011,Groton School District
Groton School District,Mandarin,12,<=5,0590011,Groton School District
Groton School District,Tulu,<=5,<=5,0590011,Groton School District
Groton School District,Visayan,<=5,<=5,0590011,Groton School District
Groton School District,Persian,<=5,<=5,0590011,Groton School District
Groton School District,Fujianese,<=5,<=5,0590011,Groton School District
Groton School District,Creole-Jaotoam,<=5,<=5,0590011,Groton School District
Groton School District,Morphlokese,<=5,<=5,0590011,Groton School District
Groton School District,Tagalog,24,7,0590011,Groton School District
Guilford School District,Spanish,44,13,0600011,Guilford School District
Guilford School District,Italian,<=5,<=5,0600011,Guilford School District
Guilford School District,Polish,<=5,<=5,0600011,Guilford School District
Guilford School District,Greek,<=5,<=5,0600011,Guilford School District
Guilford School District,Arabic,12,6,0600011,Guilford School District
Guilford School District,French,8,<=5,0600011,Guilford School District
Guilford School District,German,<=5,<=5,0600011,Guilford School District
Guilford School District,Gujarati,<=5,<=5,0600011,Guilford School District
Guilford School District,Hausa,<=5,<=5,0600011,Guilford School District
Guilford School District,Japanese,<=5,<=5,0600011,Guilford School District
Guilford School District,Korean,<=5,<=5,0600011,Guilford School District
Guilford School District,Russian,<=5,<=5,0600011,Guilford School District
Guilford School District,Serbo-Croatian,<=5,<=5,0600011,Guilford School District
Guilford School District,Swedish,<=5,<=5,0600011,Guilford School District
Guilford School District,Tamil,<=5,<=5,0600011,Guilford School District
Guilford School District,Ukrainian,<=5,<=5,0600011,Guilford School District
Guilford School District,Urdu,<=5,<=5,0600011,Guilford School District
Guilford School District,Vietnamese,<=5,<=5,0600011,Guilford School District
Guilford School District,Mandarin,29,<=5,0600011,Guilford School District
Guilford School District,Tagalog,<=5,<=5,0600011,Guilford School District
Hamden School District,Spanish,373,115,0620011,Hamden School District
Hamden School District,Portuguese,6,<=5,0620011,Hamden School District
Hamden School District,Khmer(Cambodian),<=5,<=5,0620011,Hamden School District
Hamden School District,Italian,10,<=5,0620011,Hamden School District
Hamden School District,Polish,6,<=5,0620011,Hamden School District
Hamden School District,Greek,<=5,<=5,0620011,Hamden School District
Hamden School District,Afrikaans,<=5,<=5,0620011,Hamden School District
Hamden School District,Arabic,59,35,0620011,Hamden School District
Hamden School District,Bengali,<=5,<=5,0620011,Hamden School District
Hamden School District,Dari,<=5,<=5,0620011,Hamden School District
Hamden School District,Czech,<=5,<=5,0620011,Hamden School District
Hamden School District,Dutch,<=5,<=5,0620011,Hamden School District
Hamden School District,Farsi,<=5,<=5,0620011,Hamden School District
Hamden School District,French,14,<=5,0620011,Hamden School District
Hamden School District,German,<=5,<=5,0620011,Hamden School District
Hamden School District,Gujarati,11,<=5,0620011,Hamden School District
Hamden School District,Creole-Haitian,<=5,<=5,0620011,Hamden School District
Hamden School District,Hindi,22,<=5,0620011,Hamden School District
Hamden School District,Hungarian,<=5,<=5,0620011,Hamden School District
Hamden School District,Japanese,9,<=5,0620011,Hamden School District
Hamden School District,Kannada,<=5,<=5,0620011,Hamden School District
Hamden School District,Korean,26,12,0620011,Hamden School District
Hamden School District,Hebrew,7,<=5,0620011,Hamden School District
Hamden School District,Malay(Indonesian),<=5,<=5,0620011,Hamden School District
Hamden School District,Malayalam,<=5,<=5,0620011,Hamden School District
Hamden School District,Pashto,<=5,<=5,0620011,Hamden School District
Hamden School District,Punjabi,10,<=5,0620011,Hamden School District
Hamden School District,Pushto,<=5,<=5,0620011,Hamden School District
Hamden School District,Rumanian,<=5,<=5,0620011,Hamden School District
Hamden School District,Russian,22,<=5,0620011,Hamden School District
Hamden School District,Serbo-Croatian,<=5,<=5,0620011,Hamden School District
Hamden School District,Singhalese,<=5,<=5,0620011,Hamden School District
Hamden School District,Swahili,<=5,<=5,0620011,Hamden School District
Hamden School District,Pilipino (Filipino),10,<=5,0620011,Hamden School District
Hamden School District,Tamil,<=5,<=5,0620011,Hamden School District
Hamden School District,Telugu,9,<=5,0620011,Hamden School District
Hamden School District,Thai,8,<=5,0620011,Hamden School District
Hamden School District,Turkish,13,6,0620011,Hamden School District
Hamden School District,Twi/Fante,<=5,<=5,0620011,Hamden School District
Hamden School District,Ukrainian,<=5,<=5,0620011,Hamden School District
Hamden School District,Urdu,55,20,0620011,Hamden School District
Hamden School District,Vietnamese,17,6,0620011,Hamden School District
Hamden School District,Amharic,<=5,<=5,0620011,Hamden School District
Hamden School District,Igbo,<=5,<=5,0620011,Hamden School District
Hamden School District,Bangla,9,<=5,0620011,Hamden School District
Hamden School District,Cantonese,12,<=5,0620011,Hamden School District
Hamden School District,Ewe,<=5,<=5,0620011,Hamden School District
Hamden School District,Kurdish,<=5,<=5,0620011,Hamden School District
Hamden School District,Mandarin,49,14,0620011,Hamden School District
Hamden School District,Oriya,<=5,<=5,0620011,Hamden School District
Hamden School District,Slovenian,<=5,<=5,0620011,Hamden School District
Hamden School District,Tibetan,6,<=5,0620011,Hamden School District
Hamden School District,Visayan,<=5,<=5,0620011,Hamden School District
Hamden School District,Wolof,<=5,<=5,0620011,Hamden School District
Hamden School District,Persian,<=5,<=5,0620011,Hamden School District
Hamden School District,Fujianese,<=5,<=5,0620011,Hamden School District
Hamden School District,Patois,<=5,<=5,0620011,Hamden School District
Hamden School District,Tagalog,11,<=5,0620011,Hamden School District
Hamden School District,Uzbek,7,<=5,0620011,Hamden School District
Hartford School District,None,18,<=5,0640011,Hartford School District
Hartford School District,Spanish,7305,3280,0640011,Hartford School District
Hartford School District,Portuguese,91,40,0640011,Hartford School District
Hartford School District,Lao,<=5,<=5,0640011,Hartford School District
Hartford School District,Khmer(Cambodian),<=5,<=5,0640011,Hartford School District
Hartford School District,Italian,6,<=5,0640011,Hartford School District
Hartford School District,Polish,52,7,0640011,Hartford School District
Hartford School District,Greek,7,<=5,0640011,Hartford School District
Hartford School District,Afrikaans,6,<=5,0640011,Hartford School District
Hartford School District,Albanian,66,22,0640011,Hartford School District
Hartford School District,Arabic,74,41,0640011,Hartford School District
Hartford School District,Bengali,23,7,0640011,Hartford School District
Hartford School District,Danish,<=5,<=5,0640011,Hartford School District
Hartford School District,Dutch,<=5,<=5,0640011,Hartford School District
Hartford School District,Farsi,<=5,<=5,0640011,Hartford School District
Hartford School District,French,47,24,0640011,Hartford School District
Hartford School District,Ganda,<=5,<=5,0640011,Hartford School District
Hartford School District,German,<=5,<=5,0640011,Hartford School District
Hartford School District,Gujarati,10,<=5,0640011,Hartford School District
Hartford School District,Creole-Haitian,57,32,0640011,Hartford School District
Hartford School District,Hindi,45,13,0640011,Hartford School District
Hartford School District,Icelandic,<=5,<=5,0640011,Hartford School District
Hartford School District,Konkani,<=5,<=5,0640011,Hartford School District
Hartford School District,Japanese,<=5,<=5,0640011,Hartford School District
Hartford School District,Kannada,6,<=5,0640011,Hartford School District
Hartford School District,Kongo,<=5,<=5,0640011,Hartford School District
Hartford School District,Korean,10,<=5,0640011,Hartford School District
Hartford School District,Macedonian,<=5,<=5,0640011,Hartford School District
Hartford School District,Malay(Indonesian),<=5,<=5,0640011,Hartford School District
Hartford School District,Malayalam,10,<=5,0640011,Hartford School District
Hartford School District,Marathi,14,<=5,0640011,Hartford School District
Hartford School District,Punjabi,7,<=5,0640011,Hartford School District
Hartford School District,Akan,<=5,<=5,0640011,Hartford School District
Hartford School District,Rumanian,<=5,<=5,0640011,Hartford School District
Hartford School District,Russian,23,6,0640011,Hartford School District
Hartford School District,Serbo-Croatian,211,52,0640011,Hartford School District
Hartford School District,Singhalese,<=5,<=5,0640011,Hartford School District
Hartford School District,Somali,15,11,0640011,Hartford School District
Hartford School District,Swahili,14,8,0640011,Hartford School District
Hartford School District,Swedish,<=5,<=5,0640011,Hartford School District
Hartford School District,Pilipino (Filipino),6,<=5,0640011,Hartford School District
Hartford School District,Tamil,43,9,0640011,Hartford School District
Hartford School District,Telugu,50,<=5,0640011,Hartford School District
Hartford School District,Turkish,17,<=5,0640011,Hartford School District
Hartford School District,Twi/Fante,23,7,0640011,Hartford School District
Hartford School District,Ukrainian,<=5,<=5,0640011,Hartford School District
Hartford School District,Urdu,32,9,0640011,Hartford School District
Hartford School District,Yoruba,<=5,<=5,0640011,Hartford School District
Hartford School District,Vietnamese,52,18,0640011,Hartford School District
Hartford School District,Amharic,<=5,<=5,0640011,Hartford School District
Hartford School District,Igbo,15,<=5,0640011,Hartford School District
Hartford School District,Creole-Cape Verdean,<=5,<=5,0640011,Hartford School District
Hartford School District,Nepali,29,25,0640011,Hartford School District
Hartford School District,Zulu,<=5,<=5,0640011,Hartford School District
Hartford School District,Baluchi,<=5,<=5,0640011,Hartford School District
Hartford School District,Bangla,13,6,0640011,Hartford School District
Hartford School District,Basa,<=5,<=5,0640011,Hartford School District
Hartford School District,Berber,<=5,<=5,0640011,Hartford School District
Hartford School District,Burmese,36,27,0640011,Hartford School District
Hartford School District,Edo,<=5,<=5,0640011,Hartford School District
Hartford School District,Ewe,<=5,<=5,0640011,Hartford School District
Hartford School District,Fante,6,<=5,0640011,Hartford School District
Hartford School District,Ilocano,<=5,<=5,0640011,Hartford School District
Hartford School District,Kurdish,<=5,<=5,0640011,Hartford School District
Hartford School District,Luganda,<=5,<=5,0640011,Hartford School District
Hartford School District,Malinke,<=5,<=5,0640011,Hartford School District
Hartford School District,Mandarin,13,<=5,0640011,Hartford School District
Hartford School District,Mende,<=5,<=5,0640011,Hartford School District
Hartford School District,Oriya,<=5,<=5,0640011,Hartford School District
Hartford School District,Slovenian,<=5,<=5,0640011,Hartford School District
Hartford School District,Wolof,<=5,<=5,0640011,Hartford School District
Hartford School District,Epernot,<=5,<=5,0640011,Hartford School District
Hartford School District,Creole-Jaotoam,<=5,<=5,0640011,Hartford School District
Hartford School District,Karen,160,134,0640011,Hartford School District
Hartford School District,Mandingo,<=5,<=5,0640011,Hartford School District
Hartford School District,Morphlokese,<=5,<=5,0640011,Hartford School District
Hartford School District,Nyanja,<=5,<=5,0640011,Hartford School District
Hartford School District,Patois,36,15,0640011,Hartford School District
Hartford School District,Patout,<=5,<=5,0640011,Hartford School District
Hartford School District,Patwa,29,10,0640011,Hartford School District
Hartford School District,Ponapean,<=5,<=5,0640011,Hartford School District
Hartford School District,Tagalog,12,<=5,0640011,Hartford School District
Hartford School District,Ga,<=5,<=5,0640011,Hartford School District
Hartford School District,Guanaina,<=5,<=5,0640011,Hartford School District
Hartford School District,Kirundi,11,<=5,0640011,Hartford School District
Hartford School District,Grebo,<=5,<=5,0640011,Hartford School District
Hartford School District,Krahan,11,<=5,0640011,Hartford School District
Hartford School District,Guyanese Creole,<=5,<=5,0640011,Hartford School District
Hartford School District,Ogoni,<=5,<=5,0640011,Hartford School District
Hartford School District,Maay,<=5,<=5,0640011,Hartford School District
Hartford School District,Fulani,<=5,<=5,0640011,Hartford School District
Hebron School District,Polish,<=5,<=5,0670011,Hebron School District
Hebron School District,Amharic,<=5,<=5,0670011,Hebron School District
Kent School District,Spanish,<=5,<=5,0680011,Kent School District
Kent School District,Arabic,<=5,<=5,0680011,Kent School District
Kent School District,Mandarin,6,<=5,0680011,Kent School District
Killingly School District,Spanish,47,35,0690011,Killingly School District
Killingly School District,Portuguese,<=5,<=5,0690011,Killingly School District
Killingly School District,Lao,29,19,0690011,Killingly School District
Killingly School District,Polish,<=5,<=5,0690011,Killingly School District
Killingly School District,Greek,<=5,<=5,0690011,Killingly School District
Killingly School District,Albanian,<=5,<=5,0690011,Killingly School District
Killingly School District,Arabic,<=5,<=5,0690011,Killingly School District
Killingly School District,Estonian,<=5,<=5,0690011,Killingly School District
Killingly School District,French,<=5,<=5,0690011,Killingly School District
Killingly School District,Gujarati,<=5,<=5,0690011,Killingly School District
Killingly School District,Japanese,<=5,<=5,0690011,Killingly School District
Killingly School District,Punjabi,<=5,<=5,0690011,Killingly School District
Killingly School District,Russian,<=5,<=5,0690011,Killingly School District
Killingly School District,Serbo-Croatian,<=5,<=5,0690011,Killingly School District
Killingly School District,Swahili,<=5,<=5,0690011,Killingly School District
Killingly School District,Pilipino (Filipino),<=5,<=5,0690011,Killingly School District
Killingly School District,Twi/Fante,<=5,<=5,0690011,Killingly School District
Killingly School District,Urdu,<=5,<=5,0690011,Killingly School District
Killingly School District,Cantonese,<=5,<=5,0690011,Killingly School District
Killingly School District,Mandarin,<=5,<=5,0690011,Killingly School District
Killingly School District,Persian,<=5,<=5,0690011,Killingly School District
Killingly School District,Patois,<=5,<=5,0690011,Killingly School District
Killingly School District,Ga,<=5,<=5,0690011,Killingly School District
Lebanon School District,Spanish,<=5,<=5,0710011,Lebanon School District
Ledyard School District,Spanish,12,7,0720011,Ledyard School District
Ledyard School District,Arabic,<=5,<=5,0720011,Ledyard School District
Ledyard School District,German,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Creole-Haitian,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Hausa,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Russian,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Vietnamese,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Amharic,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Bikol,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Cantonese,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Mandarin,<=5,<=5,0720011,Ledyard School District
Ledyard School District,Tagalog,<=5,<=5,0720011,Ledyard School District
Lisbon School District,Spanish,<=5,<=5,0730011,Lisbon School District
Lisbon School District,Arabic,<=5,<=5,0730011,Lisbon School District
Lisbon School District,Creole-Haitian,<=5,<=5,0730011,Lisbon School District
Lisbon School District,Mandarin,<=5,<=5,0730011,Lisbon School District
Litchfield School District,Spanish,7,<=5,0740011,Litchfield School District
Litchfield School District,Italian,<=5,<=5,0740011,Litchfield School District
Litchfield School District,Albanian,<=5,<=5,0740011,Litchfield School District
Litchfield School District,Hindi,<=5,<=5,0740011,Litchfield School District
Litchfield School District,Vietnamese,<=5,<=5,0740011,Litchfield School District
Litchfield School District,Bangla,<=5,<=5,0740011,Litchfield School District
Litchfield School District,Mandarin,<=5,<=5,0740011,Litchfield School District
Madison School District,Spanish,22,6,0760011,Madison School District
Madison School District,Portuguese,<=5,<=5,0760011,Madison School District
Madison School District,Greek,<=5,<=5,0760011,Madison School District
Madison School District,Afrikaans,<=5,<=5,0760011,Madison School District
Madison School District,Albanian,<=5,<=5,0760011,Madison School District
Madison School District,Arabic,<=5,<=5,0760011,Madison School District
Madison School District,French,<=5,<=5,0760011,Madison School District
Madison School District,German,<=5,<=5,0760011,Madison School District
Madison School District,Gujarati,<=5,<=5,0760011,Madison School District
Madison School District,Hindi,<=5,<=5,0760011,Madison School District
Madison School District,Japanese,<=5,<=5,0760011,Madison School District
Madison School District,Korean,6,<=5,0760011,Madison School District
Madison School District,Norwegian,<=5,<=5,0760011,Madison School District
Madison School District,Russian,<=5,<=5,0760011,Madison School District
Madison School District,Swedish,<=5,<=5,0760011,Madison School District
Madison School District,Telugu,<=5,<=5,0760011,Madison School District
Madison School District,Turkish,<=5,<=5,0760011,Madison School District
Madison School District,Urdu,<=5,<=5,0760011,Madison School District
Madison School District,Vietnamese,<=5,<=5,0760011,Madison School District
Madison School District,Burmese,<=5,<=5,0760011,Madison School District
Madison School District,Cantonese,<=5,<=5,0760011,Madison School District
Madison School District,Mandarin,23,<=5,0760011,Madison School District
Madison School District,Persian,<=5,<=5,0760011,Madison School District
Manchester School District,Spanish,413,191,0770011,Manchester School District
Manchester School District,Portuguese,11,<=5,0770011,Manchester School District
Manchester School District,Lao,9,<=5,0770011,Manchester School District
Manchester School District,Khmer(Cambodian),<=5,<=5,0770011,Manchester School District
Manchester School District,Italian,<=5,<=5,0770011,Manchester School District
Manchester School District,Polish,8,<=5,0770011,Manchester School District
Manchester School District,Greek,<=5,<=5,0770011,Manchester School District
Manchester School District,Albanian,8,<=5,0770011,Manchester School District
Manchester School District,Arabic,32,10,0770011,Manchester School District
Manchester School District,Armenian,<=5,<=5,0770011,Manchester School District
Manchester School District,Bengali,51,21,0770011,Manchester School District
Manchester School District,Farsi,<=5,<=5,0770011,Manchester School District
Manchester School District,French,8,<=5,0770011,Manchester School District
Manchester School District,Gujarati,34,9,0770011,Manchester School District
Manchester School District,Creole-Haitian,8,<=5,0770011,Manchester School District
Manchester School District,Hausa,<=5,<=5,0770011,Manchester School District
Manchester School District,Hindi,14,6,0770011,Manchester School District
Manchester School District,Kannada,<=5,<=5,0770011,Manchester School District
Manchester School District,Korean,<=5,<=5,0770011,Manchester School District
Manchester School District,Malayalam,<=5,<=5,0770011,Manchester School District
Manchester School District,Marathi,15,<=5,0770011,Manchester School District
Manchester School District,Pashto,<=5,<=5,0770011,Manchester School District
Manchester School District,Punjabi,<=5,<=5,0770011,Manchester School District
Manchester School District,Akan,15,6,0770011,Manchester School District
Manchester School District,Pushto,<=5,<=5,0770011,Manchester School District
Manchester School District,Rumanian,<=5,<=5,0770011,Manchester School District
Manchester School District,Russian,<=5,<=5,0770011,Manchester School District
Manchester School District,Serbo-Croatian,<=5,<=5,0770011,Manchester School District
Manchester School District,Somali,<=5,<=5,0770011,Manchester School District
Manchester School District,Swahili,<=5,<=5,0770011,Manchester School District
Manchester School District,Pilipino (Filipino),<=5,<=5,0770011,Manchester School District
Manchester School District,Tamil,28,9,0770011,Manchester School District
Manchester School District,Telugu,32,11,0770011,Manchester School District
Manchester School District,Thai,<=5,<=5,0770011,Manchester School District
Manchester School District,Turkish,12,6,0770011,Manchester School District
Manchester School District,Twi/Fante,49,15,0770011,Manchester School District
Manchester School District,Urdu,46,8,0770011,Manchester School District
Manchester School District,Vietnamese,24,10,0770011,Manchester School District
Manchester School District,Amharic,<=5,<=5,0770011,Manchester School District
Manchester School District,Igbo,<=5,<=5,0770011,Manchester School District
Manchester School District,Nepali,<=5,<=5,0770011,Manchester School District
Manchester School District,Ashanti,<=5,<=5,0770011,Manchester School District
Manchester School District,Bangla,37,18,0770011,Manchester School District
Manchester School District,Cantonese,<=5,<=5,0770011,Manchester School District
Manchester School District,Cebuano,<=5,<=5,0770011,Manchester School District
Manchester School District,Edo,<=5,<=5,0770011,Manchester School District
Manchester School District,Efik,<=5,<=5,0770011,Manchester School District
Manchester School District,Fante,<=5,<=5,0770011,Manchester School District
Manchester School District,Mandarin,25,8,0770011,Manchester School District
Manchester School District,Oriya,<=5,<=5,0770011,Manchester School District
Manchester School District,Tulu,<=5,<=5,0770011,Manchester School District
Manchester School District,Visayan,<=5,<=5,0770011,Manchester School District
Manchester School District,Wolof,<=5,<=5,0770011,Manchester School District
Manchester School District,Persian,<=5,<=5,0770011,Manchester School District
Manchester School District,Patois,12,8,0770011,Manchester School District
Manchester School District,Tagalog,6,<=5,0770011,Manchester School District
Manchester School District,Georgian,<=5,<=5,0770011,Manchester School District
Mansfield School District,Spanish,17,8,0780011,Mansfield School District
Mansfield School District,Portuguese,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Polish,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Greek,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Afrikaans,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Arabic,17,10,0780011,Mansfield School District
Mansfield School District,Bengali,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Dutch,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Farsi,6,<=5,0780011,Mansfield School District
Mansfield School District,French,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Ganda,<=5,<=5,0780011,Mansfield School District
Mansfield School District,German,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Hindi,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Japanese,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Korean,13,<=5,0780011,Mansfield School District
Mansfield School District,Hebrew,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Malayalam,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Punjabi,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Rumanian,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Russian,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Tamil,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Turkish,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Urdu,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Amharic,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Igbo,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Nepali,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Cantonese,<=5,<=5,0780011,Mansfield School District
Mansfield School District,Mandarin,71,27,0780011,Mansfield School District
Mansfield School District,Sinhala,<=5,<=5,0780011,Mansfield School District
Marlborough School District,Polish,<=5,<=5,0790011,Marlborough School District
Marlborough School District,Arabic,<=5,<=5,0790011,Marlborough School District
Marlborough School District,French,<=5,<=5,0790011,Marlborough School District
Marlborough School District,Russian,<=5,<=5,0790011,Marlborough School District
Marlborough School District,Turkish,<=5,<=5,0790011,Marlborough School District
Meriden School District,Spanish,1620,1024,0800011,Meriden School District
Meriden School District,Portuguese,<=5,<=5,0800011,Meriden School District
Meriden School District,Lao,7,<=5,0800011,Meriden School District
Meriden School District,Khmer(Cambodian),7,<=5,0800011,Meriden School District
Meriden School District,Italian,7,<=5,0800011,Meriden School District
Meriden School District,Polish,17,<=5,0800011,Meriden School District
Meriden School District,Greek,<=5,<=5,0800011,Meriden School District
Meriden School District,Afrikaans,<=5,<=5,0800011,Meriden School District
Meriden School District,Albanian,<=5,<=5,0800011,Meriden School District
Meriden School District,Arabic,79,34,0800011,Meriden School District
Meriden School District,Armenian,<=5,<=5,0800011,Meriden School District
Meriden School District,Bengali,14,6,0800011,Meriden School District
Meriden School District,French,<=5,<=5,0800011,Meriden School District
Meriden School District,German,<=5,<=5,0800011,Meriden School District
Meriden School District,Gujarati,15,7,0800011,Meriden School District
Meriden School District,Hindi,<=5,<=5,0800011,Meriden School District
Meriden School District,Korean,<=5,<=5,0800011,Meriden School District
Meriden School District,Malayalam,<=5,<=5,0800011,Meriden School District
Meriden School District,Pashto,<=5,<=5,0800011,Meriden School District
Meriden School District,Punjabi,<=5,<=5,0800011,Meriden School District
Meriden School District,Pushto,<=5,<=5,0800011,Meriden School District
Meriden School District,Russian,<=5,<=5,0800011,Meriden School District
Meriden School District,Serbo-Croatian,<=5,<=5,0800011,Meriden School District
