school_code,district_code,district,school,free,non_subsidized,reduced,total,year
0341911,0340011,Danbury School District,Western CT Academy of International Studies Elementary Magnet School,19,288,10,317,2007-08
0356111,0350011,Darien School District,Darien High School,*,1140,*,1180,2007-08
0350211,0350011,Darien School District,Hindley Elementary School,0,519,0,519,2007-08
0350711,0350011,Darien School District,Holmes Elementary School,*,476,*,484,2007-08
0355111,0350011,Darien School District,Middlesex Middle School,10,1096,11,1117,2007-08
0351311,0350011,Darien School District,Ox Ridge Elementary School,*,*,0,512,2007-08
0350511,0350011,Darien School District,Royle Elementary School,*,441,*,451,2007-08
0350611,0350011,Darien School District,Tokeneke Elementary School,0,*,*,390,2007-08
0360111,0360011,Deep River School District,Deep River Elementary School,24,351,14,389,2007-08
3370315,3370015,Department of Mental Health and Addiction Services,Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab,0,7,0,7,2007-08
3370415,3370015,Department of Mental Health and Addiction Services,Connecticut Mental Health Center,0,*,0,*,2007-08
3370215,3370015,Department of Mental Health and Addiction Services,Connecticut Valley Hospital,0,*,0,*,2007-08
3370515,3370015,Department of Mental Health and Addiction Services,Greater Bridgeport Community Mental Health Center,0,*,0,*,2007-08
0370611,0370011,Derby School District,Bradley School,85,255,24,364,2007-08
0376111,0370011,Derby School District,Derby High School,170,448,51,669,2007-08
0370411,0370011,Derby School District,Irving School,203,156,58,417,2007-08
0400111,0400011,East Granby School District,Allgrove School,*,*,0,294,2007-08
0406111,0400011,East Granby School District,East Granby High School,*,*,0,258,2007-08
0405111,0400011,East Granby School District,East Granby Middle School,*,*,0,218,2007-08
0400211,0400011,East Granby School District,R. Dudley Seymour School,*,*,0,141,2007-08
0410111,0410011,East Haddam School District,East Haddam Elementary School,17,504,15,536,2007-08
0416111,0410011,East Haddam School District,Nathan Hale-Ray High School,15,379,12,406,2007-08
0415111,0410011,East Haddam School District,Nathan Hale-Ray Middle School,18,453,6,477,2007-08
0420311,0420011,East Hampton School District,Center School,22,316,11,349,2007-08
0426111,0420011,East Hampton School District,East Hampton High School,34,540,6,580,2007-08
0425111,0420011,East Hampton School District,East Hampton Middle School,32,466,10,508,2007-08
0420111,0420011,East Hampton School District,Memorial School,25,594,14,633,2007-08
0430911,0430011,East Hartford School District,Anna E. Norris School,138,121,39,298,2007-08
0436311,0430011,East Hartford School District,Connecticut IB Academy,20,131,15,166,2007-08
0430611,0430011,East Hartford School District,Dr. Franklin H. Mayberry School,197,164,47,408,2007-08
0432211,0430011,East Hartford School District,Dr. John A. Langford School,130,191,26,347,2007-08
0431011,0430011,East Hartford School District,Dr. Thomas S. O'Connell School,55,212,47,314,2007-08
0436211,0430011,East Hartford School District,East Hartford High School,633,1176,213,2022,2007-08
0435111,0430011,East Hartford School District,East Hartford Middle School,349,524,129,1002,2007-08
0432011,0430011,East Hartford School District,Governor William Pitkin School,68,251,33,352,2007-08
0430511,0430011,East Hartford School District,Hockanum School,170,156,28,354,2007-08
0430411,0430011,East Hartford School District,Joseph O. Goodwin School,82,194,44,320,2007-08
0431811,0430011,East Hartford School District,Robert J. O'Brien School,223,208,33,464,2007-08
0431211,0430011,East Hartford School District,Silver Lane School,151,134,38,323,2007-08
0436411,0430011,East Hartford School District,Stevens Alternate High School,40,101,10,151,2007-08
0432411,0430011,East Hartford School District,Sunset Ridge Middle School,169,227,56,452,2007-08
0438011,0430011,East Hartford School District,Willowbrook Early Childhood,*,193,*,288,2007-08
0439011,0430011,East Hartford School District,Woodland School,67,95,18,180,2007-08
0441711,0440011,East Haven School District,Carbone School/East Haven Academy,16,188,17,221,2007-08
0441411,0440011,East Haven School District,D. C. Moore School,87,128,24,239,2007-08
0440111,0440011,East Haven School District,Deer Run School,78,227,30,335,2007-08
0441311,0440011,East Haven School District,Dominick H. Ferrara School,29,131,26,186,2007-08
0446111,0440011,East Haven School District,East Haven High School,126,891,80,1097,2007-08
0441011,0440011,East Haven School District,Grove J. Tuttle School,44,138,30,212,2007-08
0441911,0440011,East Haven School District,Hays School,22,147,9,178,2007-08
0445111,0440011,East Haven School District,Joseph Melillo Middle School,98,331,53,482,2007-08
0440711,0440011,East Haven School District,Momauguin School,89,96,24,209,2007-08
0441811,0440011,East Haven School District,Overbrook Elementary School,40,113,12,165,2007-08
0449011,0440011,East Haven School District,Pathways,*,19,*,35,2007-08
0441611,0440011,East Haven School District,Robert W. Carbone School,65,206,48,319,2007-08
0456111,0450011,East Lyme School District,East Lyme High School,21,1272,11,1304,2007-08
0455111,0450011,East Lyme School District,East Lyme Middle School,39,848,26,913,2007-08
0450111,0450011,East Lyme School District,Flanders School,*,387,*,399,2007-08
0458011,0450011,East Lyme School District,Integrated Preschool,0,53,0,53,2007-08
0450411,0450011,East Lyme School District,Lillie B. Haynes School,22,302,16,340,2007-08
0450211,0450011,East Lyme School District,Niantic Center School,15,217,9,241,2007-08
0470111,0470011,East Windsor School District,Broad Brook Elementary School,128,460,32,620,2007-08
0476111,0470011,East Windsor School District,East Windsor High School,69,354,33,456,2007-08
0475411,0470011,East Windsor School District,East Windsor Middle School,79,281,40,400,2007-08
2536014,2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),*,*,0,20,2007-08
2539014,2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),EastConn Special Education,9,28,7,44,2007-08
0390111,0390011,Eastford School District,Eastford Elementary School,7,173,7,187,2007-08
0465111,0460011,Easton School District,Helen Keller Middle School,*,375,*,377,2007-08
0460111,0460011,Easton School District,Samuel Staples Elementary School,*,797,*,801,2007-08
2428014,2420014,EdAdvance,EdAdvance Headstart,156,0,0,156,2007-08
2429014,2420014,EdAdvance,The ACCESS School at The Danuta M. Thibodeau Education Center,*,*,0,23,2007-08
0480111,0480011,Ellington School District,Center School,13,386,9,408,2007-08
0480211,0480011,Ellington School District,Crystal Lake School,*,195,*,207,2007-08
0486111,0480011,Ellington School District,Ellington High School,16,741,13,770,2007-08
0485111,0480011,Ellington School District,Ellington Middle School,13,388,7,408,2007-08
0480711,0480011,Ellington School District,Windermere Intermediate School,12,379,10,401,2007-08
0480611,0480011,Ellington School District,Windermere School,*,387,*,404,2007-08
2810113,2810013,Elm City College Preparatory School,Elm City College Preparatory School,261,131,84,476,2007-08
0491311,0490011,Enfield School District,Edgar H. Parkman School,22,332,9,363,2007-08
0491611,0490011,Enfield School District,Eli Whitney School,66,288,33,387,2007-08
0496111,0490011,Enfield School District,Enfield High School,135,727,64,926,2007-08
0490211,0490011,Enfield School District,Enfield Street School,89,209,35,333,2007-08
0496211,0490011,Enfield School District,Enrico Fermi High School,82,1016,58,1156,2007-08
0491211,0490011,Enfield School District,Harriet Beecher Stowe School,42,224,16,282,2007-08
0490411,0490011,Enfield School District,Hazardville Memorial School,45,350,18,413,2007-08
0498011,0490011,Enfield School District,Head Start Program,85,8,11,104,2007-08
0491811,0490011,Enfield School District,Henry Barnard School,106,286,37,429,2007-08
0495211,0490011,Enfield School District,John F. Kennedy Middle School,158,769,65,992,2007-08
0491111,0490011,Enfield School District,Nathan Hale School,27,228,17,272,2007-08
0491511,0490011,Enfield School District,Prudence Crandall School,56,334,26,416,2007-08
0491711,0490011,Enfield School District,Thomas G. Alcorn School,178,73,32,283,2007-08
0500111,0500011,Essex School District,Essex Elementary School,10,533,8,551,2007-08
2726113,2720013,Explorations District,Explorations,18,60,8,86,2007-08
0510211,0510011,Fairfield School District,Burr Elementary School,*,439,*,445,2007-08
0510111,0510011,Fairfield School District,Dwight Elementary School,*,*,0,340,2007-08
0518011,0510011,Fairfield School District,Early Childhood Center,*,*,0,121,2007-08
0516011,0510011,Fairfield School District,Fairfield Ludlowe High School,31,1332,17,1380,2007-08
0516211,0510011,Fairfield School District,Fairfield Warde High School,47,1162,22,1231,2007-08
0515211,0510011,Fairfield School District,Fairfield Woods Middle School,*,580,*,597,2007-08
0510411,0510011,Fairfield School District,Holland Hill School,22,316,20,358,2007-08
0511711,0510011,Fairfield School District,Jennings School,7,339,7,353,2007-08
0510611,0510011,Fairfield School District,McKinley School,63,360,39,462,2007-08
0510711,0510011,Fairfield School District,Mill Hill School,*,459,*,465,2007-08
0511611,0510011,Fairfield School District,North Stratfield School,7,478,10,495,2007-08
0511811,0510011,Fairfield School District,Osborn Hill School,*,510,*,519,2007-08
0511211,0510011,Fairfield School District,Riverfield School,*,463,*,473,2007-08
0515311,0510011,Fairfield School District,Roger Ludlowe Middle School,56,797,34,887,2007-08
0511311,0510011,Fairfield School District,Sherman School,10,433,10,453,2007-08
0511411,0510011,Fairfield School District,Stratfield School,*,450,*,460,2007-08
0515111,0510011,Fairfield School District,Tomlinson Middle School,20,707,10,737,2007-08
0520411,0520011,Farmington School District,East Farms School,*,417,*,430,2007-08
0528011,0520011,Farmington School District,Farmington Collaborative PK,*,55,*,57,2007-08
0526111,0520011,Farmington School District,Farmington High School,52,1320,17,1389,2007-08
0525111,0520011,Farmington School District,Irving A. Robbins Middle School,25,617,10,652,2007-08
0520211,0520011,Farmington School District,Noah Wallace School,*,312,*,330,2007-08
0520111,0520011,Farmington School District,Union School,*,272,*,298,2007-08
0520311,0520011,Farmington School District,West District School,*,334,*,350,2007-08
0520511,0520011,Farmington School District,West Woods Upper Elementary School,35,640,12,687,2007-08
0530111,0530011,Franklin School District,Franklin Elementary School,12,211,10,233,2007-08
0540211,0540011,Glastonbury School District,Buttonball Lane School,*,548,*,575,2007-08
0540311,0540011,Glastonbury School District,Eastbury School,*,*,0,357,2007-08
0540811,0540011,Glastonbury School District,Gideon Welles School,15,526,10,551,2007-08
0546111,0540011,Glastonbury School District,Glastonbury High School,65,1962,38,2065,2007-08
0540411,0540011,Glastonbury School District,Hebron Avenue School,*,514,*,525,2007-08
0540611,0540011,Glastonbury School District,Hopewell School,6,529,7,542,2007-08
0540711,0540011,Glastonbury School District,Naubuc School,61,407,13,481,2007-08
0540911,0540011,Glastonbury School District,Nayaug Elementary School,*,664,*,675,2007-08
0545211,0540011,Glastonbury School District,Smith Middle School,29,1024,17,1070,2007-08
0560111,0560011,Granby School District,Frank M. Kearns Primary School,11,479,7,497,2007-08
0566111,0560011,Granby School District,Granby Memorial High School,16,726,7,749,2007-08
0565111,0560011,Granby School District,Granby Memorial Middle School,11,357,6,374,2007-08
0560411,0560011,Granby School District,Kelly Lane Primary School,16,340,7,363,2007-08
0560311,0560011,Granby School District,Wells Road Intermediate School,14,321,9,344,2007-08
0575111,0570011,Greenwich School District,Central Middle School,44,655,14,713,2007-08
0570211,0570011,Greenwich School District,Cos Cob School,14,387,6,407,2007-08
0575211,0570011,Greenwich School District,Eastern Middle School,*,708,*,725,2007-08
0570411,0570011,Greenwich School District,Glenville School,*,331,*,344,2007-08
0576111,0570011,Greenwich School District,Greenwich High School,161,2459,73,2693,2007-08
0570511,0570011,Greenwich School District,Hamilton Avenue School,106,225,46,377,2007-08
0571311,0570011,Greenwich School District,International School At Dundee,11,350,11,372,2007-08
0570311,0570011,Greenwich School District,Julian Curtiss School,56,255,16,327,2007-08
0570611,0570011,Greenwich School District,New Lebanon School,51,149,29,229,2007-08
0570711,0570011,Greenwich School District,North Mianus School,*,*,0,454,2007-08
0570811,0570011,Greenwich School District,North Street School,*,511,*,515,2007-08
0570911,0570011,Greenwich School District,Old Greenwich School,0,*,*,454,2007-08
0571111,0570011,Greenwich School District,Parkway School,*,327,*,332,2007-08
0571011,0570011,Greenwich School District,Riverside School,*,*,0,499,2007-08
0575311,0570011,Greenwich School District,Western Middle School,76,419,32,527,2007-08
0580311,0580011,Griswold School District,Griswold Elementary School,206,631,69,906,2007-08
0586211,0580011,Griswold School District,Griswold High School,107,639,46,792,2007-08
0585111,0580011,Griswold School District,Griswold Middle School,68,321,50,439,2007-08
0595311,0590011,Groton School District,Carl C. Cutler Middle School,*,364,*,376,2007-08
0591811,0590011,Groton School District,Charles Barnum School,43,263,61,367,2007-08
0590311,0590011,Groton School District,Claude Chester School,101,203,49,353,2007-08
0590411,0590011,Groton School District,Colonel Ledyard School,17,116,6,139,2007-08
0590511,0590011,Groton School District,Eastern Point School,211,229,58,498,2007-08
0595111,0590011,Groton School District,Fitch Middle School,100,257,98,455,2007-08
0591711,0590011,Groton School District,Mary Morrisson School,32,200,50,282,2007-08
0590911,0590011,Groton School District,Noank School,*,220,*,240,2007-08
0591211,0590011,Groton School District,Pleasant Valley School,86,277,66,429,2007-08
0596111,0590011,Groton School District,Robert E. Fitch High School,215,1068,131,1414,2007-08
