american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year
*,,*,130,,Bridgeport School District,0150011,248,,,0,Multicultural Magnet School,0154611,475,,,80,2007-08
0,,0,*,,Bridgeport School District,0150011,8,,,0,New Start Program,0159411,14,,,*,2007-08
0,,0,16,,Bridgeport School District,0150011,*,,,0,Park City Academy,0159211,30,,,*,2007-08
*,,*,199,,Bridgeport School District,0150011,145,,,0,Park City Magnet School,0151711,501,,,111,2007-08
*,,*,448,,Bridgeport School District,0150011,372,,,0,Read School,0152511,904,,,62,2007-08
*,,*,290,,Bridgeport School District,0150011,411,,,0,Roosevelt School,0152611,727,,,19,2007-08
0,,8,59,,Bridgeport School District,0150011,97,,,0,Skane Center,0154411,219,,,55,2007-08
0,,0,25,,Bridgeport School District,0150011,14,,,0,The University School,0159111,46,,,7,2007-08
0,,8,133,,Bridgeport School District,0150011,300,,,0,Waltersville School,0153011,456,,,15,2007-08
0,,35,267,,Bridgeport School District,0150011,264,,,0,Winthrop School,0153611,758,,,192,2007-08
0,,0,0,,Bristol School District,0170011,9,,,0,Alternative Special Education Program (ASEP),0179011,23,,,14,2007-08
*,,*,116,,Bristol School District,0170011,166,,,0,Bristol Central High School,0176111,1465,,,1161,2007-08
*,,*,102,,Bristol School District,0170011,125,,,0,Bristol Eastern High School,0176211,1333,,,1068,2007-08
*,,*,77,,Bristol School District,0170011,157,,,0,Chippens Hill Middle School,0175111,929,,,664,2007-08
*,,*,39,,Bristol School District,0170011,110,,,0,Clara T. O'Connell School,0170711,355,,,191,2007-08
*,,*,15,,Bristol School District,0170011,50,,,0,Clarence A. Bingham School,0170111,253,,,185,2007-08
0,,8,34,,Bristol School District,0170011,76,,,0,Edgewood School,0170311,356,,,238,2007-08
0,,24,33,,Bristol School District,0170011,92,,,0,Ellen P. Hubbell School,0171411,490,,,341,2007-08
0,,10,30,,Bristol School District,0170011,66,,,0,Greene-Hills School,0170511,396,,,290,2007-08
*,,*,34,,Bristol School District,0170011,48,,,0,Ivy Drive School,0171911,402,,,313,2007-08
0,,*,*,,Bristol School District,0170011,41,,,0,John J. Jennings School,0170611,374,,,309,2007-08
0,,11,36,,Bristol School District,0170011,87,,,0,Memorial Boulevard Middle School,0175311,542,,,408,2007-08
0,,21,20,,Bristol School District,0170011,35,,,0,Mountain View School,0171711,369,,,293,2007-08
*,,*,46,,Bristol School District,0170011,50,,,0,Northeast Middle School,0175211,558,,,451,2007-08
*,,*,44,,Bristol School District,0170011,98,,,0,South Side School,0171111,580,,,422,2007-08
*,,*,34,,Bristol School District,0170011,73,,,0,Stafford School,0171211,497,,,369,2007-08
0,,25,10,,Brookfield School District,0180011,23,,,0,Brookfield High School,0186111,1020,,,962,2007-08
*,,18,*,,Brookfield School District,0180011,23,,,0,Center Elementary School,0180311,374,,,329,2007-08
*,,29,*,,Brookfield School District,0180011,24,,,0,Huckleberry Hill Elementary School,0180411,604,,,543,2007-08
0,,39,14,,Brookfield School District,0180011,31,,,0,Whisconier Middle School,0185311,951,,,867,2007-08
0,,12,8,,Brooklyn School District,0190011,9,,,0,Brooklyn Elementary School,0190111,580,,,551,2007-08
*,,6,*,,Brooklyn School District,0190011,8,,,0,Brooklyn Middle School,0195111,406,,,388,2007-08
*,,*,*,,Canaan School District,0210011,*,,,0,Lee H. Kellogg School,0210111,101,,,94,2007-08
*,,*,6,,Canterbury School District,0220011,13,,,0,Canterbury Elementary School,0220211,316,,,290,2007-08
*,,*,6,,Canterbury School District,0220011,*,,,0,Dr. Helen Baldwin Middle School,0225111,262,,,248,2007-08
0,,7,19,,Canton School District,0230011,10,,,0,Canton High School,0236111,514,,,478,2007-08
0,,*,*,,Canton School District,0230011,10,,,0,Canton Intermediate School,0230311,405,,,381,2007-08
*,,*,8,,Canton School District,0230011,*,,,0,Canton Middle School,0235111,270,,,252,2007-08
*,,23,*,,Canton School District,0230011,16,,,0,Cherry Brook Primary School,0230211,538,,,485,2007-08
*,,*,54,,Capitol Region Education Council,2410014,33,,,0,Glastonbury/East Hartford Magnet School,2410114,257,,,149,2007-08
0,,*,38,,Capitol Region Education Council,2410014,*,,,0,Great Path Academy at MCC,2416314,111,,,51,2007-08
0,,*,13,,Capitol Region Education Council,2410014,18,,,0,Greater Hartford Academy of  the Arts High School - Full Time,2416414,43,,,*,2007-08
0,,10,66,,Capitol Region Education Council,2410014,72,,,0,John J. Allison Polaris Center,2419014,389,,,241,2007-08
*,,*,417,,Capitol Region Education Council,2410014,75,,,0,Metropolitan Learning Center for Global and International Studies,2416114,676,,,163,2007-08
0,,*,138,,Capitol Region Education Council,2410014,121,,,0,Montessori Magnet School,2413114,329,,,*,2007-08
*,,*,146,,Capitol Region Education Council,2410014,156,,,0,Two Rivers Magnet Middle School,2415014,582,,,254,2007-08
*,,*,210,,Capitol Region Education Council,2410014,70,,,0,University of Hartford Magnet School,2410214,406,,,99,2007-08
*,,*,*,,Chaplin School District,0240011,14,,,0,Chaplin Elementary School,0240211,210,,,189,2007-08
0,,27,9,,Cheshire School District,0250011,12,,,0,Chapman School,0250111,332,,,284,2007-08
0,,102,37,,Cheshire School District,0250011,39,,,0,Cheshire High School,0256111,1612,,,1434,2007-08
*,,40,*,,Cheshire School District,0250011,14,,,0,Darcey School,0250211,393,,,333,2007-08
*,,57,*,,Cheshire School District,0250011,18,,,0,Dodd Middle School,0255111,824,,,733,2007-08
0,,43,9,,Cheshire School District,0250011,13,,,0,Doolittle School,0250611,537,,,472,2007-08
*,,77,*,,Cheshire School District,0250011,29,,,0,Highland School,0250411,908,,,788,2007-08
0,,0,0,,Cheshire School District,0250011,*,,,0,Humiston School,0259011,23,,,*,2007-08
*,,37,*,,Cheshire School District,0250011,11,,,0,Norton School,0250511,493,,,438,2007-08
0,,9,*,,Chester School District,0260011,*,,,0,Chester Elementary School,0260111,341,,,322,2007-08
*,,6,*,,Clinton School District,0270011,16,,,0,Abraham Pierson School,0270111,338,,,312,2007-08
0,,*,*,,Clinton School District,0270011,30,,,0,Jared Eliot School,0275111,462,,,407,2007-08
*,,15,*,,Clinton School District,0270011,47,,,0,Lewin G. Joel Jr. School,0270311,667,,,600,2007-08
0,,*,*,,Clinton School District,0270011,39,,,0,The Morgan School,0276111,638,,,580,2007-08
*,,*,32,,Colchester School District,0280011,26,,,0,Bacon Academy,0286111,982,,,909,2007-08
6,,18,14,,Colchester School District,0280011,28,,,0,Colchester Elementary School,0280411,774,,,708,2007-08
7,,7,18,,Colchester School District,0280011,33,,,0,Jack Jackter Intermediate School,0280211,681,,,616,2007-08
*,,*,33,,Colchester School District,0280011,29,,,0,William J. Johnston Middle School,0285111,801,,,727,2007-08
*,,*,0,,Colebrook School District,0290011,0,,,0,Colebrook Consolidated School,0290111,122,,,118,2007-08
*,,*,*,,Columbia School District,0300011,14,,,0,Horace W. Porter School,0300111,586,,,563,2007-08
0,,*,82,,Common Ground High School District,2680013,47,,,0,Common Ground High School,2686113,152,,,*,2007-08
*,,*,210,,Connecticut Technical High School System,9000016,338,,,0,A. I. Prince Technical High School,9001516,581,,,30,2007-08
*,,*,333,,Connecticut Technical High School System,9000016,475,,,0,Bullard-Havens Technical High School,9001116,878,,,60,2007-08
*,,*,45,,Connecticut Technical High School System,9000016,247,,,0,E. C. Goodwin Technical High School,9001916,461,,,162,2007-08
*,,*,236,,Connecticut Technical High School System,9000016,251,,,0,Eli Whitney Technical High School,9001416,529,,,38,2007-08
10,,6,76,,Connecticut Technical High School System,9000016,128,,,0,Ella T. Grasso Southeastern Technical High School,9002716,589,,,369,2007-08
*,,*,24,,Connecticut Technical High School System,9000016,58,,,0,Emmett O'Brien Technical High School,9002516,530,,,443,2007-08
*,,*,47,,Connecticut Technical High School System,9000016,204,,,0,H. C. Wilcox Technical High School,9001716,696,,,438,2007-08
9,,*,*,,Connecticut Technical High School System,9000016,16,,,0,H. H. Ellis Technical High School,9001316,563,,,528,2007-08
0,,6,24,,Connecticut Technical High School System,9000016,119,,,0,Henry Abbott Technical High School,9001216,570,,,421,2007-08
*,,*,56,,Connecticut Technical High School System,9000016,56,,,0,Howell Cheney Technical High School,9001616,564,,,438,2007-08
*,,*,97,,Connecticut Technical High School System,9000016,111,,,0,J. M. Wright Technical High School,9002116,255,,,43,2007-08
*,,*,21,,Connecticut Technical High School System,9000016,36,,,0,Norwich Technical High School,9002016,410,,,345,2007-08
*,,*,12,,Connecticut Technical High School System,9000016,16,,,0,Oliver Wolcott Technical High School,9002216,720,,,683,2007-08
*,,*,119,,Connecticut Technical High School System,9000016,167,,,0,Platt Technical High School,9002616,853,,,556,2007-08
*,,*,44,,Connecticut Technical High School System,9000016,32,,,0,Vinal Technical High School,9001816,587,,,506,2007-08
*,,*,128,,Connecticut Technical High School System,9000016,212,,,0,W. F. Kaynor Technical High School,9002316,704,,,356,2007-08
*,,*,7,,Connecticut Technical High School System,9000016,109,,,0,Windham Technical High School,9002416,483,,,358,2007-08
0,,*,55,,Cooperative Educational Services,2430014,*,,,0,C. E. S. Special Education,2439014,240,,,135,2007-08
*,,*,174,,Cooperative Educational Services,2430014,122,,,0,Six-Six Magnet School,2430114,435,,,119,2007-08
0,,*,*,,Cornwall School District,0310011,6,,,0,Cornwall Consolidated School,0310111,129,,,116,2007-08
*,,*,10,,Coventry School District,0320011,11,,,0,Capt. Nathan Hale School,0325111,539,,,513,2007-08
0,,0,0,,Coventry School District,0320011,0,,,0,Coventry Early Intervention Services,0328011,11,,,11,2007-08
0,,7,6,,Coventry School District,0320011,7,,,0,Coventry Grammar School,0320211,425,,,405,2007-08
*,,*,8,,Coventry School District,0320011,16,,,0,Coventry High School,0326111,559,,,531,2007-08
*,,*,10,,Coventry School District,0320011,12,,,0,George Hersey Robertson School,0320411,474,,,446,2007-08
0,,*,45,,Cromwell School District,0330011,*,,,0,Cromwell High School,0336111,559,,,485,2007-08
*,,*,43,,Cromwell School District,0330011,28,,,0,Cromwell Middle School,0335111,473,,,383,2007-08
0,,29,39,,Cromwell School District,0330011,28,,,0,Edna C. Stevens School,0330211,485,,,389,2007-08
*,,*,35,,Cromwell School District,0330011,28,,,0,Woodside Intermediate School,0330311,472,,,386,2007-08
0,,*,31,,Danbury School District,0340011,*,,,0,Alternative Center For Excellence,0346211,97,,,39,2007-08
0,,105,119,,Danbury School District,0340011,267,,,0,Broadview Middle School,0345111,1144,,,653,2007-08
*,,*,294,,Danbury School District,0340011,776,,,0,Danbury High School,0346111,2835,,,1533,2007-08
0,,24,35,,Danbury School District,0340011,138,,,0,Ellsworth Avenue School,0341411,333,,,136,2007-08
0,,16,24,,Danbury School District,0340011,98,,,0,Great Plain School,0341111,315,,,177,2007-08
*,,48,*,,Danbury School District,0340011,128,,,0,Hayestown Avenue School,0340211,400,,,183,2007-08
0,,20,22,,Danbury School District,0340011,80,,,0,King Street Intermediate School,0341711,317,,,195,2007-08
*,,21,*,,Danbury School District,0340011,90,,,0,King Street Primary School,0341311,294,,,168,2007-08
0,,29,50,,Danbury School District,0340011,89,,,0,Mill Ridge Educational Center,0341811,347,,,179,2007-08
0,,21,41,,Danbury School District,0340011,88,,,0,Mill Ridge Primary School,0340511,298,,,148,2007-08
0,,19,30,,Danbury School District,0340011,188,,,0,Morris Street School,0340611,343,,,106,2007-08
0,,38,34,,Danbury School District,0340011,159,,,0,Park Avenue School,0340811,376,,,145,2007-08
0,,35,26,,Danbury School District,0340011,91,,,0,Pembroke School,0341511,336,,,184,2007-08
0,,82,123,,Danbury School District,0340011,379,,,0,Rogers Park Middle School,0345211,1031,,,447,2007-08
*,,*,35,,Danbury School District,0340011,108,,,0,Shelter Rock School,0341211,338,,,160,2007-08
*,,*,24,,Danbury School District,0340011,144,,,0,South Street School,0341011,306,,,121,2007-08
0,,34,29,,Danbury School District,0340011,111,,,0,Stadley Rough School,0341611,455,,,281,2007-08
0,,21,21,,Danbury School District,0340011,39,,,0,Western CT Academy of International Studies Elementary Magnet School,0341911,317,,,236,2007-08
*,,26,*,,Darien School District,0350011,24,,,0,Darien High School,0356111,1180,,,1120,2007-08
*,,11,*,,Darien School District,0350011,*,,,0,Hindley Elementary School,0350211,519,,,497,2007-08
*,,18,*,,Darien School District,0350011,16,,,0,Holmes Elementary School,0350711,484,,,444,2007-08
7,,33,7,,Darien School District,0350011,18,,,0,Middlesex Middle School,0355111,1117,,,1052,2007-08
*,,11,*,,Darien School District,0350011,9,,,0,Ox Ridge Elementary School,0351311,512,,,489,2007-08
*,,22,*,,Darien School District,0350011,12,,,0,Royle Elementary School,0350511,451,,,414,2007-08
0,,*,8,,Darien School District,0350011,*,,,0,Tokeneke Elementary School,0350611,390,,,375,2007-08
*,,*,11,,Deep River School District,0360011,27,,,0,Deep River Elementary School,0360111,389,,,346,2007-08
0,,0,*,,Department of Mental Health and Addiction Services,3370015,*,,,0,Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab,3370315,7,,,*,2007-08
0,,0,0,,Department of Mental Health and Addiction Services,3370015,*,,,0,Connecticut Mental Health Center,3370415,*,,,*,2007-08
0,,*,0,,Department of Mental Health and Addiction Services,3370015,0,,,0,Connecticut Valley Hospital,3370215,*,,,0,2007-08
0,,0,0,,Department of Mental Health and Addiction Services,3370015,0,,,0,Greater Bridgeport Community Mental Health Center,3370515,*,,,*,2007-08
0,,21,35,,Derby School District,0370011,49,,,0,Bradley School,0370611,364,,,259,2007-08
*,,*,93,,Derby School District,0370011,117,,,0,Derby High School,0376111,669,,,442,2007-08
*,,*,90,,Derby School District,0370011,120,,,0,Irving School,0370411,417,,,193,2007-08
*,,10,*,,East Granby School District,0400011,9,,,0,Allgrove School,0400111,294,,,267,2007-08
*,,8,11,,East Granby School District,0400011,*,,,0,East Granby High School,0406111,258,,,232,2007-08
*,,*,13,,East Granby School District,0400011,10,,,0,East Granby Middle School,0405111,218,,,187,2007-08
0,,*,*,,East Granby School District,0400011,*,,,0,R. Dudley Seymour School,0400211,141,,,128,2007-08
*,,*,9,,East Haddam School District,0410011,17,,,0,East Haddam Elementary School,0410111,536,,,501,2007-08
*,,6,*,,East Haddam School District,0410011,11,,,0,Nathan Hale-Ray High School,0416111,406,,,384,2007-08
*,,*,*,,East Haddam School District,0410011,8,,,0,Nathan Hale-Ray Middle School,0415111,477,,,461,2007-08
0,,*,*,,East Hampton School District,0420011,11,,,0,Center School,0420311,349,,,330,2007-08
*,,10,*,,East Hampton School District,0420011,8,,,0,East Hampton High School,0426111,580,,,551,2007-08
0,,7,10,,East Hampton School District,0420011,6,,,0,East Hampton Middle School,0425111,508,,,485,2007-08
0,,*,*,,East Hampton School District,0420011,24,,,0,Memorial School,0420111,633,,,588,2007-08
*,,*,123,,East Hartford School District,0430011,124,,,0,Anna E. Norris School,0430911,298,,,35,2007-08
*,,*,45,,East Hartford School District,0430011,39,,,0,Connecticut IB Academy,0436311,166,,,72,2007-08
0,,26,139,,East Hartford School District,0430011,187,,,0,Dr. Franklin H. Mayberry School,0430611,408,,,56,2007-08
*,,*,143,,East Hartford School District,0430011,129,,,0,Dr. John A. Langford School,0432211,347,,,54,2007-08
0,,13,87,,East Hartford School District,0430011,102,,,0,Dr. Thomas S. O'Connell School,0431011,314,,,112,2007-08
*,,*,725,,East Hartford School District,0430011,657,,,0,East Hartford High School,0436211,2022,,,531,2007-08
*,,*,346,,East Hartford School District,0430011,368,,,0,East Hartford Middle School,0435111,1002,,,225,2007-08
*,,*,91,,East Hartford School District,0430011,84,,,0,Governor William Pitkin School,0432011,352,,,106,2007-08
0,,13,152,,East Hartford School District,0430011,132,,,0,Hockanum School,0430511,354,,,57,2007-08
*,,*,100,,East Hartford School District,0430011,82,,,0,Joseph O. Goodwin School,0430411,320,,,120,2007-08
*,,*,178,,East Hartford School District,0430011,194,,,0,Robert J. O'Brien School,0431811,464,,,52,2007-08
*,,*,133,,East Hartford School District,0430011,154,,,0,Silver Lane School,0431211,323,,,27,2007-08
0,,*,53,,East Hartford School District,0430011,51,,,0,Stevens Alternate High School,0436411,151,,,*,2007-08
*,,*,158,,East Hartford School District,0430011,178,,,0,Sunset Ridge Middle School,0432411,452,,,89,2007-08
*,,*,92,,East Hartford School District,0430011,128,,,0,Willowbrook Early Childhood,0438011,288,,,45,2007-08
*,,*,71,,East Hartford School District,0430011,67,,,0,Woodland School,0439011,180,,,38,2007-08
0,,15,*,,East Haven School District,0440011,*,,,0,Carbone School/East Haven Academy,0441711,221,,,198,2007-08
*,,*,10,,East Haven School District,0440011,44,,,0,D. C. Moore School,0441411,239,,,180,2007-08
0,,22,9,,East Haven School District,0440011,54,,,0,Deer Run School,0440111,335,,,250,2007-08
0,,9,7,,East Haven School District,0440011,13,,,0,Dominick H. Ferrara School,0441311,186,,,157,2007-08
*,,43,*,,East Haven School District,0440011,109,,,0,East Haven High School,0446111,1097,,,917,2007-08
*,,7,*,,East Haven School District,0440011,28,,,0,Grove J. Tuttle School,0441011,212,,,169,2007-08
*,,6,*,,East Haven School District,0440011,29,,,0,Hays School,0441911,178,,,136,2007-08
0,,16,20,,East Haven School District,0440011,48,,,0,Joseph Melillo Middle School,0445111,482,,,398,2007-08
*,,*,*,,East Haven School District,0440011,43,,,0,Momauguin School,0440711,209,,,159,2007-08
*,,11,*,,East Haven School District,0440011,28,,,0,Overbrook Elementary School,0441811,165,,,122,2007-08
0,,0,*,,East Haven School District,0440011,0,,,0,Pathways,0449011,35,,,*,2007-08
*,,19,*,,East Haven School District,0440011,41,,,0,Robert W. Carbone School,0441611,319,,,251,2007-08
19,,86,17,,East Lyme School District,0450011,43,,,0,East Lyme High School,0456111,1304,,,1139,2007-08
9,,79,22,,East Lyme School District,0450011,32,,,0,East Lyme Middle School,0455111,913,,,771,2007-08
*,,49,*,,East Lyme School District,0450011,7,,,0,Flanders School,0450111,399,,,339,2007-08
0,,*,*,,East Lyme School District,0450011,0,,,0,Integrated Preschool,0458011,53,,,44,2007-08
*,,31,*,,East Lyme School District,0450011,13,,,0,Lillie B. Haynes School,0450411,340,,,283,2007-08
0,,14,7,,East Lyme School District,0450011,10,,,0,Niantic Center School,0450211,241,,,210,2007-08
*,,*,82,,East Windsor School District,0470011,80,,,0,Broad Brook Elementary School,0470111,620,,,413,2007-08
*,,*,61,,East Windsor School District,0470011,36,,,0,East Windsor High School,0476111,456,,,350,2007-08
*,,*,59,,East Windsor School District,0470011,26,,,0,East Windsor Middle School,0475411,400,,,300,2007-08
*,,0,*,,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,*,,,0,Arts at the Capitol Theater Magnet School (ACT),2536014,20,,,15,2007-08
*,,0,*,,Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,*,,,0,EastConn Special Education,2539014,44,,,41,2007-08
*,,*,*,,Eastford School District,0390011,6,,,0,Eastford Elementary School,0390111,187,,,172,2007-08
0,,13,*,,Easton School District,0460011,*,,,0,Helen Keller Middle School,0465111,377,,,350,2007-08
0,,30,8,,Easton School District,0460011,30,,,0,Samuel Staples Elementary School,0460111,801,,,733,2007-08
0,,*,*,,EdAdvance,2420014,45,,,0,EdAdvance Headstart,2428014,156,,,100,2007-08
