school_code,district_code,district,school,no,yes,total,year
0310111,0310011,Cornwall School District,Cornwall Consolidated School,129,0,129,2007-08
0325111,0320011,Coventry School District,Capt. Nathan Hale School,539,0,539,2007-08
0328011,0320011,Coventry School District,Coventry Early Intervention Services,11,0,11,2007-08
0320211,0320011,Coventry School District,Coventry Grammar School,425,0,425,2007-08
0326111,0320011,Coventry School District,Coventry High School,559,0,559,2007-08
0320411,0320011,Coventry School District,George Hersey Robertson School,474,0,474,2007-08
0336111,0330011,Cromwell School District,Cromwell High School,552,7,559,2007-08
0335111,0330011,Cromwell School District,Cromwell Middle School,466,7,473,2007-08
0330211,0330011,Cromwell School District,Edna C. Stevens School,449,36,485,2007-08
0330311,0330011,Cromwell School District,Woodside Intermediate School,459,13,472,2007-08
0346211,0340011,Danbury School District,Alternative Center For Excellence,*,*,97,2007-08
0345111,0340011,Danbury School District,Broadview Middle School,1023,121,1144,2007-08
0346111,0340011,Danbury School District,Danbury High School,2433,402,2835,2007-08
0341411,0340011,Danbury School District,Ellsworth Avenue School,207,126,333,2007-08
0341111,0340011,Danbury School District,Great Plain School,232,83,315,2007-08
0340211,0340011,Danbury School District,Hayestown Avenue School,320,80,400,2007-08
0341711,0340011,Danbury School District,King Street Intermediate School,271,46,317,2007-08
0341311,0340011,Danbury School District,King Street Primary School,217,77,294,2007-08
0341811,0340011,Danbury School District,Mill Ridge Educational Center,319,28,347,2007-08
0340511,0340011,Danbury School District,Mill Ridge Primary School,252,46,298,2007-08
0340611,0340011,Danbury School District,Morris Street School,228,115,343,2007-08
0340811,0340011,Danbury School District,Park Avenue School,232,144,376,2007-08
0341511,0340011,Danbury School District,Pembroke School,278,58,336,2007-08
0345211,0340011,Danbury School District,Rogers Park Middle School,843,188,1031,2007-08
0341211,0340011,Danbury School District,Shelter Rock School,258,80,338,2007-08
0341011,0340011,Danbury School District,South Street School,199,107,306,2007-08
0341611,0340011,Danbury School District,Stadley Rough School,358,97,455,2007-08
0341911,0340011,Danbury School District,Western CT Academy of International Studies Elementary Magnet School,306,11,317,2007-08
0356111,0350011,Darien School District,Darien High School,*,*,1180,2007-08
0350211,0350011,Darien School District,Hindley Elementary School,519,0,519,2007-08
0350711,0350011,Darien School District,Holmes Elementary School,468,16,484,2007-08
0355111,0350011,Darien School District,Middlesex Middle School,*,*,1117,2007-08
0351311,0350011,Darien School District,Ox Ridge Elementary School,*,*,512,2007-08
0350511,0350011,Darien School District,Royle Elementary School,441,10,451,2007-08
0350611,0350011,Darien School District,Tokeneke Elementary School,*,*,390,2007-08
0360111,0360011,Deep River School District,Deep River Elementary School,375,14,389,2007-08
3370315,3370015,Department of Mental Health and Addiction Services,Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab,7,0,7,2007-08
3370415,3370015,Department of Mental Health and Addiction Services,Connecticut Mental Health Center,*,0,*,2007-08
3370215,3370015,Department of Mental Health and Addiction Services,Connecticut Valley Hospital,*,0,*,2007-08
3370515,3370015,Department of Mental Health and Addiction Services,Greater Bridgeport Community Mental Health Center,*,0,*,2007-08
0370611,0370011,Derby School District,Bradley School,328,36,364,2007-08
0376111,0370011,Derby School District,Derby High School,642,27,669,2007-08
0370411,0370011,Derby School District,Irving School,369,48,417,2007-08
0400111,0400011,East Granby School District,Allgrove School,*,*,294,2007-08
0406111,0400011,East Granby School District,East Granby High School,258,0,258,2007-08
0405111,0400011,East Granby School District,East Granby Middle School,*,*,218,2007-08
0400211,0400011,East Granby School District,R. Dudley Seymour School,*,*,141,2007-08
0410111,0410011,East Haddam School District,East Haddam Elementary School,*,*,536,2007-08
0416111,0410011,East Haddam School District,Nathan Hale-Ray High School,406,0,406,2007-08
0415111,0410011,East Haddam School District,Nathan Hale-Ray Middle School,477,0,477,2007-08
0420311,0420011,East Hampton School District,Center School,*,*,349,2007-08
0426111,0420011,East Hampton School District,East Hampton High School,*,*,580,2007-08
0425111,0420011,East Hampton School District,East Hampton Middle School,*,*,508,2007-08
0420111,0420011,East Hampton School District,Memorial School,*,*,633,2007-08
0430911,0430011,East Hartford School District,Anna E. Norris School,261,37,298,2007-08
0436311,0430011,East Hartford School District,Connecticut IB Academy,166,0,166,2007-08
0430611,0430011,East Hartford School District,Dr. Franklin H. Mayberry School,348,60,408,2007-08
0432211,0430011,East Hartford School District,Dr. John A. Langford School,312,35,347,2007-08
0431011,0430011,East Hartford School District,Dr. Thomas S. O'Connell School,299,15,314,2007-08
0436211,0430011,East Hartford School District,East Hartford High School,1941,81,2022,2007-08
0435111,0430011,East Hartford School District,East Hartford Middle School,947,55,1002,2007-08
0432011,0430011,East Hartford School District,Governor William Pitkin School,313,39,352,2007-08
0430511,0430011,East Hartford School District,Hockanum School,334,20,354,2007-08
0430411,0430011,East Hartford School District,Joseph O. Goodwin School,302,18,320,2007-08
0431811,0430011,East Hartford School District,Robert J. O'Brien School,394,70,464,2007-08
0431211,0430011,East Hartford School District,Silver Lane School,308,15,323,2007-08
0436411,0430011,East Hartford School District,Stevens Alternate High School,*,*,151,2007-08
0432411,0430011,East Hartford School District,Sunset Ridge Middle School,421,31,452,2007-08
0438011,0430011,East Hartford School District,Willowbrook Early Childhood,288,0,288,2007-08
0439011,0430011,East Hartford School District,Woodland School,*,*,180,2007-08
0441711,0440011,East Haven School District,Carbone School/East Haven Academy,*,*,221,2007-08
0441411,0440011,East Haven School District,D. C. Moore School,219,20,239,2007-08
0440111,0440011,East Haven School District,Deer Run School,316,19,335,2007-08
0441311,0440011,East Haven School District,Dominick H. Ferrara School,*,*,186,2007-08
0446111,0440011,East Haven School District,East Haven High School,1072,25,1097,2007-08
0441011,0440011,East Haven School District,Grove J. Tuttle School,200,12,212,2007-08
0441911,0440011,East Haven School District,Hays School,160,18,178,2007-08
0445111,0440011,East Haven School District,Joseph Melillo Middle School,468,14,482,2007-08
0440711,0440011,East Haven School District,Momauguin School,190,19,209,2007-08
0441811,0440011,East Haven School District,Overbrook Elementary School,146,19,165,2007-08
0449011,0440011,East Haven School District,Pathways,35,0,35,2007-08
0441611,0440011,East Haven School District,Robert W. Carbone School,294,25,319,2007-08
0456111,0450011,East Lyme School District,East Lyme High School,1304,0,1304,2007-08
0455111,0450011,East Lyme School District,East Lyme Middle School,*,*,913,2007-08
0450111,0450011,East Lyme School District,Flanders School,387,12,399,2007-08
0458011,0450011,East Lyme School District,Integrated Preschool,53,0,53,2007-08
0450411,0450011,East Lyme School District,Lillie B. Haynes School,334,6,340,2007-08
0450211,0450011,East Lyme School District,Niantic Center School,*,*,241,2007-08
0470111,0470011,East Windsor School District,Broad Brook Elementary School,580,40,620,2007-08
0476111,0470011,East Windsor School District,East Windsor High School,446,10,456,2007-08
0475411,0470011,East Windsor School District,East Windsor Middle School,393,7,400,2007-08
2536014,2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),20,0,20,2007-08
2539014,2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),EastConn Special Education,44,0,44,2007-08
0390111,0390011,Eastford School District,Eastford Elementary School,187,0,187,2007-08
0465111,0460011,Easton School District,Helen Keller Middle School,*,*,377,2007-08
0460111,0460011,Easton School District,Samuel Staples Elementary School,*,*,801,2007-08
2428014,2420014,EdAdvance,EdAdvance Headstart,156,0,156,2007-08
2429014,2420014,EdAdvance,The ACCESS School at The Danuta M. Thibodeau Education Center,23,0,23,2007-08
0480111,0480011,Ellington School District,Center School,*,*,408,2007-08
0480211,0480011,Ellington School District,Crystal Lake School,207,0,207,2007-08
0486111,0480011,Ellington School District,Ellington High School,*,*,770,2007-08
0485111,0480011,Ellington School District,Ellington Middle School,*,*,408,2007-08
0480711,0480011,Ellington School District,Windermere Intermediate School,401,0,401,2007-08
0480611,0480011,Ellington School District,Windermere School,387,17,404,2007-08
2810113,2810013,Elm City College Preparatory School,Elm City College Preparatory School,476,0,476,2007-08
0491311,0490011,Enfield School District,Edgar H. Parkman School,*,*,363,2007-08
0491611,0490011,Enfield School District,Eli Whitney School,*,*,387,2007-08
0496111,0490011,Enfield School District,Enfield High School,919,7,926,2007-08
0490211,0490011,Enfield School District,Enfield Street School,321,12,333,2007-08
0496211,0490011,Enfield School District,Enrico Fermi High School,1149,7,1156,2007-08
0491211,0490011,Enfield School District,Harriet Beecher Stowe School,*,*,282,2007-08
0490411,0490011,Enfield School District,Hazardville Memorial School,406,7,413,2007-08
0498011,0490011,Enfield School District,Head Start Program,104,0,104,2007-08
0491811,0490011,Enfield School District,Henry Barnard School,422,7,429,2007-08
0495211,0490011,Enfield School District,John F. Kennedy Middle School,984,8,992,2007-08
0491111,0490011,Enfield School District,Nathan Hale School,*,*,272,2007-08
0491511,0490011,Enfield School District,Prudence Crandall School,410,6,416,2007-08
0491711,0490011,Enfield School District,Thomas G. Alcorn School,262,21,283,2007-08
0500111,0500011,Essex School District,Essex Elementary School,*,*,551,2007-08
2726113,2720013,Explorations District,Explorations,86,0,86,2007-08
0510211,0510011,Fairfield School District,Burr Elementary School,*,*,445,2007-08
0510111,0510011,Fairfield School District,Dwight Elementary School,*,*,340,2007-08
0518011,0510011,Fairfield School District,Early Childhood Center,121,0,121,2007-08
0516011,0510011,Fairfield School District,Fairfield Ludlowe High School,*,*,1380,2007-08
0516211,0510011,Fairfield School District,Fairfield Warde High School,1206,25,1231,2007-08
0515211,0510011,Fairfield School District,Fairfield Woods Middle School,*,*,597,2007-08
0510411,0510011,Fairfield School District,Holland Hill School,325,33,358,2007-08
0511711,0510011,Fairfield School District,Jennings School,*,*,353,2007-08
0510611,0510011,Fairfield School District,McKinley School,383,79,462,2007-08
0510711,0510011,Fairfield School District,Mill Hill School,457,8,465,2007-08
0511611,0510011,Fairfield School District,North Stratfield School,487,8,495,2007-08
0511811,0510011,Fairfield School District,Osborn Hill School,*,*,519,2007-08
0511211,0510011,Fairfield School District,Riverfield School,*,*,473,2007-08
0515311,0510011,Fairfield School District,Roger Ludlowe Middle School,854,33,887,2007-08
0511311,0510011,Fairfield School District,Sherman School,439,14,453,2007-08
0511411,0510011,Fairfield School District,Stratfield School,*,*,460,2007-08
0515111,0510011,Fairfield School District,Tomlinson Middle School,731,6,737,2007-08
0520411,0520011,Farmington School District,East Farms School,421,9,430,2007-08
0528011,0520011,Farmington School District,Farmington Collaborative PK,57,0,57,2007-08
0526111,0520011,Farmington School District,Farmington High School,1381,8,1389,2007-08
0525111,0520011,Farmington School District,Irving A. Robbins Middle School,*,*,652,2007-08
0520211,0520011,Farmington School District,Noah Wallace School,306,24,330,2007-08
0520111,0520011,Farmington School District,Union School,292,6,298,2007-08
0520311,0520011,Farmington School District,West District School,*,*,350,2007-08
0520511,0520011,Farmington School District,West Woods Upper Elementary School,679,8,687,2007-08
0530111,0530011,Franklin School District,Franklin Elementary School,233,0,233,2007-08
0540211,0540011,Glastonbury School District,Buttonball Lane School,558,17,575,2007-08
0540311,0540011,Glastonbury School District,Eastbury School,*,*,357,2007-08
0540811,0540011,Glastonbury School District,Gideon Welles School,*,*,551,2007-08
0546111,0540011,Glastonbury School District,Glastonbury High School,2058,7,2065,2007-08
0540411,0540011,Glastonbury School District,Hebron Avenue School,516,9,525,2007-08
0540611,0540011,Glastonbury School District,Hopewell School,526,16,542,2007-08
0540711,0540011,Glastonbury School District,Naubuc School,453,28,481,2007-08
0540911,0540011,Glastonbury School District,Nayaug Elementary School,667,8,675,2007-08
0545211,0540011,Glastonbury School District,Smith Middle School,1063,7,1070,2007-08
0560111,0560011,Granby School District,Frank M. Kearns Primary School,497,0,497,2007-08
0566111,0560011,Granby School District,Granby Memorial High School,*,*,749,2007-08
0565111,0560011,Granby School District,Granby Memorial Middle School,*,*,374,2007-08
0560411,0560011,Granby School District,Kelly Lane Primary School,363,0,363,2007-08
0560311,0560011,Granby School District,Wells Road Intermediate School,344,0,344,2007-08
0575111,0570011,Greenwich School District,Central Middle School,686,27,713,2007-08
0570211,0570011,Greenwich School District,Cos Cob School,367,40,407,2007-08
0575211,0570011,Greenwich School District,Eastern Middle School,704,21,725,2007-08
0570411,0570011,Greenwich School District,Glenville School,318,26,344,2007-08
0576111,0570011,Greenwich School District,Greenwich High School,2569,124,2693,2007-08
0570511,0570011,Greenwich School District,Hamilton Avenue School,325,52,377,2007-08
0571311,0570011,Greenwich School District,International School At Dundee,333,39,372,2007-08
0570311,0570011,Greenwich School District,Julian Curtiss School,285,42,327,2007-08
0570611,0570011,Greenwich School District,New Lebanon School,179,50,229,2007-08
0570711,0570011,Greenwich School District,North Mianus School,421,33,454,2007-08
0570811,0570011,Greenwich School District,North Street School,486,29,515,2007-08
0570911,0570011,Greenwich School District,Old Greenwich School,436,18,454,2007-08
0571111,0570011,Greenwich School District,Parkway School,319,13,332,2007-08
0571011,0570011,Greenwich School District,Riverside School,462,37,499,2007-08
0575311,0570011,Greenwich School District,Western Middle School,481,46,527,2007-08
0580311,0580011,Griswold School District,Griswold Elementary School,890,16,906,2007-08
0586211,0580011,Griswold School District,Griswold High School,*,*,792,2007-08
0585111,0580011,Griswold School District,Griswold Middle School,*,*,439,2007-08
0595311,0590011,Groton School District,Carl C. Cutler Middle School,*,*,376,2007-08
0591811,0590011,Groton School District,Charles Barnum School,*,*,367,2007-08
0590311,0590011,Groton School District,Claude Chester School,338,15,353,2007-08
0590411,0590011,Groton School District,Colonel Ledyard School,*,*,139,2007-08
0590511,0590011,Groton School District,Eastern Point School,472,26,498,2007-08
0595111,0590011,Groton School District,Fitch Middle School,443,12,455,2007-08
0591711,0590011,Groton School District,Mary Morrisson School,*,*,282,2007-08
0590911,0590011,Groton School District,Noank School,240,0,240,2007-08
0591211,0590011,Groton School District,Pleasant Valley School,*,*,429,2007-08
0596111,0590011,Groton School District,Robert E. Fitch High School,1389,25,1414,2007-08
0590111,0590011,Groton School District,S. B. Butler School,*,*,317,2007-08
0595211,0590011,Groton School District,West Side Middle School,282,11,293,2007-08
0600711,0600011,Guilford School District,A. Baldwin Middle School,*,*,608,2007-08
0600611,0600011,Guilford School District,A. W. Cox School,*,*,347,2007-08
0600411,0600011,Guilford School District,Calvin Leete School,298,9,307,2007-08
0605111,0600011,Guilford School District,E. C. Adams Middle School,594,6,600,2007-08
0606111,0600011,Guilford School District,Guilford High School,1147,7,1154,2007-08
0600211,0600011,Guilford School District,Guilford Lakes School,440,9,449,2007-08
0600311,0600011,Guilford School District,Melissa Jones School,343,7,350,2007-08
0628011,0620011,Hamden School District,Alice Peck Learning Center,96,0,96,2007-08
0621211,0620011,Hamden School District,Bear Path School,464,0,464,2007-08
0620211,0620011,Hamden School District,Church Street School,*,*,382,2007-08
0620311,0620011,Hamden School District,Dunbar Hill School,*,*,377,2007-08
0626111,0620011,Hamden School District,Hamden High School,2156,36,2192,2007-08
0625211,0620011,Hamden School District,Hamden Middle School,903,10,913,2007-08
0629011,0620011,Hamden School District,Hamden Transition Academy,*,0,*,2007-08
0620411,0620011,Hamden School District,Helen Street School,343,0,343,2007-08
0621111,0620011,Hamden School District,Ridge Hill School,323,25,348,2007-08
0620111,0620011,Hamden School District,Shepherd Glen School,330,0,330,2007-08
0621011,0620011,Hamden School District,Spring Glen School,*,*,319,2007-08
0621411,0620011,Hamden School District,West Woods School,*,*,495,2007-08
