"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade   6","*","*","*","6.9","8.8"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade   7","*","*","0.0","*","8.8"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade   8","*","*","*","*","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade   9","*","*","*","*","9.2"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade 10","*","*","*","13.2","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade 11","*","*","*","0.0","*"
"2795113","2790013","Amistad Academy District","Amistad Academy","Grade 12","*","0.0","*","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Kindergarten","0.0","*","*","0.0","0.0"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   1","0.0","*","*","0.0","0.0"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   2","0.0","*","0.0","*","*"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   3","*","*","0.0","0.0","*"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   4","0.0","*","*","*","0.0"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   5","*","*","0.0","0.0","*"
"0010111","0010011","Andover School District","Andover Elementary School","Grade   6","0.0","*","0.0","*","*"
"0026111","0020011","Ansonia School District","Ansonia High School","Grade   9","16.6","15.5","22.8","24.4","13.9"
"0026111","0020011","Ansonia School District","Ansonia High School","Grade 10","13.1","18.6","16.0","16.1","14.0"
"0026111","0020011","Ansonia School District","Ansonia High School","Grade 11","8.6","28.6","11.5","16.7","14.4"
"0026111","0020011","Ansonia School District","Ansonia High School","Grade 12","8.5","16.7","7.3","28.4","22.0"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Grade   7","17.3","12.8","11.2","13.1","16.5"
"0025111","0020011","Ansonia School District","Ansonia Middle School","Grade   8","14.8","17.1","16.6","20.5","12.6"
"0020311","0020011","Ansonia School District","Mead School","Kindergarten","23.5","17.1","19.7","21.2","18.6"
"0020311","0020011","Ansonia School District","Mead School","Grade   1","17.4","12.6","13.0","15.4","21.4"
"0020311","0020011","Ansonia School District","Mead School","Grade   2","9.2","14.8","8.0","13.0","14.3"
"0020311","0020011","Ansonia School District","Mead School","Grade   3","13.8","*","*","10.1","16.5"
"0020311","0020011","Ansonia School District","Mead School","Grade   4","14.1","12.1","*","16.8","9.3"
"0020311","0020011","Ansonia School District","Mead School","Grade   5","6.4","*","9.0","6.7","17.6"
"0020311","0020011","Ansonia School District","Mead School","Grade   6","7.0","15.8","*","18.7","11.0"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Grade   9","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Grade 10","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Grade 11","","","","*","*"
"0020111","0020011","Ansonia School District","P.A.C.E. (Positive And Creative Education)","Grade 12","","","","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Kindergarten","23.2","19.8","10.0","16.8","15.0"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   1","8.8","14.2","13.0","7.6","7.6"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   2","6.6","*","*","*","12.0"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   3","7.6","7.6","6.4","*","*"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   4","10.4","12.0","*","8.7","8.4"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   5","7.7","*","9.0","9.3","*"
"0020811","0020011","Ansonia School District","Prendergast School","Grade   6","9.2","10.5","9.0","9.1","9.3"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade   5","*","","","",""
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade   6","*","*","*","",""
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade   7","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade   8","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade   9","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade 10","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade 11","*","*","*","*","*"
"2449614","2440014","Area Cooperative Educational Services","Center for Autism Spectrum and Development Disorders","Grade 12","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Kindergarten","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   1","*","*","*","*","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   2","*","*","*","*","*"
