"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Grade   1","14.1","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Grade   2","*","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Grade   3","*","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Grade   4","19.6","","","",""
"0170711","0170011","Bristol School District","Clara T. O'Connell School","Grade   5","17.6","","","",""
"0179211","0170011","Bristol School District","Community/Vocational Program","Grade 12","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Kindergarten","22.0","18.0","19.6","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Grade   1","10.0","11.3","*","14.3","*"
"0170311","0170011","Bristol School District","Edgewood School","Grade   2","9.7","*","*","*","0.0"
"0170311","0170011","Bristol School District","Edgewood School","Grade   3","*","*","*","9.8","*"
"0170311","0170011","Bristol School District","Edgewood School","Grade   4","*","*","*","*","*"
"0170311","0170011","Bristol School District","Edgewood School","Grade   5","10.2","*","9.2","*","0.0"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Kindergarten","9.8","20.6","*","12.1","9.5"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Grade   1","11.4","7.7","*","*","8.6"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Grade   2","*","10.4","*","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Grade   3","*","*","11.5","*","*"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Grade   4","*","*","*","*","0.0"
"0171411","0170011","Bristol School District","Ellen P. Hubbell School","Grade   5","11.2","*","*","*","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Kindergarten","","","","","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Grade   1","","","","","*"
"0173611","0170011","Bristol School District","Extended Resource Self-Contained","Grade   2","","","","","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Grade   6","","","","*",""
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Grade   7","","","","*","*"
"0170911","0170011","Bristol School District","Greene-Hills GOAL","Grade   8","","","","","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Kindergarten","*","12.5","9.5","10.6","13.3"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   1","*","12.3","7.9","6.4","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   2","*","*","7.3","11.2","8.7"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   3","*","*","*","*","8.2"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   4","*","6.9","*","5.5","8.8"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   5","*","7.8","*","*","5.3"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   6","","11.3","15.1","*","*"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   7","","12.9","12.4","13.6","10.1"
"0170511","0170011","Bristol School District","Greene-Hills School","Grade   8","","7.4","16.2","8.3","8.5"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Kindergarten","","","","","*"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Grade   1","","","","","*"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Grade   3","","","","*",""
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Grade   4","","","","","*"
"0172111","0170011","Bristol School District","Hubbell/Extended Resource","Grade   5","","","","*",""
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Grade   2","","","","*","*"
"0172611","0170011","Bristol School District","Ivy Drive GOAL","Grade   3","","","","","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Grade   2","","","","*",""
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Grade   3","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Grade   4","","","","*","*"
"0172311","0170011","Bristol School District","Ivy Drive Medically Fragile","Grade   5","","","","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Kindergarten","9.4","15.9","13.6","*","11.1"
"0171911","0170011","Bristol School District","Ivy Drive School","Grade   1","*","12.1","*","12.0","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Grade   2","10.1","*","10.8","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Grade   3","*","0.0","*","*","0.0"
"0171911","0170011","Bristol School District","Ivy Drive School","Grade   4","*","*","*","*","*"
"0171911","0170011","Bristol School District","Ivy Drive School","Grade   5","*","*","*","*","*"
"0170611","0170011","Bristol School District","John J. Jennings School","Kindergarten","14.8","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Grade   1","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Grade   2","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Grade   3","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Grade   4","*","","","",""
"0170611","0170011","Bristol School District","John J. Jennings School","Grade   5","*","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Grade   6","7.6","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Grade   7","4.8","","","",""
"0175311","0170011","Bristol School District","Memorial Boulevard Middle School","Grade   8","9.2","","","",""
"0171711","0170011","Bristol School District","Mountain View School","Kindergarten","10.2","12.1","*","*","11.1"
"0171711","0170011","Bristol School District","Mountain View School","Grade   1","11.9","*","*","0.0","0.0"
"0171711","0170011","Bristol School District","Mountain View School","Grade   2","*","*","*","*","0.0"
"0171711","0170011","Bristol School District","Mountain View School","Grade   3","*","*","*","*","*"
"0171711","0170011","Bristol School District","Mountain View School","Grade   4","*","*","*","0.0","*"
"0171711","0170011","Bristol School District","Mountain View School","Grade   5","0.0","*","*","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Kindergarten","","","","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Grade   1","","","","*","*"
"0172511","0170011","Bristol School District","Mt. View GOAL","Grade   2","","","","","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Grade   6","","","","*","*"
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Grade   7","","","","*",""
"0172711","0170011","Bristol School District","Northeast MS/Extended Resource","Grade   8","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Grade   6","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Grade   7","","","","*","*"
"0172811","0170011","Bristol School District","Northeast MS/GOAL","Grade   8","","","","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Grade   6","5.7","5.1","5.5","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Grade   7","5.9","6.1","7.8","*","*"
"0175211","0170011","Bristol School District","Northeast Middle School","Grade   8","8.2","4.3","7.4","7.1","5.4"
"0173011","0170011","Bristol School District","South Side Extended Resource","Kindergarten","","","","*","*"
"0173011","0170011","Bristol School District","South Side Extended Resource","Grade   1","","","","","*"
"0173111","0170011","Bristol School District","South Side GOAL","Grade   3","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Grade   4","","","","*","*"
"0173111","0170011","Bristol School District","South Side GOAL","Grade   5","","","","*","*"
"0171111","0170011","Bristol School District","South Side School","Kindergarten","16.7","10.3","11.3","12.5","*"
"0171111","0170011","Bristol School District","South Side School","Grade   1","7.9","*","*","9.6","*"
"0171111","0170011","Bristol School District","South Side School","Grade   2","6.1","*","11.3","*","9.0"
"0171111","0170011","Bristol School District","South Side School","Grade   3","9.7","*","13.2","10.3","7.5"
"0171111","0170011","Bristol School District","South Side School","Grade   4","6.5","*","7.5","*","*"
"0171111","0170011","Bristol School District","South Side School","Grade   5","7.3","*","*","7.7","*"
"0173211","0170011","Bristol School District","Stafford Autism","Kindergarten","","","","","*"
"0173211","0170011","Bristol School District","Stafford Autism","Grade   1","","","","","*"
"0173211","0170011","Bristol School District","Stafford Autism","Grade   2","","","","","*"
"0173211","0170011","Bristol School District","Stafford Autism","Grade   3","","","","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Grade   4","","","","*","*"
"0173211","0170011","Bristol School District","Stafford Autism","Grade   5","","","","*","*"
"0171211","0170011","Bristol School District","Stafford School","Kindergarten","15.2","14.6","22.5","35.7","14.5"
"0171211","0170011","Bristol School District","Stafford School","Grade   1","9.3","10.7","24.7","18.9","*"
"0171211","0170011","Bristol School District","Stafford School","Grade   2","13.8","*","15.3","17.9","10.1"
"0171211","0170011","Bristol School District","Stafford School","Grade   3","20.8","10.8","10.1","9.0","*"
"0171211","0170011","Bristol School District","Stafford School","Grade   4","13.4","12.2","19.7","8.6","*"
"0171211","0170011","Bristol School District","Stafford School","Grade   5","12.7","*","16.0","20.6","0.0"
"0172011","0170011","Bristol School District","West Bristol School","Kindergarten","","11.8","21.8","10.2","7.6"
"0172011","0170011","Bristol School District","West Bristol School","Grade   1","","16.8","10.7","11.6","*"
"0172011","0170011","Bristol School District","West Bristol School","Grade   2","","6.0","14.3","*","6.7"
"0172011","0170011","Bristol School District","West Bristol School","Grade   3","","*","8.5","*","*"
"0172011","0170011","Bristol School District","West Bristol School","Grade   4","","13.0","*","9.3","7.4"
"0172011","0170011","Bristol School District","West Bristol School","Grade   5","","11.3","9.6","8.6","9.6"
"0172011","0170011","Bristol School District","West Bristol School","Grade   6","","8.0","16.0","17.0","7.1"
"0172011","0170011","Bristol School District","West Bristol School","Grade   7","","*","*","18.4","13.3"
"0172011","0170011","Bristol School District","West Bristol School","Grade   8","","13.3","17.2","8.7","14.3"
"0186111","0180011","Brookfield School District","Brookfield High School","Grade   9","*","*","3.9","4.1","0.0"
"0186111","0180011","Brookfield School District","Brookfield High School","Grade 10","10.3","*","5.0","3.0","*"
"0186111","0180011","Brookfield School District","Brookfield High School","Grade 11","10.0","*","4.8","6.9","0.0"
"0186111","0180011","Brookfield School District","Brookfield High School","Grade 12","*","*","6.5","10.0","*"
"0180311","0180011","Brookfield School District","Center Elementary School","Kindergarten","5.0","*","*","*","*"
"0180311","0180011","Brookfield School District","Center Elementary School","Grade   1","4.4","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Grade   2","*","*","3.2","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Grade   3","*","*","*","*","*"
"0180411","0180011","Brookfield School District","Huckleberry Hill Elementary School","Grade   4","4.1","*","*","3.7","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Grade   5","3.3","5.1","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Grade   6","3.4","*","*","*","*"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Grade   7","3.3","2.8","5.8","3.0","3.3"
"0185311","0180011","Brookfield School District","Whisconier Middle School","Grade   8","5.6","*","7.7","5.3","4.0"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Kindergarten","11.3","22.6","*","8.7","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Grade   1","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Grade   2","*","*","*","0.0","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Grade   3","*","*","*","*","*"
"0190111","0190011","Brooklyn School District","Brooklyn Elementary School","Grade   4","*","*","*","6.1","0.0"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Grade   5","6.8","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Grade   6","8.1","*","*","*","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Grade   7","6.9","7.9","*","5.5","*"
"0195111","0190011","Brooklyn School District","Brooklyn Middle School","Grade   8","15.1","7.6","*","10.1","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Kindergarten","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   1","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   2","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   3","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   4","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   5","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   6","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   7","*","*","*","*","*"
"0210111","0210011","Canaan School District","Lee H. Kellogg School","Grade   8","*","*","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Kindergarten","*","13.6","*","*","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Grade   1","*","0.0","*","0.0","*"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Grade   2","*","*","*","0.0","0.0"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Grade   3","*","*","*","0.0","0.0"
"0220211","0220011","Canterbury School District","Canterbury Elementary School","Grade   4","*","*","0.0","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Grade   5","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Grade   6","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Grade   7","*","*","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Grade   8","*","16.4","*","*","*"
"0225111","0220011","Canterbury School District","Dr. Helen Baldwin Middle School","Grade 12","","*","","",""
"0230411","0230011","Canton School District","Canton Academy","Grade 11","","","","*",""
"0230411","0230011","Canton School District","Canton Academy","Grade 12","","","","*","*"
"0236111","0230011","Canton School District","Canton High School","Grade   9","*","7.0","6.6","4.7","5.5"
"0236111","0230011","Canton School District","Canton High School","Grade 10","4.3","*","*","*","5.5"
"0236111","0230011","Canton School District","Canton High School","Grade 11","*","*","*","0.0","7.7"
"0236111","0230011","Canton School District","Canton High School","Grade 12","7.7","5.7","6.8","*","5.9"
"0230311","0230011","Canton School District","Canton Intermediate School","Grade   4","6.3","*","8.3","19.1","*"
"0230311","0230011","Canton School District","Canton Intermediate School","Grade   5","*","7.0","12.6","12.1","5.0"
"0230311","0230011","Canton School District","Canton Intermediate School","Grade   6","*","*","16.0","13.0","*"
"0235111","0230011","Canton School District","Canton Middle School","Grade   7","*","*","*","4.1","*"
"0235111","0230011","Canton School District","Canton Middle School","Grade   8","*","*","*","6.3","*"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Kindergarten","8.0","7.3","11.2","17.0","6.5"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Grade   1","5.1","*","12.3","16.7","8.7"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Grade   2","*","5.8","10.7","13.8","6.2"
"0230211","0230011","Canton School District","Cherry Brook Primary School","Grade   3","*","*","12.8","11.0","8.5"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade   6","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade   7","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade   8","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade   9","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade 10","","","","","21.6"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade 11","","","","","*"
"2970113","2970013","Capital Preparatory Harbor School Inc. District","Capital Preparatory Harbor School Inc.","Grade 12","","","","","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade   6","7.6","0.0","8.6","12.7","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade   7","11.7","0.0","13.0","9.5","0.0"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade   8","25.0","0.0","7.8","17.1","*"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade   9","23.2","28.8","21.5","15.3","13.8"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade 10","*","23.4","21.4","15.6","12.0"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade 11","28.9","25.6","*","19.6","7.9"
"2415114","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering","Grade 12","*","43.8","*","23.3","21.7"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Kindergarten","","","18.9","30.3","16.7"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Grade   1","","","","21.4","14.7"
"2410714","2410014","Capitol Region Education Council","Academy of Aerospace and Engineering Elementary","Grade   2","","","","","14.8"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade   6","","","","9.4","*"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade   7","","","","10.9","7.5"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade   8","","","","13.4","14.3"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade   9","","","","18.9","15.5"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade 10","","","","11.5","16.0"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade 11","","","","13.6","18.6"
"2416514","2410014","Capitol Region Education Council","Academy of Science and Innovation","Grade 12","","","","32.5","*"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Kindergarten","","18.0","16.1","15.6","*"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Grade   1","","","13.6","9.7","*"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Grade   2","","","","17.5","*"
"2410614","2410014","Capitol Region Education Council","Ana Grace Academy of the Arts Elementary School","Grade   3","","","","","9.5"
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","Kindergarten","*","*","","",""
"2418114","2410014","Capitol Region Education Council","CREC Discovery Academy","Grade   1","","*","","",""
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Kindergarten","","","*","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Grade   1","","","14.3","*","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Grade   2","","","*","*","0.0"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Grade   3","","","","16.3","*"
"2418114","2410014","Capitol Region Education Council","Discovery Academy","Grade   4","","","","","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade   6","*","","","","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade   7","","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade   8","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade   9","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade 10","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade 11","*","*","*","*","*"
"2419214","2410014","Capitol Region Education Council","Farmington Valley Regional Diagnostic Center","Grade 12","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Kindergarten","16.3","13.0","15.3","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Grade   1","0.0","*","11.5","10.8","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Grade   2","*","*","*","10.6","9.8"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Grade   3","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Grade   4","*","*","*","*","*"
"2410114","2410014","Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Grade   5","*","0.0","*","0.0","*"
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","Grade 10","19.7","","","",""
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","Grade 11","11.1","","","",""
"2416314","2410014","Capitol Region Education Council","Great Path Academy at MCC","Grade 12","13.8","","","",""
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Grade   9","31.0","44.4","33.3","31.9","17.1"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Grade 10","59.1","38.7","45.4","47.7","23.2"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Grade 11","56.1","60.0","49.1","49.0","35.7"
"2416414","2410014","Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Grade 12","76.4","72.6","68.3","51.9","42.7"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Grade   6","","*","13.2","16.1","16.2"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Grade   7","","*","9.3","12.3","15.9"
"2415314","2410014","Capitol Region Education Council","Greater Hartford Academy of the Arts Magnet Middle","Grade   8","","","20.7","24.0","23.1"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   1","*","","","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   2","","*","","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   3","","","*","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   4","","","","*",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   5","","","","","*"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   7","*","","","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   8","*","*","","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade   9","","*","*","",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade 10","","","*","*",""
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade 11","*","*","","*","*"
"2419414","2410014","Capitol Region Education Council","Integrated Program Models","Grade 12","*","*","*","*","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Kindergarten","*","16.9","21.1","20.6","10.2"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Grade   1","11.5","10.7","11.9","15.3","13.6"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Grade   2","*","13.6","11.9","9.2","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Grade   3","*","*","13.0","12.9","*"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Grade   4","","*","*","*","11.1"
"2410414","2410014","Capitol Region Education Council","International Magnet School for Global Citizenship","Grade   5","","","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade   6","","*","*","",""
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade   7","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade   8","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade   9","54.2","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade 10","*","28.6","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade 11","*","*","*","*","*"
"2419014","2410014","Capitol Region Education Council","John J. Allison Polaris Center","Grade 12","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade   6","*","","","",""
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade   7","*","","*","",""
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade   8","*","","*","*",""
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade   9","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade 10","*","*","*","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade 11","*","*","","*","*"
"2419614","2410014","Capitol Region Education Council","Lincoln Academy Regional Interdistrict Collaborative","Grade 12","*","*","*","","*"
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade   6","*","*","*","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade   7","0.0","*","*","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade   8","*","*","14.3","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade   9","14.3","13.6","15.8","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade 10","*","17.6","12.8","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade 11","","18.2","21.3","",""
"2416514","2410014","Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Grade 12","","","32.6","",""
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade   6","6.9","*","6.3","7.0","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade   7","*","7.1","6.1","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade   8","8.5","7.8","9.5","*","*"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade   9","11.1","5.4","7.9","7.3","8.2"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade 10","*","13.7","9.9","11.3","6.7"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade 11","12.6","*","8.9","13.3","14.0"
"2416114","2410014","Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Grade 12","12.3","14.8","8.7","15.6","14.1"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Kindergarten","*","15.6","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   1","*","*","13.3","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   2","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   3","*","*","*","*","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   4","0.0","*","*","14.9","*"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   5","*","*","*","*","14.0"
"2413114","2410014","Capitol Region Education Council","Montessori Magnet School","Grade   6","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Kindergarten","*","17.0","12.1","14.1","9.4"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Grade   1","*","*","10.0","9.1","12.3"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Grade   2","*","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Grade   3","*","*","*","14.3","12.5"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Grade   4","","*","*","*","*"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Grade   5","","","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Grade   6","15.8","19.1","*","8.5","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Grade   7","26.4","*","13.6","19.4","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Grade   8","14.1","18.7","*","31.5","16.7"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Grade   9","29.0","24.3","24.0","27.0","31.0"
