"school_id","year","start_time","end_time"
"0150811","201314","07:55 AM","02:10 PM"
"0150811","201415","07:55 AM","02:10 PM"
"0150811","201516","07:55 AM","02:10 PM"
"0151011","201314","08:50 AM","03:10 PM"
"0151011","201415","08:40 AM","03:00 PM"
"0151011","201516","08:50 AM","03:10 PM"
"0151111","201314","08:50 AM","03:10 PM"
"0151111","201415","08:40 AM","03:00 PM"
"0151111","201516","08:50 AM","03:10 PM"
"0151211","201314","08:50 AM","03:10 PM"
"0151211","201415","08:40 AM","03:00 PM"
"0151211","201516","08:50 AM","03:10 PM"
"0151311","201314","08:50 AM","03:05 PM"
"0151311","201415","08:40 AM","03:00 PM"
"0151311","201516","08:50 AM","03:10 PM"
"0151411","201314","08:50 AM","03:10 PM"
"0151411","201415","08:40 AM","03:00 PM"
"0151411","201516","08:50 AM","03:10 PM"
"0151511","201314","07:55 AM","02:10 PM"
"0151511","201415","07:55 AM","02:10 PM"
"0151511","201516","07:55 AM","02:10 PM"
"0151611","201314","07:53 AM","02:10 PM"
"0151611","201415","07:55 AM","02:30 PM"
"0151611","201516","07:53 AM","02:10 PM"
"0151711","201314","08:25 AM","02:55 PM"
"0151711","201415","08:40 AM","03:00 PM"
"0151711","201516","08:25 AM","02:55 PM"
"0152011","201314","08:50 AM","03:10 PM"
"0152011","201415","08:40 AM","03:00 PM"
"0152011","201516","08:50 AM","03:10 PM"
"0152111","201314","08:40 AM","04:40 PM"
"0152111","201415","08:40 AM","04:40 PM"
"0152111","201516","08:40 AM","04:40 PM"
"0152211","201314","08:50 AM","03:10 PM"
"0152211","201415","08:40 AM","03:00 PM"
"0152211","201516","08:50 AM","03:10 PM"
"0152511","201314","08:00 AM","02:20 PM"
"0152511","201415","08:00 AM","02:20 PM"
"0152511","201516","08:30 AM","03:00 PM"
"0152611","201314","08:50 AM","03:10 PM"
"0152611","201415","08:40 AM","03:00 PM"
"0152611","201516","08:50 AM","03:10 PM"
"0153011","201314","08:50 AM","03:10 PM"
"0153011","201415","08:40 AM","03:00 PM"
"0153011","201516","08:50 AM","03:10 PM"
"0153211","201314","08:50 AM","03:10 PM"
"0153211","201415","08:40 AM","03:00 PM"
"0153211","201516","08:50 AM","03:10 PM"
"0153611","201314","08:35 AM","02:55 PM"
"0153611","201415","08:40 AM","03:00 PM"
"0153611","201516","08:50 AM","03:10 PM"
"0153711","201314","08:40 AM","03:00 PM"
"0153711","201415","08:40 AM","03:00 PM"
"0153711","201516","08:40 AM","03:05 PM"
"0153911","201314","08:50 AM","03:10 PM"
"0153911","201415","08:40 AM","03:00 PM"
"0153911","201516","08:50 AM","03:10 PM"
"0154011","201314","08:35 AM","02:55 PM"
"0154011","201415","07:50 AM","02:20 PM"
"0154011","201516","08:50 AM","03:10 PM"
"0154111","201314","08:30 AM","03:30 PM"
"0154111","201415","08:40 AM","03:00 PM"
"0154111","201516","08:30 AM","03:30 PM"
"0154211","201314","08:00 AM","03:05 PM"
"0154211","201415","08:00 AM","03:05 PM"
"0154211","201516","08:45 AM","03:05 PM"
"0154411","201314","",""
"0154411","201415","07:40 AM","02:00 PM"
"0154411","201516","07:40 AM","11:20 AM"
"0154511","201314","08:25 AM","03:00 PM"
"0154511","201415","08:40 AM","03:00 PM"
"0154511","201516","08:25 AM","02:55 PM"
"0154611","201314","08:35 AM","02:55 PM"
"0154611","201415","08:40 AM","03:00 PM"
"0154611","201516","08:35 AM","03:00 PM"
"0156111","201314","07:53 AM","02:30 PM"
"0156111","201415","07:53 AM","02:30 PM"
"0156111","201516","07:53 AM","02:30 PM"
"0156211","201314","07:53 AM","02:30 PM"
"0156211","201415","07:53 AM","02:30 PM"
"0156211","201516","07:53 AM","02:30 PM"
"0156311","201314","07:53 AM","02:30 PM"
"0156311","201415","07:53 AM","02:30 PM"
"0156311","201516","07:53 AM","02:30 PM"
"0170311","201314","09:05 AM","03:25 PM"
"0170311","201415","09:05 AM","03:25 PM"
"0170311","201516","09:05 AM","03:25 PM"
"0170411","201415","",""
"0170411","201516","09:05 AM","03:25 PM"
"0170511","201314","08:15 AM","02:50 PM"
"0170511","201415","09:05 AM","03:25 PM"
"0170511","201516","08:15 AM","02:50 PM"
"0171111","201314","09:05 AM","03:25 PM"
"0171111","201415","09:05 AM","03:25 PM"
"0171111","201516","09:05 AM","03:25 PM"
"0171211","201314","09:05 AM","03:25 PM"
