"","subject","participation.rate","school_id","year"
"768","Science: High Needs Students ","100","0153711","201516"
"769","ELA Performance index: All Students ","100","0153911","201415"
"770","EL Performance indexA: High Needs Students ","100","0153911","201415"
"771","Math Performance index: All Students ","100","0153911","201415"
"772","Math Performance index: High Needs Students ","100","0153911","201415"
"773","Science Performance index: All Students ","100","0153911","201415"
"774","Science Performance index: High Needs Students ","100","0153911","201415"
"775","ELA: All Students ","100","0153911","201516"
"776","ELA: High Needs Students ","100","0153911","201516"
"777","Math: All Students ","99.6","0153911","201516"
"778","Math: High Needs Students ","99.6","0153911","201516"
"779","Science: All Students ","100","0153911","201516"
"780","Science: High Needs Students ","100","0153911","201516"
"781","ELA Performance index: All Students ","97.8","0154011","201415"
"782","EL Performance indexA: High Needs Students ","97.8","0154011","201415"
"783","Math Performance index: All Students ","99.2","0154011","201415"
"784","Math Performance index: High Needs Students ","99.2","0154011","201415"
"785","Science Performance index: All Students ","100","0154011","201415"
"786","Science Performance index: High Needs Students ","100","0154011","201415"
"787","ELA: All Students ","99.5","0154011","201516"
"788","ELA: High Needs Students ","99.5","0154011","201516"
"789","Math: All Students ","99.4","0154011","201516"
"790","Math: High Needs Students ","99.4","0154011","201516"
"791","Science: All Students ","98.9","0154011","201516"
"792","Science: High Needs Students ","98.9","0154011","201516"
"793","ELA Performance index: All Students ","100","0154111","201415"
"794","EL Performance indexA: High Needs Students ","100","0154111","201415"
"795","Math Performance index: All Students ","100","0154111","201415"
"796","Math Performance index: High Needs Students ","100","0154111","201415"
"797","Science Performance index: All Students ","98.3","0154111","201415"
"798","Science Performance index: High Needs Students ","98.3","0154111","201415"
"799","ELA: All Students ","100","0154111","201516"
"800","ELA: High Needs Students ","100","0154111","201516"
"801","Math: All Students ","100","0154111","201516"
"802","Math: High Needs Students ","100","0154111","201516"
"803","Science: All Students ","96.2","0154111","201516"
"804","Science: High Needs Students ","96.2","0154111","201516"
"805","ELA Performance index: All Students ","99.4","0154211","201415"
"806","EL Performance indexA: High Needs Students ","99.4","0154211","201415"
"807","Math Performance index: All Students ","99","0154211","201415"
"808","Math Performance index: High Needs Students ","99","0154211","201415"
"809","Science Performance index: All Students ","100","0154211","201415"
"810","Science Performance index: High Needs Students ","100","0154211","201415"
"811","ELA: All Students ","99.8","0154211","201516"
"812","ELA: High Needs Students ","99.8","0154211","201516"
"813","Math: All Students ","99.6","0154211","201516"
"814","Math: High Needs Students ","99.6","0154211","201516"
"815","Science: All Students ","99.4","0154211","201516"
"816","Science: High Needs Students ","99.4","0154211","201516"
