"","phys","phys4","phys6","phys8","phys10","school_id","year"
"385","Sit & Reach ","N/A ","82.9","95.2","N/A","0095111","201415"
"386","Curl Up ","N/A ","74.1","83.7","N/A","0095111","201415"
"387","Push Up ","N/A ","42.5","67.4","N/A","0095111","201415"
"388","Mile Run/PACER ","N/A ","80.7","86.3","N/A","0095111","201415"
"389","All Tests - School ","N/A ","34.2","55.9","N/A","0095111","201415"
"390","All Tests - District ","24.9 ","34.2","55.9","41.4","0095111","201415"
"391","Sit & Reach ","N/A ","74.1","88.8","N/A","0095111","201516"
"392","Curl Up ","N/A ","77.7","79.5","N/A","0095111","201516"
"393","Push Up ","N/A ","50.3","55.6","N/A","0095111","201516"
"394","Mile Run/PACER ","N/A ","75.1","83.9","N/A","0095111","201516"
"395","All Tests - School ","N/A ","38.6","47.3","N/A","0095111","201516"
"396","All Tests - District ","52.8 ","38.6","47.3","45.7","0095111","201516"
"397","Sit & Reach ",". ",". ",". ","82.9","0096111","201314"
"398","Curl Up ",". ",". ",". ","90.7","0096111","201314"
"399","Push Up ",". ",". ",". ","76.1","0096111","201314"
"400","Mile Run/PACER ",". ",". ",". ","57.1","0096111","201314"
"401","All Tests - School ",". ",". ",". ","42.4","0096111","201314"
"402","All Tests - District ","40.7 ","49.5 ","48.1 ","42.4","0096111","201314"
"403","Sit & Reach ","N/A ","N/A ","N/A ","83.3","0096111","201415"
"404","Curl Up ","N/A ","N/A ","N/A ","87.7","0096111","201415"
"405","Push Up ","N/A ","N/A ","N/A ","70.4","0096111","201415"
"406","Mile Run/PACER ","N/A ","N/A ","N/A ","58","0096111","201415"
"407","All Tests - School ","N/A ","N/A ","N/A ","41.4","0096111","201415"
"408","All Tests - District ","24.9 ","34.2 ","55.9 ","41.4","0096111","201415"
"409","Sit & Reach ","N/A ","N/A ","N/A ","82.7","0096111","201516"
"410","Curl Up ","N/A ","N/A ","N/A ","89.5","0096111","201516"
"411","Push Up ","N/A ","N/A ","N/A ","74.7","0096111","201516"
"412","Mile Run/PACER ","N/A ","N/A ","N/A ","60.5","0096111","201516"
"413","All Tests - School ","N/A ","N/A ","N/A ","45.7","0096111","201516"
"414","All Tests - District ","52.8 ","38.6 ","47.3 ","45.7","0096111","201516"
"415","Sit & Reach ","58.5",". ",". ",".","0110511","201314"
"416","Curl Up ","66.7",". ",". ",".","0110511","201314"
"417","Push Up ","37.4",". ",". ",".","0110511","201314"
"418","Mile Run/PACER ","34.1",". ",". ",".","0110511","201314"
"419","All Tests - School ","24.4",". ",". ",".","0110511","201314"
"420","All Tests - District ","24.4","42.9 ","40.2 ","54.5","0110511","201314"
"421","Sit & Reach ","56.6","N/A ","N/A ","N/A","0110511","201415"
"422","Curl Up ","65.6","N/A ","N/A ","N/A","0110511","201415"
"423","Push Up ","42.6","N/A ","N/A ","N/A","0110511","201415"
"424","Mile Run/PACER ","45.1","N/A ","N/A ","N/A","0110511","201415"
"425","All Tests - School ","21.3","N/A ","N/A ","N/A","0110511","201415"
"426","All Tests - District ","21.3","44.9 ","44.9 ","64.8","0110511","201415"
"427","Sit & Reach ","70.9","N/A ","N/A ","N/A","0110511","201516"
"428","Curl Up ","69.1","N/A ","N/A ","N/A","0110511","201516"
"429","Push Up ","60.9","N/A ","N/A ","N/A","0110511","201516"
"430","Mile Run/PACER ","63.6","N/A ","N/A ","N/A","0110511","201516"
"431","All Tests - School ","46.4","N/A ","N/A ","N/A","0110511","201516"
"432","All Tests - District ","46.4","51.6 ","51.2 ","61.0","0110511","201516"
"433","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110611","201314"
"434","Curl Up ","N/A ","N/A ","N/A ","N/A","0110611","201314"
"435","Push Up ","N/A ","N/A ","N/A ","N/A","0110611","201314"
"436","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110611","201314"
"437","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110611","201314"
"438","All Tests - District ","24.4 ","42.9 ","40.2 ","54.5","0110611","201314"
"439","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110611","201415"
"440","Curl Up ","N/A ","N/A ","N/A ","N/A","0110611","201415"
"441","Push Up ","N/A ","N/A ","N/A ","N/A","0110611","201415"
"442","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110611","201415"
"443","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110611","201415"
"444","All Tests - District ","21.3 ","44.9 ","44.9 ","64.8","0110611","201415"
"445","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110611","201516"
"446","Curl Up ","N/A ","N/A ","N/A ","N/A","0110611","201516"
"447","Push Up ","N/A ","N/A ","N/A ","N/A","0110611","201516"
"448","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110611","201516"
"449","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110611","201516"
"450","All Tests - District ","46.4 ","51.6 ","51.2 ","61.0","0110611","201516"
"451","Sit & Reach ",". ","79.8",". ",".","0110711","201314"
"452","Curl Up ",". ","86.9",". ",".","0110711","201314"
"453","Push Up ",". ","55.6",". ",".","0110711","201314"
"454","Mile Run/PACER ",". ","73.7",". ",".","0110711","201314"
"455","All Tests - School ",". ","46.5",". ",".","0110711","201314"
"456","All Tests - District ","24.4 ","42.9","40.2 ","54.5","0110711","201314"
"457","Sit & Reach ","N/A ","73.1","N/A ","N/A","0110711","201415"
"458","Curl Up ","N/A ","77.4","N/A ","N/A","0110711","201415"
"459","Push Up ","N/A ","64.5","N/A ","N/A","0110711","201415"
"460","Mile Run/PACER ","N/A ","61.3","N/A ","N/A","0110711","201415"
"461","All Tests - School ","N/A ","36.6","N/A ","N/A","0110711","201415"
"462","All Tests - District ","21.3 ","44.9","44.9 ","64.8","0110711","201415"
"463","Sit & Reach ","N/A ","77","N/A ","N/A","0110711","201516"
"464","Curl Up ","N/A ","68","N/A ","N/A","0110711","201516"
"465","Push Up ","N/A ","60","N/A ","N/A","0110711","201516"
"466","Mile Run/PACER ","N/A ","68","N/A ","N/A","0110711","201516"
"467","All Tests - School ","N/A ","44","N/A ","N/A","0110711","201516"
"468","All Tests - District ","46.4 ","51.6","51.2 ","61.0","0110711","201516"
"469","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110811","201314"
"470","Curl Up ","N/A ","N/A ","N/A ","N/A","0110811","201314"
"471","Push Up ","N/A ","N/A ","N/A ","N/A","0110811","201314"
"472","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110811","201314"
"473","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110811","201314"
"474","All Tests - District ","24.4 ","42.9 ","40.2 ","54.5","0110811","201314"
"475","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110811","201415"
"476","Curl Up ","N/A ","N/A ","N/A ","N/A","0110811","201415"
"477","Push Up ","N/A ","N/A ","N/A ","N/A","0110811","201415"
"478","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110811","201415"
"479","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110811","201415"
"480","All Tests - District ","21.3 ","44.9 ","44.9 ","64.8","0110811","201415"
"481","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0110811","201516"
"482","Curl Up ","N/A ","N/A ","N/A ","N/A","0110811","201516"
"483","Push Up ","N/A ","N/A ","N/A ","N/A","0110811","201516"
"484","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0110811","201516"
"485","All Tests - School ","N/A ","N/A ","N/A ","N/A","0110811","201516"
"486","All Tests - District ","46.4 ","51.6 ","51.2 ","61.0","0110811","201516"
"487","Sit & Reach ",". ",". ","73.5",".","0115211","201314"
"488","Curl Up ",". ",". ","73.5",".","0115211","201314"
"489","Push Up ",". ",". ","54.9",".","0115211","201314"
"490","Mile Run/PACER ",". ",". ","60.8",".","0115211","201314"
"491","All Tests - School ",". ",". ","40.2",".","0115211","201314"
"492","All Tests - District ","24.4 ","42.9 ","40.2","54.5","0115211","201314"
"493","Sit & Reach ","N/A ","N/A ","75.7","N/A","0115211","201415"
"494","Curl Up ","N/A ","N/A ","78.6","N/A","0115211","201415"
"495","Push Up ","N/A ","N/A ","57.3","N/A","0115211","201415"
"496","Mile Run/PACER ","N/A ","N/A ","61.2","N/A","0115211","201415"
"497","All Tests - School ","N/A ","N/A ","36.9","N/A","0115211","201415"
"498","All Tests - District ","21.3 ","44.9 ","44.9","64.8","0115211","201415"
"499","Sit & Reach ","N/A ","N/A ","68.4","N/A","0115211","201516"
"500","Curl Up ","N/A ","N/A ","78.9","N/A","0115211","201516"
"501","Push Up ","N/A ","N/A ","55.8","N/A","0115211","201516"
"502","Mile Run/PACER ","N/A ","N/A ","69.5","N/A","0115211","201516"
"503","All Tests - School ","N/A ","N/A ","46.3","N/A","0115211","201516"
"504","All Tests - District ","46.4 ","51.6 ","51.2","61.0","0115211","201516"
"505","Sit & Reach ",". ",". ",". ","94.7","0116111","201314"
"506","Curl Up ",". ",". ",". ","93.7","0116111","201314"
"507","Push Up ",". ",". ",". ","90.5","0116111","201314"
"508","Mile Run/PACER ",". ",". ",". ","68.4","0116111","201314"
"509","All Tests - School ",". ",". ",". ","63.2","0116111","201314"
"510","All Tests - District ","24.4 ","42.9 ","40.2 ","54.5","0116111","201314"
"511","Sit & Reach ","N/A ","N/A ","N/A ","83.3","0116111","201415"
"512","Curl Up ","N/A ","N/A ","N/A ","89.5","0116111","201415"
"513","Push Up ","N/A ","N/A ","N/A ","91.2","0116111","201415"
"514","Mile Run/PACER ","N/A ","N/A ","N/A ","81.6","0116111","201415"
"515","All Tests - School ","N/A ","N/A ","N/A ","65.8","0116111","201415"
"516","All Tests - District ","21.3 ","44.9 ","44.9 ","64.8","0116111","201415"
"517","Sit & Reach ","N/A ","N/A ","N/A ","96.2","0116111","201516"
"518","Curl Up ","N/A ","N/A ","N/A ","82.1","0116111","201516"
"519","Push Up ","N/A ","N/A ","N/A ","79.5","0116111","201516"
"520","Mile Run/PACER ","N/A ","N/A ","N/A ","70.5","0116111","201516"
"521","All Tests - School ","N/A ","N/A ","N/A ","60.3","0116111","201516"
"522","All Tests - District ","46.4 ","51.6 ","51.2 ","61","0116111","201516"
"523","Sit & Reach ",". ","73.5",". ","85.7","0116311","201314"
"524","Curl Up ",". ","85.3",". ","100","0116311","201314"
"525","Push Up ",". ","76.5",". ","82.1","0116311","201314"
"526","Mile Run/PACER ",". ","47.1",". ","28.6","0116311","201314"
"527","All Tests - School ",". ","32.4",". ","25","0116311","201314"
"528","All Tests - District ","24.4 ","42.9","40.2 ","54.5","0116311","201314"
"529","Sit & Reach ","N/A ","88.2","93.9","85.7","0116311","201415"
"530","Curl Up ","N/A ","94.1","97","89.3","0116311","201415"
"531","Push Up ","N/A ","76.5","81.8","71.4","0116311","201415"
"532","Mile Run/PACER ","N/A ","88.2","87.9","78.6","0116311","201415"
"533","All Tests - School ","N/A ","67.6","69.7","60.7","0116311","201415"
"534","All Tests - District ","21.3 ","44.9","44.9","64.8","0116311","201415"
"535","Sit & Reach ","N/A ","90.9","100","96.3","0116311","201516"
"536","Curl Up ","N/A ","90.9","78.1","88.9","0116311","201516"
"537","Push Up ","N/A ","86.4","71.9","92.6","0116311","201516"
"538","Mile Run/PACER ","N/A ","90.9","87.5","74.1","0116311","201516"
"539","All Tests - School ","N/A ","86.4","65.6","63","0116311","201516"
"540","All Tests - District ","46.4 ","51.6","51.2","61","0116311","201516"
"541","Sit & Reach ","N/A ","N/A ","N/A ","N/A ","0116411","201314"
"542","Curl Up ","N/A ","N/A ","N/A ","N/A ","0116411","201314"
"543","Push Up ","N/A ","N/A ","N/A ","N/A ","0116411","201314"
"544","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A ","0116411","201314"
"545","All Tests - School ","N/A ","N/A ","N/A ","N/A ","0116411","201314"
"546","All Tests - District ","24.4 ","42.9 ","40.2 ","54.5 ","0116411","201314"
"547","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0116411","201415"
"548","Curl Up ","N/A ","N/A ","N/A ","N/A","0116411","201415"
"549","Push Up ","N/A ","N/A ","N/A ","N/A","0116411","201415"
"550","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0116411","201415"
"551","All Tests - School ","N/A ","N/A ","N/A ","N/A","0116411","201415"
"552","All Tests - District ","21.3 ","44.9 ","44.9 ","64.8","0116411","201415"
"553","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0116411","201516"
"554","Curl Up ","N/A ","N/A ","N/A ","N/A","0116411","201516"
"555","Push Up ","N/A ","N/A ","N/A ","N/A","0116411","201516"
"556","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0116411","201516"
"557","All Tests - School ","N/A ","N/A ","N/A ","N/A","0116411","201516"
"558","All Tests - District ","46.4 ","51.6 ","51.2 ","61.0","0116411","201516"
"559","Sit & Reach ","88.5","79.2","78",".","0120111","201314"
"560","Curl Up ","83.6","91.7","96.6",".","0120111","201314"
"561","Push Up ","54.1","60.4","74.6",".","0120111","201314"
"562","Mile Run/PACER ","85.2","89.6","84.7",".","0120111","201314"
"563","All Tests - School ","47.5","47.9","64.4",".","0120111","201314"
"564","All Tests - District ","47.5","47.9","64.4","70.0","0120111","201314"
"565","Sit & Reach ","87.5","83.9","78.2","N/A","0120111","201415"
"566","Curl Up ","84.4","93.5","92.7","N/A","0120111","201415"
"567","Push Up ","68.8","74.2","80","N/A","0120111","201415"
"568","Mile Run/PACER ","87.5","91.9","83.6","N/A","0120111","201415"
"569","All Tests - School ","56.3","61.3","58.2","N/A","0120111","201415"
"570","All Tests - District ","56.3","61.3","58.2","70.7","0120111","201415"
"571","Sit & Reach ","89.1","78.7","75","N/A","0120111","201516"
"572","Curl Up ","89.1","88.5","93.8","N/A","0120111","201516"
"573","Push Up ","63.6","70.5","66.7","N/A","0120111","201516"
"574","Mile Run/PACER ","85.5","86.9","79.2","N/A","0120111","201516"
"575","All Tests - School ","52.7","47.5","54.2","N/A","0120111","201516"
"576","All Tests - District ","52.7","47.5","54.2","60.9","0120111","201516"
"577","Sit & Reach ",". ",". ",". ","91.3","0126111","201314"
"578","Curl Up ",". ",". ",". ","93.8","0126111","201314"
"579","Push Up ",". ",". ",". ","80","0126111","201314"
"580","Mile Run/PACER ",". ",". ",". ","78.8","0126111","201314"
"581","All Tests - School ",". ",". ",". ","70","0126111","201314"
"582","All Tests - District ","47.5 ","47.9 ","64.4 ","70","0126111","201314"
"583","Sit & Reach ","N/A ","N/A ","N/A ","84.5","0126111","201415"
"584","Curl Up ","N/A ","N/A ","N/A ","93.1","0126111","201415"
"585","Push Up ","N/A ","N/A ","N/A ","82.8","0126111","201415"
"586","Mile Run/PACER ","N/A ","N/A ","N/A ","87.9","0126111","201415"
"587","All Tests - School ","N/A ","N/A ","N/A ","70.7","0126111","201415"
"588","All Tests - District ","56.3 ","61.3 ","58.2 ","70.7","0126111","201415"
"589","Sit & Reach ","N/A ","N/A ","N/A ","76.8","0126111","201516"
"590","Curl Up ","N/A ","N/A ","N/A ","92.8","0126111","201516"
"591","Push Up ","N/A ","N/A ","N/A ","73.9","0126111","201516"
"592","Mile Run/PACER ","N/A ","N/A ","N/A ","94.2","0126111","201516"
"593","All Tests - School ","N/A ","N/A ","N/A ","60.9","0126111","201516"
"594","All Tests - District ","52.7 ","47.5 ","54.2 ","60.9","0126111","201516"
"595","Sit & Reach ","95.8","92","88.2",NA,"0130111","201314"
"596","Curl Up ","95.8","84","91.2",NA,"0130111","201314"
"597","Push Up ","62.5","92","82.4",NA,"0130111","201314"
"598","Mile Run/PACER ","45.8","96","79.4",NA,"0130111","201314"
"599","All Tests - School ","33.3","76","73.5",NA,"0130111","201314"
"600","All Tests - District ","33.3","76","73.5",NA,"0130111","201314"
"601","Sit & Reach ","96.7",NA,"90.5","N/A","0130111","201415"
"602","Curl Up ","100",NA,"100","N/A","0130111","201415"
"603","Push Up ","83.3",NA,"90.5","N/A","0130111","201415"
"604","Mile Run/PACER ","80",NA,"90.5","N/A","0130111","201415"
"605","All Tests - School ","73.3",NA,"85.7","N/A","0130111","201415"
"606","All Tests - District ","73.3",NA,"85.7","N/A","0130111","201415"
"607","Sit & Reach ","90.5","90.5",NA,"N/A","0130111","201516"
"608","Curl Up ","95.2","76.2",NA,"N/A","0130111","201516"
"609","Push Up ","95.2","90.5",NA,"N/A","0130111","201516"
"610","Mile Run/PACER ","81","85.7",NA,"N/A","0130111","201516"
"611","All Tests - School ","81","57.1",NA,"N/A","0130111","201516"
"612","All Tests - District ","81","57.1",NA,"N/A","0130111","201516"
"613","Sit & Reach ","77.6",". ",". ",".","0141411","201314"
"614","Curl Up ","85.5",". ",". ",".","0141411","201314"
"615","Push Up ","82.9",". ",". ",".","0141411","201314"
"616","Mile Run/PACER ","78.9",". ",". ",".","0141411","201314"
"617","All Tests - School ","57.9",". ",". ",".","0141411","201314"
"618","All Tests - District ","59.4","51.0 ","48.7 ","50.9","0141411","201314"
"619","Sit & Reach ","81.2","N/A ","N/A ","N/A","0141411","201415"
"620","Curl Up ","79.7","N/A ","N/A ","N/A","0141411","201415"
"621","Push Up ","78.3","N/A ","N/A ","N/A","0141411","201415"
"622","Mile Run/PACER ","84.1","N/A ","N/A ","N/A","0141411","201415"
"623","All Tests - School ","55.1","N/A ","N/A ","N/A","0141411","201415"
"624","All Tests - District ","58.7","46.6 ","42.5 ","41.3","0141411","201415"
"625","Sit & Reach ","73.8","N/A ","N/A ","N/A","0141411","201516"
"626","Curl Up ","82.1","N/A ","N/A ","N/A","0141411","201516"
"627","Push Up ","76.2","N/A ","N/A ","N/A","0141411","201516"
"628","Mile Run/PACER ","77.4","N/A ","N/A ","N/A","0141411","201516"
"629","All Tests - School ","54.8","N/A ","N/A ","N/A","0141411","201516"
"630","All Tests - District ","53.7","48.3 ","38.0 ","53.4","0141411","201516"
"631","Sit & Reach ","85.7",". ",". ",".","0141511","201314"
"632","Curl Up ","81.8",". ",". ",".","0141511","201314"
"633","Push Up ","80.5",". ",". ",".","0141511","201314"
"634","Mile Run/PACER ","87",". ",". ",".","0141511","201314"
"635","All Tests - School ","59.7",". ",". ",".","0141511","201314"
"636","All Tests - District ","59.4","51.0 ","48.7 ","50.9","0141511","201314"
"637","Sit & Reach ","87.5","N/A ","N/A ","N/A","0141511","201415"
"638","Curl Up ","81.8","N/A ","N/A ","N/A","0141511","201415"
"639","Push Up ","83","N/A ","N/A ","N/A","0141511","201415"
"640","Mile Run/PACER ","84.1","N/A ","N/A ","N/A","0141511","201415"
"641","All Tests - School ","69.3","N/A ","N/A ","N/A","0141511","201415"
"642","All Tests - District ","58.7","46.6 ","42.5 ","41.3","0141511","201415"
"643","Sit & Reach ","80.3","N/A ","N/A ","N/A","0141511","201516"
"644","Curl Up ","80.3","N/A ","N/A ","N/A","0141511","201516"
"645","Push Up ","77.3","N/A ","N/A ","N/A","0141511","201516"
"646","Mile Run/PACER ","71.2","N/A ","N/A ","N/A","0141511","201516"
"647","All Tests - School ","45.5","N/A ","N/A ","N/A","0141511","201516"
"648","All Tests - District ","53.7","48.3 ","38.0 ","53.4","0141511","201516"
"649","Sit & Reach ","78.1",". ",". ",".","0141611","201314"
"650","Curl Up ","76.6",". ",". ",".","0141611","201314"
"651","Push Up ","81.3",". ",". ",".","0141611","201314"
"652","Mile Run/PACER ","71.9",". ",". ",".","0141611","201314"
"653","All Tests - School ","60.9",". ",". ",".","0141611","201314"
"654","All Tests - District ","59.4","51.0 ","48.7 ","50.9","0141611","201314"
"655","Sit & Reach ","73.5","N/A ","N/A ","N/A","0141611","201415"
"656","Curl Up ","72.1","N/A ","N/A ","N/A","0141611","201415"
"657","Push Up ","76.5","N/A ","N/A ","N/A","0141611","201415"
"658","Mile Run/PACER ","67.6","N/A ","N/A ","N/A","0141611","201415"
"659","All Tests - School ","48.5","N/A ","N/A ","N/A","0141611","201415"
"660","All Tests - District ","58.7","46.6 ","42.5 ","41.3","0141611","201415"
"661","Sit & Reach ","86.4","N/A ","N/A ","N/A","0141611","201516"
"662","Curl Up ","92.4","N/A ","N/A ","N/A","0141611","201516"
"663","Push Up ","84.8","N/A ","N/A ","N/A","0141611","201516"
"664","Mile Run/PACER ","72.7","N/A ","N/A ","N/A","0141611","201516"
"665","All Tests - School ","60.6","N/A ","N/A ","N/A","0141611","201516"
"666","All Tests - District ","53.7","48.3 ","38.0 ","53.4","0141611","201516"
"667","Sit & Reach ",". ","74.5","76.7",".","0145111","201314"
"668","Curl Up ",". ","75","79.9",".","0145111","201314"
"669","Push Up ",". ","74.5","67.7",".","0145111","201314"
"670","Mile Run/PACER ",". ","71.9","66.7",".","0145111","201314"
"671","All Tests - School ",". ","51","48.7",".","0145111","201314"
"672","All Tests - District ","59.4 ","51","48.7","50.9","0145111","201314"
"673","Sit & Reach ","N/A ","81","76.8","N/A","0145111","201415"
"674","Curl Up ","N/A ","81.6","83.4","N/A","0145111","201415"
"675","Push Up ","N/A ","69.3","62.4","N/A","0145111","201415"
"676","Mile Run/PACER ","N/A ","71.2","53.6","N/A","0145111","201415"
"677","All Tests - School ","N/A ","46.6","42.5","N/A","0145111","201415"
"678","All Tests - District ","58.7 ","46.6","42.5","41.3","0145111","201415"
"679","Sit & Reach ","N/A ","72.5","79.9","N/A","0145111","201516"
"680","Curl Up ","N/A ","90.8","85.3","N/A","0145111","201516"
"681","Push Up ","N/A ","81.2","67.9","N/A","0145111","201516"
"682","Mile Run/PACER ","N/A ","71","64.7","N/A","0145111","201516"
"683","All Tests - School ","N/A ","48.3","38","N/A","0145111","201516"
"684","All Tests - District ","53.7 ","48.3","38","53.4","0145111","201516"
"685","Sit & Reach ",". ",". ",". ","83","0146111","201314"
"686","Curl Up ",". ",". ",". ","84.9","0146111","201314"
"687","Push Up ",". ",". ",". ","57.1","0146111","201314"
"688","Mile Run/PACER ",". ",". ",". ","62.7","0146111","201314"
"689","All Tests - School ",". ",". ",". ","50.9","0146111","201314"
"690","All Tests - District ","59.4 ","51.0 ","48.7 ","50.9","0146111","201314"
"691","Sit & Reach ","N/A ","N/A ","N/A ","89.3","0146111","201415"
"692","Curl Up ","N/A ","N/A ","N/A ","90.9","0146111","201415"
"693","Push Up ","N/A ","N/A ","N/A ","67.4","0146111","201415"
"694","Mile Run/PACER ","N/A ","N/A ","N/A ","47.5","0146111","201415"
"695","All Tests - School ","N/A ","N/A ","N/A ","41.3","0146111","201415"
"696","All Tests - District ","58.7 ","46.6 ","42.5 ","41.3","0146111","201415"
"697","Sit & Reach ","N/A ","N/A ","N/A ","98.8","0146111","201516"
"698","Curl Up ","N/A ","N/A ","N/A ","94.7","0146111","201516"
"699","Push Up ","N/A ","N/A ","N/A ","80.6","0146111","201516"
"700","Mile Run/PACER ","N/A ","N/A ","N/A ","57.6","0146111","201516"
"701","All Tests - School ","N/A ","N/A ","N/A ","55.9","0146111","201516"
"702","All Tests - District ","53.7 ","48.3 ","38.0 ","53.4","0146111","201516"
"703","Sit & Reach ","71.2","60.7","84.4",".","0150111","201314"
"704","Curl Up ","100","98.2","97.8",".","0150111","201314"
"705","Push Up ","92.3","98.2","97.8",".","0150111","201314"
"706","Mile Run/PACER ","82.7","91.1","82.2",".","0150111","201314"
"707","All Tests - School ","57.7","55.4","66.7",".","0150111","201314"
"708","All Tests - District ","43.1","44.9","43.2","18.4","0150111","201314"
"709","Sit & Reach ","75.7","69.2","85.5","N/A","0150111","201415"
"710","Curl Up ","97.1","88.5","81.8","N/A","0150111","201415"
"711","Push Up ","81.4","65.4","69.1","N/A","0150111","201415"
"712","Mile Run/PACER ","94.3","86.5","80","N/A","0150111","201415"
"713","All Tests - School ","62.9","50","52.7","N/A","0150111","201415"
"714","All Tests - District ","35.7","34.1","32.7","46.1","0150111","201415"
"715","Sit & Reach ","69.1","64.1","54.9","N/A","0150111","201516"
"716","Curl Up ","94.5","97.4","96.1","N/A","0150111","201516"
"717","Push Up ","69.1","53.8","56.9","N/A","0150111","201516"
"718","Mile Run/PACER ","56.4","43.6","25.5","N/A","0150111","201516"
"719","All Tests - School ","43.6","23.1","15.7","N/A","0150111","201516"
"720","All Tests - District ","42.5","36.5","39","28.6","0150111","201516"
"721","Sit & Reach ","58","54.8",". ",".","0150211","201314"
"722","Curl Up ","84","90.3",". ",".","0150211","201314"
"723","Push Up ","60","51.6",". ",".","0150211","201314"
"724","Mile Run/PACER ","46","51.6",". ",".","0150211","201314"
"725","All Tests - School ","32","32.3",". ",".","0150211","201314"
"726","All Tests - District ","43.1","44.9","43.2 ","18.4","0150211","201314"
"727","Sit & Reach ","81.6","76.9","N/A ","N/A","0150211","201415"
"728","Curl Up ","89.5","84.6","N/A ","N/A","0150211","201415"
"729","Push Up ","65.8","71.8","N/A ","N/A","0150211","201415"
"730","Mile Run/PACER ","42.1","38.5","N/A ","N/A","0150211","201415"
"731","All Tests - School ","39.5","30.8","N/A ","N/A","0150211","201415"
"732","All Tests - District ","35.7","34.1","32.7 ","46.1","0150211","201415"
"733","Sit & Reach ","53.8","50","N/A ","N/A","0150211","201516"
"734","Curl Up ","75","78.6","N/A ","N/A","0150211","201516"
"735","Push Up ","51.9","46.4","N/A ","N/A","0150211","201516"
"736","Mile Run/PACER ","53.8","46.4","N/A ","N/A","0150211","201516"
"737","All Tests - School ","25","21.4","N/A ","N/A","0150211","201516"
"738","All Tests - District ","42.5","36.5","39.0 ","28.6","0150211","201516"
"739","Sit & Reach ","100","100","* ",".","0150311","201314"
"740","Curl Up ","90.3","83","* ",".","0150311","201314"
"741","Push Up ","74.2","72.3","* ",".","0150311","201314"
"742","Mile Run/PACER ","74.2","61.7","* ",".","0150311","201314"
"743","All Tests - School ","54.8","46.8","* ",".","0150311","201314"
"744","All Tests - District ","43.1","44.9","43.2 ","18.4","0150311","201314"
"745","Sit & Reach ","76.7","82.9","88.9","N/A","0150311","201415"
"746","Curl Up ","90.7","91.4","77.8","N/A","0150311","201415"
"747","Push Up ","41.9","60","77.8","N/A","0150311","201415"
"748","Mile Run/PACER ","76.7","77.1","74.1","N/A","0150311","201415"
"749","All Tests - School ","37.2","48.6","63","N/A","0150311","201415"
"750","All Tests - District ","35.7","34.1","32.7","46.1","0150311","201415"
"751","Sit & Reach ","91.5","71.9","95.7","N/A","0150311","201516"
"752","Curl Up ","70.2","87.5","78.3","N/A","0150311","201516"
"753","Push Up ","31.9","65.6","45.7","N/A","0150311","201516"
"754","Mile Run/PACER ","76.6","46.9","32.6","N/A","0150311","201516"
"755","All Tests - School ","29.8","34.4","19.6","N/A","0150311","201516"
"756","All Tests - District ","42.5","36.5","39","28.6","0150311","201516"
"757","Sit & Reach ","90.2","89.7",". ",".","0150411","201314"
"758","Curl Up ","74.5","84.6",". ",".","0150411","201314"
"759","Push Up ","68.6","69.2",". ",".","0150411","201314"
"760","Mile Run/PACER ","78.4","76.9",". ",".","0150411","201314"
"761","All Tests - School ","68.6","69.2",". ",".","0150411","201314"
"762","All Tests - District ","43.1","44.9","43.2 ","18.4","0150411","201314"
"763","Sit & Reach ","72.2","78","N/A ","N/A","0150411","201415"
"764","Curl Up ","70.4","87.8","N/A ","N/A","0150411","201415"
"765","Push Up ","44.4","48.8","N/A ","N/A","0150411","201415"
"766","Mile Run/PACER ","59.3","65.9","N/A ","N/A","0150411","201415"
"767","All Tests - School ","38.9","46.3","N/A ","N/A","0150411","201415"
"768","All Tests - District ","35.7","34.1","32.7 ","46.1","0150411","201415"
"769","Sit & Reach ","86","83.3","N/A ","N/A","0150411","201516"
"770","Curl Up ","84.2","75","N/A ","N/A","0150411","201516"
"771","Push Up ","40.4","66.7","N/A ","N/A","0150411","201516"
"772","Mile Run/PACER ","73.7","77.8","N/A ","N/A","0150411","201516"
"773","All Tests - School ","38.6","50","N/A ","N/A","0150411","201516"
