"school_id","year","attendance"
"0626111","201314",1811
"0626111","201415",1696
"0626111","201516",1598
"0630111","201314",111
"0630111","201415",105
"0630111","201516",101
"0640111","201314",459
"0640111","201415",402
"0640111","201516",394
"0640411","201314",527
"0640411","201415",466
"0640411","201516",478
"0640511","201314",158
"0640511","201415",212
"0640511","201516",259
"0640611","201314",541
"0640611","201415",581
"0640611","201516",520
"0640711","201314",635
"0640711","201415",661
"0640711","201516",649
"0640811","201314",569
"0640811","201415",602
"0640811","201516",621
"0640911","201314",596
"0640911","201415",607
"0640911","201516",613
"0641011","201314",658
"0641011","201415",621
"0641011","201516",571
"0641111","201314",819
"0641111","201415",884
"0641111","201516",910
"0641211","201314",291
"0641211","201415",252
"0641211","201516",239
"0641311","201314",120
"0641311","201415",144
"0641311","201516",143
"0641411","201314",660
"0641411","201415",682
"0641411","201516",660
"0641511","201314",543
"0641511","201415",532
"0641511","201516",537
"0641611","201314",316
"0641611","201415",329
"0641611","201516",356
"0641711","201314",498
"0641711","201415",484
"0641711","201516",373
"0641911","201314",376
"0641911","201415",330
"0641911","201516",334
"0642011","201314",675
"0642011","201415",678
"0642011","201516",660
"0642111","201314",498
"0642111","201415",380
"0642111","201516",359
"0642211","201314",354
"0642211","201415",303
"0642211","201516",304
"0642311","201314",708
"0642311","201415",684
"0642311","201516",590
"0642511","201314",359
"0642511","201415",360
"0642511","201516",367
"0642611","201314",297
"0642611","201415",295
"0642611","201516",293
"0642811","201314",278
"0642811","201415",288
"0642811","201516",279
"0643011","201314",492
"0643011","201415",485
"0643011","201516",480
"0643211","201314",593
"0643211","201415",577
"0643211","201516",532
"0643311","201314",361
"0643311","201415",357
"0643311","201516",355
"0643511","201314",252
"0643511","201415",318
"0643511","201516",280
"0643611","201314",492
"0643611","201415",621
"0643611","201516",661
"0643711","201314",291
"0643711","201415",323
"0643711","201516",340
"0643811","201314",173
"0643811","201415",253
"0643811","201516",309
"0643911","201415",47
"0643911","201516",56
"0644011","201314",128
"0644011","201415",83
"0644011","201516",99
"0645411","201314",918
"0645411","201415",1001
"0645411","201516",1022
"0646011","201314",294
"0646011","201415",275
"0646011","201516",285
"0646411","201314",690
"0646411","201415",702
"0646411","201516",663
"0646511","201314",705
"0646511","201415",702
"0646511","201516",707
"0646611","201314",330
"0646611","201415",375
"0646611","201516",419
"0646711","201314",408
"0646711","201415",423
"0646711","201516",431
"0646911","201314",701
"0646911","201415",672
"0646911","201516",629
"0647111","201314",378
"0647111","201415",373
"0647111","201516",379
"0647211","201314",414
"0647211","201415",372
"0647211","201516",304
"0647411","201314",481
"0647411","201415",389
"0647411","201516",367
"0647511","201314",458
"0647511","201415",393
"0647511","201516",362
"0647611","201314",343
"0647611","201415",256
"0647611","201516",233
"0647711","201314",201
"0647711","201415",190
"0647711","201516",207
"0647911","201314",249
"0647911","201415",256
"0647911","201516",268
"0650111","201314",204
"0650111","201415",201
"0650111","201516",187
"0670111","201314",523
"0670111","201415",491
"0670111","201516",436
"0670211","201314",344
"0670211","201415",294
"0670211","201516",294
"0680111","201314",272
"0680111","201415",254
"0680111","201516",237
"0690111","201314",427
"0690111","201415",383
"0690111","201516",377
"0690311","201314",450
"0690311","201415",483
"0690311","201516",484
"0695211","201314",761
"0695211","201415",715
"0695211","201516",688
"0696111","201314",855
"0696111","201415",792
"0696111","201516",825
"0710111","201314",392
"0710111","201415",378
"0710111","201516",368
"0715111","201314",358
"0715111","201415",336
"0715111","201516",300
"0716211","201314",396
"0716211","201415",381
"0716211","201516",377
"0720111","201314",418
"0720111","201415",415
"0720111","201516",407
"0720211","201314",225
"0720211","201415",193
"0720211","201516",224
"0720311","201314",274
"0720311","201415",294
"0720311","201516",294
"0720411","201314",360
"0720411","201415",362
"0720411","201516",337
"0725111","201314",347
"0725111","201415",350
"0725111","201516",323
"0726111","201314",933
"0726111","201415",896
"0726111","201516",833
"0730111","201314",396
"0730111","201415",398
"0730111","201516",388
"0740211","201314",268
"0740211","201415",272
"0740211","201516",270
"0740311","201314",245
"0740311","201415",229
"0740311","201516",220
"0746011","201516",175
"0746111","201314",472
"0746111","201415",477
"0746111","201516",296
"0760111","201314",343
"0760111","201415",339
"0760111","201516",338
"0760211","201314",296
"0760211","201415",273
"0760211","201516",268
"0760311","201314",242
"0760311","201415",237
"0760311","201516",229
"0760611","201314",546
"0760611","201415",488
"0760611","201516",416
"0765211","201314",560
"0765211","201415",552
"0765211","201516",556
"0766111","201314",1251
"0766111","201415",1229
"0766111","201516",1164
"0770111","201314",425
"0770111","201415",417
"0770111","201516",392
"0770311","201314",360
"0770311","201415",349
"0770311","201516",365
"0770411","201314",267
"0770411","201415",274
"0770411","201516",262
"0770611","201314",336
"0770611","201415",336
"0770611","201516",354
"0771011","201314",380
"0771011","201415",407
"0771011","201516",356
"0771211","201314",364
"0771211","201415",412
"0771211","201516",386
"0771311","201314",342
"0771311","201415",342
"0771311","201516",377
"0771411","201314",362
"0771411","201415",373
"0771411","201516",357
"0771611","201314",282
"0771611","201415",265
"0771611","201516",268
"0771711","201314",374
"0771711","201415",404
"0771711","201516",420
"0775311","201314",801
"0775311","201415",807
"0775311","201516",780
"0776111","201314",1619
"0776111","201415",1526
"0776111","201516",1534
"0780211","201314",201
"0780211","201415",219
"0780211","201516",207
"0780411","201314",256
"0780411","201415",260
"0780411","201516",268
"0780511","201314",242
"0780511","201415",241
"0780511","201516",242
"0785111","201314",546
"0785111","201415",519
"0785111","201516",530
"0790111","201314",605
"0790111","201415",599
"0790111","201516",556
"0800111","201314",414
"0800111","201415",387
"0800111","201516",346
"0800311","201314",602
"0800311","201415",628
"0800311","201516",616
"0800411","201314",611
"0800411","201415",580
"0800411","201516",588
"0800511","201314",509
"0800511","201415",509
"0800511","201516",476
"0800711","201314",612
"0800711","201415",646
"0800711","201516",630
"0800811","201314",477
"0800811","201415",498
"0800811","201516",559
"0801011","201314",446
"0801011","201415",466
"0801011","201516",421
"0801111","201314",581
"0801111","201415",557
"0801111","201516",557
"0805211","201314",769
"0805211","201415",756
"0805211","201516",743
"0805411","201314",761
"0805411","201415",696
"0805411","201516",674
"0806111","201314",1173
"0806111","201415",1210
"0806111","201516",1177
"0806211","201314",1156
"0806211","201415",1097
"0806211","201516",1013
"0830111","201314",330
"0830111","201415",299
"0830111","201516",293
"0830211","201314",322
"0830211","201415",309
"0830211","201516",289
"0830511","201314",367
"0830511","201415",372
"0830511","201516",337
"0830911","201314",204
"0830911","201415",213
"0830911","201516",208
"0831111","201314",399
"0831111","201415",405
"0831111","201516",393
"0831211","201314",283
"0831211","201415",261
"0831211","201516",261
"0831311","201314",303
"0831311","201415",281
"0831311","201516",280
"0831411","201314",322
"0831411","201415",278
"0831411","201516",267
"0831511","201314",319
"0831511","201415",360
"0831511","201516",312
"0835411","201314",666
"0835411","201415",645
"0835411","201516",670
"0836211","201314",1252
"0836211","201415",1197
"0836211","201516",1202
"0840111","201314",254
"0840111","201415",259
"0840111","201516",293
"0840711","201314",461
"0840711","201415",393
"0840711","201516",315
"0840811","201314",388
"0840811","201415",440
"0840811","201516",409
"0841011","201314",374
"0841011","201415",374
"0841011","201516",280
"0841611","201314",310
"0841611","201415",299
"0841611","201516",315
"0841711","201314",377
"0841711","201415",369
"0841711","201516",414
"0841811","201314",341
"0841811","201415",325
"0841811","201516",370
"0841911","201314",381
"0841911","201415",380
"0841911","201516",378
"0845111","201314",466
"0845111","201415",487
"0845111","201516",456
"0845211","201314",554
"0845211","201415",561
"0845211","201516",536
"0845311","201314",523
"0845311","201415",466
"0845311","201516",450
"0846211","201314",1013
"0846211","201415",925
"0846211","201516",940
"0846311","201314",963
"0846311","201415",919
"0846311","201516",920
"0850111","201314",371
"0850111","201415",363
"0850111","201516",354
"0850311","201314",474
"0850311","201415",467
"0850311","201516",430
"0850511","201314",522
"0850511","201415",512
"0850511","201516",497
"0855211","201314",812
"0855211","201415",758
"0855211","201516",780
"0856111","201314",1188
"0856111","201415",1163
"0856111","201516",1092
"0860111","201314",365
"0860111","201415",353
"0860111","201516",333
"0860511","201314",386
"0860511","201415",309
"0860511","201516",297
"0860711","201314",354
"0860711","201415",344
"0860711","201516",342
"0865111","201314",576
"0865111","201415",552
"0865111","201516",551
"0866111","201314",702
"0866111","201415",700
"0866111","201516",654
"0880211","201314",289
"0880211","201415",346
"0880211","201516",312
"0880311","201314",509
"0880311","201415",475
"0880311","201516",450
"0880411","201314",360
"0880411","201415",304
"0880411","201516",312
"0880511","201314",326
"0880511","201415",337
"0880511","201516",310
"0880611","201314",274
"0880611","201415",249
"0880611","201516",266
"0880711","201314",261
"0880711","201415",265
"0880711","201516",281
"0880811","201314",239
"0880811","201415",246
"0880811","201516",272
"0885111","201314",679
"0885111","201415",680
"0885111","201516",675
"0886111","201314",1267
"0886111","201415",1259
"0886111","201516",1198
"0890311","201314",501
"0890311","201415",528
"0890311","201516",467
"0890511","201314",593
"0890511","201415",569
"0890511","201516",578
"0890611","201314",489
"0890611","201415",506
"0890611","201516",461
"0890711","201314",424
"0890711","201415",442
"0890711","201516",442
"0890811","201314",708
"0890811","201415",725
"0890811","201516",688
"0890911","201314",288
"0890911","201415",274
"0890911","201516",285
"0891111","201314",779
"0891111","201415",771
"0891111","201516",791
"0891211","201314",654
"0891211","201415",702
"0891211","201516",678
"0891311","201314",671
"0891311","201415",696
"0891311","201516",580
"0891511","201314",537
"0891511","201415",513
"0891511","201516",523
"0895211","201314",618
"0895211","201415",776
"0895211","201516",733
"0895311","201314",633
"0895311","201415",769
"0895311","201516",766
"0895411","201314",167
"0895411","201415",159
