"category","fte","school_id","year"
"Other Staff Providing Non-Instructional Services/Support ",19.9,"0641611","201314"
"General Education: Teachers and Instructors ",19.4,"0641611","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0641611","201415"
"Special Education: Teachers and Instructors ",3,"0641611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0641611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0641611","201415"
"Library/Media: Specialists (Certified) ",0,"0641611","201415"
"Support Staff ",0,"0641611","201415"
"Instructional Specialists Who Support Teachers ",4,"0641611","201415"
"Counselors, Social Workers and School Psychologists ",1.4,"0641611","201415"
"School Nurses ",0.5,"0641611","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.9,"0641611","201415"
"General Education: Teachers and Instructors ",23.1,"0641611","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0641611","201516"
"Special Education: Teachers and Instructors ",4,"0641611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0641611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0641611","201516"
"Library/Media: Specialists (Certified) ",1,"0641611","201516"
"Support Staff ",0,"0641611","201516"
"Instructional Specialists Who Support Teachers ",4,"0641611","201516"
"Counselors, Social Workers and School Psychologists ",1.4,"0641611","201516"
"School Nurses ",1,"0641611","201516"
"Other Staff Providing Non-Instructional Services/Support ",16.9,"0641611","201516"
"General Education: Teachers and Instructors ",28,"0641711","201314"
"General Education: Paraprofessional Instructional Assistants ",1.5,"0641711","201314"
"Special Education: Teachers and Instructors ",4.5,"0641711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0641711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0641711","201314"
"Library/Media: Specialists (Certified) ",0,"0641711","201314"
"Support Staff ",0,"0641711","201314"
"Instructional Specialists Who Support Teachers ",0,"0641711","201314"
"Counselors, Social Workers and School Psychologists ",1.3,"0641711","201314"
"School Nurses ",1,"0641711","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.5,"0641711","201314"
"General Education: Teachers and Instructors ",28.5,"0641711","201415"
"General Education: Paraprofessional Instructional Assistants ",1.5,"0641711","201415"
"Special Education: Teachers and Instructors ",5,"0641711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",20,"0641711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0641711","201415"
"Library/Media: Specialists (Certified) ",0,"0641711","201415"
"Support Staff ",0,"0641711","201415"
"Instructional Specialists Who Support Teachers ",1,"0641711","201415"
"Counselors, Social Workers and School Psychologists ",1.5,"0641711","201415"
"School Nurses ",1,"0641711","201415"
"Other Staff Providing Non-Instructional Services/Support ",12.5,"0641711","201415"
"General Education: Teachers and Instructors ",26.5,"0641711","201516"
"General Education: Paraprofessional Instructional Assistants ",1.5,"0641711","201516"
"Special Education: Teachers and Instructors ",9,"0641711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",35,"0641711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0641711","201516"
"Library/Media: Specialists (Certified) ",0,"0641711","201516"
"Support Staff ",0,"0641711","201516"
"Instructional Specialists Who Support Teachers ",3.5,"0641711","201516"
"Counselors, Social Workers and School Psychologists ",1.5,"0641711","201516"
"School Nurses ",1,"0641711","201516"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"0641711","201516"
"General Education: Teachers and Instructors ",26,"0641911","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0641911","201314"
"Special Education: Teachers and Instructors ",3.5,"0641911","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0641911","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0641911","201314"
"Library/Media: Specialists (Certified) ",1,"0641911","201314"
"Support Staff ",0,"0641911","201314"
"Instructional Specialists Who Support Teachers ",2,"0641911","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0641911","201314"
"School Nurses ",1,"0641911","201314"
"Other Staff Providing Non-Instructional Services/Support ",9,"0641911","201314"
"General Education: Teachers and Instructors ",24,"0641911","201415"
"General Education: Paraprofessional Instructional Assistants ",13,"0641911","201415"
"Special Education: Teachers and Instructors ",4,"0641911","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0641911","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0641911","201415"
"Library/Media: Specialists (Certified) ",1,"0641911","201415"
"Support Staff ",0,"0641911","201415"
"Instructional Specialists Who Support Teachers ",4,"0641911","201415"
"Counselors, Social Workers and School Psychologists ",1.6,"0641911","201415"
"School Nurses ",1,"0641911","201415"
"Other Staff Providing Non-Instructional Services/Support ",14,"0641911","201415"
"General Education: Teachers and Instructors ",22,"0641911","201516"
"General Education: Paraprofessional Instructional Assistants ",4,"0641911","201516"
"Special Education: Teachers and Instructors ",4,"0641911","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0641911","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0641911","201516"
"Library/Media: Specialists (Certified) ",1,"0641911","201516"
"Support Staff ",0,"0641911","201516"
"Instructional Specialists Who Support Teachers ",3,"0641911","201516"
"Counselors, Social Workers and School Psychologists ",1.6,"0641911","201516"
"School Nurses ",1,"0641911","201516"
"Other Staff Providing Non-Instructional Services/Support ",17,"0641911","201516"
"General Education: Teachers and Instructors ",39.5,"0642011","201314"
"General Education: Paraprofessional Instructional Assistants ",3,"0642011","201314"
"Special Education: Teachers and Instructors ",2.5,"0642011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0642011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642011","201314"
"Library/Media: Specialists (Certified) ",1,"0642011","201314"
"Support Staff ",0,"0642011","201314"
"Instructional Specialists Who Support Teachers ",3.8,"0642011","201314"
"Counselors, Social Workers and School Psychologists ",3,"0642011","201314"
"School Nurses ",1,"0642011","201314"
"Other Staff Providing Non-Instructional Services/Support ",30,"0642011","201314"
"General Education: Teachers and Instructors ",39.5,"0642011","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0642011","201415"
"Special Education: Teachers and Instructors ",2,"0642011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0642011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642011","201415"
"Library/Media: Specialists (Certified) ",1,"0642011","201415"
"Support Staff ",0,"0642011","201415"
"Instructional Specialists Who Support Teachers ",4.8,"0642011","201415"
"Counselors, Social Workers and School Psychologists ",2.4,"0642011","201415"
"School Nurses ",1,"0642011","201415"
"Other Staff Providing Non-Instructional Services/Support ",26,"0642011","201415"
"General Education: Teachers and Instructors ",41.5,"0642011","201516"
"General Education: Paraprofessional Instructional Assistants ",8,"0642011","201516"
"Special Education: Teachers and Instructors ",3,"0642011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0642011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642011","201516"
"Library/Media: Specialists (Certified) ",1,"0642011","201516"
"Support Staff ",0,"0642011","201516"
"Instructional Specialists Who Support Teachers ",4.8,"0642011","201516"
"Counselors, Social Workers and School Psychologists ",2.4,"0642011","201516"
"School Nurses ",1,"0642011","201516"
"Other Staff Providing Non-Instructional Services/Support ",23,"0642011","201516"
"General Education: Teachers and Instructors ",36.2,"0642111","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0642111","201314"
"Special Education: Teachers and Instructors ",4,"0642111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0642111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0642111","201314"
"Library/Media: Specialists (Certified) ",0.5,"0642111","201314"
"Support Staff ",0,"0642111","201314"
"Instructional Specialists Who Support Teachers ",4.8,"0642111","201314"
"Counselors, Social Workers and School Psychologists ",2.6,"0642111","201314"
"School Nurses ",1.5,"0642111","201314"
"Other Staff Providing Non-Instructional Services/Support ",11,"0642111","201314"
"General Education: Teachers and Instructors ",27,"0642111","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"0642111","201415"
"Special Education: Teachers and Instructors ",3.5,"0642111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0642111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0642111","201415"
"Library/Media: Specialists (Certified) ",0.5,"0642111","201415"
"Support Staff ",0,"0642111","201415"
"Instructional Specialists Who Support Teachers ",4.6,"0642111","201415"
"Counselors, Social Workers and School Psychologists ",2.6,"0642111","201415"
"School Nurses ",1,"0642111","201415"
"Other Staff Providing Non-Instructional Services/Support ",12,"0642111","201415"
"General Education: Teachers and Instructors ",23,"0642111","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0642111","201516"
"Special Education: Teachers and Instructors ",3,"0642111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0642111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0642111","201516"
"Library/Media: Specialists (Certified) ",0,"0642111","201516"
"Support Staff ",0,"0642111","201516"
"Instructional Specialists Who Support Teachers ",3,"0642111","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"0642111","201516"
"School Nurses ",2,"0642111","201516"
"Other Staff Providing Non-Instructional Services/Support ",11.8,"0642111","201516"
"General Education: Teachers and Instructors ",22.5,"0642211","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"0642211","201314"
"Special Education: Teachers and Instructors ",5,"0642211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",17,"0642211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.5,"0642211","201314"
"Library/Media: Specialists (Certified) ",1,"0642211","201314"
"Support Staff ",0,"0642211","201314"
"Instructional Specialists Who Support Teachers ",3.6,"0642211","201314"
"Counselors, Social Workers and School Psychologists ",1.5,"0642211","201314"
"School Nurses ",1,"0642211","201314"
"Other Staff Providing Non-Instructional Services/Support ",10,"0642211","201314"
"General Education: Teachers and Instructors ",19,"0642211","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0642211","201415"
"Special Education: Teachers and Instructors ",5.5,"0642211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19,"0642211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.5,"0642211","201415"
"Library/Media: Specialists (Certified) ",1,"0642211","201415"
"Support Staff ",0,"0642211","201415"
"Instructional Specialists Who Support Teachers ",4.1,"0642211","201415"
"Counselors, Social Workers and School Psychologists ",1.5,"0642211","201415"
"School Nurses ",1,"0642211","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"0642211","201415"
"General Education: Teachers and Instructors ",18,"0642211","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"0642211","201516"
"Special Education: Teachers and Instructors ",2.5,"0642211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",20,"0642211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.5,"0642211","201516"
"Library/Media: Specialists (Certified) ",1,"0642211","201516"
"Support Staff ",0,"0642211","201516"
"Instructional Specialists Who Support Teachers ",3.5,"0642211","201516"
"Counselors, Social Workers and School Psychologists ",1.5,"0642211","201516"
"School Nurses ",1,"0642211","201516"
"Other Staff Providing Non-Instructional Services/Support ",11.5,"0642211","201516"
"General Education: Teachers and Instructors ",38.6,"0642311","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0642311","201314"
"Special Education: Teachers and Instructors ",7,"0642311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18,"0642311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642311","201314"
"Library/Media: Specialists (Certified) ",0,"0642311","201314"
"Support Staff ",0,"0642311","201314"
"Instructional Specialists Who Support Teachers ",2.5,"0642311","201314"
"Counselors, Social Workers and School Psychologists ",2.6,"0642311","201314"
"School Nurses ",0.5,"0642311","201314"
"Other Staff Providing Non-Instructional Services/Support ",15,"0642311","201314"
"General Education: Teachers and Instructors ",36,"0642311","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"0642311","201415"
"Special Education: Teachers and Instructors ",7,"0642311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18,"0642311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642311","201415"
"Library/Media: Specialists (Certified) ",0,"0642311","201415"
"Support Staff ",0,"0642311","201415"
"Instructional Specialists Who Support Teachers ",5.5,"0642311","201415"
"Counselors, Social Workers and School Psychologists ",3.5,"0642311","201415"
"School Nurses ",1,"0642311","201415"
"Other Staff Providing Non-Instructional Services/Support ",16,"0642311","201415"
"General Education: Teachers and Instructors ",37.5,"0642311","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"0642311","201516"
"Special Education: Teachers and Instructors ",7,"0642311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",20,"0642311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0642311","201516"
"Library/Media: Specialists (Certified) ",0,"0642311","201516"
"Support Staff ",0,"0642311","201516"
"Instructional Specialists Who Support Teachers ",3.5,"0642311","201516"
"Counselors, Social Workers and School Psychologists ",3.5,"0642311","201516"
"School Nurses ",1,"0642311","201516"
"Other Staff Providing Non-Instructional Services/Support ",22,"0642311","201516"
"General Education: Teachers and Instructors ",23.8,"0642511","201314"
"General Education: Paraprofessional Instructional Assistants ",3,"0642511","201314"
"Special Education: Teachers and Instructors ",3,"0642511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0642511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0642511","201314"
"Library/Media: Specialists (Certified) ",0.5,"0642511","201314"
"Support Staff ",0,"0642511","201314"
"Instructional Specialists Who Support Teachers ",2.6,"0642511","201314"
"Counselors, Social Workers and School Psychologists ",1.5,"0642511","201314"
"School Nurses ",0.5,"0642511","201314"
"Other Staff Providing Non-Instructional Services/Support ",10,"0642511","201314"
"General Education: Teachers and Instructors ",22.2,"0642511","201415"
"General Education: Paraprofessional Instructional Assistants ",3,"0642511","201415"
"Special Education: Teachers and Instructors ",3,"0642511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0642511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0642511","201415"
"Library/Media: Specialists (Certified) ",0.5,"0642511","201415"
"Support Staff ",0,"0642511","201415"
"Instructional Specialists Who Support Teachers ",3.6,"0642511","201415"
"Counselors, Social Workers and School Psychologists ",1.5,"0642511","201415"
"School Nurses ",0.5,"0642511","201415"
"Other Staff Providing Non-Instructional Services/Support ",10.5,"0642511","201415"
"General Education: Teachers and Instructors ",22,"0642511","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0642511","201516"
"Special Education: Teachers and Instructors ",3,"0642511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0642511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0642511","201516"
"Library/Media: Specialists (Certified) ",0.5,"0642511","201516"
"Support Staff ",0,"0642511","201516"
"Instructional Specialists Who Support Teachers ",2.6,"0642511","201516"
"Counselors, Social Workers and School Psychologists ",1.5,"0642511","201516"
"School Nurses ",0.5,"0642511","201516"
"Other Staff Providing Non-Instructional Services/Support ",10,"0642511","201516"
"General Education: Teachers and Instructors ",19.1,"0642611","201314"
"General Education: Paraprofessional Instructional Assistants ",1.5,"0642611","201314"
"Special Education: Teachers and Instructors ",7,"0642611","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0642611","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.5,"0642611","201314"
"Library/Media: Specialists (Certified) ",0,"0642611","201314"
"Support Staff ",0,"0642611","201314"
"Instructional Specialists Who Support Teachers ",2.2,"0642611","201314"
"Counselors, Social Workers and School Psychologists ",1.8,"0642611","201314"
"School Nurses ",1,"0642611","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.5,"0642611","201314"
"General Education: Teachers and Instructors ",18,"0642611","201415"
"General Education: Paraprofessional Instructional Assistants ",1,"0642611","201415"
"Special Education: Teachers and Instructors ",5.5,"0642611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0642611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2.5,"0642611","201415"
"Library/Media: Specialists (Certified) ",0,"0642611","201415"
"Support Staff ",0,"0642611","201415"
"Instructional Specialists Who Support Teachers ",2.4,"0642611","201415"
"Counselors, Social Workers and School Psychologists ",1.5,"0642611","201415"
"School Nurses ",1,"0642611","201415"
"Other Staff Providing Non-Instructional Services/Support ",12.5,"0642611","201415"
"General Education: Teachers and Instructors ",16.5,"0642611","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0642611","201516"
"Special Education: Teachers and Instructors ",8,"0642611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",24,"0642611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2.5,"0642611","201516"
"Library/Media: Specialists (Certified) ",0,"0642611","201516"
"Support Staff ",0,"0642611","201516"
"Instructional Specialists Who Support Teachers ",2.6,"0642611","201516"
"Counselors, Social Workers and School Psychologists ",1.5,"0642611","201516"
"School Nurses ",1,"0642611","201516"
"Other Staff Providing Non-Instructional Services/Support ",13.5,"0642611","201516"
"General Education: Teachers and Instructors ",23.2,"0642811","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"0642811","201314"
"Special Education: Teachers and Instructors ",3,"0642811","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0642811","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0642811","201314"
"Library/Media: Specialists (Certified) ",0,"0642811","201314"
"Support Staff ",0,"0642811","201314"
"Instructional Specialists Who Support Teachers ",3,"0642811","201314"
"Counselors, Social Workers and School Psychologists ",1.9,"0642811","201314"
"School Nurses ",1,"0642811","201314"
"Other Staff Providing Non-Instructional Services/Support ",14,"0642811","201314"
"General Education: Teachers and Instructors ",17.2,"0642811","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0642811","201415"
"Special Education: Teachers and Instructors ",4,"0642811","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0642811","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0642811","201415"
"Library/Media: Specialists (Certified) ",1,"0642811","201415"
"Support Staff ",0,"0642811","201415"
"Instructional Specialists Who Support Teachers ",2,"0642811","201415"
"Counselors, Social Workers and School Psychologists ",3.2,"0642811","201415"
"School Nurses ",1,"0642811","201415"
"Other Staff Providing Non-Instructional Services/Support ",15,"0642811","201415"
"General Education: Teachers and Instructors ",18.1,"0642811","201516"
"General Education: Paraprofessional Instructional Assistants ",6,"0642811","201516"
"Special Education: Teachers and Instructors ",3.5,"0642811","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0642811","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0642811","201516"
"Library/Media: Specialists (Certified) ",1,"0642811","201516"
"Support Staff ",0,"0642811","201516"
"Instructional Specialists Who Support Teachers ",1.5,"0642811","201516"
"Counselors, Social Workers and School Psychologists ",2.9,"0642811","201516"
"School Nurses ",1,"0642811","201516"
"Other Staff Providing Non-Instructional Services/Support ",15,"0642811","201516"
"General Education: Teachers and Instructors ",29,"0643011","201314"
"General Education: Paraprofessional Instructional Assistants ",3,"0643011","201314"
"Special Education: Teachers and Instructors ",3,"0643011","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0643011","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643011","201314"
"Library/Media: Specialists (Certified) ",0,"0643011","201314"
"Support Staff ",0,"0643011","201314"
"Instructional Specialists Who Support Teachers ",2,"0643011","201314"
"Counselors, Social Workers and School Psychologists ",1,"0643011","201314"
"School Nurses ",1,"0643011","201314"
"Other Staff Providing Non-Instructional Services/Support ",15,"0643011","201314"
"General Education: Teachers and Instructors ",27.5,"0643011","201415"
"General Education: Paraprofessional Instructional Assistants ",3,"0643011","201415"
"Special Education: Teachers and Instructors ",4,"0643011","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0643011","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643011","201415"
"Library/Media: Specialists (Certified) ",1,"0643011","201415"
"Support Staff ",0,"0643011","201415"
"Instructional Specialists Who Support Teachers ",4,"0643011","201415"
"Counselors, Social Workers and School Psychologists ",1.5,"0643011","201415"
"School Nurses ",1,"0643011","201415"
"Other Staff Providing Non-Instructional Services/Support ",16.5,"0643011","201415"
"General Education: Teachers and Instructors ",27.8,"0643011","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0643011","201516"
"Special Education: Teachers and Instructors ",3,"0643011","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0643011","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643011","201516"
"Library/Media: Specialists (Certified) ",0,"0643011","201516"
"Support Staff ",0,"0643011","201516"
"Instructional Specialists Who Support Teachers ",4,"0643011","201516"
"Counselors, Social Workers and School Psychologists ",1.3,"0643011","201516"
"School Nurses ",1,"0643011","201516"
"Other Staff Providing Non-Instructional Services/Support ",17.8,"0643011","201516"
"General Education: Teachers and Instructors ",38,"0643211","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0643211","201314"
"Special Education: Teachers and Instructors ",8.8,"0643211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0643211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643211","201314"
"Library/Media: Specialists (Certified) ",0,"0643211","201314"
"Support Staff ",0,"0643211","201314"
"Instructional Specialists Who Support Teachers ",2.8,"0643211","201314"
"Counselors, Social Workers and School Psychologists ",2.6,"0643211","201314"
"School Nurses ",1.8,"0643211","201314"
"Other Staff Providing Non-Instructional Services/Support ",15.8,"0643211","201314"
"General Education: Teachers and Instructors ",35,"0643211","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0643211","201415"
"Special Education: Teachers and Instructors ",8,"0643211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0643211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643211","201415"
"Library/Media: Specialists (Certified) ",0,"0643211","201415"
"Support Staff ",0,"0643211","201415"
"Instructional Specialists Who Support Teachers ",4.6,"0643211","201415"
"Counselors, Social Workers and School Psychologists ",2.5,"0643211","201415"
"School Nurses ",2.8,"0643211","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.8,"0643211","201415"
"General Education: Teachers and Instructors ",34,"0643211","201516"
"General Education: Paraprofessional Instructional Assistants ",7,"0643211","201516"
"Special Education: Teachers and Instructors ",8,"0643211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",14,"0643211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0643211","201516"
"Library/Media: Specialists (Certified) ",0,"0643211","201516"
"Support Staff ",0,"0643211","201516"
"Instructional Specialists Who Support Teachers ",4.6,"0643211","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"0643211","201516"
"School Nurses ",2.8,"0643211","201516"
"Other Staff Providing Non-Instructional Services/Support ",16.8,"0643211","201516"
"General Education: Teachers and Instructors ",22,"0643311","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0643311","201314"
"Special Education: Teachers and Instructors ",3,"0643311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0643311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643311","201314"
"Library/Media: Specialists (Certified) ",0,"0643311","201314"
"Support Staff ",0,"0643311","201314"
"Instructional Specialists Who Support Teachers ",3.5,"0643311","201314"
"Counselors, Social Workers and School Psychologists ",0,"0643311","201314"
"School Nurses ",1,"0643311","201314"
"Other Staff Providing Non-Instructional Services/Support ",14,"0643311","201314"
"General Education: Teachers and Instructors ",21.2,"0643311","201415"
"General Education: Paraprofessional Instructional Assistants ",4,"0643311","201415"
"Special Education: Teachers and Instructors ",3,"0643311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0643311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643311","201415"
"Library/Media: Specialists (Certified) ",0,"0643311","201415"
"Support Staff ",0,"0643311","201415"
"Instructional Specialists Who Support Teachers ",3.6,"0643311","201415"
"Counselors, Social Workers and School Psychologists ",0.2,"0643311","201415"
"School Nurses ",1,"0643311","201415"
"Other Staff Providing Non-Instructional Services/Support ",13,"0643311","201415"
"General Education: Teachers and Instructors ",20,"0643311","201516"
"General Education: Paraprofessional Instructional Assistants ",7.5,"0643311","201516"
"Special Education: Teachers and Instructors ",2,"0643311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6.5,"0643311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643311","201516"
"Library/Media: Specialists (Certified) ",0,"0643311","201516"
"Support Staff ",0,"0643311","201516"
"Instructional Specialists Who Support Teachers ",4.2,"0643311","201516"
"Counselors, Social Workers and School Psychologists ",0.2,"0643311","201516"
"School Nurses ",1,"0643311","201516"
"Other Staff Providing Non-Instructional Services/Support ",15,"0643311","201516"
"General Education: Teachers and Instructors ",16.2,"0643511","201314"
"General Education: Paraprofessional Instructional Assistants ",2,"0643511","201314"
"Special Education: Teachers and Instructors ",4,"0643511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",1,"0643511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643511","201314"
"Library/Media: Specialists (Certified) ",0,"0643511","201314"
"Support Staff ",0,"0643511","201314"
"Instructional Specialists Who Support Teachers ",1.5,"0643511","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0643511","201314"
"School Nurses ",1,"0643511","201314"
"Other Staff Providing Non-Instructional Services/Support ",11,"0643511","201314"
"General Education: Teachers and Instructors ",16.7,"0643511","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0643511","201415"
"Special Education: Teachers and Instructors ",3,"0643511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0643511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643511","201415"
"Library/Media: Specialists (Certified) ",0,"0643511","201415"
"Support Staff ",0,"0643511","201415"
"Instructional Specialists Who Support Teachers ",2.6,"0643511","201415"
"Counselors, Social Workers and School Psychologists ",1,"0643511","201415"
"School Nurses ",1,"0643511","201415"
"Other Staff Providing Non-Instructional Services/Support ",10.5,"0643511","201415"
"General Education: Teachers and Instructors ",18.2,"0643511","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0643511","201516"
"Special Education: Teachers and Instructors ",3,"0643511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0643511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643511","201516"
"Library/Media: Specialists (Certified) ",0,"0643511","201516"
"Support Staff ",0,"0643511","201516"
"Instructional Specialists Who Support Teachers ",2.6,"0643511","201516"
"Counselors, Social Workers and School Psychologists ",1,"0643511","201516"
"School Nurses ",1,"0643511","201516"
"Other Staff Providing Non-Instructional Services/Support ",14.5,"0643511","201516"
"General Education: Teachers and Instructors ",30.5,"0643611","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"0643611","201314"
"Special Education: Teachers and Instructors ",3,"0643611","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0643611","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0643611","201314"
"Library/Media: Specialists (Certified) ",0,"0643611","201314"
"Support Staff ",0,"0643611","201314"
