"school_id","year","grades_served"
"0171411","201314","PK-5"
"0171411","201415","PK-5"
"0171411","201516","PK-5"
"0171711","201314","PK-5"
"0171711","201415","PK-5"
"0171711","201516","PK-5"
"0171911","201314","PK-5"
"0171911","201415","PK-5"
"0171911","201516","PK-5"
"0172011","201314","PK-8"
"0172011","201415","PK-8"
"0172011","201516","PK-8"
"0175111","201314","6-8"
"0175111","201415","6-8"
"0175111","201516","6-8"
"0175211","201314","6-8"
"0175211","201415","6-8"
"0175211","201516","6-8"
"0176111","201314","9-12"
"0176111","201415","9-12"
"0176111","201516","9-12"
"0176211","201314","9-12"
"0176211","201415","9-12"
"0176211","201516","9-12"
"0180311","201314","PK-1"
"0180311","201415","PK-1"
"0180311","201516","PK-1"
"0180411","201314","2-4"
"0180411","201415","2-4"
"0180411","201516","2-4"
"0185311","201314","5-8"
"0185311","201415","5-8"
"0185311","201516","5-8"
"0186111","201314","9-12"
"0186111","201415","9-12"
"0186111","201516","9-12"
"0190111","201314","PK-4"
"0190111","201415","PK-4"
"0190111","201516","PK-4"
"0195111","201314","5-8"
"0195111","201415","5-8"
"0195111","201516","5-8"
"0210111","201314","K-8"
"0210111","201415","K-8"
"0210111","201516","K-8"
"0220211","201314","PK-4"
"0220211","201415","PK-4"
"0220211","201516","PK-4"
"0225111","201314","5-8"
"0225111","201415","5-8"
"0225111","201516","5-8"
"0230211","201314","PK-3"
"0230211","201415","PK-3"
"0230211","201516","PK-3"
"0230311","201314","4-6"
"0230311","201415","4-6"
"0230311","201516","4-6"
"0235111","201314","7-8"
"0235111","201415","7-8"
"0235111","201516","7-8"
"0236111","201314","9-12"
"0236111","201415","9-12"
"0236111","201516","9-12"
"0240211","201314","PK-6"
"0240211","201415","PK-6"
"0240211","201516","PK-6"
"0250111","201314","1-6"
"0250111","201415","K-6"
"0250111","201516","K-6"
"0250211","201314","PK-K"
"0250211","201415","PK-K"
"0250211","201516","PK-K"
"0250411","201314","1-6"
"0250411","201415","K-6"
"0250411","201516","K-6"
"0250511","201314","1-6"
"0250511","201415","K-6"
"0250511","201516","K-6"
"0250611","201314","1-6"
"0250611","201415","1-6"
"0250611","201516","1-6"
"0255111","201314","7-8"
"0255111","201415","7-8"
"0255111","201516","7-8"
"0256111","201314","9-12"
"0256111","201415","9-12"
"0256111","201516","9-12"
"0260111","201314","PK-6"
"0260111","201415","PK-6"
"0260111","201516","PK-6"
"0270111","201314","4-5"
"0270111","201415","4-5"
"0270111","201516","4-5"
"0270311","201314","PK-3"
"0270311","201415","PK-3"
"0270311","201516","PK-3"
"0275111","201314","6-8"
"0275111","201415","6-8"
"0275111","201516","6-8"
"0276111","201314","9-12"
"0276111","201415","9-12"
"0276111","201516","9-12"
"0280211","201314","3-5"
"0280211","201415","3-5"
"0280211","201516","3-5"
"0280411","201314","PK-2"
"0280411","201415","PK-2"
"0280411","201516","PK-2"
"0285111","201314","6-8"
"0285111","201415","6-8"
"0285111","201516","6-8"
"0286111","201314","9-12"
"0286111","201415","9-12"
"0286111","201516","9-12"
"0290111","201314","PK-6"
"0290111","201415","K-6"
"0290111","201516","K-6"
"0300111","201314","PK-8"
"0300111","201415","PK-8"
"0300111","201516","PK-8"
"0310111","201314","K-8"
"0310111","201415","K-8"
"0310111","201516","K-8"
"0320211","201314","K-2"
"0320211","201415","K-2"
"0320211","201516","K-2"
"0320411","201314","3-5"
"0320411","201415","3-5"
"0320411","201516","3-5"
"0325111","201314","6-8"
"0325111","201415","6-8"
"0325111","201516","6-8"
"0326111","201314","9-12"
"0326111","201415","9-12"
"0326111","201516","9-12"
"0330211","201314","PK-2"
"0330211","201415","PK-2"
"0330211","201516","PK-2"
"0330311","201314","3-5"
"0330311","201415","3-5"
"0330311","201516","3-5"
"0335111","201314","6-8"
"0335111","201415","6-8"
"0335111","201516","6-8"
"0336111","201314","9-12"
"0336111","201415","9-12"
"0336111","201516","9-12"
"0340111","201314","PK-K"
"0340111","201415","PK-K"
"0340111","201516","PK-K"
"0340211","201314","PK-5"
"0340211","201415","PK-5"
"0340211","201516","PK-5"
"0340311","201415","6-8"
"0340311","201516","6-8"
"0340511","201314","K-3"
"0340511","201415","K-3"
"0340511","201516","K-3"
"0340611","201314","PK-5"
"0340611","201415","PK-5"
"0340611","201516","PK-5"
"0340811","201314","K-5"
"0340811","201415","K-5"
"0340811","201516","K-5"
"0341011","201314","K-5"
"0341011","201415","K-5"
"0341011","201516","K-5"
"0341111","201314","K-5"
"0341111","201415","PK-5"
"0341111","201516","PK-5"
"0341211","201314","K-5"
"0341211","201415","K-5"
"0341211","201516","K-5"
"0341311","201314","K-3"
"0341311","201415","K-3"
"0341311","201516","K-3"
"0341411","201314","K-5"
"0341411","201415","K-5"
"0341411","201516","K-5"
"0341511","201314","K-5"
"0341511","201415","K-5"
"0341511","201516","K-5"
"0341611","201314","K-5"
"0341611","201415","K-5"
"0341611","201516","K-5"
"0341711","201314","4-5"
"0341711","201415","4-5"
"0341711","201516","4-5"
"0341911","201314","K-5"
"0341911","201415","K-5"
"0341911","201516","K-5"
"0345111","201314","6-8"
"0345111","201415","6-8"
"0345111","201516","6-8"
"0345211","201314","6-8"
"0345211","201415","6-8"
"0345211","201516","6-8"
"0346111","201314","9-12"
"0346111","201415","9-12"
"0346111","201516","9-12"
"0346211","201314","9-12"
"0346211","201415","9-12"
"0346211","201516","9-12"
"0350211","201314","K-5"
"0350211","201415","K-5"
"0350211","201516","K-5"
"0350511","201314","PK-5"
"0350511","201415","PK-5"
"0350511","201516","PK-5"
"0350611","201314","PK-5"
"0350611","201415","PK-5"
"0350611","201516","PK-5"
"0350711","201314","K-5"
"0350711","201415","K-5"
"0350711","201516","K-5"
"0351311","201314","K-5"
"0351311","201415","K-5"
"0351311","201516","PK-5"
"0355111","201314","6-8"
"0355111","201415","6-8"
