"category","count","school_id","year"
"Days of Instruction","180","0080111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","957","0080111","201415"
"Days of Instruction","180","0080111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","966","0080111","201516"
"Days of Instruction","182","0080111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","978","0090111","201314"
"Days of Instruction","181","0090111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","980","0090111","201415"
"Days of Instruction","181","0090111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","973","0090111","201516"
"Days of Instruction","181","0090111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","978","0090411","201314"
"Days of Instruction","181","0090411","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","980","0090411","201415"
"Days of Instruction","181","0090411","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","973","0090411","201516"
"Days of Instruction","181","0090411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","978","0090511","201314"
"Days of Instruction","181","0090511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0090511","201415"
"Days of Instruction","181","0090511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0090511","201516"
"Days of Instruction","181","0090511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1003","0095111","201314"
"Days of Instruction","181","0095111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1003","0095111","201415"
"Days of Instruction","181","0095111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","912","0095111","201516"
"Days of Instruction","181","0095111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1025","0096111","201314"
"Days of Instruction","181","0096111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1041","0096111","201415"
"Days of Instruction","181","0096111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1017","0096111","201516"
"Days of Instruction","181","0096111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","986","0110511","201314"
"Days of Instruction","180","0110511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","988","0110511","201415"
"Days of Instruction","180","0110511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","960","0110511","201516"
"Days of Instruction","180","0110511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","962","0110611","201314"
"Days of Instruction","180","0110611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","962","0110611","201415"
"Days of Instruction","180","0110611","201415"
