"Student Counts by School and Grade"
"All Districts, All Schools"
"2014-15"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",25,25,31,24,36,42,51,41,0,0,0,0,0,0,275
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",103,0,0,0,0,0,0,0,186,209,0,0,0,0,498
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,83,75,75,86,93,92,93,0,0,0,0,0,0,597
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,114,117,101,84,90,88,86,0,0,0,0,0,0,680
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,159,168,123,134,584
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,0,0,0,0,0,0,0,0,10,17,"*","*",40
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",6,6,9,12,17,23,14,19,25,18,"*",0,0,"*",151
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*",13,"*",21,20,23,24,25,21,0,0,0,0,160
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,62,66,72,75,75,75,72,70,64,0,0,0,0,631
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,246,235,232,0,0,0,0,713
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,0,0,6,"*",8,10,"*",8,39
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,0,12,19,17,65,113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,19,24,19,28,90
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*","*",9,24,42
"Ashford School District","=""0030011""","Ashford School","=""0030111""",49,37,43,33,43,42,38,50,32,48,0,0,0,0,415
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",48,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",0,109,100,112,109,146,0,0,0,0,0,0,0,0,576
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,92,110,107,106,131,0,0,0,0,0,0,0,0,546
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,276,276,0,0,0,0,0,0,552
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,275,273,0,0,0,0,548
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,291,259,250,251,1051
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,33,26,35,47,48,46,60,0,0,0,0,0,0,295
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",51,74,81,73,59,81,85,0,0,0,0,0,0,0,504
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,92,72,84,88,110,101,0,0,0,0,0,0,0,547
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,18,47,33,39,55,33,0,0,0,0,0,0,0,225
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,244,215,243,0,0,0,0,702
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,215,239,246,218,918
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",15,43,49,59,51,58,63,69,0,0,0,0,0,0,407
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",116,95,115,121,99,0,0,0,0,0,0,0,0,0,546
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,94,99,122,98,0,0,0,0,0,0,0,0,0,413
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,205,181,0,0,0,0,0,0,0,386
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,240,210,245,0,0,0,0,695
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,211,211,248,219,889
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",265,56,0,0,0,0,0,0,0,0,0,0,0,0,321
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,99,103,143,0,0,0,0,0,0,0,0,0,0,345
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,0,0,125,123,0,0,0,0,0,0,0,0,248
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,0,0,0,0,114,94,0,0,0,0,0,0,208
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,0,0,0,0,0,35,34,34,32,28,32,25,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,0,0,0,0,0,107,107,0,0,0,0,214
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,133,150,125,130,538
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",13
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",9,41,55,54,58,66,63,65,52,57,0,0,0,0,520
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,85,70,84,79,318
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",16,14,20,25,21,31,20,17,22,23,0,0,0,0,209
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",39,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",25,55,68,73,63,71,0,0,0,0,0,0,0,0,355
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",16,63,74,72,73,90,0,0,0,0,0,0,0,0,388
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",32,76,67,84,84,70,0,0,0,0,0,0,0,0,413
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,219,213,246,238,0,0,0,0,916
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,215,252,255,239,961
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",0,0,0,0,0,0,0,0,0,0,0,"*",6,"*",9
