"CT School Day SAT, 2016-17"
"All Districts, All Subjects, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Connecticut School Day SATParticipationRate","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","ELA","N",123,113,91.9,113,17,15.0,20,17.7,55,48.7,21,18.6,76,67.3,531
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Math","N",123,113,91.9,111,17,15.3,42,37.8,31,27.9,21,18.9,52,46.8,528
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELA","N",158,129,81.6,129,79,61.2,"*","*","*","*",0,0.0,"*","*",404
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELA","Y",51,41,80.4,41,34,82.9,"*","*","*","*",0,0.0,"*","*",383
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Math","N",158,129,81.6,127,80,63.0,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Math","Y",51,41,80.4,41,29,70.7,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELA","N",107,106,99.1,106,"*","*","*","*","*","*","*","*","*","*",483
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Math","N",107,106,99.1,106,"*","*","*","*","*","*","*","*","*","*",454
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","ELA","N",77,76,98.7,76,"*","*","*","*","*","*",0,0.0,"*","*",414
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","ELA","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Math","N",77,76,98.7,76,"*","*","*","*",0,0.0,0,0.0,0,0.0,386
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Math","Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELA","N",324,305,94.1,305,92,30.2,"*","*","*","*",14,4.6,"*","*",470
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELA","Y",40,38,95.0,38,31,81.6,"*","*","*","*",0,0.0,"*","*",382
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math","N",324,305,94.1,305,118,38.7,127,41.6,53,17.4,7,2.3,60,19.7,446
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math","Y",40,38,95.0,38,30,78.9,8,21.1,0,0.0,0,0.0,0,0.0,371
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA","N",133,112,84.2,112,59,52.7,"*","*","*","*","*","*","*","*",416
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA","Y",61,60,98.4,60,52,86.7,"*","*","*","*",0,0.0,"*","*",377
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math","N",133,112,84.2,111,70,63.1,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math","Y",61,60,98.4,60,53,88.3,"*","*","*","*",0,0.0,"*","*",363
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","N",259,254,98.1,254,"*","*","*","*","*","*","*","*","*","*",507
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","N",259,254,98.1,254,"*","*","*","*","*","*","*","*","*","*",480
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","N",266,262,98.5,262,"*","*","*","*","*","*","*","*","*","*",528
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","N",266,262,98.5,262,"*","*","*","*","*","*","*","*","*","*",502
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","N",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","N",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","N",115,113,98.3,113,"*","*","*","*",52,46.0,52,46.0,104,92.0,612
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","N",115,113,98.3,113,6,5.3,30,26.5,48,42.5,29,25.7,77,68.1,573
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA","N",33,33,100.0,33,13,39.4,9,27.3,11,33.3,0,0.0,11,33.3,448
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math","N",33,33,100.0,33,17,51.5,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Math","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","N","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","N",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","N",8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","N",119,116,97.5,116,"*","*","*","*","*","*","*","*","*","*",555
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","N",119,116,97.5,116,"*","*","*","*","*","*","*","*","*","*",513
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA","N",161,161,100.0,161,"*","*","*","*","*","*","*","*","*","*",433
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Math","N",161,161,100.0,161,"*","*","*","*","*","*",0,0.0,"*","*",397
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Math","Y",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA","N",181,181,100.0,181,"*","*","*","*","*","*","*","*","*","*",463
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","N",181,181,100.0,181,"*","*","*","*","*","*","*","*","*","*",433
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA","N",136,135,99.3,135,"*","*","*","*","*","*","*","*","*","*",474
