"Student Counts by School and Grade"
"All Districts, All Schools"
"2012-13"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",30,28,39,42,47,44,50,34,0,0,0,0,0,0,314
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",91,0,0,0,0,0,0,0,184,188,0,0,0,0,463
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,71,88,88,93,95,93,91,0,0,0,0,0,0,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,105,111,93,98,91,91,110,0,0,0,0,0,0,699
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,171,157,132,171,631
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*",7,12,14,11,19,25,20,21,12,"*",0,0,"*",149
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",17,16,24,25,15,14,26,0,0,0,0,147
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,60,66,72,75,75,75,75,66,66,0,0,0,0,630
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,0,"*",7,12,"*","*","*","*",36
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,239,247,236,0,0,0,0,722
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*",13,"*",21,69,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,9,20,25,35,89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*","*","*",34,45
"Ashford School District","=""0030011""","Ashford School","=""0030111""",40,36,49,44,37,52,33,49,45,54,0,0,0,0,439
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",45,82,96,118,124,130,0,0,0,0,0,0,0,0,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,93,96,124,131,125,0,0,0,0,0,0,0,0,569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,278,270,0,0,0,0,0,0,548
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,315,296,0,0,0,0,611
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,259,269,283,272,1083
