"",,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","Organization Code","Count","%","Count","%","Count","%","Count","%","Count","%"
"State","=""0000000""",47423,8.5,43248,7.8,40914,7.4,39440,7.2,38100,7.0

