"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2012-13"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",782,42,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",830,74,904
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",618,13,631
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",463
"Ansonia School District","=""0020011""","Mead School","=""0020311""",600,19,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",666,33,699
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",36,0,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",147,0,147
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",685,37,722
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",149,0,149
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114,0,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",89,0,89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",45,0,45
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",432,7,439
"Avon School District","=""0040011""","Avon High School","=""0046111""",1077,6,1083
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",605,6,611
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",567,28,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",562,7,569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",538,10,548
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21,0,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",949,13,962
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","*","*",712
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",472,29,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",555,12,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",218,14,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",473,0,473
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",365,27,392
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",944,15,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",678,6,684
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",471,26,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",437,6,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",541
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",214,6,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",261
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",182,0,182
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",325,10,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","*","*",237
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",322,0,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",526,7,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*","*",359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",241
"Branford School District","=""0140011""","Branford High School","=""0146111""",1040,9,1049
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",977,12,989
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",47,0,47
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",341,30,371
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",360,13,373
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",383,46,429
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",625,77,702
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",526,99,625
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",987,190,1177
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",335,42,377
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",281,67,348
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",980,150,1130
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",52
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",326,86,412
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1976,161,2137
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",695,420,1115
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",298,12,310
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",679,198,877
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",411,9,420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",657,116,773
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*","*",313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",236,8,244
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",691,127,818
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",300,8,308
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*","*",336
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1045,252,1297
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*",433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",373,8,381
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",447,10,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",608,21,629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",635,236,871
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",423,83,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",387,69,456
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",518,8,526
"Bridgeport School District","=""0150011""","Read School","=""0152511""",771,86,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",434,90,524
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",231,0,231
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",451,63,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",650,36,686
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1224,38,1262
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1264,41,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",731,27,758
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",10,0,10
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",350,15,365
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",414,22,436
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",847,46,893
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",404,19,423
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",419,12,431
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",492,8,500
"Bristol School District","=""0170011""","South Side School","=""0171111""",465,24,489
"Bristol School District","=""0170011""","Stafford School","=""0171211""",474,29,503
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",857,44,901
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*",918
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",400,16,416
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",598,7,605
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",844,7,851
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",536,7,543
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*",394
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*",75
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",259,0,259
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",231,0,231
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",511
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*","*",430
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",270,0,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",530,7,537
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",476,15,491
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",324,11,335
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",148,16,164
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","*","*",221
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",21,0,21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",373,14,387
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",412,11,423
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","*","*",184
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",6,0,6
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",335,22,357
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",50,8,58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",11
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",709,7,716
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",319,21,340
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",304,7,311
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",368,9,377
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",345,11,356
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",64,0,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",151,0,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",86,0,86
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","*","*",96
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",646,17,663
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",425,15,440
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*",185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",283
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1504,10,1514
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*","*",306
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",751,6,757
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",539
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*","*",776
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",25,0,25
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",455
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",251,0,251
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",311
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*","*",446
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",616,29,645
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",565,14,579
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",931,6,937
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",606,6,612
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",622,8,630
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",694,7,701
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",104,0,104
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",503,0,503
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*",169
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",737,41,778
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",815,13,828
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",586,49,635
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",430,70,500
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",541,32,573
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*",557
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",760,8,768
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*",531
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",617,24,641
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",677,8,685
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",676
