"Student Counts by School and Gender"
"All Districts, All Schools"
"2013-14"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",415,455,870
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",470,467,937
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",140,158,298
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",268,334,602
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",227,266,493
"Ansonia School District","=""0020011""","Mead School","=""0020311""",288,278,566
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",308,353,661
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*",36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",20,131,151
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",339,372,711
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",42,109,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",35,79,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",29,71,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",8,31,39
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",318,313,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",205,218,423
"Avon School District","=""0040011""","Avon High School","=""0046111""",552,505,1057
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",301,283,584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",315,279,594
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",272,301,573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",260,303,563
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",127,161,288
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",8,10,18
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",444,489,933
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",301,390,691
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",231,283,514
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",276,286,562
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",115,136,251
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",199,237,436
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",204,207,411
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",452,481,933
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",312,360,672
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",263,293,556
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",201,216,417
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",269,286,555
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",104,112,216
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",93,120,213
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",133,87,220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",162,156,318
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",6,7,13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",105,126,231
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",157,164,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",260,268,528
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",170,164,334
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",119,124,243
"Branford School District","=""0140011""","Branford High School","=""0146111""",513,537,1050
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",479,463,942
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",12,24,36
