"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2015-16"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1063,0,0,1063
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",722,174,140,1036
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*",209,"*",250
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",311,214,72,597
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",263,117,66,446
"Ansonia School District","=""0020011""","Mead School","=""0020311""",369,182,44,595
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",24,"*","*",35
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",393,205,90,688
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",20,"*",38
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",167,0,0,167
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",390,279,57,726
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*",0,135
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",113,0,0,113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",95,0,0,95
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*",0,42
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",251,306,75,632
"Ashford School District","=""0030011""","Ashford School","=""0030111""",121,260,16,397
"Avon School District","=""0040011""","Avon High School","=""0046111""",37,992,9,1038
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",518,"*",545
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","*",35,"*",45
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",33,566,0,599
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",470,"*",497
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",526,"*",550
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",233,"*",255
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,"*",0,"*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,28,0,28
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",131,794,28,953
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",66,583,23,672
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",64,418,21,503
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",41,446,10,497
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",34,193,11,238
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*",352,"*",383
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",68,333,19,420
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",134,720,43,897
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",93,521,44,658
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",57,490,14,561
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",62,337,27,426
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",207,259,50,516
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",94,97,29,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",91,82,20,193
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",83,118,17,218
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",157,156,22,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",0,10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",134,96,24,254
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",87,216,19,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",66,432,9,507
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",259,"*",307
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",130,26,24,180
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",39,155,7,201
"Branford School District","=""0140011""","Branford High School","=""0146111""",160,697,57,914
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",22,"*","*",40
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",188,681,43,912
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,40,0,40
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",87,243,19,349
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",34,315,17,366
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",116,268,40,424
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",96,58,32,186
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",695,211,110,1016
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",494,0,0,494
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",618,0,0,618
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",951,0,0,951
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",354,0,0,354
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",489,0,0,489
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",469,0,0,469
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1131,0,0,1131
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",61,0,0,61
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",270,0,0,270
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",385,0,0,385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",27,0,0,27
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1517,0,0,1517
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1196,0,0,1196
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",393,0,0,393
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",852,0,0,852
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",397,0,0,397
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",698,0,0,698
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",416,0,0,416
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",270,0,0,270
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",794,0,0,794
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",240,0,0,240
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",315,0,0,315
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1060,0,0,1060
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",408,0,0,408
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",351,0,0,351
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","*","*",0,492
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",506,0,0,506
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",649,0,0,649
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",836,0,0,836
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",512,0,0,512
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",460,0,0,460
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",7,0,0,7
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",483,0,0,483
"Bridgeport School District","=""0150011""","Read School","=""0152511""",891,0,0,891
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",623,0,0,623
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",224,0,0,224
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",503,0,0,503
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",673,0,0,673
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",0,20
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",443,647,77,1167
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","*",44,"*",63
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",366,769,86,1221
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",41,7,0,48
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",273,384,47,704
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*",0,12
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*",0,7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",0,12
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",121,211,8,340
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",216,201,34,451
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*",0,0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",421,424,82,927
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",6,0,0,6
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*",0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*","*",0,"*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",138,240,17,395
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",127,231,14,372
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",0,8
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*","*",0,"*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*",0,0,"*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",120,272,30,422
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*",6,"*",10
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*",0,"*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*","*",0,"*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",193,273,25,491
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",11,13,0,24
"Bristol School District","=""0170011""","Stafford School","=""0171211""",223,178,35,436
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",480,384,58,922
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",43,824,13,880
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",20,342,6,368
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",35,530,12,577
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",44,795,16,855
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",144,346,31,521
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",96,259,22,377
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","*","*",0,76
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",49,200,12,261
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",56,157,17,230
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,"*",0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",47,426,15,488
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",36,351,13,400
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",247,"*",284
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*",399,"*",451
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",118,100,31,249
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",259,379,64,702
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",139,194,10,343
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",267,201,49,517
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",155,165,34,354
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",129,258,18,405
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",0,16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",145,284,22,451
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",189,229,22,440
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",170,142,25,337
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",194,256,17,467
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",48,"*","*",57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",0,12
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",177,474,75,726
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",155,186,13,354
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",213,235,20,468
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",270,156,29,455
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",214,215,26,455
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",20,46,0,66
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",35,105,0,140
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*",35,"*",42
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*","*",0,7
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",6,"*","*",8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*",0,9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",0,8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",188,185,26,399
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",251,353,50,654
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",205,200,52,457
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",57,102,17,176
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",30,308,6,344
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",92,1351,38,1481
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,10,0,10
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",138,"*",147
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",47,659,13,719
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",43,429,8,480
"Cheshire School District","=""0250011""","Highland School","=""0250411""",59,682,10,751
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*",14,"*",18
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",419,"*",445
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",18,185,8,211
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",41,252,19,312
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",95,336,21,452
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",115,364,43,522
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",82,426,25,533
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",109,688,38,835
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*",9,"*",15
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",58,489,23,570
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",74,431,26,531
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",83,492,25,600
