"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",254,254,100.0,254,0,0.0,"*","*","*","*","*","*","*","*","*","*",285
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",261,258,98.9,258,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"N",271,269,99.3,268,"*","*","*","*","*","*","*","*","*","*","*","*",292
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N",47,46,97.9,46,0,0.0,"*","*","*","*","*","*","*","*","*","*",274
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N",74,74,100.0,74,"*","*","*","*","*","*","*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N",94,94,100.0,94,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"Y",32,32,100.0,32,"*","*","*","*",8,25.0,14,43.8,"*","*","*","*",237
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"N",183,183,100.0,183,"*","*","*","*",19,10.4,97,53.0,"*","*","*","*",276
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"Y",34,33,97.1,33,"*","*","*","*",13,39.4,7,21.2,"*","*","*","*",248
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"N",180,178,98.9,178,"*","*","*","*",54,30.3,43,24.2,"*","*","*","*",275
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"Y",51,51,100.0,51,"*","*","*","*",11,21.6,21,41.2,13,25.5,34,66.7,264
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"Y",55,55,100.0,55,6,10.9,0,0.0,14,25.5,29,52.7,6,10.9,35,63.6,254
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"N",159,159,100.0,159,"*","*","*","*",27,17.0,87,54.7,34,21.4,121,76.1,270
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"Y",37,36,97.3,36,"*","*","*","*",12,33.3,10,27.8,9,25.0,19,52.8,262
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"N",158,157,99.4,157,"*","*","*","*",40,25.5,37,23.6,67,42.7,104,66.2,283
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"Y",65,65,100.0,65,"*","*","*","*",23,35.4,17,26.2,0,0.0,17,26.2,222
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"N",59,59,100.0,59,"*","*",9,15.3,21,35.6,20,33.9,"*","*","*","*",237
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"Y",48,48,100.0,48,"*","*","*","*",10,20.8,13,27.1,"*","*","*","*",229
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,"N",48,48,100.0,48,"*","*","*","*",13,27.1,20,41.7,"*","*","*","*",249
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,"Y",53,52,98.1,51,"*","*",13,25.5,16,31.4,"*","*","*","*","*","*",222
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,"N",59,59,100.0,59,"*","*",13,22.0,18,30.5,"*","*","*","*","*","*",243
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,"N",21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",251
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,"N",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,"N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,"N",39,39,100.0,39,0,0.0,"*","*","*","*","*","*","*","*","*","*",274
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,"N",63,63,100.0,63,0,0.0,"*","*","*","*","*","*","*","*","*","*",279
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,"N",23,23,100.0,23,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",281
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"Y",60,60,100.0,60,"*","*",8,13.3,19,31.7,24,40.0,"*","*","*","*",243
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",05,"N",163,162,99.4,162,"*","*",13,8.0,30,18.5,82,50.6,"*","*","*","*",268
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"Y",54,53,98.1,53,6,11.3,"*","*",9,17.0,30,56.6,"*","*","*","*",246
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"N",186,185,99.5,185,10,5.4,"*","*",25,13.5,99,53.5,"*","*","*","*",270
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"Y",47,47,100.0,47,"*","*","*","*",19,40.4,11,23.4,9,19.1,20,42.6,257
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"N",157,152,96.8,152,"*","*","*","*",50,32.9,37,24.3,51,33.6,88,57.9,273
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"Y",73,72,98.6,72,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"Y",77,76,98.7,76,"*","*","*","*","*","*","*","*","*","*","*","*",230
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"Y",34,34,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",201
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"N",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,"Y",63,62,98.4,62,27,43.5,15,24.2,11,17.7,"*","*","*","*",9,14.5,200
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,"Y",50,50,100.0,50,28,56.0,"*","*",9,18.0,"*","*",0,0.0,"*","*",202
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,"Y",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"Y",42,42,100.0,42,"*","*",11,26.2,7,16.7,15,35.7,"*","*","*","*",242
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,"Y",46,46,100.0,46,12,26.1,9,19.6,9,19.6,16,34.8,0,0.0,16,34.8,225
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,"Y",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2,208
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",05,"Y",80,80,100.0,80,34,42.5,24,30.0,18,22.5,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",08,"Y",49,49,100.0,49,22,44.9,"*","*",13,26.5,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",10,"Y",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0,224
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",05,"Y",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",10,"Y",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4,263
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"Y",89,88,98.9,88,59,67.0,14,15.9,9,10.2,6,6.8,0,0.0,6,6.8,177
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"Y",118,114,96.6,114,91,79.8,10,8.8,"*","*","*","*",0,0.0,"*","*",182
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",05,"Y",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",05,"Y",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",05,"Y",40,40,100.0,40,"*","*",10,25.0,10,25.0,13,32.5,"*","*","*","*",228
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",08,"Y",42,38,90.5,38,15,39.5,11,28.9,"*","*",6,15.8,"*","*","*","*",213
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",05,"Y",129,129,100.0,129,60,46.5,27,20.9,25,19.4,"*","*","*","*",17,13.2,194
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",08,"Y",134,134,100.0,134,88,65.7,20,14.9,15,11.2,"*","*","*","*",11,8.2,194
