"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"Enfield School District",="0490011","Eli Whitney - Intermediate Adaptive Learning (IAL)",="0491411",N/A,N/A,100.0
"Enfield School District",="0490011","Eli Whitney School",="0491611",100.0,91.6,98.3
"Enfield School District",="0490011","Enfield High - Adaptive Learning Program (ALP)",="0490111",N/A,N/A,100.0
"Enfield School District",="0490011","Enfield High School",="0496111",100.0,100.0,95.5
"Enfield School District",="0490011","Enfield Street - Autism Spectrum Disorder (ASD)",="0490311",N/A,N/A,100.0
"Enfield School District",="0490011","Enfield Street School",="0490211",100.0,100.0,100.0
"Enfield School District",="0490011","Enfield Transitional Learning Academy",="0499011",100.0,100.0,100.0
"Enfield School District",="0490011","Enrico Fermi High School",="0496211",97.9,96.6,96.2
"Enfield School District",="0490011","Hazardville Memorial School",="0490411",100.0,98.3,100.0
"Enfield School District",="0490011","Henry Barnard - Educational Counseling Program (ECP)",="0490611",N/A,N/A,100.0
"Enfield School District",="0490011","Henry Barnard School",="0491811",100.0,100.0,100.0
"Enfield School District",="0490011","John F. Kennedy - Adaptive Learning Program (ALP)",="0490911",N/A,N/A,100.0
"Enfield School District",="0490011","John F. Kennedy Middle School",="0495211",98.4,100.0,98.5
"Enfield School District",="0490011","Nathan Hale - Primary Adaptive Learning (PAL)",="0490811",N/A,N/A,100.0
"Enfield School District",="0490011","Nathan Hale School",="0491111",100.0,100.0,100.0
"Enfield School District",="0490011","Prudence Crandall - Educational Counseling Program (ECP)",="0490711",N/A,N/A,100.0
"Enfield School District",="0490011","Prudence Crandall School",="0491511",100.0,100.0,98.3
"Essex School District",="0500011","Essex Elementary School",="0500111",100.0,100.0,94.3
"Explorations District",="2720013","Explorations",="2726113",100.0,100.0,100.0
"Fairfield School District",="0510011","Burr Elementary School",="0510211",100.0,100.0,100.0
"Fairfield School District",="0510011","Dwight Elementary School",="0510111",100.0,100.0,100.0
"Fairfield School District",="0510011","Fairfield Ludlowe High School",="0516011",100.0,100.0,99.5
"Fairfield School District",="0510011","Fairfield Warde High School",="0516211",99.0,100.0,99.6
"Fairfield School District",="0510011","Fairfield Woods Middle School",="0515211",100.0,100.0,100.0
"Fairfield School District",="0510011","Holland Hill School",="0510411",100.0,100.0,100.0
"Fairfield School District",="0510011","Jennings School",="0511711",98.2,100.0,100.0
"Fairfield School District",="0510011","McKinley School",="0510611",100.0,100.0,100.0
"Fairfield School District",="0510011","Mill Hill School",="0510711",100.0,100.0,100.0
"Fairfield School District",="0510011","North Stratfield School",="0511611",100.0,100.0,98.4
"Fairfield School District",="0510011","Osborn Hill School",="0511811",98.7,100.0,100.0
"Fairfield School District",="0510011","Riverfield School",="0511211",100.0,100.0,100.0
"Fairfield School District",="0510011","Roger Ludlowe Middle School",="0515311",100.0,100.0,100.0
"Fairfield School District",="0510011","Sherman School",="0511311",100.0,100.0,100.0
"Fairfield School District",="0510011","Stratfield School",="0511411",100.0,100.0,100.0
"Fairfield School District",="0510011","Tomlinson Middle School",="0515111",99.5,100.0,100.0
"Fairfield School District",="0510011","Walter Fitzgerald Campus",="0510311",N/A,100.0,100.0
"Farmington School District",="0520011","East Farms School",="0520411",100.0,100.0,100.0
"Farmington School District",="0520011","Farmington Alternative High School",="0520611",N/A,100.0,100.0
"Farmington School District",="0520011","Farmington High School",="0526111",98.8,100.0,100.0
"Farmington School District",="0520011","Irving A. Robbins Middle School",="0525111",97.4,99.3,100.0
"Farmington School District",="0520011","Noah Wallace School",="0520211",100.0,97.6,100.0
"Farmington School District",="0520011","Union School",="0520111",100.0,100.0,100.0
"Farmington School District",="0520011","West District School",="0520311",100.0,100.0,100.0
"Farmington School District",="0520011","West Woods Upper Elementary School",="0520511",95.9,100.0,100.0
"Franklin School District",="0530011","Franklin Elementary School",="0530111",100.0,100.0,100.0
"Glastonbury School District",="0540011","Other",="0549911",100.0,N/A,100.0
"Glastonbury School District",="0540011","Buttonball Lane School",="0540211",94.1,100.0,100.0
"Glastonbury School District",="0540011","Eastbury School",="0540311",100.0,100.0,100.0
"Glastonbury School District",="0540011","Gideon Welles School",="0540811",100.0,100.0,100.0
"Glastonbury School District",="0540011","Glastonbury High School",="0546111",100.0,97.9,100.0
"Glastonbury School District",="0540011","Hebron Avenue School",="0540411",100.0,100.0,90.6
"Glastonbury School District",="0540011","Hopewell School",="0540611",100.0,98.4,100.0
"Glastonbury School District",="0540011","Links Academy",="0540111",100.0,100.0,100.0
"Glastonbury School District",="0540011","Naubuc School",="0540711",99.4,100.0,95.4
"Glastonbury School District",="0540011","Nayaug Elementary School",="0540911",98.9,100.0,100.0
"Glastonbury School District",="0540011","Pride-Hebron Avenue",="0541111",N/A,100.0,100.0
"Glastonbury School District",="0540011","Pride-Nayaug",="0541211",N/A,100.0,100.0
"Glastonbury School District",="0540011","Smith Middle School",="0545211",96.8,100.0,100.0
"Granby School District",="0560011","Frank M. Kearns Primary School",="0560111",100.0,100.0,100.0
"Granby School District",="0560011","Granby Memorial High School",="0566111",100.0,100.0,97.9
"Granby School District",="0560011","Granby Memorial Middle School",="0565111",100.0,100.0,100.0
"Granby School District",="0560011","Kelly Lane Primary School",="0560411",100.0,100.0,100.0
"Granby School District",="0560011","Wells Road Intermediate School",="0560311",100.0,100.0,100.0
"Great Oaks Charter School District",="2940013","Great Oaks Charter School",="2940113",N/A,100.0,85.3
"Greenwich School District",="0570011","Central Middle School",="0575111",96.3,97.1,95.7
"Greenwich School District",="0570011","Cos Cob School",="0570211",100.0,100.0,97.0
"Greenwich School District",="0570011","Eastern Middle School",="0575211",100.0,98.2,98.3
"Greenwich School District",="0570011","Glenville School",="0570411",97.2,100.0,100.0
"Greenwich School District",="0570011","Greenwich Alternative High School",="0571411",N/A,N/A,100.0
"Greenwich School District",="0570011","Greenwich High School",="0576111",99.0,97.3,98.7
"Greenwich School District",="0570011","Hamilton Avenue School",="0570511",98.9,94.1,100.0
"Greenwich School District",="0570011","International School At Dundee",="0571311",100.0,94.9,100.0
"Greenwich School District",="0570011","Julian Curtiss School",="0570311",100.0,97.6,100.0
"Greenwich School District",="0570011","New Lebanon School",="0570611",100.0,100.0,100.0
"Greenwich School District",="0570011","North Mianus School",="0570711",100.0,100.0,100.0
"Greenwich School District",="0570011","North Street School",="0570811",100.0,100.0,100.0
"Greenwich School District",="0570011","Old Greenwich School",="0570911",98.4,100.0,100.0
"Greenwich School District",="0570011","Parkway School",="0571111",100.0,97.2,100.0
"Greenwich School District",="0570011","Riverside School",="0571011",98.5,100.0,100.0
"Greenwich School District",="0570011","Western Middle School",="0575311",96.4,100.0,100.0
"Griswold School District",="0580011","Other",="0589911",100.0,N/A,N/A
"Griswold School District",="0580011","Griswold Alternative School",="0580111",N/A,100.0,100.0
"Griswold School District",="0580011","Griswold Elementary School",="0580311",100.0,98.7,100.0
"Griswold School District",="0580011","Griswold High School",="0586211",100.0,99.0,100.0
"Griswold School District",="0580011","Griswold Middle School",="0585111",97.3,100.0,97.2
"Groton School District",="0590011","Carl C. Cutler Middle School",="0595311",100.0,100.0,97.5
"Groton School District",="0590011","Catherine Kolnaski Magnet School",="0592011",100.0,100.0,100.0
"Groton School District",="0590011","Charles Barnum School",="0591811",100.0,100.0,100.0
"Groton School District",="0590011","Claude Chester School",="0590311",100.0,100.0,100.0
"Groton School District",="0590011","Mary Morrisson School",="0591711",100.0,100.0,100.0
"Groton School District",="0590011","Northeast Academy Elementary School",="0591911",100.0,100.0,100.0
"Groton School District",="0590011","Pleasant Valley School",="0591211",100.0,100.0,100.0
"Groton School District",="0590011","Robert E. Fitch High School",="0596111",100.0,98.7,98.7
"Groton School District",="0590011","S. B. Butler School",="0590111",98.4,100.0,100.0
"Groton School District",="0590011","West Side Middle School",="0595211",100.0,100.0,100.0
"Guilford School District",="0600011","A. Baldwin Middle School",="0600711",100.0,100.0,100.0
"Guilford School District",="0600011","A. W. Cox School",="0600611",100.0,100.0,100.0
"Guilford School District",="0600011","Calvin Leete School",="0600411",100.0,100.0,100.0
"Guilford School District",="0600011","E. C. Adams Middle School",="0605111",100.0,100.0,100.0
"Guilford School District",="0600011","Guilford High School",="0606111",98.5,100.0,100.0
"Guilford School District",="0600011","Guilford Lakes School",="0600211",100.0,100.0,100.0
"Guilford School District",="0600011","Melissa Jones School",="0600311",100.0,100.0,100.0
"Hamden School District",="0620011","Alice Peck Learning Center",="0628011",100.0,100.0,100.0
"Hamden School District",="0620011","Bear Path School",="0621211",100.0,100.0,100.0
"Hamden School District",="0620011","Church Street School",="0620211",96.0,100.0,100.0
"Hamden School District",="0620011","Dunbar Hill School",="0620311",95.8,100.0,100.0
"Hamden School District",="0620011","Hamden Collaborative Learning Center",="0620511",N/A,100.0,100.0
"Hamden School District",="0620011","Hamden High School",="0626111",100.0,100.0,100.0
"Hamden School District",="0620011","Hamden Middle School",="0625211",100.0,100.0,98.4
"Hamden School District",="0620011","Helen Street School",="0620411",100.0,100.0,100.0
"Hamden School District",="0620011","Ridge Hill School",="0621111",100.0,100.0,100.0
"Hamden School District",="0620011","Shepherd Glen School",="0620111",100.0,100.0,100.0
"Hamden School District",="0620011","Spring Glen School",="0621011",100.0,100.0,100.0
"Hamden School District",="0620011","West Woods School",="0621411",100.0,100.0,100.0
"Hampton School District",="0630011","Hampton Elementary School",="0630111",100.0,100.0,100.0
"Hartford School District",="0640011","Other",="0649911",100.0,N/A,100.0
"Hartford School District",="0640011","Asian Studies Academy at Bellizzi School",="0640711",100.0,100.0,100.0
"Hartford School District",="0640011","Batchelder School",="0640411",98.9,100.0,100.0
"Hartford School District",="0640011","Betances Early Reading Lab Magnet School",="0642811",100.0,100.0,100.0
"Hartford School District",="0640011","Betances STEM Magnet School",="0643811",100.0,100.0,100.0
"Hartford School District",="0640011","Breakthrough II Magnet School",="0643511",100.0,100.0,100.0
"Hartford School District",="0640011","Breakthrough Magnet School",="0643311",98.4,100.0,100.0
"Hartford School District",="0640011","Bulkeley High School",="0647111",96.4,100.0,100.0
"Hartford School District",="0640011","Bulkeley High School Lower School",="0646111",100.0,100.0,100.0
"Hartford School District",="0640011","Burns Latino Studies Academy",="0640611",100.0,100.0,100.0
"Hartford School District",="0640011","Burr School",="0642311",99.1,100.0,100.0
"Hartford School District",="0640011","Capital Community College Magnet Academy",="0643911",N/A,100.0,100.0
"Hartford School District",="0640011","Capital Preparatory Magnet School",="0646911",100.0,99.3,100.0
"Hartford School District",="0640011","Clark School",="0642411",100.0,100.0,100.0
"Hartford School District",="0640011","Classical Magnet School",="0646411",100.0,100.0,100.0
"Hartford School District",="0640011","Culinary Arts Academy at Weaver High School",="0646011",100.0,100.0,100.0
"Hartford School District",="0640011","Environmental Sciences Magnet at Hooker School",="0640911",100.0,100.0,100.0
"Hartford School District",="0640011","Expeditionary Learning Academy at Moylan School",="0643211",100.0,100.0,100.0
"Hartford School District",="0640011","Global Communications Academy",="0643611",100.0,100.0,100.0
"Hartford School District",="0640011","Great Path Academy at MCC",="0647911",100.0,100.0,100.0
"Hartford School District",="0640011","HPHS Engineering and Green Technology Academy",="0647211",100.0,100.0,100.0
"Hartford School District",="0640011","HPHS Law and Government Academy",="0647411",100.0,96.9,100.0
"Hartford School District",="0640011","HPHS Nursing and Health Sciences Academy",="0647511",100.0,100.0,100.0
"Hartford School District",="0640011","Hartford Magnet Trinity College Academy",="0645411",100.0,100.0,100.0
"Hartford School District",="0640011","High School, Inc.",="0647611",100.0,100.0,100.0
"Hartford School District",="0640011","Journalism and Media Academy Magnet School",="0647711",100.0,94.7,100.0
"Hartford School District",="0640011","Kennelly School",="0641011",100.0,100.0,100.0
"Hartford School District",="0640011","Kinsella Magnet School of Performing Arts",="0641111",97.3,100.0,97.2
"Hartford School District",="0640011","M. D. Fox School",="0640811",100.0,100.0,100.0
"Hartford School District",="0640011","M. L. King, Jr. School",="0641611",100.0,94.8,100.0
"Hartford School District",="0640011","McDonough Middle School",="0641211",100.0,94.1,100.0
"Hartford School District",="0640011","Milner School",="0641911",100.0,100.0,100.0
"Hartford School District",="0640011","Montessori Magnet at Fisher School",="0643711",83.8,71.4,80.0
"Hartford School District",="0640011","Montessori Magnet at Moylan School",="0640511",72.0,79.3,78.8
"Hartford School District",="0640011","Naylor/CCSU Leadership Academy",="0641411",100.0,100.0,100.0
"Hartford School District",="0640011","New Visions Program",="0642711",N/A,100.0,100.0
"Hartford School District",="0640011","OPPortunity High School",="0647811",90.0,100.0,N/A
"Hartford School District",="0640011","Parkville Community School",="0641511",100.0,100.0,100.0
"Hartford School District",="0640011","Pathways Academy of Technology and Design",="0646611",100.0,100.0,100.0
"Hartford School District",="0640011","Rawson School",="0641711",100.0,100.0,100.0
"Hartford School District",="0640011","Renzulli Gifted and Talented Academy",="0644011",100.0,85.5,100.0
"Hartford School District",="0640011","SAND School",="0640111",100.0,100.0,100.0
"Hartford School District",="0640011","STEM Magnet at Fisher School",="0642511",100.0,100.0,100.0
"Hartford School District",="0640011","Sanchez School",="0643011",100.0,100.0,100.0
"Hartford School District",="0640011","Simpson-Waverly School",="0642611",100.0,96.2,100.0
"Hartford School District",="0640011","Sports and Medical Sciences Academy",="0646511",100.0,100.0,100.0
"Hartford School District",="0640011","University High School of Science and Engineering",="0646711",100.0,100.0,100.0
"Hartford School District",="0640011","Webster Micro Society Magnet School",="0642011",100.0,100.0,100.0
"Hartford School District",="0640011","West Middle School",="0642111",100.0,100.0,100.0
"Hartford School District",="0640011","Wish Museum School",="0642211",100.0,100.0,100.0
"Hartland School District",="0650011","Hartland School",="0650111",100.0,100.0,100.0
"Hebron School District",="0670011","Gilead Hill School",="0670211",100.0,100.0,100.0
"Hebron School District",="0670011","Hebron Elementary School",="0670111",100.0,100.0,100.0
"Highville Charter School District",="2860013","Highville Charter School",="2860113",98.2,89.4,82.1
"Integrated Day Charter School District",="2640013","Integrated Day Charter School",="2640113",100.0,100.0,100.0
"Interdistrict School for Arts and Comm District",="2650013","Interdistrict School For Arts And Communication",="2655113",95.2,95.2,100.0
"Jumoke Academy District",="2610013","Jumoke Academy",="2610113",97.8,92.9,89.1
"Kent School District",="0680011","Kent Center School",="0680111",100.0,100.0,100.0
"Kent School District",="0680011","LEAPSS",="0680211",N/A,N/A,100.0
"Killingly School District",="0690011","Other",="0699911",0.0,N/A,N/A
"Killingly School District",="0690011","Goodyear Early Childhood Center",="0698011",N/A,N/A,100.0
"Killingly School District",="0690011","Killingly Alternative Learning Program",="0690611",N/A,100.0,100.0
"Killingly School District",="0690011","Killingly Central School",="0690111",100.0,100.0,100.0
"Killingly School District",="0690011","Killingly High School",="0696111",97.9,100.0,95.6
"Killingly School District",="0690011","Killingly Intermediate School",="0695211",100.0,94.5,100.0
"Killingly School District",="0690011","Killingly Memorial School",="0690311",100.0,100.0,92.0
"Learn",="2450014","Connecticut River Academy",="2456014",100.0,100.0,100.0
"Learn",="2450014","Dual Language & Arts Magnet Middle School",="2455014",100.0,100.0,100.0
"Learn",="2450014","Learn ABA Program at Center School",="2451214",N/A,100.0,100.0
"Learn",="2450014","Learn Haynes Elementary Intensive Program",="2451114",N/A,100.0,100.0
"Learn",="2450014","Learn High School ABA",="2450614",N/A,100.0,N/A
"Learn",="2450014","Learn Kelly Middle School Intensive Program",="2450914",N/A,100.0,100.0
"Learn",="2450014","Learn Ledyard RICHES Program",="2450714",N/A,100.0,100.0
"Learn",="2450014","Learn SAILS Middle School Program",="2450814",N/A,100.0,100.0
"Learn",="2450014","Learn SAILS Program at Salem",="2451014",N/A,100.0,100.0
"Learn",="2450014","Learn STS 18-21 Year Old Program",="2450414",N/A,100.0,100.0
"Learn",="2450014","Learn Special Education",="2459014",100.0,100.0,N/A
"Learn",="2450014","Marine Science Magnet High School of Southeastern Connecticut",="2456114",100.0,100.0,100.0
"Learn",="2450014","Regional Multicultural Magnet School",="2450114",100.0,100.0,100.0
"Learn",="2450014","Riverside Magnet School at Goodwin College",="2450314",100.0,100.0,96.9
"Learn",="2450014","The Friendship School",="2450214",100.0,100.0,100.0
"Learn",="2450014","Three Rivers Middle College Magnet School",="2456214",100.0,100.0,100.0
"Lebanon School District",="0710011","Lebanon Elementary School",="0710111",100.0,100.0,100.0
"Lebanon School District",="0710011","Lebanon Middle School",="0715111",100.0,100.0,100.0
"Lebanon School District",="0710011","Lyman Memorial High School",="0716211",100.0,96.4,100.0
"Ledyard School District",="0720011","Gales Ferry School",="0720211",97.4,100.0,100.0
"Ledyard School District",="0720011","Gallup Hill School",="0720411",97.8,100.0,100.0
"Ledyard School District",="0720011","Juliet W. Long School",="0720311",100.0,100.0,100.0
"Ledyard School District",="0720011","Ledyard Center School",="0720111",100.0,100.0,100.0
"Ledyard School District",="0720011","Ledyard High School",="0726111",100.0,100.0,100.0
"Ledyard School District",="0720011","Ledyard Middle School",="0725111",100.0,100.0,100.0
"Lisbon School District",="0730011","Lisbon Central School",="0730111",100.0,100.0,100.0
"Litchfield School District",="0740011","Center School",="0740211",100.0,100.0,100.0
"Litchfield School District",="0740011","Litchfield High School",="0746111",100.0,100.0,99.2
"Litchfield School District",="0740011","Litchfield Intermediate School",="0740311",100.0,100.0,100.0
"Litchfield School District",="0740011","Litchfield Middle School",="0746011",N/A,N/A,97.1
"Madison School District",="0760011","Daniel Hand High School",="0766111",100.0,100.0,100.0
"Madison School District",="0760011","Dr. Robert H. Brown Middle School",="0760611",100.0,100.0,100.0
"Madison School District",="0760011","Island Avenue Elementary School",="0760211",100.0,100.0,100.0
"Madison School District",="0760011","J. Milton Jeffrey Elementary School",="0760111",100.0,100.0,100.0
"Madison School District",="0760011","Kathleen H. Ryerson Elementary School",="0760311",100.0,100.0,100.0
"Madison School District",="0760011","Town Campus Learning Center",="0769011",100.0,100.0,100.0
"Madison School District",="0760011","Walter C. Polson Upper Middle School",="0765211",100.0,100.0,100.0
"Manchester School District",="0770011","Bentley Alternative Education Program",="0770211",N/A,100.0,100.0
"Manchester School District",="0770011","Bowers School",="0770111",100.0,100.0,100.0
"Manchester School District",="0770011","Buckley School",="0770311",100.0,100.0,100.0
"Manchester School District",="0770011","Elisabeth M. Bennet Academy",="0771711",100.0,100.0,98.8
"Manchester School District",="0770011","Highland Park School",="0770411",97.0,100.0,95.5
"Manchester School District",="0770011","Illing Middle School",="0775311",100.0,100.0,100.0
"Manchester School District",="0770011","Keeney School",="0770611",100.0,100.0,100.0
"Manchester School District",="0770011","Manchester High School",="0776111",98.2,100.0,100.0
"Manchester School District",="0770011","Manchester Preschool Center",="0778011",N/A,N/A,100.0
"Manchester School District",="0770011","Manchester Regional Academy",="0779011",100.0,100.0,100.0
"Manchester School District",="0770011","Manchester Transition Center",="0779111",100.0,N/A,N/A
"Manchester School District",="0770011","Martin School",="0771611",95.0,100.0,100.0
"Manchester School District",="0770011","Robertson School",="0771011",100.0,98.3,100.0
"Manchester School District",="0770011","Verplanck School",="0771211",100.0,100.0,100.0
"Manchester School District",="0770011","Waddell School",="0771311",100.0,100.0,100.0
"Manchester School District",="0770011","Washington School",="0771411",100.0,100.0,100.0
"Mansfield School District",="0780011","Annie E. Vinton School",="0780411",100.0,100.0,100.0
"Mansfield School District",="0780011","Dorothy C. Goodwin School",="0780211",100.0,100.0,100.0
"Mansfield School District",="0780011","Mansfield Middle School School",="0785111",99.5,100.0,100.0
"Mansfield School District",="0780011","Southeast Elementary School",="0780511",100.0,100.0,100.0
"Marlborough School District",="0790011","Elmer Thienes-Mary Hall Elementary School",="0790111",100.0,94.6,100.0
"Meriden School District",="0800011","Other",="0809911",N/A,N/A,100.0
"Meriden School District",="0800011","Nathan Hale School",="0800711",100.0,100.0,100.0
"Meriden School District",="0800011","Benjamin Franklin School",="0800111",100.0,100.0,100.0
"Meriden School District",="0800011","Casimir Pulaski School",="0801111",100.0,100.0,100.0
"Meriden School District",="0800011","Francis T. Maloney High School",="0806111",100.0,100.0,98.6
"Meriden School District",="0800011","Hanover School",="0800311",100.0,98.8,93.3
"Meriden School District",="0800011","Israel Putnam School",="0800411",100.0,100.0,100.0
"Meriden School District",="0800011","John Barry School",="0800511",100.0,100.0,100.0
"Meriden School District",="0800011","Lincoln Middle School",="0805211",100.0,100.0,100.0
"Meriden School District",="0800011","Orville H. Platt High School",="0806211",98.5,100.0,100.0
"Meriden School District",="0800011","Roger Sherman School",="0800811",100.0,100.0,100.0
"Meriden School District",="0800011","Thomas Hooker School",="0801011",100.0,98.2,98.3
"Meriden School District",="0800011","Washington Middle School",="0805411",100.0,98.0,100.0
"Middletown School District",="0830011","Bielefield School",="0830211",100.0,100.0,100.0
"Middletown School District",="0830011","Farm Hill School",="0830511",100.0,100.0,100.0
"Middletown School District",="0830011","ICM - Macdonough",="0831011",N/A,100.0,N/A
"Middletown School District",="0830011","ICM- Woodrow Wilson Middle School",="0830411",N/A,100.0,N/A
"Middletown School District",="0830011","Keigwin Middle School",="0831511",100.0,100.0,100.0
"Middletown School District",="0830011","Lawrence School",="0831311",100.0,100.0,100.0
"Middletown School District",="0830011","MacDonough School",="0830911",100.0,100.0,100.0
"Middletown School District",="0830011","Middletown High School",="0836211",100.0,100.0,100.0
"Middletown School District",="0830011","Moody School",="0831211",100.0,100.0,100.0
"Middletown School District",="0830011","OASIS",="0830311",N/A,N/A,100.0
"Middletown School District",="0830011","Snow School",="0831111",100.0,97.1,100.0
"Middletown School District",="0830011","Spencer School",="0830111",100.0,100.0,100.0
"Middletown School District",="0830011","Transition to Life Center",="0839111",100.0,N/A,100.0
"Middletown School District",="0830011","Wesley School",="0831411",100.0,100.0,100.0
"Middletown School District",="0830011","Woodrow Wilson Middle School",="0835411",100.0,100.0,100.0
"Milford School District",="0840011","Calf Pen Meadow School",="0840111",100.0,100.0,100.0
"Milford School District",="0840011","East Shore Middle School",="0845111",100.0,100.0,100.0
"Milford School District",="0840011","Harborside Middle School",="0845211",100.0,97.7,96.8
"Milford School District",="0840011","J. F. Kennedy School",="0841911",100.0,100.0,100.0
"Milford School District",="0840011","Jonathan Law High School",="0846211",100.0,100.0,100.0
"Milford School District",="0840011","Joseph A. Foran High School",="0846311",100.0,100.0,98.1
"Milford School District",="0840011","Live Oaks School",="0841611",100.0,100.0,100.0
"Milford School District",="0840011","Mathewson School",="0841711",100.0,100.0,100.0
"Milford School District",="0840011","Meadowside School",="0840711",100.0,100.0,100.0
"Milford School District",="0840011","Orange Avenue School",="0840811",100.0,100.0,100.0
"Milford School District",="0840011","Orchard Hills School",="0841811",100.0,100.0,100.0
"Milford School District",="0840011","Pumpkin Delight School",="0841011",100.0,100.0,100.0
"Milford School District",="0840011","The Academy",="0840311",N/A,89.9,100.0
"Milford School District",="0840011","West Shore Middle School",="0845311",100.0,97.4,100.0
"Monroe School District",="0850011","Fawn Hollow Elementary School",="0850511",100.0,100.0,100.0
"Monroe School District",="0850011","Jockey Hollow STEM Program",="0859011",N/A,N/A,100.0
"Monroe School District",="0850011","Jockey Hollow School",="0855211",100.0,100.0,100.0
"Monroe School District",="0850011","Masuk Alternative Program",="0850211",N/A,N/A,100.0
"Monroe School District",="0850011","Masuk High School",="0856111",100.0,100.0,100.0
"Monroe School District",="0850011","Monroe Elementary School",="0850111",100.0,100.0,100.0
"Monroe School District",="0850011","Stepney Elementary School",="0850311",100.0,100.0,100.0
"Montville School District",="0860011","Dr. Charles E. Murphy School",="0860711",100.0,100.0,100.0
"Montville School District",="0860011","Leonard J. Tyl Middle School",="0865111",100.0,99.6,100.0
"Montville School District",="0860011","Mohegan School",="0860111",100.0,100.0,100.0
"Montville School District",="0860011","Montville High School",="0866111",100.0,100.0,100.0
"Montville School District",="0860011","Oakdale School",="0860511",97.7,100.0,100.0
"Montville School District",="0860011","Palmer Academy",="0869011",100.0,100.0,80.0
"Naugatuck School District",="0880011","Other",="0889911",100.0,N/A,N/A
"Naugatuck School District",="0880011","Andrew Avenue School",="0880811",100.0,96.0,100.0
"Naugatuck School District",="0880011","Central Avenue Preschool",="0888211",N/A,N/A,100.0
"Naugatuck School District",="0880011","City Hill Middle School",="0885111",100.0,100.0,100.0
"Naugatuck School District",="0880011","Cross Street Intermediate School",="0880211",100.0,100.0,100.0
"Naugatuck School District",="0880011","Hillside Intermediate School",="0880411",100.0,100.0,100.0
"Naugatuck School District",="0880011","Hop Brook Elementary School",="0880511",100.0,100.0,100.0
"Naugatuck School District",="0880011","Maple Hill School",="0880311",100.0,100.0,100.0
"Naugatuck School District",="0880011","Naugatuck High School",="0886111",98.4,100.0,100.0
"Naugatuck School District",="0880011","Salem School",="0880611",100.0,100.0,100.0
"Naugatuck School District",="0880011","Western School",="0880711",100.0,100.0,100.0
"New Beginnings Inc Family Academy District",="2800013","New Beginnings Inc Family Academy",="2800113",90.1,92.9,91.5
"New Beginnings Inc., Family Academy District",="2800013","New Beginnings Inc Family Academy",="2800113",90.1,92.9,91.5
"New Britain School District",="0890011","Other",="0899911",100.0,N/A,N/A
"New Britain School District",="0890011","Alternative Center School",="0899111",100.0,100.0,100.0
"New Britain School District",="0890011","CLIMB",="0899411",100.0,N/A,N/A
"New Britain School District",="0890011","Chamberlain  Elementary School",="0890311",100.0,100.0,100.0
"New Britain School District",="0890011","Frank J. DiLoreto School",="0891111",99.1,100.0,100.0
"New Britain School District",="0890011","Gaffney School",="0890511",100.0,94.9,100.0
"New Britain School District",="0890011","Holmes School",="0890611",100.0,100.0,100.0
"New Britain School District",="0890011","House of Arts Letters and Science (HALS)  Academy",="0895411",100.0,100.0,100.0
"New Britain School District",="0890011","Jefferson School",="0890711",100.0,91.0,100.0
"New Britain School District",="0890011","Lincoln School",="0890811",100.0,100.0,100.0
"New Britain School District",="0890011","New Britain High School",="0896111",99.2,100.0,100.0
"New Britain School District",="0890011","New Britain Transition Center",="0899011",100.0,100.0,100.0
"New Britain School District",="0890011","Northend School",="0890911",94.7,97.0,100.0
"New Britain School District",="0890011","Pulaski Middle School",="0895311",99.4,97.9,100.0
"New Britain School District",="0890011","Roosevelt Middle School",="0895111",100.0,N/A,N/A
"New Britain School District",="0890011","Satellite Careers Academy",="0899511",N/A,N/A,100.0
"New Britain School District",="0890011","Slade Middle School",="0895211",97.5,99.5,100.0
"New Britain School District",="0890011","Smalley Academy",="0891211",100.0,98.9,93.2
"New Britain School District",="0890011","Smith School",="0891311",100.0,100.0,100.0
"New Britain School District",="0890011","Vance School",="0891511",100.0,100.0,100.0
"New Canaan School District",="0900011","East School",="0900411",98.8,94.2,98.9
"New Canaan School District",="0900011","New Canaan High School",="0906111",98.8,100.0,100.0
"New Canaan School District",="0900011","Saxe Middle School",="0905111",98.9,100.0,100.0
"New Canaan School District",="0900011","South School",="0900211",100.0,100.0,100.0
"New Canaan School District",="0900011","West School",="0900311",100.0,100.0,100.0
"New Fairfield School District",="0910011","Consolidated School",="0910111",100.0,100.0,100.0
"New Fairfield School District",="0910011","Meeting House Hill School",="0910211",100.0,100.0,100.0
"New Fairfield School District",="0910011","New Fairfield High School",="0916111",100.0,100.0,100.0
"New Fairfield School District",="0910011","New Fairfield Middle School",="0915211",100.0,100.0,100.0
"New Hartford School District",="0920011","Ann Antolini School",="0920311",100.0,100.0,100.0
"New Hartford School District",="0920011","Bakerville Consolidated School",="0920111",100.0,100.0,100.0
"New Hartford School District",="0920011","New Hartford Elementary School",="0920211",100.0,100.0,100.0
"New Haven School District",="0930011","Other",="0939911",100.0,N/A,0.0
"New Haven School District",="0930011","Edgewood School",="0931211",100.0,93.2,100.0
"New Haven School District",="0930011","Nathan Hale School",="0931411",100.0,100.0,100.0
