"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"Bridgeport School District",="0150011","Cesar Batalla School",="0151411",100.0,98.7,96.0
"Bridgeport School District",="0150011","Classical Studies Academy",="0152111",100.0,100.0,100.0
"Bridgeport School District",="0150011","Columbus School",="0150511",100.0,99.1,100.0
"Bridgeport School District",="0150011","Cross School",="0153911",98.7,100.0,100.0
"Bridgeport School District",="0150011","Curiale School",="0154211",100.0,100.0,100.0
"Bridgeport School District",="0150011","Dunbar School",="0154111",100.0,91.2,100.0
"Bridgeport School District",="0150011","Edison School",="0150711",100.0,100.0,100.0
"Bridgeport School District",="0150011","Geraldine Johnson School",="0153211",100.0,96.3,100.0
"Bridgeport School District",="0150011","Hall School",="0151111",100.0,100.0,100.0
"Bridgeport School District",="0150011","Hallen School",="0151211",100.0,100.0,100.0
"Bridgeport School District",="0150011","Harding High School",="0156311",98.3,97.0,100.0
"Bridgeport School District",="0150011","High Horizons Magnet School",="0154511",100.0,100.0,100.0
"Bridgeport School District",="0150011","Hooker School",="0151311",100.0,100.0,92.3
"Bridgeport School District",="0150011","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus",="0151511",100.0,100.0,100.0
"Bridgeport School District",="0150011","Interdistrict Discovery Magnet School",="0153711",91.9,100.0,100.0
"Bridgeport School District",="0150011","Jettie S. Tisdale School",="0152211",100.0,100.0,100.0
"Bridgeport School District",="0150011","Luis Munoz Marin School",="0151011",100.0,95.9,93.5
"Bridgeport School District",="0150011","Madison School",="0152011",100.0,100.0,100.0
"Bridgeport School District",="0150011","Multicultural Magnet School",="0154611",100.0,100.0,100.0
"Bridgeport School District",="0150011","Park City Academy",="0159211",100.0,N/A,N/A
"Bridgeport School District",="0150011","Park City Magnet School",="0151711",100.0,100.0,100.0
"Bridgeport School District",="0150011","Pride Academy",="0151811",100.0,N/A,N/A
"Bridgeport School District",="0150011","Read School",="0152511",100.0,100.0,100.0
"Bridgeport School District",="0150011","Roosevelt School",="0152611",100.0,98.7,100.0
"Bridgeport School District",="0150011","Skane Center",="0154411",100.0,100.0,100.0
"Bridgeport School District",="0150011","Waltersville School",="0153011",98.8,100.0,100.0
"Bridgeport School District",="0150011","Winthrop School",="0153611",100.0,100.0,100.0
"Bristol School District",="0170011","Alternative Special Education Program (ASEP)",="0179011",100.0,100.0,100.0
"Bristol School District",="0170011","Bristol Central High School",="0176111",100.0,100.0,100.0
"Bristol School District",="0170011","Bristol Early Childhood Center-BECC",="0170411",N/A,100.0,100.0
"Bristol School District",="0170011","Bristol Eastern High School",="0176211",100.0,100.0,100.0
"Bristol School District",="0170011","Bristol Preparatory Academy",="0173311",N/A,100.0,100.0
"Bristol School District",="0170011","Chippens Hill Middle School",="0175111",98.0,100.0,100.0
"Bristol School District",="0170011","Chippens Hill Middle School Functional Program",="0171011",N/A,N/A,100.0
"Bristol School District",="0170011","Community/Vocational Program",="0179211",100.0,100.0,100.0
"Bristol School District",="0170011","Edgewood School",="0170311",100.0,100.0,100.0
"Bristol School District",="0170011","Ellen P. Hubbell School",="0171411",93.5,100.0,100.0
"Bristol School District",="0170011","Greene-Hills School",="0170511",100.0,100.0,100.0
"Bristol School District",="0170011","Ivy Drive School",="0171911",100.0,100.0,100.0
"Bristol School District",="0170011","Mountain View School",="0171711",100.0,100.0,100.0
