"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2008-09"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",134,93,34,261
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",264,272,105,641
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",10,312,12,334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",282,339,96,717
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",252,257,73,582
"Ansonia School District","=""0020011""","Mead School","=""0020311""",285,260,71,616
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",22,"*","*",39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",327,363,69,759
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",0,12,0,12
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",42,54,14,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",114,36,20,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",283,340,125,748
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",51,109,16,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",95,26,7,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",65,20,8,93
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",43,13,0,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",108,419,78,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",65,393,27,485
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,1023,19,1052
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",8,575,6,589
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",18,582,10,610
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",7,732,11,750
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",533,"*",557
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",12,316,13,341
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,21,0,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",43,960,24,1027
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",38,682,22,742
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",41,542,18,601
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",18,556,10,584
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*",252,"*",264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",8,534,7,549
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",26,380,17,423
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",52,906,52,1010
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",56,612,38,706
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",16,448,16,480
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",37,388,29,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",197,374,75,646
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",108,157,48,313
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",111,147,44,302
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",97,182,37,316
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",90,150,25,265
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",85,111,36,232
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",32,45,6,83
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",37,534,12,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",272,"*",278
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",18,223,15,256
"Branford School District","=""0140011""","Branford High School","=""0146111""",105,951,55,1111
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",138,876,69,1083
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","*",65,"*",77
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",45,291,27,363
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",42,383,11,436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",76,299,34,409
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",100,45,15,160
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",588,"*","*",600
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1204,15,38,1257
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",382,"*","*",392
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",228,"*","*",234
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1003,31,25,1059
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*",0,"*",57
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*",0,"*",440
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2008,85,194,2287
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1069,8,16,1093
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",325,9,9,343
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",621,0,8,629
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",355,7,11,373
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",538,"*","*",562
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",385,0,12,397
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",309,"*","*",317
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",752,"*","*",771
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",262,"*","*",273
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",336,6,12,354
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1564,17,71,1652
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",373,61,7,441
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",423,21,26,470
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",572,"*","*",596
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",404,0,9,413
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",842,"*","*",854
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",516,"*","*",531
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*",0,"*",42
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",411,12,22,445
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","*",0,"*",38
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",34,0,0,34
