"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Math",311,307,98.7,307,106,34.5,86,28.0,62,20.2,53,17.3,115,37.5
"Stamford School District","=""1350011""","Northeast School","=""1351811""","ELA",352,347,98.6,347,116,33.4,74,21.3,76,21.9,81,23.3,157,45.2
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Math",352,344,97.7,344,117,34.0,89,25.9,69,20.1,69,20.1,138,40.1
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","ELA",799,786,98.4,786,248,31.6,208,26.5,234,29.8,96,12.2,330,42.0
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Math",799,789,98.7,789,314,39.8,230,29.2,144,18.3,101,12.8,245,31.1
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","ELA",524,523,99.8,523,88,16.8,112,21.4,185,35.4,138,26.4,323,61.8
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Math",524,524,100.0,524,115,21.9,132,25.2,119,22.7,158,30.2,277,52.9
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","ELA",298,294,98.7,294,81,27.6,68,23.1,85,28.9,60,20.4,145,49.3
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Math",298,294,98.7,294,86,29.3,100,34.0,68,23.1,40,13.6,108,36.7
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","ELA",705,700,99.3,700,97,13.9,156,22.3,281,40.1,166,23.7,447,63.9
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Math",705,701,99.4,701,126,18.0,218,31.1,183,26.1,174,24.8,357,50.9
"Stamford School District","=""1350011""","Springdale School","=""1351111""","ELA",327,326,99.7,326,107,32.8,82,25.2,68,20.9,69,21.2,137,42.0
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Math",327,326,99.7,326,104,31.9,100,30.7,82,25.2,40,12.3,122,37.4
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","ELA",334,334,100.0,334,99,29.6,82,24.6,86,25.7,67,20.1,153,45.8
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Math",334,334,100.0,334,99,29.6,85,25.4,84,25.1,66,19.8,150,44.9
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","ELA",317,314,99.1,314,95,30.3,76,24.2,83,26.4,60,19.1,143,45.5
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Math",317,314,99.1,314,82,26.1,103,32.8,77,24.5,52,16.6,129,41.1
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","ELA",612,609,99.5,609,225,36.9,139,22.8,162,26.6,83,13.6,245,40.2
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Math",613,608,99.2,608,253,41.6,143,23.5,114,18.8,98,16.1,212,34.9
"Stamford School District","=""1350011""","Westover School","=""1351411""","ELA",328,325,99.1,325,62,19.1,60,18.5,77,23.7,126,38.8,203,62.5
"Stamford School District","=""1350011""","Westover School","=""1351411""","Math",328,325,99.1,325,88,27.1,72,22.2,49,15.1,116,35.7,165,50.8
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","ELA",283,278,98.2,278,51,18.3,72,25.9,97,34.9,58,20.9,155,55.8
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Math",283,278,98.2,278,95,34.2,107,38.5,52,18.7,24,8.6,76,27.3
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","ELA",175,171,97.7,171,15,8.8,16,9.4,45,26.3,95,55.6,140,81.9
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Math",176,172,97.7,172,13,7.6,29,16.9,61,35.5,69,40.1,130,75.6
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","ELA",402,392,97.5,392,54,13.8,69,17.6,144,36.7,125,31.9,269,68.6
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Math",402,391,97.3,391,54,13.8,92,23.5,107,27.4,138,35.3,245,62.7
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","ELA",263,261,99.2,261,30,11.5,53,20.3,107,41.0,71,27.2,178,68.2
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Math",263,261,99.2,261,51,19.5,75,28.7,70,26.8,65,24.9,135,51.7
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","ELA",147,146,99.3,146,22,15.1,19,13.0,37,25.3,68,46.6,105,71.9
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Math",147,146,99.3,146,11,7.5,32,21.9,44,30.1,59,40.4,103,70.5
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","ELA",305,301,98.7,301,42,14.0,76,25.2,99,32.9,84,27.9,183,60.8
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Math",305,301,98.7,301,72,23.9,108,35.9,87,28.9,34,11.3,121,40.2
"Stratford School District","=""1380011""","Chapel School","=""1380311""","ELA",301,297,98.7,297,96,32.3,72,24.2,91,30.6,38,12.8,129,43.4
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Math",301,296,98.3,296,105,35.5,105,35.5,64,21.6,22,7.4,86,29.1
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","ELA",551,544,98.7,544,155,28.5,135,24.8,175,32.2,79,14.5,254,46.7
