"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Math",285,277,97.2,277,50,18.1,87,31.4,87,31.4,53,19.1,140,50.5
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","ELA",255,251,98.4,251,54,21.5,61,24.3,81,32.3,55,21.9,136,54.2
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","Math",255,252,98.8,252,"*","*",88,34.9,71,28.2,"*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Math","*","*","*","*",67,78.8,"*","*","*","*",0,0.0,"*","*"
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","ELA",63,61,96.8,61,6,9.8,10,16.4,27,44.3,18,29.5,45,73.8
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Math",63,61,96.8,61,9,14.8,19,31.1,15,24.6,18,29.5,33,54.1
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","ELA",398,390,98.0,390,31,7.9,62,15.9,175,44.9,122,31.3,297,76.2
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Math",398,390,98.0,390,55,14.1,127,32.6,113,29.0,95,24.4,208,53.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","ELA",355,354,99.7,354,47,13.3,67,18.9,114,32.2,126,35.6,240,67.8
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Math",355,354,99.7,354,49,13.8,102,28.8,116,32.8,87,24.6,203,57.3
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","ELA",440,440,100.0,440,35,8.0,97,22.0,181,41.1,127,28.9,308,70.0
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Math",440,440,100.0,439,74,16.9,123,28.0,136,31.0,106,24.1,242,55.1
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","ELA",477,476,99.8,476,94,19.7,100,21.0,144,30.3,138,29.0,282,59.2
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Math",477,476,99.8,476,123,25.8,173,36.3,114,23.9,66,13.9,180,37.8
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","ELA",1005,992,98.7,992,233,23.5,325,32.8,353,35.6,81,8.2,434,43.8
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Math",1004,983,97.9,982,405,41.2,358,36.5,157,16.0,62,6.3,219,22.3
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","ELA",198,198,100.0,198,50,25.3,56,28.3,65,32.8,27,13.6,92,46.5
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Math",198,198,100.0,198,44,22.2,83,41.9,51,25.8,20,10.1,71,35.9
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","ELA",156,155,99.4,155,55,35.5,38,24.5,27,17.4,35,22.6,62,40.0
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Math",156,155,99.4,155,46,29.7,45,29.0,34,21.9,30,19.4,64,41.3
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","ELA",197,196,99.5,196,38,19.4,59,30.1,46,23.5,53,27.0,99,50.5
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Math",197,196,99.5,196,53,27.0,45,23.0,68,34.7,30,15.3,98,50.0
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","ELA",367,363,98.9,363,100,27.5,74,20.4,101,27.8,88,24.2,189,52.1
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Math",367,362,98.6,362,112,30.9,123,34.0,79,21.8,48,13.3,127,35.1
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","ELA",97,96,99.0,95,32,33.7,"*","*",24,25.3,"*","*","*","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Math",97,96,99.0,96,26,27.1,"*","*",36,37.5,"*","*","*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","ELA","*","*","*","*","*","*",24,30.8,"*","*",27,34.6,"*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Math","*","*","*","*","*","*","*","*","*","*",25,32.1,"*","*"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","ELA",184,184,100.0,184,21,11.4,58,31.5,73,39.7,32,17.4,105,57.1
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Math",184,184,100.0,184,22,12.0,76,41.3,67,36.4,19,10.3,86,46.7
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","ELA",287,287,100.0,287,77,26.8,78,27.2,84,29.3,48,16.7,132,46.0
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Math",287,287,100.0,287,67,23.3,95,33.1,80,27.9,45,15.7,125,43.6
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","ELA",170,167,98.2,167,36,21.6,42,25.1,51,30.5,38,22.8,89,53.3
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Math",170,167,98.2,167,36,21.6,58,34.7,52,31.1,21,12.6,73,43.7
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","ELA",956,951,99.5,951,325,34.2,293,30.8,264,27.8,69,7.3,333,35.0
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Math",956,947,99.1,947,434,45.8,318,33.6,139,14.7,56,5.9,195,20.6
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","ELA",245,245,100.0,244,57,23.4,54,22.1,75,30.7,58,23.8,133,54.5
