"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Gender"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Gender","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","F",296,295,99.7,295,68,23.1,73,24.7,98,33.2,56,19.0,154,52.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","M",296,294,99.3,294,102,34.7,82,27.9,67,22.8,43,14.6,110,37.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","F",296,294,99.3,294,102,34.7,106,36.1,53,18.0,33,11.2,86,29.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","M",296,292,98.6,291,120,41.2,83,28.5,44,15.1,44,15.1,88,30.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","F",267,266,99.6,266,37,13.9,68,25.6,111,41.7,50,18.8,161,60.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","M",271,268,98.9,268,72,26.9,66,24.6,88,32.8,42,15.7,130,48.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","F",267,266,99.6,266,50,18.8,89,33.5,73,27.4,54,20.3,127,47.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","M",271,267,98.5,267,69,25.8,72,27.0,66,24.7,60,22.5,126,47.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","F",75,74,98.7,74,"*","*","*","*",19,25.7,41,55.4,60,81.1
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","M",84,82,97.6,82,"*","*","*","*",26,31.7,31,37.8,57,69.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","F",75,74,98.7,74,"*","*","*","*",24,32.4,30,40.5,54,73.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","M",84,82,97.6,82,"*","*","*","*",30,36.6,29,35.4,59,72.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","F",168,164,97.6,164,57,34.8,58,35.4,41,25.0,8,4.9,49,29.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","M",185,179,96.8,179,88,49.2,47,26.3,35,19.6,9,5.0,44,24.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","F",168,164,97.6,163,80,49.1,62,38.0,"*","*","*","*",21,12.9
