"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2015-16"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",0,"*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",358,64,422
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,10,10
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,"*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,"*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",432,59,491
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",0,24,24
"Bristol School District","=""0170011""","Stafford School","=""0171211""",376,60,436
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",795,127,922
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",790,90,880
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",319,49,368
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",504,73,577
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",738,117,855
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",455,66,521
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",348,29,377
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",68,8,76
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",241,20,261
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",203,27,230
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",422,66,488
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",363,37,400
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",247,37,284
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",413,38,451
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",228,21,249
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",613,89,702
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",307,36,343
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",480,37,517
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",319,35,354
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",366,39,405
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",480,37,517
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",366,39,405
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",409,42,451
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",387,53,440
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",277,60,337
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",434,33,467
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,12,12
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",480,37,517
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",637,89,726
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",291,63,354
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",424,44,468
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",358,97,455
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",389,66,455
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",8,58,66
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,140,140
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,8,8
