"Primary Disability (K-12), Trend"
"All Districts, All Disabilities"

"",,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","Count","Overall Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Count","Overall Prevalence Rate (%)"
"Stafford School District","=""1340011""",168,9.8,183,11.3,182,11.6,185,12.0,190,12.5
"Stamford School District","=""1350011""",1463,9.5,1532,9.8,1659,10.5,1738,11.0,1807,11.5
"Sterling School District","=""1360011""",69,11.5,91,14.6,89,14.5,78,13.2,78,13.6
"Stonington School District","=""1370011""",304,12.4,305,12.7,307,13.1,334,14.5,331,15.0
"Stratford School District","=""1380011""",697,9.5,722,9.9,754,10.3,780,10.9,841,11.8
"Suffield School District","=""1390011""",247,10.3,247,10.4,244,10.5,232,10.1,247,11.0
"Thomaston School District","=""1400011""",137,11.7,143,12.6,139,13.0,137,13.4,143,14.3
"Thompson School District","=""1410011""",132,10.9,129,10.9,118,10.8,122,11.7,124,12.1
"Tolland School District","=""1420011""",311,10.4,315,10.9,297,10.8,310,11.3,311,11.7
"Torrington School District","=""1430011""",772,16.7,731,16.1,737,16.4,758,17.0,814,18.5
"Trumbull School District","=""1440011""",565,8.5,600,9.0,602,9.2,635,9.8,679,10.5
"Unified School District #1","=""3360015""",296,39.8,244,38.1,233,43.2,175,42.7,167,42.8
"Unified School District #2","=""3470015""",199,75.7,175,77.1,155,68.0,150,69.8,135,78.0
"Union School District","=""1450011""",11,10.8,8,8.0,11,10.2,18,16.5,17,16.2
"Vernon School District","=""1460011""",425,11.8,447,12.6,470,13.5,500,14.5,511,15.2
"Voluntown School District","=""1470011""",45,11.0,40,10.3,41,10.7,60,15.1,65,17.1
"Wallingford School District","=""1480011""",797,12.6,764,12.4,717,12.0,688,11.5,694,11.9
"Waterbury School District","=""1510011""",2803,16.5,2951,17.1,3093,17.6,3243,18.2,3307,18.6
"Waterford School District","=""1520011""",340,12.0,353,12.5,372,13.4,392,14.4,388,14.4
"Watertown School District","=""1530011""",333,10.9,346,11.5,347,11.9,342,12.0,351,12.5
"West Hartford School District","=""1550011""",1089,10.7,1090,10.7,1130,11.2,1159,11.7,1175,11.9
"West Haven School District","=""1560011""",830,11.8,865,12.3,911,13.0,972,14.1,1019,14.9
"Westbrook School District","=""1540011""",75,8.3,87,10.2,83,10.1,90,11.5,94,12.6
"Weston School District","=""1570011""",218,8.8,212,8.8,202,8.4,200,8.4,209,8.8
"Westport School District","=""1580011""",567,9.9,577,10.0,555,9.7,575,10.1,579,10.2
"Wethersfield School District","=""1590011""",421,11.1,456,11.9,474,12.2,512,13.3,517,13.3
"Willington School District","=""1600011""",60,12.6,63,13.6,59,13.4,57,13.7,70,16.6
"Wilton School District","=""1610011""",463,10.8,499,11.7,512,12.0,545,13.0,539,13.1
"Winchester School District","=""1620011""",259,19.4,250,19.3,239,19.0,232,19.2,249,21.1
"Windham School District","=""1630011""",527,16.9,508,16.4,486,15.7,501,16.3,527,16.6
"Windsor Locks School District","=""1650011""",212,11.5,205,11.3,208,11.8,205,12.2,239,14.3
"Windsor School District","=""1640011""",542,13.7,586,14.9,571,14.7,588,15.6,604,15.9
"Wolcott School District","=""1660011""",247,8.9,231,8.6,227,8.8,229,9.3,257,10.6
"Woodbridge School District","=""1670011""",64,8.9,65,8.9,59,7.8,63,8.1,63,8.3
"Woodstock School District","=""1690011""",86,6.6,87,6.9,106,8.2,113,9.0,116,9.3

