"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"Y",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",212
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"Y",73,73,100.0,73,"*","*","*","*","*","*","*","*","*","*","*","*",217
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"Y",62,61,98.4,61,"*","*","*","*",26,42.6,6,9.8,"*","*","*","*",219
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"N",33,33,100.0,33,"*","*","*","*",8,24.2,18,54.5,"*","*","*","*",249
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"Y",146,146,100.0,146,48,32.9,"*","*",40,27.4,"*","*",0,0.0,"*","*",216
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"N",39,39,100.0,39,6,15.4,"*","*",11,28.2,18,46.2,"*","*","*","*",245
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"Y",110,109,99.1,109,"*","*","*","*",40,36.7,7,6.4,"*","*","*","*",210
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"N",38,37,97.4,37,"*","*","*","*",15,40.5,7,18.9,"*","*","*","*",255
