"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2012-13"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",824,0,0,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",608,171,125,904
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",34,270,10,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",295,244,92,631
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",257,147,59,463
"Ansonia School District","=""0020011""","Mead School","=""0020311""",369,182,68,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",382,218,99,699
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",25,"*",36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",116,25,6,147
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",208,474,40,722
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",59,80,10,149
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",87,"*","*",114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",72,"*","*",89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",36,"*","*",45
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",179,376,75,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",119,294,26,439
"Avon School District","=""0040011""","Avon High School","=""0046111""",50,1016,17,1083
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",19,581,11,611
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",28,559,8,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",539,"*",569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",31,507,10,548
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",304,"*",328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,21,0,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",102,833,27,962
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",87,603,22,712
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",57,435,9,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",55,500,12,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",20,205,7,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",21,445,7,473
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",54,315,23,392
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",122,784,53,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",100,548,36,684
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",44,445,8,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",68,355,20,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",233,244,64,541
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",107,94,19,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",128,105,28,261
