"Student Counts by School and Race"
"All Districts, All Schools"
"2012-13"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",44,222,805,"*","*",40,1115
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",9,195,91,"*",0,12,310
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",0,"*",302,534,0,"*",37,877
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*","*",245,158,0,0,13,420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",33,353,345,0,"*",35,773
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,"*",192,107,0,"*",9,313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,"*",130,89,0,"*",20,244
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",9,33,275,445,"*","*",53,818
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","*","*",157,136,0,0,8,308
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",0,0,197,114,0,"*","*",336
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","*",9,577,659,"*","*",44,1297
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*",9,227,145,0,"*",45,433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","*",6,145,176,0,"*",50,381
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*",23,138,155,0,"*",134,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",0,"*",347,256,0,"*",13,629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",0,"*",231,616,"*","*",20,871
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,"*",148,255,0,"*",86,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",12,89,291,0,"*",58,456
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,"*","*",0,0,0,6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",0,47,241,177,0,0,61,526
"Bridgeport School District","=""0150011""","Read School","=""0152511""","*",15,341,410,0,"*",86,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",0,14,204,285,0,0,21,524
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",0,12,65,102,0,0,52,231
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",0,"*",109,387,0,"*",11,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",41,254,206,0,"*",182,686
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,"*","*",0,0,10,19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","*","*",87,240,0,40,873,1262
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","*",32,99,202,0,"*",956,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,20,62,136,0,7,533,758
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,0,0,0,0,10,10
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,"*",17,94,0,"*",239,365
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","*","*",28,116,0,31,248,436
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",0,53,48,219,0,41,532,893
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,11,17,65,0,7,323,423
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*",27,"*",72,0,22,293,431
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","*",13,23,63,0,"*",385,500
"Bristol School District","=""0170011""","South Side School","=""0171111""",0,9,31,110,0,6,333,489
"Bristol School District","=""0170011""","Stafford School","=""0171211""",0,28,39,87,0,12,337,503
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","*","*",50,247,0,32,539,901
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",37,18,37,0,"*",823,918
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",0,22,"*",30,0,"*",355,416
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*",49,12,44,"*",0,497,605
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","*",59,"*",56,0,0,722,851
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*",14,10,33,"*",15,469,543
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,"*","*",16,0,13,355,394
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,0,0,"*",0,"*",69,75
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",0,"*","*",9,0,14,231,259
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,"*","*",13,0,7,206,231
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,11,16,16,0,6,462,511
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",12,17,24,0,"*",371,430
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,"*","*",16,0,10,235,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*","*",30,37,0,0,453,537
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,56,108,148,0,15,164,491
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","*",26,115,108,0,"*",74,335
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",0,11,48,56,0,10,39,164
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",0,21,47,65,"*","*",68,221
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,"*","*",0,"*",16,21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*",44,100,88,"*",23,130,387
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","*","*",85,136,0,10,184,423
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,59,75,"*","*",40,184
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,0,0,0,0,0,6,6
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","*",58,82,109,0,"*",95,357
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,"*",18,25,0,0,"*",58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,"*","*",0,0,6,11
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*",28,365,113,"*",19,186,716
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","*","*",83,139,0,14,91,340
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","*",11,123,91,0,"*",80,311
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*","*",105,145,0,13,105,377
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",0,7,124,92,0,8,125,356
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",0,"*","*",12,0,0,43,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,"*",27,27,0,"*",92,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",0,"*","*",9,0,0,66,86
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","*",7,25,42,0,"*",18,96
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","*",40,138,193,0,"*",261,663
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",0,30,158,118,0,13,121,440
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",0,"*","*",11,0,8,162,185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,18,"*",10,0,"*",243,283
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*",116,"*",44,0,0,1325,1514
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",24,9,19,0,"*",245,306
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*",76,15,25,0,"*",639,757
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,47,"*",27,0,"*",447,539
"Cheshire School District","=""0250011""","Highland School","=""0250411""","*",95,21,37,0,"*",620,776
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,"*",0,0,0,"*",25
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",38,10,16,0,"*",383,455
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,"*","*","*",0,8,234,251
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*",7,"*",27,0,"*",272,311
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*",9,"*",36,0,13,383,446
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","*",23,"*",72,0,9,533,645
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*",15,"*",44,"*",18,494,579
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",10,14,35,56,0,7,815,937
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*",11,8,43,"*",20,527,612
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*",17,15,22,0,"*",563,630
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",8,14,19,30,0,8,622,701
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,0,0,"*",0,"*",92,104
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",0,"*","*",27,0,7,459,503
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,"*",55,70,0,"*",35,169
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","*","*",252,441,0,9,68,778
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","*",7,293,463,0,"*",60,828
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","*","*",63,333,0,18,214,635
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","*","*",164,294,0,8,30,500
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",8,"*",57,187,"*",22,291,573
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*",6,41,117,0,"*",385,557
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*",45,237,0,13,459,768
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*","*",28,0,18,472,531
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","*",9,26,234,0,"*",362,641
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","*","*",107,152,0,19,386,685
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",6,"*",27,78,"*",43,515,676
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*",7,8,49,0,"*",587,659
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",6,6,106,276,0,19,439,852
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",69,79,"*",17,468,640
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*",10,109,207,"*",19,407,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","*","*",8,164,"*",8,384,570
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,"*",20,"*",0,0,58,91
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,"*",15,15,0,"*",21,54
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,"*","*",0,0,10,14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",0,"*",22,27,0,0,"*",54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",0,"*",167,164,0,"*",117,473
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","*","*",32,35,0,9,74,152
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,"*","*",8,0,7,85,103
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,"*","*",23,0,14,361,408
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,0,0,"*",0,"*",14,16
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*","*","*",19,0,7,343,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,"*","*",14,0,16,474,511
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","*","*","*",21,0,22,355,408
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*",25,47,40,0,"*",419,535
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*",29,46,42,0,"*",383,509
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",0,41,43,37,"*","*",361,486
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,"*",35,36,0,"*",341,441
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,"*","*",23,0,0,33,78
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,78,96,406,0,21,493,1094
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","*",252,312,989,0,"*",1306,2887
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,31,29,220,0,12,113,405
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,11,8,141,0,14,153,327
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",0,50,29,192,"*","*",116,411
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,35,30,107,0,7,184,363
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",19,15,171,0,"*",184,404
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",0,9,6,52,0,6,92,165
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*",41,41,120,0,"*",188,401
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,18,27,277,"*","*",85,420
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,26,21,241,0,11,132,431
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,28,30,124,0,13,167,362
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","*",78,103,523,0,"*",469,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,41,27,189,"*","*",147,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,16,25,229,0,13,85,368
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,39,20,165,0,8,217,449
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","*",42,31,91,0,"*",262,431
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",32,7,54,0,"*",1231,1329
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,33,"*",17,0,"*",524,579
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,19,"*",9,0,"*",402,433
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,46,6,36,0,0,1047,1135
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*",14,0,20,0,"*",436,474
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",18,"*",17,0,"*",373,413
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,14,"*",14,0,"*",457,496
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,0,"*",29,0,"*",306,347
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,0,"*","*",0,0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",0,"*",33,56,"*",11,237,345
"Derby School District","=""0370011""","Derby High School","=""0376111""","*","*",56,92,0,7,200,361
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,11,67,85,"*","*",190,366
"Derby School District","=""0370011""","Irving School","=""0370411""",0,"*",76,150,"*",14,170,420
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*",12,17,16,0,"*",185,241
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,"*",14,16,0,"*",229,271
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",18,9,0,"*",176,213
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*",7,14,10,0,"*",99,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",0,"*","*",6,0,"*",322,337
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,"*","*",13,0,"*",378,399
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,"*",0,7,0,"*",496,508
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,"*",0,11,0,"*",262,285
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*",7,8,13,"*","*",488,523
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,16,"*",20,0,"*",406,449
