"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math",234,109,46.6,97,41.5,28,12.0,0,0.0,28,12.0,425
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA",175,119,68.0,41,23.4,"*","*","*","*",15,8.6,394
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math",175,135,77.1,"*","*","*","*",0,0.0,"*","*",376
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA",132,37,28.0,35,26.5,50,37.9,10,7.6,60,45.5,475
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math",132,45,34.1,62,47.0,"*","*","*","*",25,18.9,454
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA",262,34,13.0,50,19.1,145,55.3,33,12.6,178,67.9,518
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math",262,42,16.0,121,46.2,83,31.7,16,6.1,99,37.8,502
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA",285,32,11.2,53,18.6,174,61.1,26,9.1,200,70.2,515
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math",285,59,20.7,136,47.7,80,28.1,10,3.5,90,31.6,485
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA",28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math",28,16,57.1,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA",67,"*","*","*","*",27,40.3,30,44.8,57,85.1,591
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math",67,7,10.4,13,19.4,24,35.8,23,34.3,47,70.1,587
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA",96,18,18.8,23,24.0,37,38.5,18,18.8,55,57.3,511
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math",96,31,32.3,47,49.0,18,18.8,0,0.0,18,18.8,457
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELA",59,10,16.9,12,20.3,31,52.5,6,10.2,37,62.7,499
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Math",59,10,16.9,42,71.2,"*","*","*","*",7,11.9,467
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA",87,12,13.8,31,35.6,29,33.3,15,17.2,44,50.6,499
