"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","ELA",33,9,27.3,"*","*",16,48.5,"*","*","*","*",479
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Math",33,"*","*",19,57.6,7,21.2,"*","*","*","*",478
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","ELA","*",30,20.1,"*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","ELA",196,"*","*",51,26.0,107,54.6,"*","*","*","*",504
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Math",196,45,23.0,92,46.9,49,25.0,10,5.1,59,30.1,482
"Explorations District","=""2720013""","Explorations","=""2726113""","ELA",21,"*","*",10,47.6,"*","*","*","*","*","*",479
"Explorations District","=""2720013""","Explorations","=""2726113""","Math",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",440
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","ELA",350,12,3.4,28,8.0,196,56.0,114,32.6,310,88.6,583
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Math",350,15,4.3,90,25.7,173,49.4,72,20.6,245,70.0,570
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","ELA",350,35,10.0,28,8.0,185,52.9,102,29.1,287,82.0,564
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Math",350,33,9.4,112,32.0,151,43.1,54,15.4,205,58.6,548
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Math",9,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","ELA",477,"*","*","*","*","*","*","*","*","*","*",572
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Math",477,"*","*","*","*","*","*","*","*","*","*",582
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","ELA",151,9,6.0,16,10.6,83,55.0,43,28.5,126,83.4,565
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Math",151,7,4.6,49,32.5,70,46.4,25,16.6,95,62.9,555
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Math",8,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","ELA",609,"*","*","*","*","*","*","*","*","*","*",576
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Math",609,"*","*","*","*","*","*","*","*","*","*",578
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","ELA",234,31,13.2,49,20.9,112,47.9,42,17.9,154,65.8,525
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Math",234,46,19.7,103,44.0,63,26.9,22,9.4,85,36.3,502
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","ELA",254,9,3.5,20,7.9,139,54.7,86,33.9,225,88.6,587
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Math",253,19,7.5,73,28.9,115,45.5,46,18.2,161,63.6,561
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Math",8,"*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","ELA",363,50,13.8,71,19.6,177,48.8,65,17.9,242,66.7,522
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Math",363,80,22.0,160,44.1,94,25.9,29,8.0,123,33.9,493
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","ELA",150,96,64.0,31,20.7,"*","*","*","*",23,15.3,408
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Math",150,102,68.0,42,28.0,6,4.0,0,0.0,6,4.0,390
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","ELA",24,"*","*",6,25.0,11,45.8,"*","*","*","*",482
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Math",24,"*","*",16,66.7,"*","*",0,0.0,"*","*",465
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","ELA",38,15,39.5,11,28.9,12,31.6,0,0.0,12,31.6,440
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Math",38,21,55.3,"*","*","*","*",0,0.0,"*","*",419
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","ELA",77,14,18.2,14,18.2,37,48.1,12,15.6,49,63.6,518
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Math",77,26,33.8,27,35.1,"*","*","*","*",24,31.2,463
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","ELA",50,30,60.0,"*","*","*","*",0,0.0,"*","*",402
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Math",50,35,70.0,15,30.0,0,0.0,0,0.0,0,0.0,380
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","ELA",30,12,40.0,"*","*",9,30.0,"*","*","*","*",439
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Math",30,"*","*",16,53.3,"*","*",0,0.0,"*","*",424
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","ELA",61,"*","*",20,32.8,21,34.4,"*","*","*","*",478
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Math",61,23,37.7,28,45.9,"*","*","*","*",10,16.4,456
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","ELA",59,41,69.5,11,18.6,"*","*","*","*",7,11.9,395
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Math",59,44,74.6,10,16.9,"*","*","*","*","*","*",390
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","ELA",75,49,65.3,16,21.3,10,13.3,0,0.0,10,13.3,402
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Math",75,54,72.0,21,28.0,0,0.0,0,0.0,0,0.0,381
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","ELA",77,50,64.9,16,20.8,11,14.3,0,0.0,11,14.3,409
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Math",77,48,62.3,"*","*","*","*",0,0.0,"*","*",402
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","ELA",85,32,37.6,"*","*",32,37.6,"*","*","*","*",463
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Math",85,30,35.3,42,49.4,"*","*","*","*",13,15.3,444
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","ELA",56,38,67.9,10,17.9,8,14.3,0,0.0,8,14.3,404
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Math",56,39,69.6,"*","*","*","*",0,0.0,"*","*",388
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","ELA",58,31,53.4,15,25.9,12,20.7,0,0.0,12,20.7,422
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Math",58,37,63.8,21,36.2,0,0.0,0,0.0,0,0.0,394
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","ELA",78,31,39.7,16,20.5,23,29.5,8,10.3,31,39.7,466
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Math",77,36,46.8,23,29.9,"*","*","*","*",18,23.4,444
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","ELA",44,12,27.3,"*","*",23,52.3,"*","*","*","*",472
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Math",44,"*","*",23,52.3,"*","*",0,0.0,"*","*",435
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","ELA",105,30,28.6,19,18.1,50,47.6,6,5.7,56,53.3,482
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Math",105,32,30.5,39,37.1,27,25.7,7,6.7,34,32.4,478
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","ELA",91,16,17.6,12,13.2,39,42.9,24,26.4,63,69.2,541
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Math",91,14,15.4,32,35.2,28,30.8,17,18.7,45,49.5,530
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""","Math",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","ELA",171,24,14.0,27,15.8,110,64.3,10,5.8,120,70.2,508
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Math",171,44,25.7,94,55.0,"*","*","*","*",33,19.3,465
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","ELA",89,35,39.3,19,21.3,28,31.5,7,7.9,35,39.3,461
"Learn","=""2450014""","Connecticut River Academy","=""2456014""","Math",88,36,40.9,41,46.6,"*","*","*","*","*","*",428
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","ELA",65,"*","*","*","*",34,52.3,27,41.5,61,93.8,587
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""","Math",65,"*","*",28,43.1,27,41.5,"*","*","*","*",541
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","ELA","*","*","*",8,25.8,"*","*","*","*","*","*","*"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","Math","*","*","*","*","*",15,48.4,"*","*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","ELA",83,6,7.2,6,7.2,60,72.3,11,13.3,71,85.5,547
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Math",83,6,7.2,33,39.8,31,37.3,13,15.7,44,53.0,541
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","ELA",197,24,12.2,37,18.8,100,50.8,36,18.3,136,69.0,527
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Math",197,30,15.2,85,43.1,57,28.9,25,12.7,82,41.6,516
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","ELA",74,7,9.5,10,13.5,41,55.4,16,21.6,57,77.0,544
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Math",74,9,12.2,23,31.1,33,44.6,9,12.2,42,56.8,530
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","ELA",296,7,2.4,13,4.4,165,55.7,111,37.5,276,93.2,597
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Math",296,16,5.4,74,25.0,133,44.9,73,24.7,206,69.6,578
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","ELA",334,87,26.0,72,21.6,150,44.9,25,7.5,175,52.4,482
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Math",334,110,32.9,153,45.8,59,17.7,12,3.6,71,21.3,458
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","ELA",9,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","Math",9,"*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","ELA",243,75,30.9,60,24.7,92,37.9,16,6.6,108,44.4,470
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Math",243,122,50.2,86,35.4,"*","*","*","*",35,14.4,429
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","ELA",215,82,38.1,49,22.8,70,32.6,14,6.5,84,39.1,459
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Math",214,109,50.9,75,35.0,"*","*","*","*",30,14.0,422
"Meriden School District","=""0800011""","Success Academy","=""0801411""","ELA",14,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Success Academy","=""0801411""","Math",14,"*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS - Alternative Education Program 2","=""0831911""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","MHS- Alternative Education Program 3","=""0832211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","ELA",279,66,23.7,60,21.5,126,45.2,27,9.7,153,54.8,493
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Math",277,83,30.0,122,44.0,65,23.5,7,2.5,72,26.0,467
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Middletown School District","=""0830011""","Virtual Learning Academy - MHS","=""0831711""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","ELA",236,21,8.9,39,16.5,140,59.3,36,15.3,176,74.6,532
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Math",236,42,17.8,"*","*",73,30.9,"*","*","*","*",498
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","ELA",214,16,7.5,33,15.4,140,65.4,25,11.7,165,77.1,535
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Math","*","*","*",112,52.3,"*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Milford School District","=""0840011""","The Academy","=""0840311""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","ELA",461,241,52.3,101,21.9,105,22.8,14,3.0,119,25.8,428
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Math",461,248,53.8,160,34.7,39,8.5,14,3.0,53,11.5,421
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","ELA",227,15,6.6,21,9.3,130,57.3,61,26.9,191,84.1,564
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Math",227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","ELA",155,37,23.9,33,21.3,77,49.7,8,5.2,85,54.8,483
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Math",155,66,42.6,74,47.7,"*","*","*","*",15,9.7,436
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","ELA",70,11,15.7,12,17.1,39,55.7,8,11.4,47,67.1,518
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Math",70,9,12.9,37,52.9,16,22.9,8,11.4,24,34.3,509
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","ELA",44,22,50.0,"*","*",16,36.4,"*","*","*","*",442
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Math",44,25,56.8,15,34.1,"*","*","*","*","*","*",402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","ELA",143,48,33.6,"*","*",53,37.1,"*","*","*","*",458
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Math",143,52,36.4,67,46.9,"*","*","*","*",24,16.8,442
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","ELA",33,"*","*",11,33.3,11,33.3,"*","*","*","*",455
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Math",33,16,48.5,"*","*","*","*",0,0.0,"*","*",439
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","ELA",178,102,57.3,44,24.7,"*","*","*","*",32,18.0,416
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Math",178,109,61.2,60,33.7,"*","*","*","*",9,5.1,398
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","ELA",86,30,34.9,"*","*",30,34.9,"*","*","*","*",451
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Math",86,33,38.4,42,48.8,11,12.8,0,0.0,11,12.8,434
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","ELA",56,14,25.0,"*","*",25,44.6,"*","*","*","*",472
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Math",56,18,32.1,29,51.8,9,16.1,0,0.0,9,16.1,451
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","ELA",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Math",10,"*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""","ELA",72,12,16.7,16,22.2,36,50.0,8,11.1,44,61.1,507
"New Haven School District","=""0930011""","Sound School","=""0936711""","Math",72,21,29.2,29,40.3,"*","*","*","*",22,30.6,473
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","ELA",282,137,48.6,57,20.2,71,25.2,17,6.0,88,31.2,443
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Math",282,143,50.7,109,38.7,21,7.4,9,3.2,30,10.6,423
"New London School District","=""0950011""","New London High School","=""0956111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New London School District","=""0950011""","New London High School","=""0956111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"New Milford School District","=""0960011""","New Milford High School","=""0966111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""","ELA",298,24,8.1,54,18.1,163,54.7,57,19.1,220,73.8,536
"Newington School District","=""0940011""","Newington High School","=""0946111""","Math",298,34,11.4,125,41.9,111,37.2,28,9.4,139,46.6,523
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","ELA",403,14,3.5,32,7.9,236,58.6,121,30.0,357,88.6,577
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","Math",403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","ELA",154,25,16.2,30,19.5,79,51.3,20,13.0,99,64.3,510
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","Math",153,36,23.5,64,41.8,47,30.7,6,3.9,53,34.6,493
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","ELA",242,16,6.6,35,14.5,144,59.5,47,19.4,191,78.9,542
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","Math",242,40,16.5,95,39.3,87,36.0,20,8.3,107,44.2,508
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","ELA",55,7,12.7,6,10.9,32,58.2,10,18.2,42,76.4,548
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Math",55,8,14.5,16,29.1,23,41.8,8,14.5,31,56.4,538
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","ELA",407,93,22.9,78,19.2,193,47.4,43,10.6,236,58.0,497
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Math",407,109,26.8,170,41.8,91,22.4,37,9.1,128,31.4,485
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","ELA",320,47,14.7,74,23.1,167,52.2,32,10.0,199,62.2,507
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Math",320,62,19.4,167,52.2,80,25.0,11,3.4,91,28.4,486
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","ELA",21,14,66.7,"*","*","*","*",0,0.0,"*","*",423
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Math",21,15,71.4,6,28.6,0,0.0,0,0.0,0,0.0,380
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","ELA",96,9,9.4,10,10.4,56,58.3,21,21.9,77,80.2,550
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Math",96,11,11.5,37,38.5,36,37.5,12,12.5,48,50.0,533
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","ELA",161,7,4.3,20,12.4,99,61.5,35,21.7,134,83.2,555
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Math",161,14,8.7,80,49.7,48,29.8,19,11.8,67,41.6,520
