"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2013-14"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",840,30,870
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",835,102,937
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",298
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",589,13,602
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",484,9,493
"Ansonia School District","=""0020011""","Mead School","=""0020311""",546,20,566
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",619,42,661
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",36,0,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",151,0,151
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",670,41,711
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",151,0,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114,0,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",100,0,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",39,0,39
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",417,6,423
"Avon School District","=""0040011""","Avon High School","=""0046111""","*","*",1057
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*",584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",570,24,594
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*","*",573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",553,10,563
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",288
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",18,0,18
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",925,8,933
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",682,9,691
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",488,26,514
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",553,9,562
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",229,22,251
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",436,0,436
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",390,21,411
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",915,18,933
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","*","*",672
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",532,24,556
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",409,8,417
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",548,7,555
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",216
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",213
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*",220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",309,9,318
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",13,0,13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","*","*",231
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","*","*",321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",521,7,528
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",334,0,334
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",243
"Branford School District","=""0140011""","Branford High School","=""0146111""",1038,12,1050
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",922,20,942
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",36,0,36
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",352,22,374
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",388,12,400
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",383,37,420
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",115,0,115
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",734,101,835
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",228,7,235
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",535,91,626
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",954,166,1120
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",336,40,376
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",219,10,229
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",326,80,406
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",980,147,1127
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",57
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",105,11,116
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",329,84,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1679,159,1838
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",737,436,1173
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",326,14,340
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",685,201,886
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",397,16,413
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",621,116,737
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*","*",303
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",234,17,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",713,130,843
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",265,10,275
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*","*",332
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",854,251,1105
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*",422
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",378,9,387
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","*","*",236
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",501,10,511
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",640,15,655
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",634,270,904
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",461,78,539
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",393,56,449
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*","*",491
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",51,6,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",767,72,839
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",482,82,564
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",304,0,304
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",465,49,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",647,38,685
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",14
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1200,42,1242
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1270,29,1299
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",695,23,718
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",13,0,13
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",336,19,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",405,19,424
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",851,39,890
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",379,18,397
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",428,9,437
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",436,17,453
"Bristol School District","=""0170011""","South Side School","=""0171111""",480,23,503
"Bristol School District","=""0170011""","Stafford School","=""0171211""",476,28,504
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",896,49,945
