"District","District Code","School","School Code","Gender","Count","%"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Female","N/A","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male","N/A","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",61,10.9
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",100,16.4
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","Female","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","Male","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",45,7.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",87,14.1
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Female","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Male","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Female","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Male","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Female",33,9.6
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Male",82,20.2
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Female","N/A","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Male","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Female","N/A","*"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Male","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Female",6,3.6
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Male",16,9.4
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Female","*","*"
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Male","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Male","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Female",16,3.6
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Male",36,7.6
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Female","N/A","*"
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Male","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Female","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Male","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Female","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Male","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Female","N/A","N/A"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Male",15,7.3
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Female","*","*"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Male","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Female","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Male","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Male","N/A","*"
