"Student Counts by School and Grade"
"All Districts, All Schools"
"2009-10"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",30,45,41,51,34,40,47,48,0,0,0,0,0,0,336
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",96,0,0,0,0,0,0,0,184,197,0,0,0,0,477
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,35,112,111,96,123,93,90,0,0,0,0,0,0,660
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,164,137,88,117,95,115,95,0,0,0,0,0,0,811
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,246,206,165,160,777
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*",11,9,16,16,24,22,20,16,17,9,"*","*",6,176
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,58,67,75,73,75,75,71,70,66,0,0,0,0,630
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,0,6,10,15,17,32,28,23,17,0,0,0,0,148
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,247,241,245,0,0,0,0,733
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,0,0,0,0,0,0,0,15,24,13,23,27,8,110
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*",17,"*",21,67,123
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,21,25,28,26,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*","*",9,38,56
"Ashford School District","=""0030011""","Ashford School","=""0030111""",47,31,57,32,45,53,50,47,55,58,0,0,0,0,475
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",28,94,127,132,131,143,0,0,0,0,0,0,0,0,655
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,113,122,130,153,164,0,0,0,0,0,0,0,0,682
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,288,280,0,0,0,0,0,0,568
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,282,319,0,0,0,0,601
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,266,278,254,281,1079
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",22,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,42,61,36,49,53,57,47,0,0,0,0,0,0,345
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",66,69,89,77,89,91,107,0,0,0,0,0,0,0,588
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,87,112,90,99,93,83,0,0,0,0,0,0,0,564
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,25,41,39,46,61,40,0,0,0,0,0,0,0,252
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,249,233,251,0,0,0,0,733
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,253,259,261,249,1022
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",18,57,66,74,79,66,83,72,0,0,0,0,0,0,515
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",77,85,114,102,119,0,0,0,0,0,0,0,0,0,497
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,85,113,103,119,0,0,0,0,0,0,0,0,0,420
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,215,220,0,0,0,0,0,0,0,435
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,241,215,247,0,0,0,0,703
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,242,236,240,269,987
