"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, English Learner Status"

"",,,"Graduates",,,,
"",,,"Four-Year Graduation Rate by Year",,,,
"District","School","English Learner Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-ELL",94.7,94.5,95.8,96.3,98.9
"Capitol Region Education Council","Public Safety Academy","ELL","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","Public Safety Academy","Non-ELL","N/A","N/A",84.4,88.9,82.8
"Capitol Region Education Council","Two Rivers Magnet High School","ELL","N/A","N/A","N/A","N/A","*"
"Capitol Region Education Council","Two Rivers Magnet High School","Non-ELL","N/A","N/A","N/A","N/A",98.6
"Cheshire School District","Cheshire High School","ELL","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-ELL","*","*","*","*","*"
"Clinton School District","The Morgan School","ELL","*","*","*","*","*"
"Clinton School District","The Morgan School","Non-ELL","*","*","*","*","*"
"Colchester School District","Bacon Academy","ELL","*","*","*","*","*"
"Colchester School District","Bacon Academy","Non-ELL","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","ELL","*","*","N/A","N/A","*"
"Common Ground High School District","Common Ground High School","Non-ELL","*","*","*",100.0,"*"
"Connecticut Technical High School System","A. I. Prince Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL",94.7,88.1,95.5,97.1,98.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL",94.5,96.7,91.8,95.7,97.3
"Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL",94.0,95.8,94.8,96.6,98.5
"Connecticut Technical High School System","Eli Whitney Technical High School","ELL","*",75.0,"*",100.0,95.0
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL",93.5,85.4,91.3,88.0,90.2
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL",93.7,97.8,94.4,95.9,95.9
"Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL",96.9,96.5,96.0,100.0,97.2
"Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL","*","*","N/A","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL",97.0,99.4,96.6,99.4,98.9
"Connecticut Technical High School System","H. H. Ellis Technical High School","ELL","N/A","N/A","*","N/A","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL",96.2,100.0,96.4,96.5,95.2
"Connecticut Technical High School System","Henry Abbott Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL",96.7,97.9,95.7,99.2,97.2
"Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL",97.9,97.0,99.3,95.5,95.2
"Connecticut Technical High School System","Norwich Technical High School","ELL","N/A","N/A","N/A","*","N/A"
"Connecticut Technical High School System","Norwich Technical High School","Non-ELL",96.7,98.7,97.4,98.8,96.8
"Connecticut Technical High School System","Oliver Wolcott Technical High School","ELL","*","N/A","N/A","N/A","N/A"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL",97.5,98.8,96.6,98.1,98.6
"Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-ELL",97.2,99.0,98.1,100.0,100.0
"Connecticut Technical High School System","Vinal Technical High School","ELL","N/A","*","N/A","N/A","N/A"
"Connecticut Technical High School System","Vinal Technical High School","Non-ELL",96.2,94.3,94.3,98.0,94.3
"Connecticut Technical High School System","W. F. Kaynor Technical High School","ELL","*","N/A","N/A","N/A","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL",98.2,97.9,98.4,97.7,98.9
"Connecticut Technical High School System","Windham Technical High School","ELL","*","*","N/A","*","*"
"Connecticut Technical High School System","Windham Technical High School","Non-ELL",97.0,99.2,98.4,96.9,99.2
"Coventry School District","Coventry High School","ELL","N/A","*","N/A","N/A","N/A"
"Coventry School District","Coventry High School","Non-ELL",86.8,"*",97.7,"*",92.6
"Cromwell School District","Cromwell High School","ELL","*","*","*","*","*"
"Cromwell School District","Cromwell High School","Non-ELL","*","*","*","*","*"
"Danbury School District","Alternative Center For Excellence","ELL","N/A","*","N/A","N/A","*"
"Danbury School District","Alternative Center For Excellence","Non-ELL","N/A","*","N/A","N/A",33.3
"Danbury School District","Danbury High School","ELL",55.9,"*",54.5,47.8,"*"
"Danbury School District","Danbury High School","Non-ELL",84.8,"*",85.8,86.9,86.7
"Darien School District","Darien High School","ELL","*","N/A","*","N/A","*"
"Darien School District","Darien High School","Non-ELL","*",97.8,"*",97.3,"*"
"Derby School District","Derby High School","ELL","*","*","*","*","*"
"Derby School District","Derby High School","Non-ELL","*","*","*","*","*"
"East Granby School District","East Granby High School","ELL","N/A","N/A","N/A","N/A","N/A"
"East Granby School District","East Granby High School","Non-ELL","*","*",93.8,100.0,100.0
"East Haddam School District","Nathan Hale-Ray High School","ELL","*","N/A","N/A","N/A","N/A"
"East Haddam School District","Nathan Hale-Ray High School","Non-ELL","*","*",96.0,93.5,"*"
"East Hampton School District","East Hampton High School","ELL","*","*","N/A","N/A","*"
"East Hampton School District","East Hampton High School","Non-ELL","*","*",97.5,96.7,"*"
"East Hartford School District","Connecticut IB Academy","ELL","N/A","*","N/A","N/A","N/A"
"East Hartford School District","Connecticut IB Academy","Non-ELL",92.1,94.7,97.8,100.0,97.8
"East Hartford School District","East Hartford High School","ELL",72.0,73.1,"*",86.4,"*"
"East Hartford School District","East Hartford High School","Non-ELL",88.0,86.6,88.0,95.6,94.2
"East Hartford School District","Stevens Alternate High school","ELL","N/A","*","*","N/A","*"
"East Hartford School District","Stevens Alternate High school","Non-ELL","N/A",51.9,41.9,"N/A",59.4
"East Haven School District","East Haven High School","ELL","*","*","*","*","*"
"East Haven School District","East Haven High School","Non-ELL",75.8,"*","*","*",76.2
"East Lyme School District","East Lyme High School","ELL","N/A","*","*","*","*"
"East Lyme School District","East Lyme High School","Non-ELL",95.6,"*","*","*","*"
"East Windsor School District","East Windsor High School","ELL","N/A","*","*","*","*"
"East Windsor School District","East Windsor High School","Non-ELL",88.4,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","ELL","N/A","N/A","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","Non-ELL","*","*",90.9,96.3,85.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","ELL","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","Non-ELL","*",69.0,58.1,58.5,77.8
"Ellington School District","Ellington High School","ELL","*","*","*","*","*"
"Ellington School District","Ellington High School","Non-ELL","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","ELL","N/A","N/A","*","*","N/A"
"Elm City College Preparatory School District","Elm City College Preparatory School","Non-ELL","*","*","*","*","*"
"Enfield School District","Enfield High School","ELL","*","*","*","N/A","N/A"
"Enfield School District","Enfield High School","Non-ELL","*",81.9,"*","*",85.6
"Enfield School District","Enrico Fermi High School","ELL","N/A","*","N/A","*","N/A"
"Enfield School District","Enrico Fermi High School","Non-ELL",87.8,92.9,90.1,88.5,"N/A"
"Explorations District","Explorations","ELL","N/A","*","N/A","N/A","N/A"
"Explorations District","Explorations","Non-ELL",57.1,"*",66.7,"*",74.1
"Fairfield School District","Fairfield Ludlowe High School","ELL","*","*","*","*","*"
"Fairfield School District","Fairfield Ludlowe High School","Non-ELL",96.3,95.3,94.5,96.8,98.0
"Fairfield School District","Fairfield Warde High School","ELL","*","*","*","*","*"
