"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS a","=""0150811""","All Grades","Sit and Reach","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","All Grades","Sit and Reach",76.8,94.1,71.2,76.8,62.8
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Sit and Reach","*",52.6,27.6,64.5,39.0
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Sit and Reach",33.0,53.7,56.8,79.2,52.5
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Sit and Reach","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Sit and Reach",80.0,100.0,100.0,81.9,88.0
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Sit and Reach",79.9,87.2,82.0,91.2,80.1
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A",86.9
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Sit and Reach",81.1,85.4,90.0,74.7,84.9
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Sit and Reach",86.0,86.2,"N/A",64.7,84.8
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Sit and Reach",91.6,93.1,93.3,70.6,66.1
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Sit and Reach",85.1,68.3,66.3,70.3,66.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Sit and Reach",89.2,91.5,77.0,89.0,75.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Sit and Reach",78.1,54.0,66.4,78.9,75.0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","All Grades","Sit and Reach",83.6,77.5,86.7,83.3,82.1
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","All Grades","Sit and Reach",73.6,45.2,88.8,77.7,79.6
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","All Grades","Sit and Reach",76.5,75.0,66.7,67.9,32.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","All Grades","Sit and Reach",83.3,85.2,84.7,57.6,63.4
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","All Grades","Sit and Reach",63.8,84.9,76.1,72.9,71.4
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","All Grades","Sit and Reach",93.0,89.5,82.1,84.6,78.2
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","All Grades","Sit and Reach","*","*",75.0,48.4,73.8
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","All Grades","Sit and Reach",69.2,70.0,56.6,60.3,54.7
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","All Grades","Sit and Reach",83.0,94.6,84.2,83.6,86.2
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School","=""0151511""","All Grades","Sit and Reach","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","All Grades","Sit and Reach",89.2,97.5,68.6,71.6,78.0
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","All Grades","Sit and Reach",97.3,92.7,93.6,95.7,93.4
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","All Grades","Sit and Reach",84.6,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","All Grades","Sit and Reach",83.2,76.3,72.8,48.7,41.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","All Grades","Sit and Reach",81.7,81.4,70.4,65.0,75.7
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","All Grades","Sit and Reach",67.3,77.9,71.4,66.9,66.7
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","All Grades","Sit and Reach",80.4,85.7,92.3,78.8,"N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","All Grades","Sit and Reach",83.7,85.0,83.7,84.0,87.2
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","All Grades","Sit and Reach",50.8,50.8,74.1,44.6,85.5
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","All Grades","Sit and Reach",88.0,76.1,83.2,80.3,83.8
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","All Grades","Sit and Reach",74.9,62.3,57.1,74.5,70.3
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","All Grades","Sit and Reach",85.4,85.7,87.1,86.3,85.5
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","All Grades","Sit and Reach",92.4,93.4,94.3,87.8,87.8
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","All Grades","Sit and Reach",88.1,91.8,90.6,87.4,87.4
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","All Grades","Sit and Reach",91.4,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","All Grades","Sit and Reach",88.1,78.9,89.4,74.2,83.9
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","All Grades","Sit and Reach",92.9,88.5,94.4,97.0,84.4
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","All Grades","Sit and Reach",95.0,92.2,92.2,96.3,89.1
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","All Grades","Sit and Reach",61.0,61.0,62.3,64.9,78.8
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","All Grades","Sit and Reach",79.0,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","All Grades","Sit and Reach",96.5,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","All Grades","Sit and Reach",80.4,89.1,92.5,92.1,87.7
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","All Grades","Sit and Reach",88.6,93.9,92.6,89.0,84.5
"Bristol School District","=""0170011""","South Side School","=""0171111""","All Grades","Sit and Reach",65.6,94.9,93.0,93.6,87.5
"Bristol School District","=""0170011""","Stafford School","=""0171211""","All Grades","Sit and Reach",90.9,86.6,91.9,88.7,67.5
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","All Grades","Sit and Reach","N/A",95.8,91.3,94.7,91.1
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","All Grades","Sit and Reach",87.9,85.4,82.1,85.6,73.5
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","All Grades","Sit and Reach",76.7,82.5,81.9,84.7,87.9
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","All Grades","Sit and Reach",87.3,85.7,82.8,80.0,68.0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","All Grades","Sit and Reach",73.4,83.3,70.5,74.7,76.9
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","All Grades","Sit and Reach",73.3,71.1,77.3,72.9,54.0
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","All Grades","Sit and Reach",90.0,69.6,67.9,92.6,88.5
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","All Grades","Sit and Reach",91.0,82.8,89.5,85.7,97.4
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","All Grades","Sit and Reach",83.3,91.0,93.3,96.8,95.8
"Canton School District","=""0230011""","Canton High School","=""0236111""","All Grades","Sit and Reach",95.0,87.6,78.6,67.8,76.5
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","All Grades","Sit and Reach",91.8,93.9,94.7,93.7,92.9
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","All Grades","Sit and Reach",94.0,82.8,79.7,78.5,82.8
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","All Grades","Sit and Reach",85.7,85.2,80.9,74.8,74.2
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A",81.1
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","All Grades","Sit and Reach",91.1,100.0,81.3,96.9,98.5
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","All Grades","Sit and Reach",73.3,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Tim","=""2416414""","All Grades","Sit and Reach","*",91.7,90.9,75.6,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","All Grades","Sit and Reach","N/A",85.9,61.4,76.2,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","All Grades","Sit and Reach","N/A",59.1,61.2,94.3,77.4
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","All Grades","Sit and Reach",48.9,69.6,79.4,71.8,63.4
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International St","=""2416114""","All Grades","Sit and Reach",66.0,78.3,81.5,84.7,83.0
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","All Grades","Sit and Reach",83.9,91.9,94.2,92.6,78.4
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","All Grades","Sit and Reach","N/A",90.9,84.8,93.5,91.7
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","All Grades","Sit and Reach",76.0,83.1,79.0,64.9,75.3
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","All Grades","Sit and Reach","N/A","*",87.5,86.5,78.4
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","All Grades","Sit and Reach","N/A","N/A",74.7,71.8,70.0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","All Grades","Sit and Reach",71.6,63.9,59.4,67.2,70.6
