"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2011-12"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",711,51,762
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",755,102,857
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",675,20,695
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",472
"Ansonia School District","=""0020011""","Mead School","=""0020311""",588,22,610
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",707,31,738
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",31,0,31
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",160,0,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",684,37,721
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",148,0,148
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",114,0,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",94,0,94
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",47,0,47
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",640
"Ashford School District","=""0030011""","Ashford School","=""0030111""",473,8,481
"Avon School District","=""0040011""","Avon High School","=""0046111""",1106,6,1112
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*",572
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",599,32,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",581,9,590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",584,10,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",338
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",19,0,19
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",964,12,976
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",724,6,730
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",470,22,492
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",564,13,577
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",221,20,241
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",491
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",358,31,389
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",934,15,949
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",684,9,693
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",470,23,493
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","*","*",447
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",603
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",253,10,263
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",286
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",313,9,322
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",242,9,251
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",105,0,105
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",321,0,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*",549
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",343,0,343
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",234,0,234
"Branford School District","=""0140011""","Branford High School","=""0146111""",1046,18,1064
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",996,24,1020
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",46,0,46
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",343,22,365
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",375,9,384
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",405,34,439
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",478,65,543
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",571,88,659
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",871,202,1073
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",342,46,388
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",250,55,305
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",926,140,1066
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",51
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",328,85,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2016,165,2181
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",723,423,1146
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",284,6,290
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",388,135,523
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",415,16,431
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",516,99,615
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*","*",344
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",241,10,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",731,126,857
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",302,8,310
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","*","*",335
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1059,250,1309
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*",429
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",410,6,416
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","*","*",312
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",658,12,670
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",393,61,454
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",668,229,897
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",445,65,510
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",32,7,39
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",418,66,484
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*",0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*","*",523
"Bridgeport School District","=""0150011""","Read School","=""0152511""",786,64,850
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",465,69,534
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",229,0,229
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",423,60,483
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",694,35,729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1285,32,1317
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1277,31,1308
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",794,23,817
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",331,17,348
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",15,0,15
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",371,21,392
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",542,18,560
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",324,13,337
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",407,16,423
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",381,6,387
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",491,21,512
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","*","*",370
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",545,15,560
"Bristol School District","=""0170011""","South Side School","=""0171111""",564,29,593
"Bristol School District","=""0170011""","Stafford School","=""0171211""",473,20,493
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*",966
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",397,12,409
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",584,7,591
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","*","*",871
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","*","*",534
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*",396
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",86,0,86
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",298
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",217,0,217
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*","*",408
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*","*",258
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*","*",550
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",380,10,390
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",270,8,278
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",150,0,150
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",24,0,24
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*","*",259
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*","*",246
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",392,8,400
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",295,16,311
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",47,0,47
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",8,0,8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",712,7,719
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",332,18,350
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","*","*",271
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",380,9,389
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","*","*",284
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",58,0,58
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",147,0,147
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",97,0,97
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",662,22,684
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",431,10,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",182,0,182
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",294
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1538,11,1549
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*","*",336
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",767,7,774
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",527,10,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",788,7,795
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*",25
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",480
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*","*",260
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",314
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",460,6,466
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",639,19,658
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",555,10,565
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",975,8,983
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",680
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*",654
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",694,6,700
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",99,0,99
