"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Gender"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"F",81,81,100.0,81,23,28.4,21,25.9,22,27.2,"*","*","*","*",15,18.5,208
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,"M",65,64,98.5,64,19,29.7,15,23.4,18,28.1,"*","*","*","*",12,18.8,206
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"F",30,29,96.7,29,"*","*","*","*","*","*",10,34.5,0,0.0,10,34.5,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,"M",35,35,100.0,35,"*","*","*","*","*","*",10,28.6,6,17.1,16,45.7,232
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"F",22,21,95.5,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"M",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"F",48,48,100.0,48,"*","*",14,29.2,13,27.1,17,35.4,"*","*","*","*",230
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"M",47,47,100.0,47,"*","*",13,27.7,13,27.7,8,17.0,"*","*","*","*",212
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"F",39,39,100.0,39,6,15.4,"*","*",17,43.6,12,30.8,"*","*","*","*",234
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"M",43,43,100.0,43,9,20.9,"*","*",11,25.6,15,34.9,"*","*","*","*",235
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"F",33,33,100.0,33,6,18.2,"*","*",14,42.4,"*","*",0,0.0,"*","*",213
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,"M",25,25,100.0,25,7,28.0,"*","*",10,40.0,"*","*","*","*","*","*",218
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"F",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"M",29,28,96.6,28,0,0.0,"*","*","*","*","*","*","*","*","*","*",298
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"F",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"M",8,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"F",45,45,100.0,45,"*","*",13,28.9,14,31.1,10,22.2,"*","*","*","*",223
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"M",45,45,100.0,45,11,24.4,"*","*",12,26.7,15,33.3,"*","*","*","*",220
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"F",53,53,100.0,53,"*","*",11,20.8,21,39.6,12,22.6,"*","*","*","*",228
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"M",42,41,97.6,41,7,17.1,"*","*",13,31.7,12,29.3,"*","*","*","*",231
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"F",99,99,100.0,99,31,31.3,"*","*",29,29.3,21,21.2,"*","*","*","*",221
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"M",86,86,100.0,86,23,26.7,"*","*",22,25.6,25,29.1,"*","*","*","*",224
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"F",73,72,98.6,72,17,23.6,12,16.7,30,41.7,"*","*","*","*",13,18.1,225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,"M",75,74,98.7,74,22,29.7,16,21.6,25,33.8,"*","*","*","*",11,14.9,219
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"F",31,31,100.0,31,"*","*",8,25.8,8,25.8,11,35.5,"*","*","*","*",237
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"M",42,41,97.6,41,"*","*",9,22.0,13,31.7,13,31.7,"*","*","*","*",229
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"F",30,30,100.0,30,8,26.7,"*","*",7,23.3,8,26.7,"*","*","*","*",234
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",08,"M",37,37,100.0,37,9,24.3,"*","*",10,27.0,11,29.7,"*","*","*","*",232
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"F",105,105,100.0,105,27,25.7,15,14.3,24,22.9,33,31.4,6,5.7,39,37.1,232
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,"M",117,117,100.0,117,28,23.9,17,14.5,22,18.8,44,37.6,6,5.1,50,42.7,233
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",10,"F",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",10,"M",18,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",10,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,"M","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,"M","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"F",27,27,100.0,27,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",284
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"M",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"M",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",255
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"F",146,146,100.0,146,"*","*","*","*",16,11.0,66,45.2,52,35.6,118,80.8,279
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"M",127,127,100.0,127,"*","*","*","*",14,11.0,57,44.9,49,38.6,106,83.5,284
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"F",142,140,98.6,140,"*","*","*","*",9,6.4,77,55.0,42,30.0,119,85.0,279
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"M",133,132,99.2,132,"*","*","*","*",15,11.4,56,42.4,48,36.4,104,78.8,278
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"F",138,137,99.3,137,"*","*","*","*",26,19.0,38,27.7,66,48.2,104,75.9,290
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"M",148,147,99.3,146,"*","*","*","*",32,21.9,33,22.6,70,47.9,103,70.5,289
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"F",23,22,95.7,22,0,0.0,"*","*","*","*",13,59.1,"*","*","*","*",274
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"M",24,23,95.8,23,"*","*","*","*","*","*",12,52.2,"*","*","*","*",266
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"F",27,27,100.0,27,0,0.0,"*","*",6,22.2,13,48.1,"*","*","*","*",267
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"M",30,29,96.7,29,0,0.0,"*","*",8,27.6,9,31.0,"*","*","*","*",262
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"F",34,34,100.0,34,0,0.0,"*","*","*","*",18,52.9,8,23.5,26,76.5,273
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"M",49,49,100.0,49,"*","*","*","*",6,12.2,21,42.9,17,34.7,38,77.6,278
