"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2011-12"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",446,0,8,454
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",0,"*",897
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",510,0,0,510
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",39,0,0,39
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",467,10,7,484
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*",0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",503,10,10,523
"Bridgeport School District","=""0150011""","Read School","=""0152511""",844,0,6,850
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*",0,"*",534
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",229,0,0,229
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",468,"*","*",483
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",722,"*","*",729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",10,"*","*",17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",425,802,90,1317
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",320,898,90,1308
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",298,462,57,817
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",207,119,22,348
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",0,15
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",142,242,8,392
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",207,319,34,560
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",106,210,21,337
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",125,285,13,423
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",76,296,15,387
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",173,294,45,512
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",91,264,15,370
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",133,390,37,560
"Bristol School District","=""0170011""","South Side School","=""0171111""",204,354,35,593
"Bristol School District","=""0170011""","Stafford School","=""0171211""",183,285,25,493
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",43,906,17,966
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",18,382,9,409
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",33,536,22,591
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",54,792,25,871
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",103,415,16,534
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",104,271,21,396
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",6,80,0,86
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",50,233,15,298
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",28,179,10,217
"Canton School District","=""0230011""","Canton High School","=""0236111""",19,492,11,522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",23,375,10,408
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",235,"*",258
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",40,497,13,550
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",138,210,42,390
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",116,141,21,278
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",38,98,14,150
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*",19,"*",24
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",65,184,10,259
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",106,118,22,246
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",173,203,24,400
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",112,179,20,311
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",39,"*","*",47
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",0,8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",222,399,98,719
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",123,199,28,350
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",90,151,30,271
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",210,133,46,389
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",121,147,16,284
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*",0,58
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",7,140,0,147
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*","*",0,97
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",251,366,67,684
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",178,202,61,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",36,139,7,182
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",15,269,10,294
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",74,1446,29,1549
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",0,336,0,336
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",42,719,13,774
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*",490,"*",537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",44,735,16,795
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*",0,25
"Cheshire School District","=""0250011""","Norton School","=""0250511""",25,436,19,480
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",24,229,7,260
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",42,260,12,314
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",51,390,25,466
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",77,551,30,658
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",66,481,18,565
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",96,866,21,983
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",71,594,15,680
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",78,557,19,654
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",76,607,17,700
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",87,"*",99
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",51,463,10,524
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",75,83,7,165
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",428,247,80,755
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",419,358,97,874
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",318,252,48,618
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",332,154,35,521
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",207,315,47,569
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",118,389,39,546
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",197,517,58,772
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",99,399,42,540
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",163,409,66,638
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",199,425,49,673
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",137,469,50,656
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",97,540,32,669
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",202,592,91,885
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",118,461,28,607
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",282,407,72,761
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",145,389,38,572
