"Student Counts by School and Year"
"All Districts, All Schools"
"2014-15"

"District","District Code","School","School Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",954
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",984
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",275
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",584
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",498
"Ansonia School District","=""0020011""","Mead School","=""0020311""",597
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",40
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",680
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",39
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",713
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",90
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",42
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",415
"Avon School District","=""0040011""","Avon High School","=""0046111""",1051
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",548
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",48
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",576
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",546
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",552
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",295
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",918
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",702
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",504
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",547
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",225
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",407
