"Primary Disability (K-12), Trend"
"All Districts, Speech Language Impairment"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",39,1.5,12.5,46,1.9,13.6,59,2.3,14.2,62,2.5,13.8,81,3.3,16.3
"Ashford School District","=""0030011""",13,3.2,26.0,11,2.8,23.4,11,2.9,23.4,8,2.2,18.2,7,1.9,15.6
"Avon School District","=""0040011""",71,2.1,19.9,66,1.9,19.0,56,1.7,17.9,50,1.5,17.2,54,1.6,17.1
"Barkhamsted School District","=""0050011""",14,4.2,37.8,16,5.4,44.4,13,4.3,35.1,11,4.2,31.4,11,4.7,25.0
"Berlin School District","=""0070011""",79,2.6,26.4,77,2.5,25.2,71,2.4,22.5,74,2.5,22.1,70,2.4,20.1
"Bethany School District","=""0080011""",13,2.8,24.1,12,2.8,23.1,14,3.6,25.5,16,4.3,33.3,17,4.9,32.7
"Bethel School District","=""0090011""",47,1.6,14.7,39,1.3,12.3,42,1.5,13.0,37,1.3,11.7,39,1.3,11.5
"Bloomfield School District","=""0110011""",45,2.1,20.1,41,1.9,17.4,43,2.0,15.5,49,2.3,15.6,48,2.2,14.5
"Bolton School District","=""0120011""",11,1.3,12.8,14,1.7,16.5,20,2.5,21.7,12,1.5,13.8,13,1.7,15.1
"Bozrah School District","=""0130011""","*","*","*","*","*","*","*","*","*",0,0,0,0,0,0
"Branford School District","=""0140011""",82,2.5,18.3,77,2.4,18.4,69,2.2,16.7,71,2.3,17.0,75,2.6,18.1
"Bridgeport School District","=""0150011""",402,1.9,14.4,383,1.7,13.6,382,1.7,12.0,356,1.6,10.6,315,1.4,8.8
"Bristol School District","=""0170011""",193,2.3,15.7,165,2.0,12.8,152,1.8,11.2,124,1.5,9.0,116,1.4,8.2
"Brookfield School District","=""0180011""",45,1.6,15.4,45,1.6,14.2,44,1.6,13.6,39,1.4,11.6,42,1.6,12.1
"Brooklyn School District","=""0190011""",21,1.8,14.8,20,1.7,14.2,23,2.0,18.1,26,2.3,20.3,26,2.3,17.9
"Canaan School District","=""0210011""","*","*","*","*","*","*","*","*","*",0,0,0,"*","*","*"
"Canterbury School District","=""0220011""",7,1.0,10.4,"*","*","*",7,1.1,9.9,8,1.2,11.6,10,1.6,13.2
"Canton School District","=""0230011""",18,1.0,11.7,17,1.0,10.3,13,0.8,7.5,18,1.1,9.9,19,1.2,10.6
"Chaplin School District","=""0240011""","*","*","*","*","*","*","*","*","*",7,4.1,25.9,7,4.5,38.9
"Cheshire School District","=""0250011""",64,1.4,13.8,70,1.5,15.0,65,1.4,13.7,56,1.3,11.6,47,1.1,9.7
"Chester School District","=""0260011""",8,3.2,18.6,8,3.5,22.9,9,4.1,25.7,7,3.3,20.6,7,3.4,21.2
"Clinton School District","=""0270011""",38,1.9,19.4,35,1.8,17.2,33,1.7,16.3,28,1.5,13.7,20,1.1,9.5
"Colchester School District","=""0280011""",86,3.0,24.9,84,3.0,23.3,94,3.5,26.0,103,4.0,28.1,87,3.4,23.8
"Colebrook School District","=""0290011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",8,1.1,11.6,"*","*","*",6,0.9,8.0,6,0.9,6.6,7,1.0,7.2
"Connecticut Technical High School System","=""9000016""",46,0.4,5.8,50,0.5,5.7,47,0.4,4.9,49,0.5,4.8,41,0.4,4.1
"Cornwall School District","=""0310011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",42,2.3,19.9,35,2.0,16.4,25,1.4,12.2,"*","*","*","*","*","*"
"Cromwell School District","=""0330011""",54,2.7,27.1,53,2.6,25.9,44,2.2,20.6,51,2.5,23.0,48,2.3,20.6
"Danbury School District","=""0340011""",156,1.5,13.9,130,1.2,10.9,139,1.3,11.2,154,1.4,11.8,160,1.4,12.2
"Darien School District","=""0350011""",115,2.4,19.7,96,2.0,18.4,104,2.1,18.8,109,2.3,18.6,119,2.5,19.3
"Deep River School District","=""0360011""",7,2.0,17.1,"*","*","*",6,1.9,12.5,"*","*","*","*","*","*"
"Derby School District","=""0370011""",64,4.1,34.0,53,3.3,25.9,39,2.5,18.3,43,2.9,20.8,44,3.0,20.3
"East Granby School District","=""0400011""",17,1.9,18.7,18,2.0,21.4,21,2.3,22.6,19,2.1,19.0,10,1.1,9.5
"East Haddam School District","=""0410011""",46,3.6,28.8,48,4.0,27.6,47,4.1,27.6,48,4.4,29.6,41,3.9,30.1
"East Hampton School District","=""0420011""",48,2.5,31.6,46,2.4,29.9,35,1.8,22.4,36,1.9,22.6,41,2.1,21.7
"East Hartford School District","=""0430011""",261,3.4,24.0,233,3.0,20.8,201,2.6,18.2,170,2.2,14.8,139,1.8,11.6
"East Haven School District","=""0440011""",101,2.9,22.9,95,2.8,21.8,83,2.5,19.4,68,2.1,15.5,62,1.9,14.0
"East Lyme School District","=""0450011""",34,1.3,10.4,35,1.3,10.4,43,1.7,12.5,41,1.6,12.5,46,1.8,13.1
"East Windsor School District","=""0470011""",24,1.8,11.8,27,2.1,13.6,30,2.4,13.8,24,2.0,12.6,19,1.7,10.2
"Eastford School District","=""0390011""",8,3.7,28.6,8,4.0,36.4,9,4.8,40.9,9,5.1,36.0,10,5.4,30.3
"Easton School District","=""0460011""",14,1.4,18.7,16,1.7,18.8,20,2.2,22.5,19,2.1,22.4,14,1.6,15.7
"Ellington School District","=""0480011""",36,1.3,12.5,32,1.2,10.8,27,1.0,9.3,"*","*","*","*","*","*"
"Enfield School District","=""0490011""",174,3.1,23.3,172,3.2,22.9,147,2.7,19.3,143,2.7,18.4,150,2.8,18.5
"Essex School District","=""0500011""",16,3.3,36.4,20,4.4,44.4,22,5.4,37.3,16,4.4,29.6,17,5.1,32.7
"Fairfield School District","=""0510011""",220,2.2,19.9,218,2.1,20.1,224,2.2,20.4,208,2.1,19.5,207,2.1,18.5
"Farmington School District","=""0520011""",74,1.8,16.9,63,1.6,14.4,72,1.8,15.5,80,2.0,16.7,82,2.0,16.8
"Franklin School District","=""0530011""",7,2.6,21.2,8,3.1,23.5,7,2.8,21.9,"*","*","*","*","*","*"
"Glastonbury School District","=""0540011""",85,1.3,14.0,91,1.4,14.8,94,1.5,15.2,94,1.5,14.7,79,1.3,12.3
"Granby School District","=""0560011""",32,1.5,17.5,28,1.4,14.6,22,1.1,11.1,26,1.3,12.1,23,1.2,10.6
"Greenwich School District","=""0570011""",162,1.9,18.7,155,1.8,18.1,161,1.9,18.3,135,1.6,15.1,137,1.6,14.7
"Griswold School District","=""0580011""",36,2.0,15.1,42,2.3,16.5,38,2.2,15.4,30,1.7,12.4,18,1.1,7.6
"Groton School District","=""0590011""",125,2.5,17.7,111,2.3,15.2,102,2.1,14.0,127,2.7,17.2,117,2.5,16.0
"Guilford School District","=""0600011""",43,1.2,11.7,39,1.1,10.5,53,1.5,13.5,45,1.3,11.3,49,1.4,11.6
"Hamden School District","=""0620011""",148,2.2,18.3,152,2.3,17.4,168,2.6,17.7,173,2.7,16.9,161,2.5,14.8
"Hampton School District","=""0630011""",9,9.2,50.0,6,6.1,40.0,"*","*","*",7,7.4,43.8,9,9.7,47.4
"Hartford School District","=""0640011""",505,2.5,14.9,508,2.5,14.9,504,2.5,14.2,555,2.7,14.9,543,2.7,13.8
"Hartland School District","=""0650011""",11,3.7,37.9,9,3.2,28.1,9,3.4,27.3,8,3.0,22.9,8,3.1,21.6
"Hebron School District","=""0670011""",35,3.8,33.0,28,3.3,29.5,32,4.2,30.5,24,3.4,27.3,18,2.7,22.2
"Kent School District","=""0680011""","*","*","*","*","*","*","*","*","*",7,3.1,28.0,6,2.7,27.3
"Killingly School District","=""0690011""",66,2.7,18.0,61,2.6,16.1,56,2.4,14.1,52,2.3,13.3,54,2.4,13.9
"Lebanon School District","=""0710011""",28,2.5,18.5,24,2.2,15.4,27,2.6,17.2,12,1.2,8.5,10,1.0,7.5
"Ledyard School District","=""0720011""",51,2.1,15.3,49,2.0,14.2,47,2.0,13.3,"*","*","*",33,1.4,8.4
"Lisbon School District","=""0730011""",23,3.7,28.4,25,4.1,29.4,22,3.7,31.4,16,2.8,25.0,17,3.0,24.3
"Litchfield School District","=""0740011""",27,2.6,22.5,21,2.1,19.1,19,1.9,16.7,15,1.6,13.3,14,1.5,10.7
"Madison School District","=""0760011""",25,0.7,7.1,24,0.7,6.7,22,0.7,6.0,28,0.9,7.9,37,1.3,10.1
"Manchester School District","=""0770011""",189,2.7,20.1,167,2.4,18.7,151,2.1,16.9,152,2.1,17.4,150,2.1,16.0
"Mansfield School District","=""0780011""",24,2.0,17.0,30,2.5,21.4,27,2.3,18.9,28,2.4,20.4,25,2.2,18.9
"Marlborough School District","=""0790011""",9,1.4,15.5,8,1.3,15.4,9,1.5,19.6,8,1.5,19.0,9,1.7,17.3
"Meriden School District","=""0800011""",149,1.7,11.5,141,1.6,10.0,129,1.5,8.7,125,1.4,8.3,124,1.4,7.9
"Middletown School District","=""0830011""",137,2.7,23.1,129,2.5,21.4,112,2.2,17.6,110,2.2,17.1,108,2.2,16.9
"Milford School District","=""0840011""",210,3.1,25.3,203,3.1,25.3,168,2.7,22.1,153,2.5,20.4,164,2.8,22.0
"Monroe School District","=""0850011""",67,1.9,18.4,69,2.0,19.3,60,1.8,17.1,41,1.3,11.6,31,1.0,9.0
"Montville School District","=""0860011""",59,2.4,20.6,53,2.1,18.9,55,2.3,19.4,60,2.5,18.2,61,2.6,18.5
"Naugatuck School District","=""0880011""",79,1.7,13.6,69,1.5,11.4,70,1.6,10.9,73,1.7,10.8,73,1.7,10.9
"New Britain School District","=""0890011""",180,1.7,11.2,176,1.6,10.8,188,1.7,11.1,187,1.7,10.7,199,1.8,10.5
"New Canaan School District","=""0900011""",113,2.7,29.4,109,2.6,30.1,104,2.5,26.9,96,2.3,23.9,89,2.1,20.3
"New Fairfield School District","=""0910011""",53,2.0,19.3,52,2.0,20.2,40,1.6,16.5,35,1.4,15.2,34,1.5,15.4
"New Hartford School District","=""0920011""",20,3.5,35.1,16,3.0,30.2,11,2.2,20.8,12,2.5,21.4,10,2.2,20.0
"New Haven School District","=""0930011""",274,1.5,11.7,250,1.3,10.3,253,1.3,9.6,257,1.3,9.3,253,1.3,8.6
"New London School District","=""0950011""",97,2.8,15.6,113,3.3,17.5,95,2.7,14.3,81,2.3,12.3,75,2.1,11.5
"New Milford School District","=""0960011""",72,1.6,12.2,63,1.4,10.8,56,1.3,9.9,48,1.2,8.6,45,1.1,8.1
"Newington School District","=""0940011""",85,1.9,15.7,74,1.7,13.9,65,1.5,12.3,59,1.4,11.5,50,1.2,9.7
"Newtown School District","=""0970011""",86,1.7,21.7,92,1.9,22.7,78,1.6,17.8,71,1.5,15.0,60,1.3,12.2
"Norfolk School District","=""0980011""",7,6.4,38.9,8,8.0,47.1,8,7.8,40.0,8,7.6,50.0,9,9.4,52.9
"North Branford School District","=""0990011""",70,3.3,25.0,57,2.7,19.7,61,3.0,21.1,47,2.4,16.9,43,2.3,16.9
"North Canaan School District","=""1000011""",15,5.0,34.9,15,5.3,34.1,13,4.8,28.9,11,4.4,24.4,9,3.4,24.3
"North Haven School District","=""1010011""",47,1.3,13.3,46,1.3,12.4,45,1.3,11.7,34,1.1,9.5,33,1.0,9.3
"North Stonington School District","=""1020011""",16,2.2,23.5,15,2.0,23.1,11,1.5,17.2,14,1.9,21.2,13,1.8,24.1
"Norwalk School District","=""1030011""",226,2.0,19.0,206,1.8,16.9,228,2.0,17.3,245,2.1,17.2,253,2.2,16.6
"Norwich School District","=""1040011""",150,2.7,16.8,158,2.9,18.1,154,2.8,16.8,131,2.4,15.0,125,2.3,13.3
"Old Saybrook School District","=""1060011""",37,2.6,18.0,30,2.2,14.3,28,2.0,14.1,28,2.1,15.9,25,2.0,14.5
"Orange School District","=""1070011""",36,2.9,32.1,32,2.7,29.4,30,2.6,29.4,28,2.4,29.5,30,2.6,31.6
"Oxford School District","=""1080011""",17,0.8,11.0,34,1.6,16.3,40,2.0,17.2,46,2.3,18.8,48,2.4,19.6
"Plainfield School District","=""1090011""",40,1.7,13.7,34,1.5,12.3,42,1.9,13.6,30,1.4,10.0,29,1.3,9.7
"Plainville School District","=""1100011""",46,1.9,14.7,44,1.9,13.5,49,2.1,15.6,44,1.8,14.5,51,2.2,17.5
"Plymouth School District","=""1110011""",36,2.1,14.6,31,1.8,13.3,37,2.2,15.8,38,2.3,16.1,33,2.1,13.5
"Pomfret School District","=""1120011""",10,1.5,14.9,11,1.8,16.9,10,1.7,17.9,11,1.9,16.9,9,1.6,15.8
"Portland School District","=""1130011""",18,1.3,14.5,23,1.6,18.1,25,1.8,18.2,19,1.4,13.6,17,1.2,12.8
"Preston School District","=""1140011""",26,4.2,31.7,30,4.9,33.0,35,5.8,34.0,33,5.4,33.7,32,5.3,31.1
"Putnam School District","=""1160011""",24,2.0,13.8,27,2.3,14.1,22,1.9,12.2,23,2.0,12.1,19,1.7,9.6
"Redding School District","=""1170011""",42,3.9,31.3,43,4.2,33.1,43,4.5,34.4,41,4.5,35.3,25,2.8,23.1
"Regional School District 01","=""2010012""",0,0,0,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""",12,1.2,8.6,8,0.8,5.5,6,0.6,4.5,8,0.8,5.6,"*","*","*"
"Regional School District 05","=""2050012""",41,1.7,14.7,33,1.4,12.3,33,1.4,12.2,38,1.7,13.7,37,1.6,13.3
"Regional School District 06","=""2060012""",12,1.4,10.8,10,1.2,9.0,11,1.4,10.2,14,1.8,11.9,20,2.6,15.9
"Regional School District 07","=""2070012""",13,1.2,11.5,9,0.8,7.4,10,1.0,8.6,10,1.0,8.3,10,1.0,8.1
"Regional School District 08","=""2080012""",17,0.9,7.5,13,0.7,5.9,9,0.5,4.1,7,0.4,3.5,7,0.4,3.5
"Regional School District 09","=""2090012""",14,1.3,11.4,12,1.1,9.6,12,1.1,9.9,9,0.9,6.9,7,0.7,5.8
"Regional School District 10","=""2100012""",39,1.5,14.9,36,1.4,14.3,30,1.2,11.9,27,1.1,10.9,19,0.8,7.5
"Regional School District 11","=""2110012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""",13,1.6,10.3,12,1.6,9.5,15,2.1,13.0,15,2.2,13.4,14,2.2,12.4
"Regional School District 13","=""2130012""",60,3.1,21.6,55,2.9,20.1,50,2.8,19.2,50,2.9,19.9,47,2.7,19.3
"Regional School District 14","=""2140012""",36,2.1,18.0,25,1.5,13.6,20,1.3,11.4,15,1.0,9.1,16,1.1,8.0
"Regional School District 15","=""2150012""",87,2.1,17.5,67,1.7,14.3,72,1.9,15.2,73,1.9,14.6,78,2.1,14.2
"Regional School District 16","=""2160012""",53,2.2,19.9,58,2.5,20.2,75,3.3,23.7,75,3.3,23.7,58,2.6,19.7
"Regional School District 17","=""2170012""",30,1.3,9.6,31,1.4,9.7,32,1.5,9.8,34,1.6,9.8,42,2.0,11.9
"Regional School District 18","=""2180012""",35,2.5,22.2,29,2.1,18.0,30,2.3,18.2,28,2.1,17.7,26,2.0,16.4
"Regional School District 19","=""2190012""",9,0.8,5.2,7,0.7,4.2,8,0.8,4.8,11,1.1,6.4,11,1.2,7.0
"Ridgefield School District","=""1180011""",71,1.3,15.9,59,1.1,13.1,65,1.3,13.9,57,1.1,12.6,39,0.8,8.3
"Rocky Hill School District","=""1190011""",41,1.6,18.9,30,1.2,13.3,31,1.2,12.9,31,1.1,11.8,33,1.2,12.5
"Salem School District","=""1210011""","*","*","*",8,1.2,11.9,"*","*","*",9,1.4,9.6,"*","*","*"
"Salisbury School District","=""1220011""",7,2.4,20.0,8,3.0,25.8,9,3.5,28.1,9,3.5,31.0,6,2.3,24.0
"Scotland School District","=""1230011""",13,11.8,61.9,8,7.0,40.0,7,6.3,35.0,6,5.7,37.5,"*","*","*"
"Seymour School District","=""1240011""",33,1.4,13.6,38,1.6,14.8,39,1.7,14.6,34,1.5,12.7,36,1.6,12.4
"Sharon School District","=""1250011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""",104,2.0,18.3,124,2.4,20.4,103,2.0,16.5,84,1.7,13.0,76,1.5,11.4
"Sherman School District","=""1270011""",13,2.4,18.8,15,2.8,22.7,12,2.4,16.7,10,2.1,16.1,6,1.3,10.3
"Simsbury School District","=""1280011""",71,1.5,13.3,58,1.3,10.8,62,1.4,11.0,49,1.2,8.9,43,1.0,7.7
"Somers School District","=""1290011""",37,2.4,22.4,36,2.4,21.1,29,2.0,18.1,25,1.7,15.3,26,1.8,14.1
"South Windsor School District","=""1320011""",72,1.6,13.4,73,1.7,13.2,63,1.4,11.5,59,1.4,11.1,74,1.7,13.4
"Southington School District","=""1310011""",127,1.9,16.4,132,2.0,16.9,128,1.9,16.1,125,1.9,16.0,100,1.5,12.1
"Sprague School District","=""1330011""",13,2.9,32.5,12,2.7,26.7,11,2.5,18.3,10,2.2,14.9,8,1.8,11.6
