"Primary Disability (K-12), Trend"
"All Districts, Speech Language Impairment"

"",,"2012-13",,,"2013-14",,,"2014-15",,,"2015-16",,,"2016-17",,
"Stafford School District","=""1340011""",20,1.2,10.9,18,1.1,9.9,"*","*","*",20,1.3,10.5,20,1.3,9.7
"Stamford School District","=""1350011""",259,1.7,16.9,264,1.7,15.9,256,1.6,14.7,251,1.6,13.9,266,1.7,13.8
"Sterling School District","=""1360011""",13,2.1,14.3,12,2.0,13.5,10,1.7,12.8,9,1.6,11.5,9,1.7,13.0
"Stonington School District","=""1370011""",41,1.7,13.4,33,1.4,10.7,32,1.4,9.6,40,1.8,12.1,50,2.3,15.4
"Stratford School District","=""1380011""",55,0.8,7.6,71,1.0,9.4,74,1.0,9.5,72,1.0,8.6,73,1.0,8.2
"Suffield School District","=""1390011""",44,1.9,17.8,36,1.5,14.8,25,1.1,10.8,27,1.2,10.9,37,1.7,13.7
"Thomaston School District","=""1400011""",27,2.4,18.9,25,2.3,18.0,20,2.0,14.6,21,2.1,14.7,20,2.0,14.1
"Thompson School District","=""1410011""",39,3.3,30.2,36,3.3,30.5,40,3.8,32.8,34,3.3,27.4,29,2.8,23.8
"Tolland School District","=""1420011""",22,0.8,7.0,21,0.8,7.1,21,0.8,6.8,16,0.6,5.1,13,0.5,4.2
"Torrington School District","=""1430011""",90,2.0,12.3,70,1.6,9.5,91,2.0,12.0,94,2.1,11.5,104,2.4,12.5
"Trumbull School District","=""1440011""",57,0.9,9.5,49,0.7,8.1,51,0.8,8.0,55,0.9,8.1,62,1.0,8.6
"Unified School District #1","=""3360015""","*","*","*","*","*","*",6,1.5,3.4,"*","*","*","*","*","*"
"Unified School District #2","=""3470015""","*","*","*","*","*","*","*","*","*","*","*","*",0,0,0
"Union School District","=""1450011""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",87,2.4,19.5,87,2.5,18.5,98,2.9,19.6,98,2.9,19.2,83,2.5,15.3
"Voluntown School District","=""1470011""",11,2.8,27.5,9,2.3,22.0,12,3.0,20.0,16,4.2,24.6,10,2.7,15.6
"Wallingford School District","=""1480011""",124,2.0,16.2,118,2.0,16.5,110,1.8,16.0,113,1.9,16.3,108,1.9,15.1
"Waterbury School District","=""1510011""",575,3.3,19.5,589,3.4,19.0,599,3.4,18.5,544,3.1,16.4,510,2.8,15.2
"Waterford School District","=""1520011""",58,2.1,16.4,50,1.8,13.4,43,1.6,11.0,45,1.7,11.6,42,1.5,10.8
"Watertown School District","=""1530011""",43,1.4,12.4,35,1.2,10.1,38,1.3,11.1,35,1.2,10.0,36,1.3,10.1
"West Hartford School District","=""1550011""",184,1.8,16.9,200,2.0,17.7,206,2.1,17.8,192,1.9,16.3,184,1.9,15.3
"West Haven School District","=""1560011""",197,2.8,22.8,203,2.9,22.3,202,2.9,20.8,196,2.9,19.2,185,2.7,18.0
"Westbrook School District","=""1540011""",8,0.9,9.2,9,1.1,10.8,11,1.4,12.2,9,1.2,9.6,10,1.3,9.6
"Weston School District","=""1570011""",38,1.6,17.9,36,1.5,17.8,33,1.4,16.5,32,1.3,15.3,27,1.2,12.1
"Westport School District","=""1580011""",92,1.6,15.9,81,1.4,14.6,79,1.4,13.7,84,1.5,14.5,75,1.3,13.0
"Wethersfield School District","=""1590011""",116,3.0,25.4,112,2.9,23.6,100,2.6,19.5,106,2.7,20.5,114,3.0,21.5
"Willington School District","=""1600011""",18,3.9,28.6,19,4.3,32.2,14,3.4,24.6,15,3.6,21.4,16,3.9,25.4
"Wilton School District","=""1610011""",74,1.7,14.8,71,1.7,13.9,64,1.5,11.7,56,1.4,10.4,55,1.4,10.1
"Winchester School District","=""1620011""",39,3.0,15.6,35,2.8,14.6,38,3.1,16.4,41,3.5,16.5,35,3.0,14.1
"Windham School District","=""1630011""",89,2.9,17.5,87,2.8,17.9,90,2.9,18.0,93,2.9,17.6,92,2.9,15.2
"Windsor Locks School District","=""1650011""",12,0.7,5.9,16,0.9,7.7,13,0.8,6.3,18,1.1,7.5,17,1.0,7.2
"Windsor School District","=""1640011""",71,1.8,12.1,47,1.2,8.2,56,1.5,9.5,45,1.2,7.5,39,1.0,6.1
"Wolcott School District","=""1660011""",37,1.4,16.0,36,1.4,15.9,24,1.0,10.5,26,1.1,10.1,30,1.3,11.2
"Woodbridge School District","=""1670011""",18,2.5,27.7,19,2.5,32.2,14,1.8,22.2,12,1.6,19.0,15,2.0,21.7
"Woodstock School District","=""1690011""",13,1.0,14.9,13,1.0,12.3,14,1.1,12.4,17,1.4,14.7,15,1.2,12.8

