"Student Counts by School and Gender"
"All Districts, All Schools"
"2015-16"

"",,,,"Gender",,
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",467,460,927
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*","*",6
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",194,201,395
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",190,182,372
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",8
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",203,219,422
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*","*",10
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""",0,"*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,"*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",250,241,491
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*",24
"Bristol School District","=""0170011""","Stafford School","=""0171211""",222,214,436
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",457,465,922
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",445,435,880
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",175,193,368
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",280,297,577
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",417,438,855
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",239,282,521
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",199,178,377
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",38,38,76
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",119,142,261
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",95,135,230
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,"*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",247,241,488
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",195,205,400
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",151,133,284
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",237,214,451
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",103,146,249
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",187,515,702
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",152,191,343
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",390,127,517
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",195,159,354
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",180,225,405
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",10,6,16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",199,252,451
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",322,118,440
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",231,106,337
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",224,243,467
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",21,36,57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",12
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",385,341,726
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",179,175,354
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",241,227,468
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",143,312,455
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",224,231,455
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",17,49,66
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",21,119,140
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",16,26,42
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*","*",7
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*",8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*",9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",186,213,399
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",239,415,654
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",241,216,457
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",79,97,176
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",170,174,344
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",696,785,1481
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","*","*",10
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",53,94,147
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",378,341,719
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",251,229,480
"Cheshire School District","=""0250011""","Highland School","=""0250411""",358,393,751
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",7,11,18
"Cheshire School District","=""0250011""","Norton School","=""0250511""",222,223,445
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",122,89,211
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",158,154,312
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",214,238,452
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",256,266,522
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",271,262,533
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",429,406,835
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*",15
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",278,292,570
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",259,272,531
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",293,307,600
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",37,47,84
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",212,233,445
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",79,107,186
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",407,361,768
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",449,335,784
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",270,366,636
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",252,299,551
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",208,297,505
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",233,340,573
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",321,439,760
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",194,429,623
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",238,402,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",121,532,653
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",115,135,250
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",256,401,657
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",269,388,657
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",318,493,811
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",168,420,588
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",339,419,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",172,324,496
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",24,63,87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",17,40,57
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*",17
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",47,43,90
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",244,224,468
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",19,131,150
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",33,59,92
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",202,195,397
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",12
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",157,191,348
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",232,233,465
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",195,170,365
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",12,26,38
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",282,296,578
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",214,233,447
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",229,248,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",229,251,480
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",40,54,94
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",512,527,1039
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",60,81,141
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1407,1534,2941
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",201,231,432
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",162,192,354
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",218,252,470
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",184,185,369
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",202,207,409
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",177,173,350
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",184,173,357
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",276,319,595
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",164,204,368
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",476,462,938
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",249,271,520
"Danbury School District","=""0340011""","South Street School","=""0341011""",194,184,378
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",233,263,496
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",222,168,390
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",236,260,496
"Darien School District","=""0350011""","Darien High School","=""0356111""",656,700,1356
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",246,255,501
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",242,220,462
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",546,621,1167
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",210,248,458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",205,228,433
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",254,225,479
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",144,160,304
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",173,174,347
"Derby School District","=""0370011""","Derby High School","=""0376111""",147,197,344
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",158,174,332
"Derby School District","=""0370011""","Irving School","=""0370411""",160,168,328
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",13,20,33
"Derby School District","=""0370011""","RAISE Academy","=""0370511""",0,"*","*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",104,102,206
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",128,136,264
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",101,95,196
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",96,106,202
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",152,157,309
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",173,148,321
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",200,231,431
"East Hampton School District","=""0420011""","Center School","=""0420311""",144,153,297
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",270,245,515
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",201,232,433
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",321,316,637
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",147,165,312
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",123,69,192
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",181,175,356
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",142,180,322
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",257,252,509
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",801,848,1649
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",519,555,1074
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",173,171,344
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",166,170,336
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",137,161,298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",230,245,475
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",137,137,274
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",41,69,110
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",103,101,204
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",105,124,229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",29,153,182
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",129,135,264
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",99,108,207
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",158,150,308
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",102,87,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",428,461,889
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",97,75,172
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",277,312,589
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",92,94,186
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",68,98,166
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""","*","*",16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",7,12,19
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",529,516,1045
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",409,439,848
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",161,182,343
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",31,27,58
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",137,153,290
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",80,88,168
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",180,201,381
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",154,170,324
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",182,206,388
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*",0,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",100,29,129
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",25,92,117
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",106,73,179
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",64,70,134
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",138,171,309
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",301,311,612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",122,91,213
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",6,8,14
"Ellington School District","=""0480011""","Center School","=""0480111""",178,183,361
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",87,114,201
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",397,374,771
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",191,229,420
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",227,219,446
"Ellington School District","=""0480011""","Windermere School","=""0480611""",220,210,430
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-5","=""0480311""",0,"*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",384,319,703
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",55,58,113
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",21,15,36
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",158,165,323
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*",0,"*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",213,198,411
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",359,356,715
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*","*",8
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",136,140,276
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",417,444,861
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",155,189,344
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",48,56,104
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,"*","*"
