"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2009-10"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",251,139,50,440
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",378,251,115,744
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",22,302,12,336
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",352,333,92,777
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",168,256,53,477
"Ansonia School District","=""0020011""","Mead School","=""0020311""",348,253,59,660
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",389,293,129,811
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",52,43,15,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",106,27,15,148
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",342,291,100,733
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",51,109,16,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",99,16,8,123
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",78,11,11,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",43,"*","*",56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",143,412,75,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",72,371,32,475
"Avon School District","=""0040011""","Avon High School","=""0046111""",17,1043,19,1079
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",14,576,11,601
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",30,615,10,655
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",11,663,8,682
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",19,539,10,568
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",328,"*",345
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,22,0,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",46,962,14,1022
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",34,689,10,733
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",40,542,6,588
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",20,532,12,564
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",11,235,6,252
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",12,495,8,515
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",40,363,17,420
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",69,881,37,987
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",81,580,42,703
