"Student Counts by School and Gender"
"All Districts, All Schools"
"2008-09"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",115,146,261
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",312,329,641
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",148,186,334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",354,363,717
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",275,307,582
"Ansonia School District","=""0020011""","Mead School","=""0020311""",278,338,616
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",14,25,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",369,390,759
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",12
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",37,73,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",28,142,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",369,379,748
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",50,126,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",29,99,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",23,70,93
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",21,35,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",320,285,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",224,261,485
"Avon School District","=""0040011""","Avon High School","=""0046111""",521,531,1052
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",296,293,589
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",291,319,610
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",387,363,750
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",255,302,557
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",145,196,341
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",9,12,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",509,518,1027
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",354,388,742
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",265,336,601
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",285,299,584
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",110,154,264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",263,286,549
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",199,224,423
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",522,488,1010
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",351,355,706
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",218,262,480
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",228,226,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",302,344,646
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",142,171,313
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",151,151,302
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",135,181,316
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",113,152,265
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",114,118,232
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",53,30,83
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",284,299,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",153,125,278
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",135,121,256
"Branford School District","=""0140011""","Branford High School","=""0146111""",562,549,1111
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",551,532,1083
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",33,44,77
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",174,189,363
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",212,224,436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",199,210,409
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",89,71,160
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",307,293,600
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",581,676,1257
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",202,190,392
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",126,108,234
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",497,562,1059
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",16,41,57
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",226,214,440
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1164,1123,2287
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",511,582,1093
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",173,170,343
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",314,315,629
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",165,208,373
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",260,302,562
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",213,184,397
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",157,160,317
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",333,438,771
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",120,153,273
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",176,178,354
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",835,817,1652
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",241,200,441
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",212,258,470
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",297,299,596
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",207,206,413
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",419,435,854
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",233,298,531
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",13,29,42
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",243,202,445
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",19,19,38
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",7,27,34
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",255,246,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",424,495,919
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",248,302,550
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",95,115,210
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*","*",24
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",265,296,561
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",377,352,729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",662,755,1417
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",670,648,1318
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",433,448,881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",183,189,372
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",115,127,242
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",163,196,359
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",246,246,492
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",175,192,367
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",177,205,382
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",171,195,366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",264,279,543
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",178,213,391
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",257,309,566
"Bristol School District","=""0170011""","South Side School","=""0171111""",262,313,575
"Bristol School District","=""0170011""","Stafford School","=""0171211""",263,254,517
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",498,518,1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",200,206,406
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",301,308,609
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",458,457,915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",291,290,581
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",199,201,400
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",45,40,85
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",156,201,357
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",107,135,242
"Canton School District","=""0230011""","Canton High School","=""0236111""",254,268,522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",188,206,394
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",137,142,279
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",295,258,553
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",30,48,78
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",122,129,251
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",97,67,164
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",87,60,147
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",8,10,18
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",55,69,124
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",20,48,68
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",344,339,683
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",179,153,332
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",41,64,105
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",71,78,149
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",12,41,53
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",23,126,149
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",57,41,98
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",301,288,589
