"Student Counts by School and Gender"
"All Districts, All Schools"
"2008-09"

"",,,,"Gender",,
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",204,208,412
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",84,94,178
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",70,66,136
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",171,158,329
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",762,817,1579
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",189,196,385
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",395,423,818
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",254,278,532
"Cheshire School District","=""0250011""","Highland School","=""0250411""",409,460,869
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",7,17,24
"Cheshire School District","=""0250011""","Norton School","=""0250511""",243,227,470
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",171,148,319
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",166,147,313
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",234,258,492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",349,340,689
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",303,287,590
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",494,474,968
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",347,392,739
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",356,354,710
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",391,372,763
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",60,56,116
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",283,290,573
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",79,76,155
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",338,277,615
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",455,420,875
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",184,307,491
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",262,262,524
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",253,365,618
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",166,354,520
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",272,455,727
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",157,411,568
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",176,402,578
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",106,491,597
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",98,127,225
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",145,328,473
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",250,491,741
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",287,597,884
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",152,431,583
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",273,443,716
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",181,341,522
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",72,198,270
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",28,26,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",223,207,430
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",60,62,122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",253,261,514
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",14
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",214,196,410
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",269,284,553
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",216,245,461
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",299,274,573
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",226,236,462
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",225,263,488
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",230,264,494
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",53,33,86
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",531,574,1105
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1437,1402,2839
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",179,172,351
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",148,153,301
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",194,212,406
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",159,158,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",164,170,334
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",151,201,352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",152,144,296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",158,188,346
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",203,197,400
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",148,188,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",493,527,1020
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",193,182,375
"Danbury School District","=""0340011""","South Street School","=""0341011""",163,172,335
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",240,230,470
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",169,202,371
"Darien School District","=""0350011""","Darien High School","=""0356111""",626,610,1236
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",255,263,518
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",219,256,475
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",551,581,1132
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",243,252,495
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",186,254,440
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",179,246,425
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",177,176,353
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",187,196,383
"Derby School District","=""0370011""","Derby High School","=""0376111""",308,333,641
"Derby School District","=""0370011""","Irving School","=""0370411""",214,224,438
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",160,128,288
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",129,123,252
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",96,120,216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",69,73,142
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",188,245,433
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",224,194,418
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",283,289,572
"East Hampton School District","=""0420011""","Center School","=""0420311""",187,163,350
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",311,284,595
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",238,236,474
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",281,348,629
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",144,178,322
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",110,59,169
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",212,198,410
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",154,178,332
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",171,151,322
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",917,981,1898
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",437,530,967
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",183,170,353
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",152,181,333
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",158,173,331
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",204,210,414
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",150,147,297
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",58,90,148
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",247,245,492
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",124,154,278
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",26,143,169
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",124,104,228
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",117,116,233
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",157,180,337
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",91,98,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",516,498,1014
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",105,107,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",67,96,163
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",225,274,499
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",85,119,204
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",77,82,159
"East Haven School District","=""0440011""","Pathways","=""0449011""",13,33,46
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",150,142,292
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",639,608,1247
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",433,437,870
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",172,196,368
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",25,25,50
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",176,190,366
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",123,124,247
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",296,304,600
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",196,215,411
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",208,216,424
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",46,19,65
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",8,40,48
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",19,15,34
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",86,99,185
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",205,182,387
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",336,433,769
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",74,93,167
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",11,16,27
"Ellington School District","=""0480011""","Center School","=""0480111""",207,222,429
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",103,118,221
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",388,390,778
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",201,189,390
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",221,185,406
"Ellington School District","=""0480011""","Windermere School","=""0480611""",190,220,410
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",258,251,509
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",172,167,339
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",191,213,404
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",442,451,893
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",177,171,348
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",8
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",591,583,1174
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",142,141,283
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",183,222,405
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",48,56,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",190,228,418
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",438,485,923
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",123,140,263
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",226,209,435
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",149,150,299
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",288,306,594
"Explorations District","=""2720013""","Explorations","=""2726113""",49,36,85
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",231,238,469
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",164,158,322
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",39,87,126
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",734,658,1392
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",660,613,1273
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",291,314,605
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",179,171,350
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",164,192,356
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",205,231,436
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",222,248,470
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",237,265,502
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",256,271,527
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",220,258,478
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",440,449,889
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",213,233,446
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",278,264,542
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",400,370,770
"Farmington School District","=""0520011""","East Farms School","=""0520411""",196,232,428
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",25,47,72
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",676,684,1360
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",313,358,671
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",161,184,345
"Farmington School District","=""0520011""","Union School","=""0520111""",135,160,295
"Farmington School District","=""0520011""","West District School","=""0520311""",172,173,345
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",332,344,676
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",103,122,225
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",291,284,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",170,172,342
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",261,269,530
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1018,1048,2066
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",283,242,525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",261,269,530
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",246,242,488
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",336,328,664
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",568,560,1128
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",224,249,473
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",337,400,737
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",195,184,379
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",166,184,350
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",160,170,330
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",325,365,690
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",207,208,415
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",383,364,747
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",135,148,283
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",1257,1420,2677
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",196,185,381
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",181,194,375
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",165,173,338
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",108,119,227
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",237,220,457
"Greenwich School District","=""0570011""","North Street School","=""0570811""",229,268,497
