"Student Counts by School and Grade"
"All Districts, All Schools"
"2010-11"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,293,275,252,278,1098
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",36,87,90,67,63,60,48,76,55,50,0,0,0,0,632
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",43,52,55,47,54,37,41,41,0,0,0,0,0,0,370
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",36,119,116,123,101,90,111,101,155,162,0,0,0,0,1114
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",60,67,65,67,61,36,56,27,0,0,0,0,0,0,439
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",38,114,114,120,105,128,130,122,128,64,0,0,0,0,1063
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*",93,87,76,77,71,69,55,53,42,"*",0,0,0,663
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",18,115,105,94,88,90,92,83,88,95,0,0,0,0,868
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",18,39,47,42,50,43,36,41,0,0,0,0,0,0,316
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",85,45,0,0,0,0,0,0,0,0,0,0,0,0,130
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",38,70,87,67,66,63,41,61,90,71,0,0,0,0,654
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",17,58,54,45,51,39,36,27,54,45,0,0,0,0,426
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",18,74,88,83,96,92,83,66,120,134,0,0,0,0,854
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",31,59,58,59,53,60,50,50,46,45,0,0,0,0,511
