"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",05,"Math",63,63,100.0,63,57,90.5,"*","*","*","*",0,0.0,"*","*",2390
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",06,"ELA",54,54,100.0,54,21,38.9,22,40.7,"*","*","*","*",11,20.4,2471
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",06,"Math",54,54,100.0,54,29,53.7,"*","*","*","*",0,0.0,"*","*",2448
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",07,"ELA",85,85,100.0,84,42,50.0,23,27.4,"*","*","*","*",19,22.6,2482
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",07,"Math",85,85,100.0,84,59,70.2,19,22.6,6,7.1,0,0.0,6,7.1,2439
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",08,"ELA",91,91,100.0,91,30,33.0,31,34.1,"*","*","*","*",30,33.0,2522
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",08,"Math",91,91,100.0,91,35,38.5,32,35.2,"*","*","*","*",24,26.4,2510
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",03,"ELA",100,88,88.0,88,75,85.2,"*","*","*","*",0,0.0,"*","*",2312
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",03,"Math",101,101,100.0,101,90,89.1,11,10.9,0,0.0,0,0.0,0,0.0,2309
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",04,"ELA",92,84,91.3,84,73,86.9,"*","*","*","*",0,0.0,"*","*",2335
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",04,"Math",92,92,100.0,92,78,84.8,"*","*","*","*",0,0.0,"*","*",2345
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"ELA",99,91,91.9,91,71,78.0,"*","*","*","*",0,0.0,"*","*",2389
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"Math",100,100,100.0,100,94,94.0,6,6.0,0,0.0,0,0.0,0,0.0,2366
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",06,"ELA",79,69,87.3,69,54,78.3,9,13.0,6,8.7,0,0.0,6,8.7,2399
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",06,"Math",79,79,100.0,79,73,92.4,6,7.6,0,0.0,0,0.0,0,0.0,2363
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",07,"ELA",112,100,89.3,98,85,86.7,"*","*","*","*",0,0.0,"*","*",2416
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",07,"Math",113,113,100.0,113,105,92.9,"*","*","*","*",0,0.0,"*","*",2379
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"ELA",130,118,90.8,118,90,76.3,"*","*","*","*",0,0.0,"*","*",2435
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"Math",130,129,99.2,129,122,94.6,7,5.4,0,0.0,0,0.0,0,0.0,2391
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",03,"ELA",82,82,100.0,82,29,35.4,20,24.4,20,24.4,13,15.9,33,40.2,2407
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",03,"Math",82,82,100.0,82,28,34.1,28,34.1,"*","*","*","*",26,31.7,2401
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",04,"ELA",87,85,97.7,85,40,47.1,19,22.4,19,22.4,7,8.2,26,30.6,2432
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",04,"Math",87,85,97.7,85,37,43.5,39,45.9,"*","*","*","*",9,10.6,2417
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",05,"ELA",73,73,100.0,73,38,52.1,22,30.1,"*","*","*","*",13,17.8,2441
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",05,"Math",73,73,100.0,73,54,74.0,14,19.2,"*","*","*","*","*","*",2419
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",06,"ELA",50,50,100.0,50,"*","*",27,54.0,11,22.0,"*","*","*","*",2502
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",06,"Math",50,50,100.0,50,34,68.0,10,20.0,"*","*","*","*",6,12.0,2456
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",03,"ELA",50,50,100.0,50,"*","*","*","*",15,30.0,26,52.0,41,82.0,2485
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",03,"Math",50,50,100.0,50,"*","*","*","*",21,42.0,13,26.0,34,68.0,2466
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",04,"ELA",49,47,95.9,47,10,21.3,14,29.8,15,31.9,8,17.0,23,48.9,2470
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",04,"Math",49,47,95.9,47,12,25.5,28,59.6,"*","*","*","*",7,14.9,2440
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",05,"ELA",49,41,83.7,41,"*","*",14,34.1,18,43.9,"*","*","*","*",2512
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",05,"Math",49,41,83.7,41,22,53.7,13,31.7,"*","*","*","*",6,14.6,2463
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",06,"ELA",49,49,100.0,49,"*","*","*","*",29,59.2,10,20.4,39,79.6,2574
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",06,"Math",49,49,100.0,49,"*","*",23,46.9,14,28.6,"*","*","*","*",2515
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",07,"ELA",48,48,100.0,48,0,0.0,9,18.8,30,62.5,9,18.8,39,81.3,2599
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",07,"Math",48,48,100.0,48,"*","*",20,41.7,20,41.7,"*","*","*","*",2571
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",08,"ELA",46,46,100.0,46,0,0.0,"*","*",32,69.6,"*","*","*","*",2628
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",08,"Math",46,46,100.0,46,"*","*",20,43.5,"*","*",11,23.9,"*","*",2589
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",03,"ELA",47,47,100.0,47,"*","*",28,59.6,10,21.3,"*","*","*","*",2411
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",03,"Math",47,47,100.0,47,28,59.6,10,21.3,9,19.1,0,0.0,9,19.1,2384
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",04,"ELA",48,48,100.0,48,12,25.0,14,29.2,14,29.2,8,16.7,22,45.8,2462
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",04,"Math",48,48,100.0,48,14,29.2,22,45.8,"*","*","*","*",12,25.0,2447
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",05,"ELA",43,43,100.0,43,"*","*",15,34.9,14,32.6,"*","*","*","*",2510
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",05,"Math",43,43,100.0,43,12,27.9,20,46.5,"*","*","*","*",11,25.6,2493
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",06,"ELA",42,42,100.0,42,"*","*",12,28.6,19,45.2,"*","*","*","*",2565
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",06,"Math",42,42,100.0,42,"*","*",18,42.9,11,26.2,"*","*","*","*",2526
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",07,"ELA",41,41,100.0,41,"*","*",10,24.4,21,51.2,"*","*","*","*",2575
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",07,"Math",41,41,100.0,41,8,19.5,20,48.8,6,14.6,7,17.1,13,31.7,2548
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",08,"ELA",47,47,100.0,47,"*","*",19,40.4,21,44.7,"*","*","*","*",2571
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",08,"Math",47,47,100.0,47,24,51.1,16,34.0,"*","*","*","*",7,14.9,2501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",03,"ELA",86,86,100.0,86,40,46.5,26,30.2,13,15.1,7,8.1,20,23.3,2376
"Bridgeport School District","=""0150011""","Read School","=""0152511""",03,"Math",86,86,100.0,86,43,50.0,30,34.9,"*","*","*","*",13,15.1,2378
"Bridgeport School District","=""0150011""","Read School","=""0152511""",04,"ELA",86,85,98.8,85,54,63.5,17,20.0,8,9.4,6,7.1,14,16.5,2398
"Bridgeport School District","=""0150011""","Read School","=""0152511""",04,"Math",87,87,100.0,87,59,67.8,"*","*","*","*",0,0.0,"*","*",2390
"Bridgeport School District","=""0150011""","Read School","=""0152511""",05,"ELA",87,87,100.0,87,43,49.4,25,28.7,"*","*","*","*",19,21.8,2436
"Bridgeport School District","=""0150011""","Read School","=""0152511""",05,"Math",87,87,100.0,87,71,81.6,"*","*",0,0.0,"*","*","*","*",2402
"Bridgeport School District","=""0150011""","Read School","=""0152511""",06,"ELA",83,83,100.0,83,50,60.2,21,25.3,12,14.5,0,0.0,12,14.5,2444
"Bridgeport School District","=""0150011""","Read School","=""0152511""",06,"Math",83,83,100.0,83,63,75.9,"*","*","*","*",0,0.0,"*","*",2419
"Bridgeport School District","=""0150011""","Read School","=""0152511""",07,"ELA",84,82,97.6,82,50,61.0,19,23.2,"*","*","*","*",13,15.9,2468
"Bridgeport School District","=""0150011""","Read School","=""0152511""",07,"Math",84,83,98.8,83,56,67.5,21,25.3,"*","*","*","*",6,7.2,2450
"Bridgeport School District","=""0150011""","Read School","=""0152511""",08,"ELA",94,91,96.8,91,36,39.6,34,37.4,21,23.1,0,0.0,21,23.1,2503
"Bridgeport School District","=""0150011""","Read School","=""0152511""",08,"Math",94,91,96.8,91,60,65.9,"*","*","*","*",0,0.0,"*","*",2472
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",03,"ELA",63,61,96.8,61,39,63.9,18,29.5,"*","*","*","*","*","*",2343
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",03,"Math",62,62,100.0,62,56,90.3,"*","*","*","*",0,0.0,"*","*",2327
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",04,"ELA",54,52,96.3,52,48,92.3,"*","*","*","*",0,0.0,"*","*",2346
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",04,"Math",54,54,100.0,54,"*","*","*","*",0,0.0,0,0.0,0,0.0,2341
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",05,"ELA",39,39,100.0,37,33,89.2,"*","*","*","*","*","*","*","*",2375
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",05,"Math",39,39,100.0,39,33,84.6,6,15.4,0,0.0,0,0.0,0,0.0,2369
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",06,"ELA",52,51,98.1,51,35,68.6,11,21.6,"*","*","*","*","*","*",2433
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",06,"Math",52,52,100.0,52,43,82.7,7,13.5,"*","*","*","*","*","*",2390
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",07,"ELA",46,45,97.8,45,32,71.1,"*","*","*","*",0,0.0,"*","*",2442
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",07,"Math",46,46,100.0,46,40,87.0,"*","*","*","*",0,0.0,"*","*",2394
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",08,"ELA",51,50,98.0,50,26,52.0,14,28.0,10,20.0,0,0.0,10,20.0,2491
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",08,"Math",51,51,100.0,51,42,82.4,9,17.6,0,0.0,0,0.0,0,0.0,2421
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",03,"ELA",48,47,97.9,46,24,52.2,14,30.4,"*","*","*","*",8,17.4,2367
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",03,"Math",48,48,100.0,48,25,52.1,14,29.2,"*","*","*","*",9,18.8,2378
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",04,"ELA",47,47,100.0,47,28,59.6,11,23.4,"*","*","*","*",8,17.0,2394
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",04,"Math",47,47,100.0,47,38,80.9,"*","*","*","*",0,0.0,"*","*",2382
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",05,"ELA",51,50,98.0,50,34,68.0,10,20.0,6,12.0,0,0.0,6,12.0,2414
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",05,"Math",51,51,100.0,51,40,78.4,11,21.6,0,0.0,0,0.0,0,0.0,2405
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",06,"ELA",40,40,100.0,40,17,42.5,17,42.5,"*","*","*","*",6,15.0,2470
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",06,"Math",40,40,100.0,40,32,80.0,"*","*","*","*",0,0.0,"*","*",2425
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",07,"ELA",55,55,100.0,55,17,30.9,29,52.7,"*","*","*","*",9,16.4,2494
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",07,"Math",55,55,100.0,55,37,67.3,"*","*","*","*",0,0.0,"*","*",2445
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",08,"ELA",37,36,97.3,36,12,33.3,14,38.9,"*","*","*","*",10,27.8,2517
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",08,"Math",37,37,100.0,37,29,78.4,"*","*","*","*",0,0.0,"*","*",2441
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",03,"ELA",83,83,100.0,83,24,28.9,28,33.7,20,24.1,11,13.3,31,37.3,2413
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",03,"Math",83,83,100.0,83,31,37.3,26,31.3,"*","*","*","*",26,31.3,2400
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",04,"ELA",76,76,100.0,76,25,32.9,20,26.3,18,23.7,13,17.1,31,40.8,2460
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",04,"Math",77,77,100.0,77,25,32.5,34,44.2,12,15.6,6,7.8,18,23.4,2443
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",05,"ELA",68,67,98.5,67,23,34.3,"*","*",21,31.3,"*","*","*","*",2473
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",05,"Math",68,68,100.0,68,46,67.6,"*","*","*","*",0,0.0,"*","*",2425
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",06,"ELA",67,67,100.0,67,15,22.4,22,32.8,23,34.3,7,10.4,30,44.8,2519
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",06,"Math",67,67,100.0,67,24,35.8,29,43.3,"*","*","*","*",14,20.9,2487
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",07,"ELA",73,73,100.0,73,14,19.2,26,35.6,26,35.6,7,9.6,33,45.2,2547
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",07,"Math",73,73,100.0,73,24,32.9,29,39.7,"*","*","*","*",20,27.4,2507
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",08,"ELA",74,74,100.0,74,"*","*",35,47.3,23,31.1,"*","*","*","*",2556
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",08,"Math",74,74,100.0,74,25,33.8,38,51.4,"*","*","*","*",11,14.9,2520
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",03,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",03,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",04,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",04,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",05,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",05,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",06,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",06,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",07,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",07,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",08,"ELA",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",08,"Math",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",11,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",11,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",11,"ELA",279,272,97.5,272,66,24.3,77,28.3,93,34.2,36,13.2,129,47.4,2567
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",11,"Math",281,274,97.5,274,155,56.6,67,24.5,43,15.7,9,3.3,52,19.0,2530
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",11,"ELA",308,302,98.1,301,55,18.3,88,29.2,106,35.2,52,17.3,158,52.5,2580
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",11,"Math",309,300,97.1,300,181,60.3,65,21.7,42,14.0,12,4.0,54,18.0,2526
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",11,"ELA",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",11,"Math",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",06,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",06,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",07,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",07,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",08,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",08,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",06,"ELA",254,253,99.6,252,62,24.6,88,34.9,73,29.0,29,11.5,102,40.5,2514
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",06,"Math",254,254,100.0,254,114,44.9,83,32.7,36,14.2,21,8.3,57,22.4,2482
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",07,"ELA",214,211,98.6,211,38,18.0,40,19.0,94,44.5,39,18.5,133,63.0,2569
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",07,"Math",213,212,99.5,211,60,28.4,58,27.5,58,27.5,35,16.6,93,44.1,2541
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",08,"ELA",277,273,98.6,273,54,19.8,83,30.4,96,35.2,40,14.7,136,49.8,2565
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",08,"Math",277,275,99.3,275,94,34.2,79,28.7,72,26.2,30,10.9,102,37.1,2538
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",03,"ELA",62,62,100.0,62,18,29.0,17,27.4,"*","*",16,25.8,"*","*",2424
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",03,"Math",62,62,100.0,62,17,27.4,19,30.6,14,22.6,12,19.4,26,41.9,2427
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",04,"ELA",66,65,98.5,65,12,18.5,11,16.9,19,29.2,23,35.4,42,64.6,2498
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",04,"Math",66,65,98.5,65,12,18.5,21,32.3,24,36.9,8,12.3,32,49.2,2475
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",05,"ELA",45,45,100.0,45,12,26.7,7,15.6,20,44.4,6,13.3,26,57.8,2498
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",05,"Math",45,45,100.0,45,21,46.7,15,33.3,"*","*","*","*",9,20.0,2471
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",03,"ELA",66,64,97.0,64,11,17.2,24,37.5,18,28.1,11,17.2,29,45.3,2423
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",03,"Math",66,66,100.0,66,20,30.3,25,37.9,"*","*","*","*",21,31.8,2403
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",04,"ELA",69,68,98.6,68,11,16.2,11,16.2,22,32.4,24,35.3,46,67.6,2495
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",04,"Math",69,69,100.0,69,9,13.0,30,43.5,22,31.9,8,11.6,30,43.5,2478
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",05,"ELA",56,56,100.0,55,9,16.4,17,30.9,22,40.0,7,12.7,29,52.7,2504
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",05,"Math",56,56,100.0,56,20,35.7,20,35.7,"*","*","*","*",16,28.6,2482
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",06,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",06,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",07,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",07,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",03,"ELA",85,84,98.8,84,24,28.6,24,28.6,21,25.0,15,17.9,36,42.9,2419
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",03,"Math",85,85,100.0,85,34,40.0,19,22.4,26,30.6,6,7.1,32,37.6,2400
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",04,"ELA",109,108,99.1,108,36,33.3,25,23.1,24,22.2,23,21.3,47,43.5,2451
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",04,"Math",109,109,100.0,109,37,33.9,33,30.3,32,29.4,7,6.4,39,35.8,2451
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",05,"ELA",96,96,100.0,96,20,20.8,26,27.1,29,30.2,21,21.9,50,52.1,2509
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",05,"Math",96,96,100.0,96,34,35.4,35,36.5,16,16.7,11,11.5,27,28.1,2479
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",06,"ELA",95,95,100.0,95,14,14.7,27,28.4,41,43.2,13,13.7,54,56.8,2533
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",06,"Math",95,95,100.0,95,35,36.8,31,32.6,16,16.8,13,13.7,29,30.5,2509
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",07,"ELA",102,99,97.1,99,"*","*",32,32.3,41,41.4,"*","*","*","*",2532
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",07,"Math",102,101,99.0,101,41,40.6,40,39.6,11,10.9,9,8.9,20,19.8,2503
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",08,"ELA",96,96,100.0,96,9,9.4,27,28.1,42,43.8,18,18.8,60,62.5,2598
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",08,"Math",96,96,100.0,96,28,29.2,32,33.3,25,26.0,11,11.5,36,37.5,2550
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",03,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""",03,"Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",03,"ELA",62,60,96.8,60,10,16.7,20,33.3,11,18.3,19,31.7,30,50.0,2444
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",03,"Math",62,61,98.4,61,12,19.7,13,21.3,22,36.1,14,23.0,36,59.0,2445
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",04,"ELA",74,73,98.6,73,10,13.7,15,20.5,13,17.8,35,47.9,48,65.8,2503
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",04,"Math",74,74,100.0,74,11,14.9,18,24.3,28,37.8,17,23.0,45,60.8,2494
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",05,"ELA",64,64,100.0,64,11,17.2,13,20.3,23,35.9,17,26.6,40,62.5,2525
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",05,"Math",64,64,100.0,64,16,25.0,20,31.3,13,20.3,15,23.4,28,43.8,2513
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",03,"ELA",65,64,98.5,64,10,15.6,13,20.3,18,28.1,23,35.9,41,64.1,2454
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",03,"Math",65,65,100.0,65,8,12.3,22,33.8,26,40.0,9,13.8,35,53.8,2436
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",04,"ELA",62,62,100.0,62,"*","*",24,38.7,20,32.3,"*","*","*","*",2457
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",04,"Math",62,62,100.0,62,"*","*",28,45.2,16,25.8,"*","*","*","*",2456
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",05,"ELA",50,50,100.0,50,12,24.0,13,26.0,18,36.0,7,14.0,25,50.0,2501
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",05,"Math",50,50,100.0,50,17,34.0,20,40.0,"*","*","*","*",13,26.0,2487
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",07,"ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
