"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","*","*",14
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",6,24,30
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",249,252,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",420,484,904
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",340,387,727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",93,126,219
"Bridgeport School District","=""0150011""","The University School","=""0159111""",19,27,46
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",221,235,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",378,380,758
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",697,768,1465
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",682,651,1333
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",452,477,929
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",183,172,355
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",116,137,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",158,198,356
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",246,244,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",176,220,396
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",189,213,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",191,183,374
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",258,284,542
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",167,202,369
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",263,295,558
"Bristol School District","=""0170011""","South Side School","=""0171111""",266,314,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",249,248,497
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",482,538,1020
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",188,186,374
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",307,297,604
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",486,465,951
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",281,299,580
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",202,204,406
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",57,44,101
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",135,181,316
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",110,152,262
"Canton School District","=""0230011""","Canton High School","=""0236111""",246,268,514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",196,209,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",134,136,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",283,255,538
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",129,128,257
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",73,38,111
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",28,15,43
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",129,260,389
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",353,323,676
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",174,155,329
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",288,294,582
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",207,199,406
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",100,110,210
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",172,160,332
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",777,835,1612
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",191,202,393
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",388,436,824
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",250,287,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",434,474,908
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",11,12,23
"Cheshire School District","=""0250011""","Norton School","=""0250511""",258,235,493
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",175,166,341
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",164,174,338
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",218,244,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",350,317,667
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",333,305,638
