"Student Counts by School and Gender"
"All Districts, All Schools"
"2011-12"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",350,412,762
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",425,432,857
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",131,183,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",339,356,695
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",214,258,472
"Ansonia School District","=""0020011""","Mead School","=""0020311""",304,306,610
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",357,381,738
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",7,24,31
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",17,143,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",338,383,721
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",42,106,148
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",29,85,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",24,70,94
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",13,34,47
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",327,313,640
"Ashford School District","=""0030011""","Ashford School","=""0030111""",239,242,481
"Avon School District","=""0040011""","Avon High School","=""0046111""",577,535,1112
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",272,300,572
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",300,331,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",285,305,590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",293,301,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",148,190,338
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",9,10,19
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",492,484,976
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",351,379,730
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",204,288,492
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",273,304,577
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",112,129,241
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",240,251,491
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",180,209,389
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",477,472,949
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",325,368,693
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",232,261,493
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",216,231,447
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",292,311,603
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",123,140,263
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",135,151,286
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",135,187,322
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",130,121,251
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",65,40,105
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",162,159,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",286,263,549
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",167,176,343
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",121,113,234
"Branford School District","=""0140011""","Branford High School","=""0146111""",562,502,1064
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",476,544,1020
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",20,26,46
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",188,177,365
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",202,182,384
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",203,236,439
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",256,287,543
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",316,343,659
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",509,564,1073
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",187,201,388
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",146,159,305
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",524,542,1066
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",8,43,51
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",185,228,413
