"District","District Code","School","School Code","Gender","Count","%"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",56,16.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",106,27.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",6,2.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",47,17.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",6,1.1
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",10,1.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Female",6,2.0
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Male",17,5.8
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Female","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Male","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Female","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Male","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Female","N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Male",13,4.4
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Female","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Male","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Female","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Male","*","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Female","N/A","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Male","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",59,11.5
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",77,15.5
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Female",8,2.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Male",54,14.3
