"Student Counts by School and Grade"
"All Districts, All Schools"
"2007-08"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",32,43,42,39,42,51,46,52,0,0,0,0,0,0,347
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",80,228,235,233,0,0,0,0,0,0,0,0,0,0,776
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,0,0,224,189,186,0,0,0,0,0,0,0,599
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,0,0,0,0,0,0,182,203,211,0,0,0,0,596
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,237,186,174,163,760
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*",0,0,0,0,0,0,0,0,"*",0,0,0,0,19
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",11,14,9,19,19,15,12,18,20,21,7,"*","*","*",174
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",9,30,22,30,29,21,28,0,0,0,0,176
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,57,68,69,70,70,67,65,70,69,0,0,0,0,605
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,259,251,242,0,0,0,0,752
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,0,0,0,0,0,0,0,19,21,18,17,13,11,99
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*","*",18,15,76,125
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,"*","*",7,18,24,56
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,31,22,19,20,92
"Ashford School District","=""0030011""","Ashford School","=""0030111""",41,35,39,55,47,48,51,56,60,68,0,0,0,0,500
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",20,107,114,127,129,121,0,0,0,0,0,0,0,0,618
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",28,115,153,166,160,154,0,0,0,0,0,0,0,0,776
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,277,313,0,0,0,0,0,0,590
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,279,303,0,0,0,0,582
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,250,284,242,260,1036
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,34,57,54,57,46,33,47,0,0,0,0,0,0,328
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",44,83,83,90,106,93,78,0,0,0,0,0,0,0,577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*",100,94,89,117,110,0,0,0,0,0,0,0,589
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,33,42,56,37,49,46,0,0,0,0,0,0,0,263
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,"*","*",256,276,0,0,0,0,778
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,253,236,258,316,1063
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",16,79,71,68,84,76,85,90,0,0,0,0,0,0,569
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",63,95,114,104,112,0,0,0,0,0,0,0,0,0,488
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,96,113,106,110,0,0,0,0,0,0,0,0,0,425
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,238,216,0,0,0,0,0,0,0,454
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,252,239,252,0,0,0,0,743
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,261,272,262,239,1034
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",25,41,69,58,63,59,0,0,0,0,0,0,0,0,315
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,35,56,69,56,52,0,0,0,0,0,0,0,0,268
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,47,44,45,53,49,0,0,0,0,0,0,0,0,238
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*",0,"*",0,176,170,0,0,0,0,0,0,348
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,0,0,0,0,0,147,195,0,0,0,0,342
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,181,180,138,126,625
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,0,0,0,0,0,0,0,0,35,25,19,0,79
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*",55,58,58,74,67,97,83,63,0,0,0,0,597
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,81,68,62,64,275
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",8,28,25,25,26,21,30,37,30,34,0,0,0,0,264
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",58,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,67,63,69,88,58,0,0,0,0,0,0,0,0,345
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",0,64,87,94,84,101,0,0,0,0,0,0,0,0,430
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,84,81,72,75,104,0,0,0,0,0,0,0,0,416
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,251,292,274,265,0,0,0,0,1082
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,278,315,274,279,1146
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",18,39,35,39,43,40,29,36,0,0,0,0,0,0,279
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",50,92,84,76,86,87,54,78,0,0,0,0,0,0,607
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",35,87,89,86,81,88,96,178,200,237,0,0,0,0,1177
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",34,91,53,65,50,60,60,0,0,0,0,0,0,0,413
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",38,120,132,129,121,147,99,144,165,67,0,0,0,0,1162
