"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","R",44,44,100.0,44,14,31.8,17,38.6,"*","*","*","*",13,29.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","F",187,187,100.0,187,77,41.2,81,43.3,"*","*","*","*",29,15.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","N",118,117,99.2,117,38,32.5,38,32.5,28,23.9,13,11.1,41,35.0
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","R",44,44,100.0,44,17,38.6,19,43.2,"*","*","*","*",8,18.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","F",105,96,91.4,90,72,80.0,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","N",27,26,96.3,25,"*","*","*","*",7,28.0,0,0.0,7,28.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","R",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","F",105,95,90.5,92,87,94.6,"*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","N",28,25,89.3,25,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","F",338,337,99.7,336,123,36.6,119,35.4,"*","*","*","*",94,28.0
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","N",307,307,100.0,306,45,14.7,89,29.1,124,40.5,48,15.7,172,56.2
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","R",61,61,100.0,61,"*","*",23,37.7,22,36.1,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","F",338,337,99.7,337,197,58.5,96,28.5,"*","*","*","*",44,13.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","N",307,306,99.7,306,80,26.1,110,35.9,71,23.2,45,14.7,116,37.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","R",61,61,100.0,61,26,42.6,23,37.7,"*","*","*","*",12,19.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","ELA","F",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Math","F",13,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","F",167,167,100.0,167,66,39.5,52,31.1,"*","*","*","*",49,29.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","N",215,213,99.1,213,45,21.1,58,27.2,69,32.4,41,19.2,110,51.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","R",44,43,97.7,43,12,27.9,18,41.9,"*","*","*","*",13,30.2
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","F",167,167,100.0,167,98,58.7,56,33.5,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","N",215,213,99.1,213,92,43.2,66,31.0,"*","*","*","*",55,25.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","R",44,43,97.7,43,28,65.1,"*","*","*","*",0,0.0,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","F",67,67,100.0,67,19,28.4,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","N",167,166,99.4,166,"*","*","*","*",68,41.0,53,31.9,121,72.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","R",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","F",67,67,100.0,67,34,50.7,"*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","N",167,166,99.4,166,"*","*",57,34.3,53,31.9,"*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","R",16,16,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA","N",235,221,94.0,219,23,10.5,27,12.3,68,31.1,101,46.1,169,77.2
"Avon School District","=""0040011""","Avon High School","=""0046111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math","N",235,220,93.6,220,31,14.1,51,23.2,68,30.9,70,31.8,138,62.7
