"Chronic Absenteeism, Trend"
"All Districts, All Schools, All Students"

"",,,,"% Chronically Absent",,,,
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",1.4,2.5,2.9,3.2,4.7
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N/A","N/A",12.1,15.5,17.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",22.5,23.9,26.0,21.7,24.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",38.9,39.4,41.4,42.9,42.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",18.5,16.1,17.9,17.7,14.2
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N/A","N/A",12.0,4.1,11.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",13.1,18.8,13.3,10.9,6.4
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",13.6,15.7,17.2,13.9,12.3
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*",31.8,19.4,29.2,31.0
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N/A","N/A",0.0,19.0,22.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",16.7,21.5,17.2,14.0,14.0
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N/A","N/A","N/A","N/A",84.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",22.3,55.2,32.4,19.1,16.5
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",15.6,17.6,16.7,14.0,12.3
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",6.0,10.5,2.8,4.4,4.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",21.5,33.1,28.1,24.3,24.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",27.3,27.5,25.7,28.2,30.4
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",22.8,28.4,29.1,27.0,19.7
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",27.6,25.4,30.4,28.7,26.6
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",11.1,16.9,13.9,14.0,14.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",8.5,10.0,7.2,8.8,3.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",12.7,18.3,16.3,13.8,8.6
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",15.3,11.2,12.7,12.3,10.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",45.0,49.3,43.9,50.6,44.8
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",2.8,4.9,"*",3.9,"*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",7.0,14.1,14.8,12.9,12.3
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N/A","N/A",0.0,3.2,7.8
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",3.2,4.9,4.1,4.6,4.1
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",23.8,27.7,33.6,30.1,27.9
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",27.3,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",26.0,29.2,27.2,25.8,24.5
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",11.0,14.7,14.9,12.0,10.0
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",62.8,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",2.1,2.4,1.8,"*","*"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",76.3,0.0,"N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",3.3,4.7,5.5,5.7,4.0
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","N/A","N/A",0.0,"N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",15.0,13.0,15.0,14.7,15.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",29.5,26.7,28.5,25.0,17.5
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",18.1,25.3,26.4,19.7,22.1
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",9.3,9.1,6.8,4.8,4.5
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",26.7,47.6,47.8,60.0,"*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",16.4,14.0,16.0,15.5,12.0
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",17.1,15.3,14.8,12.7,11.6
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N/A","N/A","N/A",44.7,49.0
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","N/A","N/A","N/A","*","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",10.6,7.0,10.8,9.7,9.3
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",17.3,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*","*","*","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",9.6,8.4,7.8,8.1,1.8
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",8.2,8.5,5.4,5.8,5.1
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",5.3,8.6,8.7,7.5,7.9
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",6.5,6.3,7.3,4.9,4.3
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",5.8,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",7.2,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",6.3,6.2,4.4,2.7,3.5
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",6.6,5.2,7.0,6.0,3.4
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",8.6,5.2,8.8,8.7,5.6
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",14.2,10.3,18.2,18.8,5.9
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","N/A",10.2,12.3,10.4,8.0
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",6.8,0.9,5.1,6.0,"*"
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",4.7,2.6,2.9,2.3,3.6
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",3.1,1.3,2.7,2.7,1.7
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",3.9,3.1,4.5,3.3,3.0
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",4.8,7.5,"*",4.6,2.0
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",9.1,"*",4.5,5.7,2.9
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",10.7,"*",10.1,"*",9.2
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",3.4,6.1,"*",3.3,3.0
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",4.2,7.0,5.1,3.5,4.3
"Canton School District","=""0230011""","Canton Academy","=""0230411""","N/A","N/A","N/A","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",4.7,4.0,5.1,"*",6.1
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",4.9,4.2,12.4,14.7,4.1
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",5.9,5.7,5.1,3.9
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",4.7,4.6,11.8,14.4,7.4
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N/A","N/A","N/A","N/A",13.7
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",17.2,11.3,13.9,15.1,7.2
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","N/A","N/A",18.9,25.3,15.3
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","N/A","N/A","N/A",14.9,13.8
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","N/A",18.0,14.8,14.3,7.1
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""","*",14.7,"N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","N/A","N/A",12.4,9.1,5.7
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",60.6,55.3,"*","*",40.0
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",6.9,7.0,8.3,7.3,6.3
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",14.5,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",53.9,52.3,47.9,44.7,29.0
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","N/A",8.5,14.0,17.2,18.4
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",9.2,12.0,13.5,12.3,8.9
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",56.7,27.6,0.0,0.0,"*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",9.3,13.4,17.0,"N/A","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",7.6,8.0,8.2,8.9,7.6
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",3.8,9.8,10.0,10.6,7.8
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",8.4,11.5,9.7,8.8,9.6
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",23.6,21.6,18.1,28.0,23.0
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",14.7,12.8,15.2,15.1,8.9
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*","*",24.1,12.7
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",14.7,17.6,17.8,17.0,15.8
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","*","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*",25.0,23.3,"*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","N/A","N/A","N/A","*","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N/A",6.5,7.0,8.6,16.3
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",4.8,6.4,6.4,8.9,6.1
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","*",6.4,6.3,9.4,6.0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",9.6,8.3,"*",11.4,10.1
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",2.0,"*",2.3,"*",4.3
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",7.9,9.0,8.6,8.2,5.9
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","N/A","N/A","N/A","*","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",9.2,0.0,"*",0.0,"*"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",5.6,5.9,4.3,0.0,5.2
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",3.3,0.0,2.8,1.8,3.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""",2.8,0.0,3.5,1.8,4.4
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N/A","N/A","N/A",90.3,68.0
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",29.6,25.9,"*","N/A","N/A"
"Cheshire School District","=""0250011""","Norton School","=""0250511""",2.3,0.0,1.9,"*",3.1
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*",9.2,3.2,"*",2.8
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",5.4,1.9,"*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",7.9,5.4,5.7,4.7,4.5
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",6.4,5.0,3.8,3.1,3.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",21.4,14.8,11.7,14.7,10.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",1.3,10.2,6.9,2.6,9.3
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N/A","N/A","N/A","*","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",2.3,3.6,3.6,4.8,3.9
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0.9,1.8,3.0,1.9,2.3
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",5.3,6.1,6.0,6.7,4.7
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*","*","*","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",6.9,4.1,0.0,4.8,3.4
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",12.8,14.5,16.6,15.3,11.5
