"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",453,450,99.3,450,100,22.2,119,26.4,162,36.0,69,15.3,231,51.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",85,84,98.8,84,9,10.7,15,17.9,37,44.0,23,27.4,60,71.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",453,449,99.1,449,108,24.1,133,29.6,125,27.8,83,18.5,208,46.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",85,84,98.8,84,11,13.1,28,33.3,14,16.7,31,36.9,45,53.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y",25,23,92.0,23,"*","*","*","*",7,30.4,6,26.1,13,56.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",134,133,99.3,133,"*","*","*","*",38,28.6,66,49.6,104,78.2
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y",25,23,92.0,23,"*","*",8,34.8,7,30.4,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",134,133,99.3,133,"*","*","*","*",47,35.3,53,39.8,100,75.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","Y",249,240,96.4,240,109,45.4,74,30.8,49,20.4,8,3.3,57,23.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",104,103,99.0,103,36,35.0,31,30.1,27,26.2,9,8.7,36,35.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","Y",249,240,96.4,240,122,50.8,81,33.8,25,10.4,12,5.0,37,15.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",104,103,99.0,102,38,37.3,40,39.2,12,11.8,12,11.8,24,23.5
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","Y",239,239,100.0,239,104,43.5,69,28.9,46,19.2,20,8.4,66,27.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",107,107,100.0,107,32,29.9,26,24.3,31,29.0,18,16.8,49,45.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","Y",239,239,100.0,239,111,46.4,85,35.6,30,12.6,13,5.4,43,18.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",107,107,100.0,107,30,28.0,38,35.5,28,26.2,11,10.3,39,36.4
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","Y",237,232,97.9,232,83,35.8,66,28.4,58,25.0,25,10.8,83,35.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","N",114,112,98.2,112,22,19.6,27,24.1,38,33.9,25,22.3,63,56.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","Y",237,231,97.5,231,84,36.4,85,36.8,53,22.9,9,3.9,62,26.8
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","N",114,112,98.2,112,30,26.8,37,33.0,27,24.1,18,16.1,45,40.2
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","Y",138,134,97.1,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","N",7,6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","Y",138,127,92.0,127,"*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","N",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","Y",451,451,100.0,451,197,43.7,119,26.4,111,24.6,24,5.3,135,29.9
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","N",273,273,100.0,273,47,17.2,80,29.3,92,33.7,54,19.8,146,53.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","Y",451,451,100.0,451,250,55.4,130,28.8,57,12.6,14,3.1,71,15.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","N",273,273,100.0,273,71,26.0,89,32.6,66,24.2,47,17.2,113,41.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","Y",233,233,100.0,233,90,38.6,63,27.0,58,24.9,22,9.4,80,34.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","N",180,178,98.9,178,36,20.2,39,21.9,60,33.7,43,24.2,103,57.9
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","Y",233,233,100.0,233,131,56.2,75,32.2,"*","*","*","*",27,11.6
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","N",180,178,98.9,178,61,34.3,61,34.3,"*","*","*","*",56,31.5
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","Y",78,78,100.0,78,22,28.2,21,26.9,26,33.3,9,11.5,35,44.9
